iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,47.82735824584961,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,0.0,0.021150710061192513,0.0,0.0,0.10383078455924988,0.0,800.0,0.05978419631719589,47.827357053756714,0.0,0.0,0.0,700000,700000,3098,10475,10414,1767
2,rigid,47.457664489746094,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,2.474939151397848e-07,2.474939151397848e-07,0.015007503751875938,0.021715395152568817,0.0003258938742256451,0.0,0.10221996903419495,0.0,800.0,0.059321675449609756,47.457340359687805,0.0,0.0,0.0,700000,700000,3154,10475,10415,1753
3,rigid,47.091636657714844,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,9.946508043867652e-07,9.946508043867652e-07,0.030015007503751877,0.021567542105913162,0.0006473499381464681,0.0,0.10058452934026718,0.0,800.0,0.05886373668909073,47.09098935127258,0.0,0.0,0.0,700000,700000,3161,10475,10414,1741
4,rigid,46.72947311401367,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,2.2414762952394085e-06,2.2414762952394085e-06,0.04502251125562781,0.02168317884206772,0.0009762311634747846,0.0,0.09926830232143402,0.0,800.0,0.05841061472892761,46.72849178314209,0.0,0.0,0.0,700000,700000,3241,10475,10415,1725
5,rigid,46.370445251464844,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,4.006736617157003e-06,4.006736617157003e-06,0.060030015007503754,0.021716639399528503,0.0013036501890662433,0.0,0.09761824458837509,0.0,800.0,0.05796142295002937,46.3691383600235,0.0,0.0,0.0,700000,700000,3261,10475,10414,1716
6,rigid,46.01470947265625,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,6.2575909396400675e-06,6.2575909396400675e-06,0.0750375187593797,0.02184169925749302,0.001638946917770862,0.0,0.09608910232782364,0.0,800.0,0.05751633271574974,46.01306617259979,0.0,0.0,0.0,700000,700000,3300,10475,10416,1705
7,rigid,45.6627197265625,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,9.008113920572214e-06,9.008113920572214e-06,0.09004502251125562,0.02181454747915268,0.0019642914188331578,0.0,0.09484707564115524,0.0,800.0,0.05707593634724617,45.660749077796936,0.0,0.0,0.0,700000,700000,3315,10475,10416,1689
8,rigid,45.314640045166016,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,1.225830419571139e-05,1.225830419571139e-05,0.10505252626313157,0.02197902835905552,0.0023089524539277933,0.0,0.09387233853340149,0.0,800.0,0.05664040148258209,45.312321186065674,0.0,0.0,0.0,700000,700000,3372,10475,10418,1668
9,rigid,44.97056198120117,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,1.60081654030364e-05,1.60081654030364e-05,0.12006003001500751,0.02200385369360447,0.002641783334899986,0.0,0.09215148538351059,0.0,800.0,0.056209880858659744,44.967904686927795,0.0,0.0,0.0,700000,700000,3354,10475,10417,1661
10,rigid,44.630149841308594,100.0,7.077671781985373e-16,7.077671781985373e-14,250.0,0.0,0.0,1.0,2.025769390456844e-05,2.025769390456844e-05,0.13506753376688344,0.021912503987550735,0.002959667872255477,0.0,0.09116152673959732,0.0,800.0,0.055783964693546295,44.627171754837036,0.0,0.0,0.0,700000,700000,3397,10475,10416,1642
