iter,stage,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,41.03691101074219,20.0,7.979727989493313e-17,1.5959455978986625e-15,250.0,0.0,0.0,1.0,0.0,0.0,0.0,0.011289754882454872,0.0,0.0,0.2796346843242645,0.0,800.0,0.051296137273311615,41.03690981864929,0.0,0.0,0.0,700000,700000,899,10475,10378,2085
2,rigid,40.634029388427734,20.0,1.5622438240825431e-06,3.124487648165086e-05,250.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,0.0050025012506253125,0.011397726833820343,5.701714274047195e-05,0.0,0.27743327617645264,0.0,800.0,0.050792425870895386,40.63394069671631,0.0,0.0,0.0,700000,700000,878,10475,10386,2087
3,rigid,40.237247467041016,20.0,6.229728569451254e-06,0.00012459457138902508,250.0,0.0,0.0,1.0,9.946508043867652e-07,9.946508043867652e-07,0.010005002501250625,0.011218272149562836,0.0001122388409160864,0.0,0.2755528688430786,0.0,800.0,0.05029626563191414,40.23701250553131,0.0,0.0,0.0,700000,700000,884,10475,10389,2086
4,rigid,39.8465576171875,20.0,1.3948645573691465e-05,0.0002789729114738293,250.0,0.0,0.0,1.0,2.2414762952394085e-06,2.2414762952394085e-06,0.015007503751875938,0.010805605910718441,0.00016216517124639982,0.0,0.27425840497016907,0.0,800.0,0.04980764538049698,39.84611630439758,0.0,0.0,0.0,700000,700000,894,10475,10387,2082
5,rigid,39.46192932128906,20.0,2.4598117306595668e-05,0.0004919623461319134,250.0,0.0,0.0,1.0,3.997348358097952e-06,3.997348358097952e-06,0.02001000500250125,0.010883728042244911,0.0002177834525711838,0.0,0.2724766433238983,0.0,800.0,0.049326520413160324,39.46121633052826,0.0,0.0,0.0,700000,700000,868,10475,10379,2082
6,rigid,39.083065032958984,20.0,3.7972138670738786e-05,0.0007594427734147757,250.0,0.0,0.0,1.0,6.269337063713465e-06,6.269337063713465e-06,0.02501250625312656,0.010881115682423115,0.00027216397404760165,0.0,0.2707328796386719,0.0,800.0,0.04885253310203552,39.08202648162842,0.0,0.0,0.0,700000,700000,864,10475,10382,2082
7,rigid,38.709415435791016,20.0,5.3782638133270666e-05,0.0010756527626654133,250.0,0.0,0.0,1.0,9.008113920572214e-06,9.008113920572214e-06,0.030015007503751877,0.01095501147210598,0.0003288147515389489,0.0,0.2692621350288391,0.0,800.0,0.048385001718997955,38.708001375198364,0.0,0.0,0.0,700000,700000,857,10475,10378,2082
8,rigid,38.340248107910156,20.0,7.169222953962162e-05,0.0014338445907924324,250.0,0.0,0.0,1.0,1.2291191524127498e-05,1.2291191524127498e-05,0.03501750875437719,0.01056277472525835,0.0003698820564122484,0.0,0.26775020360946655,0.0,800.0,0.04792303964495659,38.33843171596527,0.0,0.0,0.0,700000,700000,851,10475,10381,2080
9,rigid,37.97506332397461,20.0,9.140220208792016e-05,0.0018280440417584032,250.0,0.0,0.0,1.0,1.602694646862801e-05,1.602694646862801e-05,0.0400200100050025,0.010571617633104324,0.0004230762434458959,0.0,0.2662590742111206,0.0,800.0,0.04746599495410919,37.97279596328735,0.0,0.0,0.0,700000,700000,854,10475,10378,2078
10,rigid,37.61338806152344,20.0,0.0001127734940382652,0.002255469880765304,250.0,0.0,0.0,1.0,2.032111478911247e-05,2.032111478911247e-05,0.04502251125562781,0.010377872735261917,0.00046723789203280267,0.0,0.2648991644382477,0.0,800.0,0.0470133051276207,37.61064410209656,0.0,0.0,0.0,700000,700000,865,10475,10378,2076
