iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,rigid,9.717035293579102,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,0.0,0.00969491433352232,0.0,0.0,0.0,0.0,800.0,0.012146294116973877,9.717035293579102,0.0,0.0,0.0,700000,700000,315
2,rigid,9.508784294128418,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,2.521856572457182e-07,2.521856572457182e-07,0.02001000500250125,0.009892299771308899,0.00019794496791013304,0.0,0.0,0.0,800.0,0.011885732412338257,9.508585929870605,0.0,0.0,0.0,700000,700000,314
3,rigid,9.304887771606445,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,1.0040341749117943e-06,1.0040341749117943e-06,0.0400200100050025,0.009875858202576637,0.00039523194407510304,0.0,0.0,0.0,800.0,0.011630615219473839,9.304492175579071,0.0,0.0,0.0,700000,700000,314
4,rigid,9.105178833007812,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,2.2626054487773217e-06,2.2626054487773217e-06,0.060030015007503754,0.009880544617772102,0.0005931292416871697,0.0,0.0,0.0,800.0,0.01138073019683361,9.104584157466888,0.0,0.0,0.0,700000,700000,313
5,rigid,8.909811019897461,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,4.016136699647177e-06,4.016136699647177e-06,0.080040020010005,0.009912763722240925,0.0007934178066826153,0.0,0.0,0.0,800.0,0.011136267334222794,8.909013867378235,0.0,0.0,0.0,700000,700000,326
6,rigid,8.718673706054688,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,6.2928615989221726e-06,6.2928615989221726e-06,0.10005002501250625,0.009969489648938179,0.000997447688738187,0.0,0.0,0.0,800.0,0.01089708786457777,8.717670291662216,0.0,0.0,0.0,700000,700000,330
7,rigid,8.531697273254395,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,9.064547157322522e-06,9.064547157322522e-06,0.12006003001500751,0.009674048982560635,0.0011614666112128827,0.0,0.0,0.0,800.0,0.010663159191608429,8.530527353286743,0.0,0.0,0.0,700000,700000,331
8,rigid,8.348864555358887,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,1.2390113624860533e-05,1.2390113624860533e-05,0.14007003501750875,0.009875752963125706,0.0013832970633692835,0.0,0.0,0.0,800.0,0.010434336960315704,8.347469568252563,0.0,0.0,0.0,700000,700000,336
9,rigid,8.170304298400879,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,1.6215388313867152e-05,1.6215388313867152e-05,0.16008004002001,0.009708440862596035,0.0015541276018162737,0.0,0.0,0.0,800.0,0.010210917331278324,8.16873386502266,0.0,0.0,0.0,700000,700000,339
10,rigid,7.996140480041504,100.0,1.6476711206606245e-16,1.6476711206606245e-14,250.0,0.0,0.0,1.0,2.0575786038534716e-05,2.0575786038534716e-05,0.18009004502251125,0.009357386268675327,0.0016851721144187683,0.0,0.0,0.0,800.0,0.009993043728172779,7.994434982538223,0.0,0.0,0.0,700000,700000,353
