iter,stage,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points,human_scene_depth_num_human_vertices,human_scene_depth_num_projected_vertices,human_scene_depth_num_behind_scene_vertices
1,rigid,4.9150285720825195,20.0,7.031412665757855e-16,1.4062825331515711e-14,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005045305006206036,0.0,0.0,0.06688737124204636,0.0,800.0,0.006143786013126373,4.915028810501099,0.0,0.0,0.0,700000,700000,126,10475,10432,213
2,rigid,4.717118263244629,20.0,1.5866329476921237e-06,3.1732658953842474e-05,50.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,0.0050025012506253125,0.004736174363642931,2.3692718177303305e-05,0.0050025012506253125,0.06785185635089874,0.00033942899625262,800.0,0.005895903799682856,4.7167230397462845,0.0,0.0,0.0,700000,700000,145,10475,10435,209
3,rigid,4.526174545288086,20.0,6.336256319627864e-06,0.00012672512639255729,50.0,0.0,0.0,1.0,9.946508043867652e-07,9.946508043867652e-07,0.010005002501250625,0.0043292115442454815,4.3313772328619126e-05,0.010005002501250625,0.0669606477022171,0.000669941447746044,800.0,0.005656666588038206,4.525333270430565,0.0,0.0,0.0,700000,700000,199,10475,10436,204
4,rigid,4.341052055358887,20.0,1.4233190995582845e-05,0.0002846638199116569,50.0,0.0,0.0,1.0,2.2485082808998413e-06,2.2485082808998413e-06,0.015007503751875938,0.004268993157893419,6.40669308338182e-05,0.015007503751875938,0.06440360844135284,0.0009665373953179517,800.0,0.005424668081104755,4.339734464883804,0.0,0.0,0.0,700000,700000,237,10475,10436,205
5,rigid,4.162808895111084,20.0,2.5261586415581405e-05,0.0005052317283116281,50.0,0.0,0.0,1.0,4.016136699647177e-06,4.016136699647177e-06,0.02001000500250125,0.004752321634441614,9.509397967867162e-05,0.02001000500250125,0.0627979040145874,0.0012565863734784874,800.0,0.005201184656471014,4.160947725176811,0.0,0.0,0.0,700000,700000,210,10475,10436,212
6,rigid,3.9904468059539795,20.0,3.938944428227842e-05,0.0007877888856455684,50.0,0.0,0.0,1.0,6.281094556470634e-06,6.281094556470634e-06,0.02501250625312656,0.004377858713269234,0.00010950121844095132,0.02501250625312656,0.06245247647166252,0.0015620929582706982,800.0,0.0049849762581288815,3.987981006503105,0.0,0.0,0.0,700000,700000,284,10475,10434,216
7,rigid,3.8241488933563232,20.0,5.660460010403767e-05,0.0011320920020807534,50.0,0.0,0.0,1.0,9.050421795109287e-06,9.050421795109287e-06,0.030015007503751877,0.004292808473110199,0.00012884867853257226,0.030015007503751877,0.06393607705831528,0.0019190418326657914,800.0,0.00477619981393218,3.8209598511457443,0.0,0.0,0.0,700000,700000,357,10475,10434,211
8,rigid,3.6634397506713867,20.0,7.688240293646231e-05,0.0015376480587292463,50.0,0.0,0.0,1.0,1.2324120689299889e-05,1.2324120689299889e-05,0.03501750875437719,0.0042800563387572765,0.0001498769103116605,0.03501750875437719,0.06161656230688095,0.0021576585099958314,800.0,0.004574477672576904,3.6595821380615234,0.0,0.0,0.0,700000,700000,402,10475,10429,224
9,rigid,3.5072057247161865,20.0,0.00010020886838901788,0.0020041773677803576,50.0,0.0,0.0,1.0,1.6139882063725963e-05,1.6139882063725963e-05,0.0400200100050025,0.004546735435724258,0.00018196039762778421,0.0400200100050025,0.06119595095515251,0.0024490625694908457,800.0,0.004378193058073521,3.5025544464588165,0.0,0.0,0.0,700000,700000,446,10475,10425,237
10,rigid,3.356910228729248,20.0,0.00012658414198085666,0.002531682839617133,50.0,0.0,0.0,1.0,2.042703636107035e-05,2.042703636107035e-05,0.04502251125562781,0.004691193345934153,0.0002112093052196467,0.04502251125562781,0.0619712695479393,0.002790102180747642,800.0,0.004189196042716503,3.3513568341732025,0.0,0.0,0.0,700000,700000,498,10475,10423,244
