iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,rigid,98.12406921386719,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,60.0,0.011092019267380238,0.6655211560428143,0.0,0.0,0.0,800.0,0.12182318419218063,97.4585473537445,0.0,0.0,0.0,700000,700000,116
2,rigid,97.43761444091797,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,2.49834272381122e-07,2.49834272381122e-07,60.0,0.010447989217936993,0.6268793530762196,0.0,0.0,0.0,800.0,0.12101341784000397,96.81073427200317,0.0,0.0,0.0,700000,700000,115
3,rigid,96.78054809570312,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,9.946508043867652e-07,9.946508043867652e-07,60.0,0.010220678523182869,0.6132407113909721,0.0,0.0,0.0,800.0,0.12020912766456604,96.16730213165283,0.0,0.0,0.0,700000,700000,108
4,rigid,96.10105895996094,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,2.2485082808998413e-06,2.2485082808998413e-06,60.0,0.00954583752900362,0.5727502517402172,0.0,0.0,0.0,800.0,0.11941038072109222,95.52830457687378,0.0,0.0,0.0,700000,700000,97
5,rigid,95.45805358886719,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,3.98797010348062e-06,3.98797010348062e-06,60.0,0.009403016418218613,0.5641809850931168,0.0,0.0,0.0,800.0,0.11861733347177505,94.89386677742004,0.0,0.0,0.0,700000,700000,92
6,rigid,94.80001831054688,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,6.245856184250442e-06,6.245856184250442e-06,60.0,0.008934683166444302,0.5360809899866581,0.0,0.0,0.0,800.0,0.11782991886138916,94.26393508911133,0.0,0.0,0.0,700000,700000,88
7,rigid,94.15847778320312,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,8.979963240562938e-06,8.979963240562938e-06,60.0,0.008665341883897781,0.5199205130338669,0.0,0.0,0.0,800.0,0.11704818904399872,93.63855123519897,0.0,0.0,0.0,700000,700000,78
8,rigid,93.52481079101562,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,1.224187872139737e-05,1.224187872139737e-05,60.0,0.008454485796391964,0.5072691477835178,0.0,0.0,0.0,800.0,0.11627191305160522,93.01753044128418,0.0,0.0,0.0,700000,700000,73
9,rigid,92.8732681274414,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,1.5989393432391807e-05,1.5989393432391807e-05,60.0,0.007869440130889416,0.47216640785336494,0.0,0.0,0.0,800.0,0.11550135165452957,92.40108132362366,0.0,0.0,0.0,700000,700000,64
10,rigid,92.28860473632812,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,2.0236577256582677e-05,2.0236577256582677e-05,60.0,0.008318847976624966,0.49913087859749794,0.0,0.0,0.0,800.0,0.11473681777715683,91.78945422172546,0.0,0.0,0.0,700000,700000,57
11,rigid,91.69214630126953,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,2.498342473700177e-05,2.498342473700177e-05,60.0,0.008488928899168968,0.5093357339501381,0.0,0.0,0.0,800.0,0.11397848278284073,91.18278622627258,0.0,0.0,0.0,700000,700000,52
12,rigid,91.08251190185547,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,3.025575824722182e-05,3.025575824722182e-05,60.0,0.008354033343493938,0.5012420006096363,0.0,0.0,0.0,800.0,0.11322654783725739,90.58123826980591,0.0,0.0,0.0,700000,700000,49
13,rigid,90.46929168701172,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,3.6032455682288855e-05,3.6032455682288855e-05,60.0,0.008078458718955517,0.484707523137331,0.0,0.0,0.0,800.0,0.11248068511486053,89.98454809188843,0.0,0.0,0.0,700000,700000,48
14,rigid,89.90007781982422,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,4.2313527956139296e-05,4.2313527956139296e-05,60.0,0.008458339609205723,0.5075003765523434,0.0,0.0,0.0,800.0,0.11174066364765167,89.39253091812134,0.0,0.0,0.0,700000,700000,46
15,rigid,89.31747436523438,100.0,3.619789741437536e-16,3.619789741437536e-14,250.0,0.0,0.0,1.0,4.9131864216178656e-05,4.9131864216178656e-05,60.0,0.008531837724149227,0.5119102634489536,0.0,0.0,0.0,800.0,0.11100688576698303,88.80550861358643,0.0,0.0,0.0,700000,700000,46
