iter,stage,total,orient_gvhmr_weight,orient_gvhmr_raw,orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,human_scene_depth_weight,human_scene_depth_raw,human_scene_depth_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,rigid,49.356910705566406,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,60.0,0.02577226795256138,1.5463360771536827,0.0,0.0,0.0,800.0,0.059763215482234955,47.810572385787964,0.0,0.0,0.0,700000,700000,1686
2,rigid,49.01434326171875,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,2.521856572457182e-07,2.521856572457182e-07,60.0,0.026227833703160286,1.5736700221896172,0.0,0.0,0.0,800.0,0.05930083990097046,47.44067192077637,0.0,0.0,0.0,700000,700000,1706
3,rigid,48.663787841796875,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,1.0040341749117943e-06,1.0040341749117943e-06,60.0,0.026489047333598137,1.5893428400158882,0.0,0.0,0.0,800.0,0.05884305387735367,47.074443101882935,0.0,0.0,0.0,700000,700000,1717
4,rigid,48.267147064208984,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,2.2555516352440463e-06,2.2555516352440463e-06,60.0,0.025915756821632385,1.5549454092979431,0.0,0.0,0.0,800.0,0.05839025229215622,46.712201833724976,0.0,0.0,0.0,700000,700000,1751
5,rigid,47.905094146728516,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,4.006736617157003e-06,4.006736617157003e-06,60.0,0.025866061449050903,1.5519636869430542,0.0,0.0,0.0,800.0,0.05794140696525574,46.35312557220459,0.0,0.0,0.0,700000,700000,1783
6,rigid,47.53997039794922,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,6.2575909396400675e-06,6.2575909396400675e-06,60.0,0.02570987120270729,1.5425922721624374,0.0,0.0,0.0,800.0,0.05749671533703804,45.99737226963043,0.0,0.0,0.0,700000,700000,1804
7,rigid,47.19975280761719,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,9.008113920572214e-06,9.008113920572214e-06,60.0,0.02590515837073326,1.5543095022439957,0.0,0.0,0.0,800.0,0.05705679580569267,45.64543664455414,0.0,0.0,0.0,700000,700000,1832
8,rigid,46.79331970214844,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,1.222546325152507e-05,1.222546325152507e-05,60.0,0.024928942322731018,1.495736539363861,0.0,0.0,0.0,800.0,0.056621961295604706,45.297569036483765,0.0,0.0,0.0,700000,700000,1871
9,rigid,46.476524353027344,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,1.60081654030364e-05,1.60081654030364e-05,60.0,0.025379585102200508,1.5227751061320305,0.0,0.0,0.0,800.0,0.05619216337800026,44.95373070240021,0.0,0.0,0.0,700000,700000,1911
10,rigid,46.09811782836914,100.0,3.006854201491663e-16,3.006854201491663e-14,250.0,0.0,0.0,1.0,2.025769390456844e-05,2.025769390456844e-05,60.0,0.024740519002079964,1.4844311401247978,0.0,0.0,0.0,800.0,0.055767081677913666,44.61366534233093,0.0,0.0,0.0,700000,700000,1939
