interaction_name,num_edges,mean_min_contact_distance_m,mean_max_contact_distance_m,mean_contact_distance_m,ncs,mean_penetration_m,max_penetration_m
interaction_02,5,0.009043424855917692,0.07879764810204506,0.037339617311954496,0.9998471428571428,0.002542005619034171,0.008543387055397034
interaction_03,4,0.008060207619564608,0.08249654155224562,0.03728635469451547,0.9993742857142857,0.003003315534442663,0.012764410115778446
interaction_04,3,0.002277278787611673,0.04856082797050476,0.01859518513083458,0.9993271428571429,0.0022224020212888718,0.008120042271912098
interaction_05,3,0.0021031139379677675,0.055239989111820854,0.019207014702260494,0.9997771428571428,0.0041137742809951305,0.0130683071911335
interaction_06,3,0.001926636400943001,0.05196929723024368,0.021778897071878116,0.9996557142857143,0.00302219414152205,0.008414583280682564
interaction_07,3,0.0024187888484448195,0.059920962899923325,0.020913617685437202,0.99985,0.0019884344656020403,0.005494858603924513
interaction_08,4,0.03193985123652965,0.09930491354316473,0.06342075718566775,0.9999857142857143,0.00279763201251626,0.0047267707996070385
interaction_09,3,0.06527198249629389,0.12807613983750343,0.08808150328695774,0.9995814285714286,0.002339642494916916,0.011774921789765358
interaction_10,4,0.010050749406218529,0.07943667564541101,0.04161950573325157,0.9998085714285714,0.0037292528431862593,0.012263431213796139
interaction_11,4,0.00797680439427495,0.07982866372913122,0.03239157656207681,0.9985514285714285,0.011274134740233421,0.02800797112286091
interaction_14,3,0.0037525940764074526,0.1104183519879977,0.05103064142167568,0.9994985714285715,0.010395522229373455,0.03457776829600334
interaction_15,5,0.00257256415206939,0.08914667591452599,0.03289220444858074,0.9995857142857143,0.004062925465404987,0.01193842664361
interaction_16,3,0.001419638089525203,0.12425447503725688,0.04363411540786425,0.9996914285714286,0.003963749390095472,0.011798731051385403
interaction_18,4,0.043069085746537894,0.13551774248480797,0.08701834175735712,0.9998814285714286,0.005458946339786053,0.024610968306660652
interaction_20,4,0.007573816983494908,0.14097130298614502,0.07063090754672885,0.9958185714285714,0.009766623377799988,0.02888387069106102
interaction_21,4,0.01074660760059487,0.11357835680246353,0.05452603101730347,0.9996714285714285,0.012582138180732727,0.03360353782773018
interaction_22,4,0.028617327625397593,0.12848285865038633,0.07925999071449041,0.9991842857142857,0.0079940902069211,0.016993926838040352
interaction_23,4,0.0021363516425481066,0.059949764516204596,0.023443356156349182,0.9997485714285714,0.006116940174251795,0.026090005412697792
interaction_24,3,0.07291846097602199,0.1822882816195488,0.11401233573754628,0.9989257142857143,0.0032742104958742857,0.013998928479850292
interaction_26,2,0.08915193006396294,0.1628986895084381,0.12326529249548912,0.99791,0.0028683317359536886,0.012626981362700462
interaction_27,3,0.25707019058366615,0.3651175983250141,0.29615496657788754,0.99809,0.00614863820374012,0.032205913215875626
interaction_28,3,0.01568908620780955,0.09783749282360077,0.05394698679447174,0.9999457142857143,0.00225213379599154,0.007599114906042814
interaction_30,4,0.15029945559217595,0.2553186770528555,0.19469604548066854,0.9965871428571429,0.006588723510503769,0.02412325143814087
__mean__,82,0.03591678031843385,0.1186700837970104,0.06978892369222814,0.9991433540372673,0.005152424402615946,0.017053482952811148
