interaction_name,target_object_score,human_action_score,contact_score,physical_plausibility_score,mean_score
interaction_02,5.0,5.0,5.0,5.0,5.0
interaction_03,5.0,5.0,5.0,5.0,5.0
interaction_04,5.0,5.0,5.0,5.0,5.0
interaction_05,5.0,5.0,5.0,5.0,5.0
interaction_06,5.0,5.0,4.0,5.0,4.75
interaction_07,5.0,5.0,5.0,5.0,5.0
interaction_08,5.0,5.0,5.0,5.0,5.0
interaction_09,5.0,5.0,5.0,5.0,5.0
interaction_10,5.0,5.0,5.0,5.0,5.0
interaction_11,5.0,5.0,5.0,5.0,5.0
interaction_14,5.0,5.0,5.0,5.0,5.0
interaction_15,5.0,5.0,5.0,5.0,5.0
interaction_16,5.0,3.0,3.0,3.0,3.5
interaction_18,5.0,3.0,2.0,2.0,3.0
interaction_20,5.0,3.0,2.0,2.0,3.0
interaction_21,5.0,3.0,2.0,2.0,3.0
interaction_22,5.0,5.0,4.0,5.0,4.75
interaction_23,5.0,5.0,3.0,3.0,4.0
interaction_24,5.0,3.0,2.0,2.0,3.0
interaction_26,5.0,4.0,2.0,2.0,3.25
interaction_27,5.0,4.0,2.0,2.0,3.25
interaction_28,5.0,5.0,5.0,5.0,5.0
interaction_30,5.0,3.0,2.0,2.0,3.0
__mean__,5.0,4.391304347826087,3.8260869565217392,3.9130434782608696,4.282608695652174
