iter,stage,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,rigid,31.206802368164062,20.0,7.077671781985373e-16,1.4155343563970746e-14,10.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,0.0,0.021155547350645065,0.0,500.0,0.06241360306739807,31.206801533699036,0.0,0.0,0.0,700000,700000,1426
2,rigid,30.824604034423828,20.0,1.5017569694464328e-06,3.0035139388928656e-05,10.0,0.0,0.0,1.0,2.474939151397848e-07,2.474939151397848e-07,0.01001001001001001,0.02109943889081478,0.00021120559450265046,500.0,0.06164872273802757,30.824361369013786,0.0,0.0,0.0,700000,700000,1413
3,rigid,30.445465087890625,20.0,6.007237061567139e-06,0.00012014474123134278,10.0,0.0,0.0,1.0,9.946508043867652e-07,9.946508043867652e-07,0.02002002002002002,0.021157871931791306,0.0004235810196554816,500.0,0.0608898401260376,30.4449200630188,0.0,0.0,0.0,700000,700000,1436
4,rigid,30.071292877197266,20.0,1.351446371700149e-05,0.0002702892743400298,10.0,0.0,0.0,1.0,2.2414762952394085e-06,2.2414762952394085e-06,0.03003003003003003,0.021349767223000526,0.0006411341508408566,500.0,0.060140758752822876,30.070379376411438,0.0,0.0,0.0,700000,700000,1449
5,rigid,29.700700759887695,20.0,2.4021916033234447e-05,0.00048043832066468894,10.0,0.0,0.0,1.0,3.98797010348062e-06,3.98797010348062e-06,0.04004004004004004,0.021537141874432564,0.0008623480230003028,500.0,0.05939870700240135,29.699353501200676,0.0,0.0,0.0,700000,700000,1474
6,rigid,29.334062576293945,20.0,3.75225608877372e-05,0.000750451217754744,10.0,0.0,0.0,1.0,6.23413325229194e-06,6.23413325229194e-06,0.05005005005005005,0.021646728739142418,0.0010834198568139349,500.0,0.05866444483399391,29.332222416996956,0.0,0.0,0.0,700000,700000,1487
7,rigid,28.97136688232422,20.0,5.4006199206924066e-05,0.0010801239841384813,10.0,0.0,0.0,1.0,8.979963240562938e-06,8.979963240562938e-06,0.06006006006006006,0.021611977368593216,0.0012980166587743672,500.0,0.05793795734643936,28.96897867321968,0.0,0.0,0.0,700000,700000,1513
8,rigid,28.613143920898438,20.0,7.346587517531589e-05,0.0014693175035063177,10.0,0.0,0.0,1.0,1.2192665963084437e-05,1.2192665963084437e-05,0.07007007007007007,0.021608997136354446,0.0015141439434882996,500.0,0.05722029507160187,28.610147535800934,0.0,0.0,0.0,700000,700000,1528
9,rigid,28.259708404541016,20.0,9.587287058820948e-05,0.0019174574117641896,10.0,0.0,0.0,1.0,1.5933143004076555e-05,1.5933143004076555e-05,0.08008008008008008,0.021360808983445168,0.001710575293969583,500.0,0.05651213228702545,28.256066143512726,0.0,0.0,0.0,700000,700000,1535
10,rigid,27.911312103271484,20.0,0.00012120726751163602,0.0024241453502327204,10.0,0.0,0.0,1.0,2.015221252804622e-05,2.015221252804622e-05,0.09009009009009009,0.021565023809671402,0.0019427949378082344,500.0,0.05581384897232056,27.90692448616028,0.0,0.0,0.0,700000,700000,1537
