iter,stage,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,rigid,4.652799129486084,20.0,8.060682104635958e-16,1.6121364209271917e-14,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04398936405777931,0.0,500.0,0.009305598214268684,4.652799107134342,0.0,0.0,0.0,700000,700000,2318
2,rigid,4.507097244262695,20.0,1.6811768546176609e-06,3.362353709235322e-05,10.0,0.0,0.0,1.0,2.474939151397848e-07,2.474939151397848e-07,0.01001001001001001,0.04424778372049332,0.0004429207579628961,500.0,0.009013241156935692,4.506620578467846,0.0,0.0,0.0,700000,700000,2313
3,rigid,4.36439847946167,20.0,6.727093932568096e-06,0.0001345418786513619,10.0,0.0,0.0,1.0,9.99337089524488e-07,9.99337089524488e-07,0.02002002002002002,0.04411003366112709,0.0008830837569795213,500.0,0.008726759813725948,4.363379906862974,0.0,0.0,0.0,700000,700000,2315
4,rigid,4.225354194641113,20.0,1.5160745533648878e-05,0.00030321491067297757,10.0,0.0,0.0,1.0,2.2414762952394085e-06,2.2414762952394085e-06,0.03003003003003003,0.04452992603182793,0.0013372350159708086,500.0,0.00844742264598608,4.22371132299304,0.0,0.0,0.0,700000,700000,2307
5,rigid,4.090910911560059,20.0,2.6896974304690957e-05,0.0005379394860938191,10.0,0.0,0.0,1.0,3.997348358097952e-06,3.997348358097952e-06,0.04004004004004004,0.044059380888938904,0.0017641393749324886,500.0,0.00817720964550972,4.08860482275486,0.0,0.0,0.0,700000,700000,2315
6,rigid,3.9611501693725586,20.0,4.1806953959167004e-05,0.0008361390791833401,10.0,0.0,0.0,1.0,6.23413325229194e-06,6.23413325229194e-06,0.05005005005005005,0.043677546083927155,0.002186063367563922,500.0,0.007916243746876717,3.9581218734383583,0.0,0.0,0.0,700000,700000,2334
7,rigid,3.835578441619873,20.0,5.9840815083589405e-05,0.001196816301671788,10.0,0.0,0.0,1.0,9.008113920572214e-06,9.008113920572214e-06,0.06006006006006006,0.04343824461102486,0.0026089035802417332,500.0,0.007663527503609657,3.8317637518048286,0.0,0.0,0.0,700000,700000,2334
8,rigid,3.7132558822631836,20.0,8.079405961325392e-05,0.0016158811922650784,10.0,0.0,0.0,1.0,1.224187872139737e-05,1.224187872139737e-05,0.07007007007007007,0.04343801364302635,0.003043704659671516,500.0,0.007417168002575636,3.708584001287818,0.0,0.0,0.0,700000,700000,2330
9,rigid,3.595090627670288,20.0,0.00010421068145660684,0.0020842136291321367,10.0,0.0,0.0,1.0,1.60081654030364e-05,1.60081654030364e-05,0.08008008008008008,0.043070148676633835,0.0034490609550857925,500.0,0.007179082836955786,3.589541418477893,0.0,0.0,0.0,700000,700000,2338
10,rigid,3.4800968170166016,20.0,0.00012766310828737915,0.002553262165747583,10.0,0.0,0.0,1.0,2.0278821466490626e-05,2.0278821466490626e-05,0.09009009009009009,0.04304072633385658,0.0038775429129600525,500.0,0.006947291549295187,3.4736457746475935,0.0,0.0,0.0,700000,700000,2333
