iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.60751724,0.03953973,0.03959725,0.03948221,1.86477077,1.98309898,1.74644256,67.78569031,38.78989410,96.78148651,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.57189941,0.03952322,0.03958274,0.03946370,1.83179641,1.94796157,1.71563137,48.67858505,23.17356300,74.18360901,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,39.54356003,0.03950597,0.03956757,0.03944436,1.79911399,1.91312432,1.68510354,37.59477234,13.01106262,62.17848206,0.00010008,0.00029480,1.01005447,-0.00989342,0.00984212,0.01000280
3,39.52217484,0.03948790,0.03955168,0.03942412,1.76667237,1.87854135,1.65480340,34.27248001,9.40020847,59.14475250,0.00022550,0.00063184,1.01512980,-0.01424175,0.01427813,0.01500493
4,39.50388718,0.03946893,0.03953500,0.03940286,1.73439121,1.84413993,1.62464237,34.95238876,9.03377056,60.87100601,0.00040163,0.00103827,1.02024293,-0.01764798,0.01806761,0.02000943
5,39.48575974,0.03944895,0.03951744,0.03938046,1.70220995,1.80987465,1.59454525,36.80405807,9.88210392,63.72600937,0.00062904,0.00145958,1.02539790,-0.01985089,0.02096199,0.02502234
6,39.46565628,0.03942785,0.03949891,0.03935678,1.67006350,1.77567863,1.56444848,37.81253433,10.64747906,64.97759247,0.00090841,0.00186085,1.03059864,-0.02075316,0.02296592,0.03004532
7,39.44272614,0.03940552,0.03947933,0.03933172,1.63794374,1.74154425,1.53434324,37.19869232,10.74622917,63.65115356,0.00124054,0.00223571,1.03584886,-0.02052433,0.02416070,0.03508164
8,39.41710281,0.03938191,0.03945864,0.03930518,1.60586596,1.70748496,1.50424683,35.19499969,10.15091610,60.23908615,0.00162634,0.00259805,1.04115200,-0.01944357,0.02467984,0.04013600
9,39.38941574,0.03935690,0.03943675,0.03927706,1.57384181,1.67350864,1.47417510,32.50365448,9.19581223,55.81150055,0.00206682,0.00296831,1.04651153,-0.01775991,0.02467128,0.04521307
10,39.36022568,0.03933040,0.03941355,0.03924725,1.54186869,1.63959980,1.44413745,29.81607437,8.20408344,51.42806625,0.00256311,0.00336969,1.05193055,-0.01568101,0.02433228,0.05031636
11,39.32986832,0.03930227,0.03938894,0.03921560,1.50993609,1.60573697,1.41413510,27.59291840,7.43329144,47.75254440,0.00311647,0.00382191,1.05741298,-0.01338091,0.02383626,0.05544993
12,39.29845810,0.03927236,0.03936275,0.03918196,1.47802138,1.57188082,1.38416195,26.08745384,7.08677053,45.08813858,0.00372830,0.00434282,1.06296253,-0.01100002,0.02339818,0.06061639
13,39.26565552,0.03924051,0.03933485,0.03914617,1.44611239,1.53801024,1.35421443,25.13936806,7.07606220,43.20267487,0.00440016,0.00494274,1.06858313,-0.00866149,0.02314012,0.06581984
14,39.23115540,0.03920652,0.03930505,0.03910800,1.41419137,1.50410056,1.32428217,24.62389755,7.34791660,41.89987946,0.00513376,0.00562772,1.07427967,-0.00643977,0.02315588,0.07106374
15,39.19464874,0.03917021,0.03927317,0.03906726,1.38225508,1.47014582,1.29436421,24.42298317,7.89962482,40.94634247,0.00593098,0.00640155,1.08005595,-0.00442924,0.02350017,0.07635232
16,39.15568924,0.03913135,0.03923900,0.03902370,1.35029602,1.43613577,1.26445627,24.32225990,8.53514576,40.10937500,0.00679382,0.00726728,1.08591688,-0.00271408,0.02422392,0.08168915
17,39.11381531,0.03908969,0.03920231,0.03897707,1.31831396,1.40207064,1.23455727,24.11057281,9.05264568,39.16849899,0.00772444,0.00822575,1.09186673,-0.00133740,0.02532688,0.08707762
18,39.06866074,0.03904497,0.03916288,0.03892706,1.28631449,1.36795998,1.20466912,23.67642403,9.30783367,38.04501343,0.00872517,0.00927684,1.09791017,-0.00033104,0.02676816,0.09252132
19,39.01991653,0.03899688,0.03912042,0.03887334,1.25429893,1.33380759,1.17479014,23.01214981,9.26652050,36.75777817,0.00979844,0.01042077,1.10405195,0.00032809,0.02849844,0.09802298
20,38.96730804,0.03894508,0.03907461,0.03881555,1.22226882,1.29961920,1.14491844,22.19995880,8.98299980,35.41691589,0.01094685,0.01165752,1.11029661,0.00069091,0.03044938,0.10358514
21,38.91056061,0.03888919,0.03902512,0.03875326,1.19022548,1.26539838,1.11505258,21.35251045,8.56956196,34.13545990,0.01217312,0.01298766,1.11664855,0.00081664,0.03255930,0.10921028
22,38.84937668,0.03882876,0.03897154,0.03868598,1.15816808,1.23114777,1.08518827,20.58225822,8.13068771,33.03382874,0.01348008,0.01441108,1.12311244,0.00079111,0.03476085,0.11490057
23,38.78328323,0.03876329,0.03891342,0.03861317,1.12610078,1.19687748,1.05532420,19.96206665,7.77572918,32.14840317,0.01487072,0.01592558,1.12969255,0.00069714,0.03696728,0.12065868
24,38.71173859,0.03869224,0.03885027,0.03853421,1.09402776,1.16259742,1.02545822,19.46099854,7.50049973,31.42149544,0.01634808,0.01752943,1.13639355,0.00059227,0.03911582,0.12648728
25,38.63405609,0.03861495,0.03878149,0.03844841,1.06194925,1.12830901,0.99558938,19.06538200,7.30281258,30.82795143,0.01791536,0.01922257,1.14321935,0.00054178,0.04117652,0.13238871
26,38.54945755,0.03853067,0.03870641,0.03835494,1.02986526,1.09401286,0.96571761,18.74051476,7.17737484,30.30365372,0.01957582,0.02100589,1.15017450,0.00059922,0.04313467,0.13836521
27,38.45709229,0.03843857,0.03862423,0.03825291,0.99777913,1.05971193,0.93584639,18.47381783,7.13875008,29.80888557,0.02133284,0.02288110,1.15726292,0.00080711,0.04498409,0.14441912
28,38.35595322,0.03833769,0.03853411,0.03814127,0.96570021,1.02541947,0.90598094,18.22058678,7.14374971,29.29742432,0.02318986,0.02484789,1.16448879,0.00119287,0.04669341,0.15055294
29,38.24491882,0.03822692,0.03843501,0.03801883,0.93363798,0.99114645,0.87612951,17.94876480,7.16962481,28.72790337,0.02515042,0.02690884,1.17185605,0.00177404,0.04826170,0.15676895
30,38.12270737,0.03810499,0.03832576,0.03788421,0.90159893,0.95690006,0.84629786,17.66101646,7.23052073,28.09151268,0.02721809,0.02906969,1.17936850,0.00255554,0.04971517,0.16306920
31,37.98783112,0.03797041,0.03820501,0.03773581,0.86959356,0.92269814,0.81648898,17.36102104,7.31747913,27.40456200,0.02939655,0.03133558,1.18702984,0.00353389,0.05106698,0.16945575
32,37.83868027,0.03782154,0.03807121,0.03757187,0.83764493,0.88855922,0.78673071,17.07531166,7.44264555,26.70797729,0.03168948,0.03371298,1.19484365,0.00468913,0.05233980,0.17593049
33,37.67336655,0.03765646,0.03792254,0.03739038,0.80577207,0.85449964,0.75704455,16.84061623,7.63397932,26.04725266,0.03410061,0.03621241,1.20281363,0.00600045,0.05359165,0.18249477
34,37.48970413,0.03747294,0.03775687,0.03718901,0.77399987,0.82054192,0.72745782,16.68689537,7.92166662,25.45212555,0.03663367,0.03884384,1.21094275,0.00744638,0.05487005,0.18914987
35,37.28516006,0.03726843,0.03757173,0.03696513,0.74235320,0.78670555,0.69800085,16.65194702,8.33029175,24.97360229,0.03929234,0.04161959,1.21923423,0.00900478,0.05624053,0.19589667
36,37.05686188,0.03704002,0.03736430,0.03671575,0.71086860,0.75302637,0.66871083,16.74916649,8.87106228,24.62726974,0.04208031,0.04454739,1.22769058,0.01063337,0.05772743,0.20273596
37,36.80139923,0.03678434,0.03713123,0.03643744,0.67957836,0.71953529,0.63962144,16.97249985,9.55131245,24.39368629,0.04500120,0.04763783,1.23631465,0.01230048,0.05937871,0.20966807
38,36.51487350,0.03649744,0.03686869,0.03612620,0.64851689,0.68627131,0.61076254,17.33100700,10.36035442,24.30165863,0.04805858,0.05089834,1.24510849,0.01398168,0.06121255,0.21669304
39,36.19267654,0.03617479,0.03657218,0.03577740,0.61771917,0.65327573,0.58216268,17.78302002,11.25412464,24.31191444,0.05125594,0.05433603,1.25407434,0.01564764,0.06324542,0.22381063
40,35.82952499,0.03581107,0.03623641,0.03538574,0.58721805,0.62058485,0.55385125,18.34249115,12.25533295,24.42965126,0.05459668,0.05796111,1.26321411,0.01729195,0.06551152,0.23102021
41,35.41944885,0.03540035,0.03585533,0.03494536,0.55706060,0.58824992,0.52587134,18.98717308,13.31193733,24.66240883,0.05808410,0.06177849,1.27252913,0.01888784,0.06800628,0.23832096
42,34.95536804,0.03493556,0.03542193,0.03444919,0.52728152,0.55632007,0.49824300,19.68724442,14.38333321,24.99115372,0.06172140,0.06579392,1.28202128,0.02042868,0.07072712,0.24571174
43,34.42913818,0.03440858,0.03492801,0.03388914,0.49791411,0.52484107,0.47098714,20.42909813,15.47741604,25.38078117,0.06551169,0.07001705,1.29169142,0.02189870,0.07370014,0.25319120
44,33.83178711,0.03381044,0.03436408,0.03325681,0.46900666,0.49385539,0.44415793,21.19866180,16.57608223,25.82124138,0.06945795,0.07446083,1.30154073,0.02328320,0.07696803,0.26075783
45,33.15311813,0.03313093,0.03371934,0.03254251,0.44060135,0.46341169,0.41779101,22.04209328,17.71937561,26.36481094,0.07356315,0.07913676,1.31157053,0.02457859,0.08055272,0.26840997
46,32.38239288,0.03235926,0.03298200,0.03173652,0.41276014,0.43357268,0.39194760,22.97512436,18.93441582,27.01583099,0.07783018,0.08404645,1.32178175,0.02575192,0.08441993,0.27614591
47,31.50742149,0.03148334,0.03213895,0.03082772,0.38552684,0.40439487,0.36665881,23.91178513,20.11187553,27.71169281,0.08226200,0.08918448,1.33217573,0.02674238,0.08850864,0.28396398
48,30.51486969,0.03048986,0.03117603,0.02980368,0.35893303,0.37593132,0.34193474,24.82952118,21.22977066,28.42927361,0.08686156,0.09454664,1.34275413,0.02750268,0.09277090,0.29186264
49,29.39076233,0.02936486,0.03007847,0.02865124,0.33300632,0.34823200,0.31778067,25.71517754,22.25947952,29.17087555,0.09163193,0.10013382,1.35351872,0.02797049,0.09719670,0.29984042
50,28.12165070,0.02809477,0.02883125,0.02735828,0.30777776,0.32133612,0.29421943,26.67863274,23.31314468,30.04412079,0.09657635,0.10596098,1.36447167,0.02808180,0.10184491,0.30789611
51,26.69684029,0.02666873,0.02742118,0.02591629,0.28329894,0.29529291,0.27130497,27.89584923,24.56024933,31.23144913,0.10169821,0.11202929,1.37561584,0.02777732,0.10669388,0.31602868
52,25.10901260,0.02507943,0.02583889,0.02431997,0.25961888,0.27015823,0.24907956,29.35794830,26.06085396,32.65504456,0.10700113,0.11832153,1.38695431,0.02702425,0.11163091,0.32423720
53,23.35791588,0.02332660,0.02408111,0.02257209,0.23679891,0.24598689,0.22761092,31.08166695,27.89347839,34.26985550,0.11248879,0.12480687,1.39849055,0.02585876,0.11648261,0.33252066
54,21.45128822,0.02141819,0.02215567,0.02068071,0.21489102,0.22285500,0.20692702,32.84554291,29.81470871,35.87637329,0.11816474,0.13138360,1.41022742,0.02432171,0.12080780,0.34087759
55,19.40607071,0.01937154,0.02008091,0.01866218,0.19392571,0.20081070,0.18704072,34.26609421,31.43974876,37.09244156,0.12403176,0.13795069,1.42216659,0.02249923,0.12421893,0.34930521
56,17.25474739,0.01721931,0.01788986,0.01654877,0.17395537,0.17990267,0.16800806,35.16092300,32.41904068,37.90280533,0.13009118,0.14444472,1.43430662,0.02049913,0.12651011,0.35779840
57,15.04454327,0.01500895,0.01563075,0.01438715,0.15503597,0.16017649,0.14989547,35.30713272,32.66331100,37.95095444,0.13634133,0.15083389,1.44664097,0.01847375,0.12759979,0.36634806
58,12.83510971,0.01280024,0.01336456,0.01223591,0.13722090,0.14166985,0.13277195,34.57395935,32.04539490,37.10252380,0.14277582,0.15707400,1.45915401,0.01660410,0.12735403,0.37493902
59,10.69441223,0.01066101,0.01115968,0.01016234,0.12056494,0.12441012,0.11671976,33.09346390,30.60956192,35.57736588,0.14938149,0.16322644,1.47181892,0.01526119,0.12603347,0.38354805
60,8.69315910,0.00866208,0.00908818,0.00823598,0.10514227,0.10844415,0.10184037,30.75253677,28.28085327,33.22422028,0.15613554,0.16930933,1.48459184,0.01477083,0.12375899,0.39214140
61,6.89282990,0.00686477,0.00721261,0.00651693,0.09101946,0.09380431,0.08823461,27.72020531,25.17506218,30.26534843,0.16300352,0.17535047,1.49740994,0.01535492,0.12072787,0.40067378
62,5.33598804,0.00531162,0.00557734,0.00504591,0.07824685,0.08050469,0.07598899,24.01421356,21.58556175,26.44286728,0.16993845,0.18137459,1.51019061,0.01710191,0.11716831,0.40908888
63,4.04097891,0.00402044,0.00420534,0.00383553,0.06684265,0.06855219,0.06513310,20.17906189,17.96839523,22.38972855,0.17688274,0.18739606,1.52283585,0.02004751,0.11329413,0.41732314
64,3.00681257,0.00298939,0.00310000,0.00287877,0.05683253,0.05796924,0.05569581,17.04896545,15.22943687,18.86849403,0.18377094,0.19341512,1.53523755,0.02400470,0.10931700,0.42531011
65,2.21173573,0.00219626,0.00224406,0.00214845,0.04820383,0.04875902,0.04764864,15.09013462,14.07622910,16.10404015,0.19053422,0.19940703,1.54728580,0.02868004,0.10539126,0.43298635
