iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.99071121,0.03998337,0.03998337,0.00000000,9.80587196,9.80587196,0.00000000,7.34560394,7.34560394,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.98972702,0.03998288,0.03998288,0.00000000,9.66551781,9.66551781,0.00000000,6.84553099,6.84553099,0.00000000,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,39.98904037,0.03998236,0.03998236,0.00000000,9.52270031,9.52270031,0.00000000,6.67653131,6.67653131,0.00000000,0.00010008,0.00021205,1.01005423,-0.00948145,-0.00477010,0.00997004
3,39.98855209,0.03998182,0.03998182,0.00000000,9.37983418,9.37983418,0.00000000,6.72965622,6.72965622,0.00000000,0.00022546,0.00040620,1.01512861,-0.01289896,-0.00410516,0.01493194
4,39.98804092,0.03998125,0.03998125,0.00000000,9.23707581,9.23707581,0.00000000,6.78783321,6.78783321,0.00000000,0.00040152,0.00061586,1.02024019,-0.01432913,-0.00388021,0.01988678
5,39.98739243,0.03998066,0.03998066,0.00000000,9.09458351,9.09458351,0.00000000,6.72836447,6.72836447,0.00000000,0.00062874,0.00083903,1.02539170,-0.01419861,-0.00445320,0.02485150
6,39.98666000,0.03998004,0.03998004,0.00000000,8.95197296,8.95197296,0.00000000,6.61797905,6.61797905,0.00000000,0.00090769,0.00108559,1.03058636,-0.01314123,-0.00487032,0.02981906
7,39.98590088,0.03997939,0.03997939,0.00000000,8.80890179,8.80890179,0.00000000,6.51307297,6.51307297,0.00000000,0.00123902,0.00136300,1.03582656,-0.01158656,-0.00432617,0.03478554
8,39.98513031,0.03997870,0.03997870,0.00000000,8.66509342,8.66509342,0.00000000,6.42679167,6.42679167,0.00000000,0.00162352,0.00168214,1.04111576,-0.00980416,-0.00231364,0.03975764
9,39.98437881,0.03997798,0.03997798,0.00000000,8.52124596,8.52124596,0.00000000,6.39584351,6.39584351,0.00000000,0.00206207,0.00206872,1.04645681,-0.00812369,-0.00013667,0.04475161
10,39.98359680,0.03997722,0.03997722,0.00000000,8.37732124,8.37732124,0.00000000,6.37624979,6.37624979,0.00000000,0.00255573,0.00252608,1.05185390,-0.00666028,0.00221704,0.04976754
11,39.98280716,0.03997641,0.03997641,0.00000000,8.23349476,8.23349476,0.00000000,6.39143753,6.39143753,0.00000000,0.00310568,0.00305516,1.05731070,-0.00564451,0.00457424,0.05479395
12,39.98197556,0.03997556,0.03997556,0.00000000,8.08977985,8.08977985,0.00000000,6.40534353,6.40534353,0.00000000,0.00371327,0.00365285,1.06283152,-0.00516691,0.00671013,0.05984250
13,39.98108673,0.03997468,0.03997468,0.00000000,7.94676018,7.94676018,0.00000000,6.40023947,6.40023947,0.00000000,0.00437997,0.00429390,1.06842041,-0.00510661,0.00731690,0.06491753
14,39.98012161,0.03997374,0.03997374,0.00000000,7.80418682,7.80418682,0.00000000,6.36895847,6.36895847,0.00000000,0.00510740,0.00497635,1.07408178,-0.00537186,0.00673571,0.07001518
15,39.97910309,0.03997276,0.03997276,0.00000000,7.66172695,7.66172695,0.00000000,6.33191681,6.33191681,0.00000000,0.00589729,0.00571026,1.07981944,-0.00591779,0.00562551,0.07512386
16,39.97803497,0.03997172,0.03997172,0.00000000,7.51921988,7.51921988,0.00000000,6.29780197,6.29780197,0.00000000,0.00675144,0.00650340,1.08563733,-0.00671709,0.00401771,0.08026295
17,39.97692490,0.03997061,0.03997061,0.00000000,7.37628651,7.37628651,0.00000000,6.29506254,6.29506254,0.00000000,0.00767183,0.00736354,1.09153938,-0.00770485,0.00266988,0.08542275
