iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.94404602,0.03994031,0.03994031,0.00000000,5.17377806,5.17377806,0.00000000,3.73398948,3.73398948,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.94276428,0.03993904,0.03993904,0.00000000,5.11943436,5.11943436,0.00000000,3.72387505,3.72387505,0.00000000,0.00002500,0.00007500,1.00501263,0.00499999,-0.00500000,0.00500000
2,39.94129562,0.03993773,0.03993773,0.00000000,5.06532812,5.06532812,0.00000000,3.55768752,3.55768752,0.00000000,0.00010007,0.00025174,1.01005352,0.00728742,-0.00994466,0.00998687
3,39.93991852,0.03993639,0.03993639,0.00000000,5.01150703,5.01150703,0.00000000,3.53040624,3.53040624,0.00000000,0.00022538,0.00040514,1.01512611,0.00504794,-0.01245106,0.01498770
4,39.93859482,0.03993501,0.03993501,0.00000000,4.95777035,4.95777035,0.00000000,3.58495831,3.58495831,0.00000000,0.00040120,0.00064670,1.02023196,0.00424930,-0.01513225,0.01999152
5,39.93720245,0.03993358,0.03993358,0.00000000,4.90423679,4.90423679,0.00000000,3.61762500,3.61762500,0.00000000,0.00062789,0.00092193,1.02537441,0.00521096,-0.01642475,0.02499998
6,39.93569946,0.03993212,0.03993212,0.00000000,4.85088396,4.85088396,0.00000000,3.58339572,3.58339572,0.00000000,0.00090595,0.00119606,1.03055656,0.00634598,-0.01595980,0.03001788
7,39.93412399,0.03993060,0.03993060,0.00000000,4.79761457,4.79761457,0.00000000,3.52065611,3.52065611,0.00000000,0.00123596,0.00147031,1.03578150,0.00671931,-0.01400944,0.03505566
8,39.93254471,0.03992904,0.03992904,0.00000000,4.74431896,4.74431896,0.00000000,3.50698948,3.50698948,0.00000000,0.00161846,0.00179323,1.04105031,0.00546794,-0.01247560,0.04009604
9,39.93089676,0.03992742,0.03992742,0.00000000,4.69099617,4.69099617,0.00000000,3.47314572,3.47314572,0.00000000,0.00205420,0.00218013,1.04636610,0.00478440,-0.01089394,0.04515045
10,39.92918015,0.03992574,0.03992574,0.00000000,4.63760233,4.63760233,0.00000000,3.42817712,3.42817712,0.00000000,0.00254400,0.00262267,1.05173182,0.00375157,-0.00927758,0.05022471
11,39.92739105,0.03992400,0.03992400,0.00000000,4.58406448,4.58406448,0.00000000,3.38405204,3.38405204,0.00000000,0.00308876,0.00313280,1.05715001,0.00224653,-0.00820269,0.05532147
12,39.92555237,0.03992219,0.03992219,0.00000000,4.53036594,4.53036594,0.00000000,3.35208321,3.35208321,0.00000000,0.00368947,0.00370702,1.06262362,-0.00026954,-0.00722908,0.06045401
13,39.92366409,0.03992031,0.03992031,0.00000000,4.47648954,4.47648954,0.00000000,3.34408331,3.34408331,0.00000000,0.00434730,0.00436041,1.06815624,-0.00199654,-0.00726827,0.06560177
14,39.92169571,0.03991836,0.03991836,0.00000000,4.42244577,4.42244577,0.00000000,3.33308339,3.33308339,0.00000000,0.00506343,0.00508404,1.07375062,-0.00428959,-0.00744644,0.07078270
15,39.91965485,0.03991632,0.03991632,0.00000000,4.36823511,4.36823511,0.00000000,3.31738544,3.31738544,0.00000000,0.00583919,0.00587026,1.07940996,-0.00630562,-0.00736611,0.07600155
16,39.91758347,0.03991420,0.03991420,0.00000000,4.31383085,4.31383085,0.00000000,3.36504173,3.36504173,0.00000000,0.00667605,0.00672031,1.08513796,-0.00783932,-0.00759705,0.08124741
17,39.91537476,0.03991199,0.03991199,0.00000000,4.25925303,4.25925303,0.00000000,3.36665630,3.36665630,0.00000000,0.00757560,0.00760961,1.09093809,-0.00826155,-0.00739718,0.08652534
18,39.91302109,0.03990969,0.03990969,0.00000000,4.20448685,4.20448685,0.00000000,3.31393743,3.31393743,0.00000000,0.00853948,0.00853288,1.09681368,-0.00743255,-0.00657588,0.09183896
19,39.91061401,0.03990729,0.03990729,0.00000000,4.14947748,4.14947748,0.00000000,3.30806255,3.30806255,0.00000000,0.00956940,0.00951100,1.10276794,-0.00556791,-0.00591112,0.09718570
20,39.90811920,0.03990477,0.03990477,0.00000000,4.09423923,4.09423923,0.00000000,3.32160401,3.32160401,0.00000000,0.01066715,0.01056708,1.10880387,-0.00408659,-0.00558179,0.10256325
21,39.90547180,0.03990214,0.03990214,0.00000000,4.03873968,4.03873968,0.00000000,3.30562496,3.30562496,0.00000000,0.01183460,0.01169476,1.11492479,-0.00245720,-0.00536541,0.10798119
22,39.90274048,0.03989940,0.03989940,0.00000000,3.98296928,3.98296928,0.00000000,3.31719780,3.31719780,0.00000000,0.01307383,0.01289833,1.12113428,-0.00092343,-0.00541875,0.11343772
23,39.89992905,0.03989651,0.03989651,0.00000000,3.92690945,3.92690945,0.00000000,3.38781238,3.38781238,0.00000000,0.01438705,0.01418177,1.12743604,0.00073572,-0.00610347,0.11892844
24,39.89693069,0.03989348,0.03989348,0.00000000,3.87056303,3.87056303,0.00000000,3.41696882,3.41696882,0.00000000,0.01577663,0.01554710,1.13383424,0.00172197,-0.00752216,0.12444898
25,39.89385605,0.03989031,0.03989031,0.00000000,3.81395984,3.81395984,0.00000000,3.51495838,3.51495838,0.00000000,0.01724495,0.01699082,1.14033270,0.00274914,-0.00907122,0.13000374
