iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.96193314,0.03994683,0.03994774,0.03994592,5.48263311,5.52972126,5.43554497,15.10599709,8.22007275,21.99192238,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.96129608,0.03994580,0.03994673,0.03994487,5.43017578,5.47684908,5.38350296,15.49743271,8.17439556,22.82046890,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.00500000
2,39.95786667,0.03994473,0.03994566,0.03994381,5.37767601,5.42282915,5.33252239,13.13254261,7.99176025,18.27332497,0.00010011,0.00011839,1.01005554,0.00196140,0.00385782,0.00998301
3,39.95606613,0.03994365,0.03994457,0.03994273,5.32543087,5.36889553,5.28196621,12.41667080,7.92566681,16.90767479,0.00022536,0.00022745,1.01512527,-0.00112654,0.00173167,0.01493933
4,39.95454788,0.03994253,0.03994345,0.03994162,5.27342367,5.31522799,5.23161936,12.01687431,7.84450006,16.18924904,0.00040093,0.00039991,1.02022517,-0.00216824,-0.00032530,0.01987724
5,39.95256424,0.03994139,0.03994229,0.03994048,5.22157669,5.26193762,5.18121529,11.17504311,7.77721882,14.57286644,0.00062713,0.00061915,1.02535868,-0.00162950,-0.00119737,0.02480043
6,39.95040512,0.03994022,0.03994112,0.03993931,5.16987896,5.20899200,5.13076639,10.18862152,7.71116638,12.66607666,0.00090430,0.00088329,1.03052843,-0.00025580,-0.00097270,0.02970311
7,39.94857407,0.03993901,0.03993991,0.03993811,5.11843872,5.15633869,5.08053827,9.56730556,7.75468731,11.37992382,0.00123293,0.00119660,1.03573692,0.00139269,-0.00054805,0.03455956
8,39.94697571,0.03993777,0.03993867,0.03993687,5.06722689,5.10391998,5.03053379,9.20538235,7.72432280,10.68644142,0.00161360,0.00155816,1.04098737,0.00285941,-0.00007574,0.03936974
9,39.94542313,0.03993650,0.03993740,0.03993560,5.01613998,5.05164957,4.98063087,8.91610527,7.61898947,10.21322155,0.00204702,0.00196276,1.04628313,0.00365992,0.00056503,0.04414805
10,39.94373322,0.03993519,0.03993609,0.03993430,4.96515942,4.99946070,4.93085814,8.53279305,7.51801014,9.54757690,0.00253401,0.00240605,1.05162752,0.00375313,0.00109097,0.04889558
11,39.94195938,0.03993385,0.03993474,0.03993296,4.91429567,4.94736004,4.88123131,8.10629463,7.46269798,8.74989223,0.00307549,0.00288643,1.05702376,0.00324396,0.00147270,0.05360722
12,39.94016266,0.03993246,0.03993334,0.03993158,4.86358356,4.89534426,4.83182287,7.69129944,7.39069796,7.99190140,0.00367242,0.00340399,1.06247437,0.00240026,0.00148005,0.05827554
13,39.93837357,0.03993104,0.03993191,0.03993016,4.81296968,4.84340239,4.78253698,7.32751608,7.28383303,7.37119913,0.00432576,0.00396152,1.06798160,0.00137103,0.00136020,0.06291094
14,39.93666840,0.03992957,0.03993043,0.03992871,4.76244068,4.79153109,4.73335075,7.09068584,7.21918726,6.96218491,0.00503663,0.00455984,1.07354820,0.00043254,0.00116915,0.06751511
15,39.93498230,0.03992806,0.03992890,0.03992721,4.71196365,4.73971033,4.68421745,6.91689682,7.18011427,6.65367985,0.00580621,0.00519863,1.07917678,-0.00019607,0.00098080,0.07209460
16,39.93322754,0.03992649,0.03992733,0.03992566,4.66151047,4.68792534,4.63509607,6.72061920,7.12377071,6.31746721,0.00663587,0.00587648,1.08487070,-0.00043585,0.00087101,0.07665202
17,39.93140030,0.03992488,0.03992569,0.03992406,4.61105585,4.63615751,4.58595419,6.50635242,7.08682299,5.92588139,0.00752704,0.00659266,1.09063339,-0.00027416,0.00088745,0.08118990
18,39.92954254,0.03992321,0.03992401,0.03992241,4.56061459,4.58439732,4.53683186,6.31360626,7.07842684,5.54878616,0.00848135,0.00734563,1.09646809,0.00017888,0.00088988,0.08570185
19,39.92766953,0.03992149,0.03992227,0.03992071,4.51020050,4.53260756,4.48779345,6.15966463,7.07740641,5.24192286,0.00950054,0.00813358,1.10237920,0.00076781,0.00057384,0.09018127
20,39.92575455,0.03991971,0.03992046,0.03991895,4.45975780,4.48077154,4.43874454,6.02804089,7.06232262,4.99375868,0.01058624,0.00895817,1.10836887,0.00137524,0.00018057,0.09463742
21,39.92380524,0.03991786,0.03991859,0.03991713,4.40923595,4.42885399,4.38961792,5.91717911,7.03587484,4.79848385,0.01174013,0.00982075,1.11443985,0.00198469,-0.00018970,0.09907962
22,39.92181015,0.03991595,0.03991665,0.03991525,4.35863972,4.37683058,4.34044933,5.83501720,7.00162506,4.66840887,0.01296419,0.01072044,1.12059569,0.00256928,-0.00072585,0.10350513
23,39.91976166,0.03991396,0.03991463,0.03991330,4.30791092,4.32465076,4.29117107,5.76984406,6.96861458,4.57107401,0.01426027,0.01165897,1.12683904,0.00303947,-0.00138100,0.10792508
24,39.91762924,0.03991190,0.03991253,0.03991127,4.25703049,4.27227879,4.24178171,5.70316505,6.94593763,4.46039200,0.01563045,0.01263675,1.13317311,0.00330198,-0.00228303,0.11234161
25,39.91541290,0.03990975,0.03991034,0.03990917,4.20596027,4.21968842,4.19223213,5.62905121,6.91234350,4.34575844,0.01707683,0.01365552,1.13960111,0.00332650,-0.00337227,0.11676080
26,39.91305923,0.03990752,0.03990806,0.03990697,4.15468216,4.16684961,4.14251423,5.50926018,6.87408304,4.14443684,0.01860158,0.01471834,1.14612603,0.00310331,-0.00473039,0.12118720
27,39.91061401,0.03990519,0.03990567,0.03990470,4.10316753,4.11373901,4.09259605,5.39386082,6.81005192,3.97766924,0.02020685,0.01583025,1.15275049,0.00276228,-0.00634618,0.12562782
28,39.90813446,0.03990275,0.03990318,0.03990232,4.05137634,4.06033373,4.04241848,5.34066534,6.83293724,3.84839320,0.02189488,0.01699504,1.15947723,0.00234019,-0.00811224,0.13009134
29,39.90555954,0.03990021,0.03990057,0.03989984,3.99924994,4.00663662,3.99186349,5.30934525,6.88100004,3.73768997,0.02366805,0.01821018,1.16630924,0.00191574,-0.00961785,0.13458829
30,39.90291214,0.03989755,0.03989785,0.03989724,3.94676590,3.95261002,3.94092178,5.32165051,6.95642710,3.68687367,0.02552879,0.01947797,1.17324960,0.00153337,-0.01094335,0.13912536
31,39.90013885,0.03989475,0.03989499,0.03989451,3.89389682,3.89827037,3.88952327,5.34072590,7.05634356,3.62510800,0.02747999,0.02079089,1.18030274,0.00121392,-0.01177840,0.14370345
32,39.89721298,0.03989182,0.03989198,0.03989165,3.84060860,3.84357929,3.83763766,5.34328556,7.12737513,3.55919576,0.02952422,0.02215108,1.18747139,0.00100374,-0.01215669,0.14833169
33,39.89413071,0.03988874,0.03988883,0.03988864,3.78686714,3.78851342,3.78522110,5.33760214,7.18591642,3.48928809,0.03166430,0.02355888,1.19475913,0.00088432,-0.01199643,0.15301694
34,39.89089203,0.03988549,0.03988551,0.03988547,3.73270416,3.73306274,3.73234534,5.34232283,7.27396870,3.41067719,0.03390334,0.02502060,1.20217037,0.00087009,-0.01155622,0.15775391
35,39.88750839,0.03988208,0.03988202,0.03988214,3.67812061,3.67720151,3.67903972,5.36251354,7.40114594,3.32388139,0.03624435,0.02654350,1.20970857,0.00097679,-0.01102716,0.16254520
36,39.88393021,0.03987848,0.03987833,0.03987863,3.62312603,3.62090921,3.62534308,5.38065195,7.54397917,3.21732473,0.03869054,0.02813422,1.21737766,0.00124386,-0.01063224,0.16739064
37,39.88017654,0.03987469,0.03987444,0.03987493,3.56767988,3.56417322,3.57118654,5.41703320,7.73342705,3.10063934,0.04124513,0.02979303,1.22518158,0.00166358,-0.01016572,0.17229894
38,39.87625122,0.03987068,0.03987033,0.03987104,3.51179123,3.50696778,3.51661444,5.49403477,7.95602083,3.03204918,0.04391158,0.03152682,1.23312414,0.00208199,-0.00989704,0.17726965
39,39.87210846,0.03986644,0.03986597,0.03986692,3.45544362,3.44926596,3.46162128,5.58940363,8.19161415,2.98719335,0.04669338,0.03334032,1.24120986,0.00240474,-0.00992484,0.18230753
40,39.86771011,0.03986195,0.03986134,0.03986257,3.39863062,3.39105725,3.40620422,5.67320681,8.41401005,2.93240333,0.04959418,0.03523736,1.24944258,0.00259150,-0.01029018,0.18741600
41,39.86303329,0.03985719,0.03985643,0.03985796,3.34132290,3.33231831,3.35032749,5.74913645,8.62290573,2.87536716,0.05261747,0.03722376,1.25782621,0.00265029,-0.01095856,0.19260490
42,39.85807419,0.03985214,0.03985120,0.03985308,3.28351736,3.27305269,3.29398179,5.83629036,8.83390617,2.83867478,0.05576715,0.03930399,1.26636517,0.00264216,-0.01190632,0.19787686
43,39.85280609,0.03984676,0.03984563,0.03984790,3.22521234,3.21326971,3.23715496,5.94430304,9.07604122,2.81256485,0.05904732,0.04148119,1.27506423,0.00258097,-0.01307952,0.20323251
44,39.84720993,0.03984104,0.03983970,0.03984238,3.16636276,3.15295959,3.17976570,6.06791019,9.35493755,2.78088284,0.06246182,0.04375622,1.28392732,0.00245110,-0.01417218,0.20868485
45,39.84124374,0.03983492,0.03983336,0.03983649,3.10694265,3.09211516,3.12176991,6.21138096,9.65945816,2.76330328,0.06601465,0.04613135,1.29295874,0.00233257,-0.01503632,0.21424243
46,39.83486938,0.03982838,0.03982656,0.03983020,3.04695487,3.03074026,3.06316948,6.36866283,9.98961449,2.74771070,0.06971013,0.04861015,1.30216300,0.00223891,-0.01566617,0.21990842
47,39.82803345,0.03982138,0.03981929,0.03982347,2.98638344,2.96882844,3.00393844,6.53174639,10.34053135,2.72296143,0.07355262,0.05119555,1.31154501,0.00214564,-0.01598029,0.22568913
