View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6189,0.7075,0.7703,0.8149,0.8467,0.8700,0.8874,0.9011,0.9122,0.9213,0.9289,0.9353,0.9406,0.9452,0.9493,0.9528,0.9559,0.9586,0.9610,0.9693,0.9709,0.9716,0.9724,0.9730
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5696,0.4081,0.1811,0.0837,0.0468,0.0297,0.0207,0.0153,0.0116,0.0092,0.0074,0.0061,0.0050,0.0042,0.0035,0.0030,0.0026,0.0023,0.0020,0.0021,0.0020,0.0018,0.0017,0.0015
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6230,0.7116,0.7707,0.8099,0.8360,0.8538,0.8664,0.8769,0.8863,0.8935,0.8989,0.9024,0.9041,0.9044,0.9033,0.8993,0.8909,0.8717,0.8386,0.8444,0.8405,0.8321,0.8227,0.8126
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5599,0.4956,0.3435,0.1949,0.1111,0.0697,0.0476,0.0347,0.0265,0.0208,0.0167,0.0136,0.0113,0.0095,0.0080,0.0068,0.0059,0.0051,0.0045,0.0046,0.0042,0.0038,0.0035,0.0032
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5961,0.6562,0.6941,0.7163,0.7261,0.7255,0.7153,0.6937,0.6542,0.5890,0.4944,0.3804,0.2722,0.1875,0.1290,0.0911,0.0674,0.0539,0.0448,0.0485,0.0466,0.0436,0.0409,0.0384
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6069,0.6818,0.7327,0.7668,0.7889,0.8023,0.8099,0.8125,0.8094,0.8009,0.7854,0.7594,0.7167,0.6473,0.5393,0.3993,0.2709,0.2026,0.1588,0.1696,0.1703,0.1664,0.1625,0.1588
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3956,0.2929,0.2046,0.1403,0.0982,0.0712,0.0538,0.0420,0.0336,0.0274,0.0226,0.0189,0.0159,0.0135,0.0115,0.0100,0.0086,0.0076,0.0068,0.0066,0.0061,0.0055,0.0051,0.0047
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5471,0.5419,0.4762,0.3528,0.2235,0.1371,0.0898,0.0631,0.0465,0.0356,0.0281,0.0226,0.0184,0.0153,0.0128,0.0107,0.0091,0.0081,0.0074,0.0078,0.0072,0.0066,0.0061,0.0057
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5014,0.4045,0.2545,0.1430,0.0847,0.0548,0.0384,0.0283,0.0215,0.0169,0.0137,0.0112,0.0093,0.0078,0.0066,0.0056,0.0048,0.0043,0.0039,0.0040,0.0037,0.0034,0.0031,0.0029
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6167,0.6802,0.7106,0.7166,0.6991,0.6530,0.5677,0.4361,0.2894,0.1844,0.1216,0.0847,0.0615,0.0463,0.0359,0.0287,0.0235,0.0198,0.0171,0.0186,0.0184,0.0177,0.0170,0.0163
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3392,0.1872,0.1039,0.0629,0.0415,0.0293,0.0218,0.0170,0.0136,0.0110,0.0091,0.0076,0.0064,0.0054,0.0046,0.0040,0.0034,0.0030,0.0027,0.0027,0.0025,0.0022,0.0021,0.0019
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6092,0.6891,0.7480,0.7918,0.8247,0.8498,0.8692,0.8843,0.8963,0.9060,0.9140,0.9208,0.9266,0.9314,0.9353,0.9387,0.9416,0.9439,0.9459,0.9568,0.9579,0.9579,0.9578,0.9577
012,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3694,0.2563,0.1769,0.1250,0.0915,0.0695,0.0545,0.0439,0.0360,0.0300,0.0253,0.0216,0.0186,0.0161,0.0140,0.0123,0.0108,0.0096,0.0086,0.0081,0.0074,0.0067,0.0062,0.0057
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6133,0.6882,0.7333,0.7575,0.7654,0.7586,0.7364,0.6940,0.6258,0.5311,0.4105,0.2846,0.1844,0.1216,0.0844,0.0617,0.0470,0.0377,0.0309,0.0340,0.0331,0.0313,0.0296,0.0281
014,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5783,0.6015,0.5731,0.4839,0.3440,0.2133,0.1320,0.0865,0.0601,0.0443,0.0339,0.0267,0.0214,0.0175,0.0145,0.0122,0.0104,0.0091,0.0082,0.0087,0.0080,0.0073,0.0067,0.0062
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3871,0.2902,0.2145,0.1590,0.1199,0.0926,0.0734,0.0596,0.0493,0.0413,0.0350,0.0299,0.0258,0.0223,0.0195,0.0171,0.0151,0.0134,0.0119,0.0110,0.0100,0.0091,0.0084,0.0078
