View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3908,0.2836,0.1977,0.1391,0.1013,0.0768,0.0603,0.0487,0.0402,0.0335,0.0282,0.0238,0.0201,0.0170,0.0145,0.0124,0.0108,0.0094,0.0087,0.0079,0.0074,0.0068,0.0064,0.0059
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6390,0.7313,0.7856,0.8164,0.8335,0.8419,0.8444,0.8394,0.8202,0.7720,0.6597,0.4331,0.2051,0.1044,0.0640,0.0437,0.0320,0.0275,0.0300,0.0320,0.0368,0.0362,0.0366,0.0354
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4703,0.3487,0.2062,0.1168,0.0735,0.0509,0.0378,0.0290,0.0226,0.0178,0.0141,0.0113,0.0091,0.0073,0.0059,0.0049,0.0041,0.0036,0.0035,0.0033,0.0032,0.0031,0.0031,0.0031
003,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3987,0.2878,0.1961,0.1337,0.0948,0.0704,0.0544,0.0434,0.0353,0.0289,0.0237,0.0195,0.0160,0.0131,0.0110,0.0092,0.0078,0.0066,0.0060,0.0052,0.0047,0.0043,0.0039,0.0036
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5895,0.6552,0.7006,0.7311,0.7527,0.7717,0.7887,0.8073,0.8264,0.8367,0.8347,0.8227,0.7905,0.6977,0.4738,0.1949,0.0859,0.0460,0.0346,0.0248,0.0211,0.0187,0.0177,0.0159
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5774,0.6275,0.6496,0.6429,0.6146,0.5651,0.4945,0.3979,0.2859,0.1875,0.1222,0.0821,0.0558,0.0395,0.0293,0.0222,0.0175,0.0154,0.0156,0.0149,0.0151,0.0152,0.0162,0.0164
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6169,0.7116,0.7783,0.8252,0.8578,0.8812,0.8986,0.9122,0.9233,0.9327,0.9405,0.9467,0.9515,0.9550,0.9577,0.9597,0.9614,0.9635,0.9701,0.9709,0.9743,0.9765,0.9795,0.9807
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4016,0.3031,0.2203,0.1590,0.1173,0.0891,0.0699,0.0561,0.0456,0.0374,0.0309,0.0256,0.0212,0.0176,0.0148,0.0125,0.0106,0.0091,0.0084,0.0075,0.0069,0.0063,0.0058,0.0053
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3921,0.2808,0.1927,0.1324,0.0949,0.0713,0.0557,0.0447,0.0364,0.0296,0.0241,0.0197,0.0161,0.0132,0.0109,0.0091,0.0076,0.0064,0.0056,0.0048,0.0043,0.0038,0.0035,0.0032
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5894,0.6500,0.6832,0.6927,0.6833,0.6583,0.6153,0.5438,0.4282,0.2922,0.1839,0.1166,0.0756,0.0518,0.0373,0.0275,0.0209,0.0179,0.0182,0.0172,0.0175,0.0175,0.0188,0.0188
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6477,0.7486,0.8090,0.8484,0.8746,0.8930,0.9067,0.9183,0.9286,0.9372,0.9435,0.9478,0.9503,0.9514,0.9519,0.9518,0.9488,0.9379,0.9410,0.9392,0.9433,0.9402,0.9402,0.9373
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3923,0.2834,0.1954,0.1352,0.0970,0.0724,0.0561,0.0447,0.0363,0.0297,0.0244,0.0200,0.0164,0.0135,0.0112,0.0093,0.0079,0.0066,0.0058,0.0049,0.0044,0.0040,0.0037,0.0034
012,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5869,0.6551,0.7017,0.7371,0.7617,0.7801,0.7942,0.8081,0.8253,0.8480,0.8726,0.8946,0.9125,0.9264,0.9369,0.9451,0.9512,0.9559,0.9651,0.9658,0.9693,0.9700,0.9722,0.9729
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3007,0.1616,0.0931,0.0592,0.0413,0.0308,0.0241,0.0194,0.0159,0.0131,0.0108,0.0090,0.0075,0.0062,0.0052,0.0044,0.0037,0.0033,0.0031,0.0028,0.0026,0.0025,0.0024,0.0023
014,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4164,0.3176,0.2321,0.1650,0.1196,0.0900,0.0703,0.0562,0.0453,0.0358,0.0278,0.0217,0.0170,0.0134,0.0107,0.0085,0.0068,0.0054,0.0045,0.0037,0.0032,0.0029,0.0026,0.0023
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3808,0.2683,0.1861,0.1320,0.0976,0.0753,0.0603,0.0498,0.0420,0.0353,0.0293,0.0243,0.0203,0.0169,0.0140,0.0114,0.0091,0.0069,0.0056,0.0044,0.0037,0.0033,0.0030,0.0027
