View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3771,0.2685,0.1814,0.1259,0.0899,0.0661,0.0498,0.0380,0.0294,0.0259,0.0203,0.0166,0.0151,0.0131,0.0121,0.0108,0.0101,0.0097,0.0096,0.0096,0.0094,0.0092,0.0091,0.0088
001,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4856,0.4607,0.4196,0.3866,0.2702,0.1770,0.1179,0.0765,0.0487,0.0442,0.0374,0.0311,0.0324,0.0291,0.0300,0.0275,0.0273,0.0266,0.0299,0.0347,0.0400,0.0460,0.0529,0.0627
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6074,0.6982,0.7650,0.8154,0.8506,0.8767,0.8964,0.9102,0.9200,0.9372,0.9367,0.9360,0.9446,0.9441,0.9498,0.9496,0.9530,0.9599,0.9673,0.9721,0.9752,0.9777,0.9797,0.9812
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6212,0.7152,0.7823,0.8275,0.8593,0.8820,0.8990,0.9126,0.9229,0.9405,0.9454,0.9482,0.9562,0.9582,0.9629,0.9644,0.9674,0.9661,0.9669,0.9677,0.9688,0.9692,0.9689,0.9683
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6797,0.7230,0.6627,0.3866,0.1786,0.0890,0.0512,0.0338,0.0234,0.0221,0.0198,0.0163,0.0156,0.0136,0.0131,0.0118,0.0110,0.0087,0.0074,0.0065,0.0058,0.0052,0.0047,0.0042
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4393,0.2708,0.1468,0.0784,0.0485,0.0325,0.0230,0.0168,0.0126,0.0118,0.0112,0.0104,0.0105,0.0093,0.0091,0.0083,0.0082,0.0076,0.0072,0.0067,0.0065,0.0062,0.0056,0.0050
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3804,0.2419,0.1492,0.0923,0.0603,0.0415,0.0299,0.0221,0.0165,0.0146,0.0134,0.0116,0.0107,0.0090,0.0082,0.0072,0.0066,0.0062,0.0059,0.0055,0.0053,0.0050,0.0046,0.0043
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.4734,0.3705,0.2037,0.1190,0.0696,0.0438,0.0293,0.0203,0.0145,0.0128,0.0106,0.0089,0.0084,0.0071,0.0067,0.0060,0.0056,0.0051,0.0048,0.0044,0.0042,0.0039,0.0036,0.0033
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6019,0.6821,0.7392,0.7787,0.8019,0.8152,0.8209,0.8158,0.7951,0.8086,0.8044,0.7978,0.8187,0.8141,0.8292,0.8267,0.8354,0.8289,0.8327,0.8364,0.8419,0.8438,0.8418,0.8389
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6389,0.7125,0.7531,0.7485,0.7123,0.6141,0.4265,0.2333,0.1225,0.1065,0.1110,0.1032,0.1082,0.0992,0.1020,0.0953,0.0942,0.0846,0.0802,0.0749,0.0719,0.0684,0.0632,0.0577
012,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5806,0.6375,0.6608,0.6710,0.6391,0.5580,0.4179,0.2495,0.1363,0.1139,0.1035,0.0962,0.1024,0.0922,0.0954,0.0885,0.0900,0.0825,0.0794,0.0746,0.0719,0.0682,0.0624,0.0561
013,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3947,0.2842,0.1933,0.1267,0.0877,0.0628,0.0462,0.0348,0.0268,0.0235,0.0201,0.0170,0.0155,0.0135,0.0125,0.0112,0.0103,0.0094,0.0088,0.0081,0.0076,0.0071,0.0065,0.0060
014,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.2958,0.1700,0.0933,0.0618,0.0425,0.0303,0.0222,0.0163,0.0123,0.0108,0.0083,0.0070,0.0066,0.0057,0.0054,0.0048,0.0045,0.0041,0.0037,0.0035,0.0032,0.0030,0.0028,0.0025
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3801,0.2609,0.1730,0.1151,0.0800,0.0577,0.0429,0.0325,0.0250,0.0218,0.0191,0.0163,0.0148,0.0128,0.0117,0.0104,0.0096,0.0090,0.0086,0.0081,0.0077,0.0074,0.0069,0.0065
