View,Step0,Step49,Step99,Step149,Step199,Step249,Step299,Step349,Step399,Step449,Step499,Step549,Step599,Step649,Step699,Step749,Step799,Step849,Step899,Step949,Step999,Step1049,Step1099,Step1149,Step1199,Step1249,Step1299,Step1349,Step1399,Step1449,Step1499,Step1549,Step1599
000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3469,0.1274,0.0509,0.0246,0.0137,0.0107,0.0088,0.0073,0.0064,0.0057,0.0050,0.0046,0.0042,0.0038,0.0035,0.0033,0.0031,0.0030,0.0030,0.0029,0.0029,0.0029,0.0029,0.0028
002,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5838,0.5025,0.2525,0.0996,0.0482,0.0381,0.0325,0.0279,0.0252,0.0230,0.0206,0.0193,0.0180,0.0167,0.0155,0.0148,0.0141,0.0140,0.0141,0.0144,0.0152,0.0163,0.0177,0.0192
004,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6057,0.6912,0.7532,0.7965,0.8250,0.8621,0.8851,0.8988,0.9112,0.9207,0.9267,0.9337,0.9393,0.9436,0.9471,0.9509,0.9537,0.9554,0.9563,0.9559,0.9547,0.9541,0.9537,0.9534
005,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6241,0.7261,0.7994,0.8483,0.8797,0.9084,0.9259,0.9366,0.9455,0.9521,0.9566,0.9610,0.9645,0.9671,0.9692,0.9714,0.9730,0.9740,0.9743,0.9740,0.9732,0.9720,0.9708,0.9696
006,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6094,0.6650,0.6508,0.5117,0.2746,0.2358,0.2210,0.2033,0.1945,0.1858,0.1728,0.1674,0.1613,0.1541,0.1470,0.1432,0.1391,0.1408,0.1451,0.1550,0.1789,0.2099,0.2525,0.3034
007,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3735,0.2504,0.1568,0.0982,0.0645,0.0491,0.0395,0.0326,0.0279,0.0243,0.0212,0.0190,0.0172,0.0156,0.0142,0.0132,0.0123,0.0116,0.0111,0.0107,0.0103,0.0100,0.0097,0.0095
008,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3437,0.1760,0.0855,0.0453,0.0265,0.0200,0.0160,0.0130,0.0111,0.0096,0.0083,0.0075,0.0067,0.0061,0.0055,0.0051,0.0048,0.0047,0.0047,0.0046,0.0044,0.0042,0.0042,0.0041
009,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3796,0.2584,0.1624,0.1013,0.0665,0.0514,0.0420,0.0351,0.0304,0.0267,0.0235,0.0212,0.0193,0.0177,0.0162,0.0151,0.0141,0.0132,0.0127,0.0124,0.0124,0.0125,0.0125,0.0126
010,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.3816,0.2667,0.1739,0.1123,0.0757,0.0592,0.0489,0.0413,0.0362,0.0321,0.0285,0.0260,0.0239,0.0219,0.0202,0.0188,0.0174,0.0159,0.0148,0.0140,0.0136,0.0132,0.0129,0.0125
011,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5469,0.3759,0.1539,0.0654,0.0345,0.0279,0.0242,0.0211,0.0192,0.0177,0.0160,0.0150,0.0141,0.0132,0.0123,0.0118,0.0113,0.0112,0.0114,0.0118,0.0128,0.0141,0.0158,0.0178
014,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.2672,0.1206,0.0605,0.0338,0.0208,0.0156,0.0125,0.0103,0.0088,0.0077,0.0067,0.0061,0.0055,0.0050,0.0046,0.0043,0.0040,0.0041,0.0040,0.0040,0.0042,0.0043,0.0044,0.0044
015,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,0.6119,0.6896,0.7315,0.7396,0.7155,0.7431,0.7660,0.7784,0.7944,0.8073,0.8131,0.8246,0.8341,0.8411,0.8468,0.8538,0.8581,0.8598,0.8553,0.8511,0.8546,0.8563,0.8558,0.8543
