interaction_name,num_edges,mean_min_contact_distance_m,mean_max_contact_distance_m,mean_contact_distance_m,ncs,mean_penetration_m,max_penetration_m
interaction_02,5,0.05842280590441078,0.13800898641347886,0.09391854032874107,0.9999971428571428,0.007987450808286667,0.008147060871124268
interaction_03,4,0.10708059929311275,0.17637991718947887,0.1449170745909214,0.9985271428571428,0.016745658591389656,0.04688979685306549
interaction_04,3,0.1902033475538095,0.27381715675195056,0.22252578536669412,1.0,0.0,0.0
interaction_05,3,0.02210227244844039,0.10474065939585368,0.05964617058634758,0.9997128571428572,0.009385359473526478,0.02502162754535675
interaction_06,3,0.07881228455031912,0.17313376565774283,0.12137615432341893,0.9998028571428571,0.010497150011360645,0.023444026708602905
interaction_07,3,0.10015822574496269,0.1672488475839297,0.13504744321107864,0.9996714285714285,0.01686866767704487,0.02862514555454254
interaction_08,4,0.005135585324751446,0.057968830689787865,0.027070432901382446,0.9940885714285714,0.024704108014702797,0.05916711688041687
interaction_09,3,0.09527996617058913,0.22545414666334787,0.16042007009188333,0.9982042857142858,0.019490936771035194,0.06057651340961456
interaction_10,4,0.06913268193602562,0.15690180286765099,0.10517761297523975,1.0,0.0,0.0
interaction_11,4,0.06033479457255453,0.15184734668582678,0.10426021460443735,0.9988271428571428,0.010704702697694302,0.027504250407218933
interaction_14,3,0.01537055727870514,0.14192389448483786,0.07652633388837178,0.9989885714285714,0.013317699544131756,0.04031933844089508
interaction_15,5,0.16162692420184613,0.23865954279899598,0.20166340544819833,0.99669,0.03724811226129532,0.07776908576488495
interaction_16,3,0.02468172045579801,0.11489587277173996,0.06406583202381928,0.9998957142857143,0.005600440315902233,0.01714034378528595
interaction_18,4,0.11317620147019625,0.21028616651892662,0.1665501780807972,0.9997771428571428,0.013020641170442104,0.02156202495098114
interaction_20,4,0.07592719467356801,0.2669736184179783,0.16137210838496685,0.9887271428571428,0.030146408826112747,0.09649686515331268
interaction_21,4,0.022801700833952054,0.10350433364510536,0.055784482043236494,0.9978885714285715,0.03669999912381172,0.06961555778980255
interaction_22,4,0.03994842153042555,0.13598043099045753,0.08758587017655373,0.9993371428571428,0.008691382594406605,0.022071748971939087
interaction_23,4,0.06634521929663606,0.13915251940488815,0.09613483864814043,0.9999942857142857,0.002401517704129219,0.004556939005851746
interaction_24,3,1.2868159612019856,1.4235623280207317,1.354934851328532,1.0,0.0,0.0
interaction_26,2,0.07242142967879772,0.17268381267786026,0.11686886474490166,1.0,0.0,0.0
interaction_27,3,0.05763483196885014,0.1506955251097679,0.09751130516330402,0.9968542857142857,0.027934402227401733,0.07214955985546112
interaction_28,3,0.005556621588766575,0.09690512716770172,0.05142446358998617,0.9995842857142857,0.004532665945589542,0.009721800684928894
interaction_30,4,0.05961414589546621,0.14991133101284504,0.10287415375933051,0.98895,0.025305354967713356,0.06720501184463501
__mean__,82,0.12124276059017258,0.2161146070835167,0.1655502689678384,0.9980660248447204,0.013968811248955519,0.033825383238170456
