interaction_name,num_edges,mean_min_contact_distance_m,mean_max_contact_distance_m,mean_contact_distance_m,ncs,mean_penetration_m,max_penetration_m
interaction_02,5,0.015267684425090994,0.08647660661231937,0.04636389558483539,0.9997,0.005142083955406054,0.011544446779149285
interaction_03,4,0.07130434611469451,0.13625534260811778,0.10172514141213987,0.998015,0.013388990748215453,0.03525232242446153
interaction_04,3,1.0326059690071938,1.1112799469596846,1.06317735001282,1.0,0.0,0.0
interaction_05,3,0.0038613176242011764,0.06458719703896913,0.025021324071255194,0.9980600000000001,0.013535319854571097,0.02853805551127452
interaction_06,3,0.13900440712334516,0.22743701578564346,0.18017891344327752,0.999625,0.013867493743765606,0.02626886395830205
interaction_07,3,0.5323788409606948,0.6184992478554724,0.5712547480983081,1.0,0.0,0.0
interaction_08,4,0.11903240941263024,0.19700408936082223,0.15238191418796812,0.999665,0.008088168832204567,0.01260016082294384
interaction_09,3,0.04759023764049295,0.16831818942290325,0.10360959568526289,0.996215,0.015632198416784867,0.04050477951669547
interaction_10,4,0.0030320224132864603,0.08641357553416641,0.03784505504039183,0.998305,0.008668476916615792,0.016406811542486348
interaction_11,4,0.10072405503056768,0.1802421056250535,0.14109023058875944,0.999095,0.015288812966785036,0.03144780261775632
interaction_14,3,0.09412551032580734,0.24197499511372703,0.16650479429998769,0.997385,0.026000880617432397,0.07421383849281361
interaction_15,5,0.1647244775103586,0.25886042622818506,0.2004349290423056,0.999985,0.004118332100998518,0.004946480648422388
interaction_16,3,0.11787864479801846,0.19903117383170035,0.1555049665535079,1.0,0.0,0.0
interaction_18,4,0.09997923683953915,0.18927838021860205,0.14522337459981444,0.99971,0.012138403928084563,0.020148403903218544
interaction_20,4,0.4351004601449865,0.5769613516967315,0.4999887417778975,0.999715,0.008510774700306523,0.01453796404227802
interaction_21,4,0.03413977053516584,0.10098013846000485,0.06534719325420532,0.9937,0.03639479539818891,0.06693607680999075
interaction_22,4,0.12232910539838,0.21491574188061827,0.1752128637402248,0.999265,0.013302393352049557,0.030232139407156022
interaction_23,4,0.030415663104039592,0.11916937373684208,0.08256349292997417,0.996675,0.01380778733385285,0.059353812048825574
interaction_24,3,0.19402374685587268,0.3320063081515458,0.2588296395134658,0.991245,0.014655688783760834,0.03793564731671452
interaction_26,2,0.43764890489413777,0.533858700434306,0.4775301310970972,1.0,0.0,0.0
interaction_27,3,0.12471068732068329,0.2301630857575004,0.16133939087016003,0.999885,0.0071438330723892956,0.011247783763418789
interaction_28,3,0.14663475014231597,0.3076926488804072,0.23142714115789054,0.995335,0.014611585574886633,0.06504878775705837
interaction_30,4,0.47332673922701607,0.593229378095091,0.5288079558504284,1.0,0.0,0.0
__mean__,82,0.19738430377602256,0.2945493486647137,0.24223316447008603,0.9983295652173912,0.010621566099839068,0.025528877276650697
