iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,0.04066913,0.00000115,0.00000107,0.00000122,0.00107137,0.00103656,0.00110619,39.52010727,55.11389923,23.92631340,2.19285321,0.00000000,0.00000000,0.55581170
1,0.03007574,0.00000057,0.00000066,0.00000047,0.00074936,0.00081169,0.00068703,29.51032257,39.95375443,19.06688881,2.20384502,-0.00500000,0.00500000,0.56081170
2,0.02220313,0.00000039,0.00000048,0.00000030,0.00061911,0.00069003,0.00054818,21.81480789,28.37123680,15.25837708,2.21300936,-0.00997224,0.00991108,0.56395972
3,0.01675660,0.00000035,0.00000040,0.00000031,0.00059331,0.00063307,0.00055356,16.40300179,20.02209091,12.78391266,2.21967220,-0.01487706,0.01467320,0.56477535
4,0.01338087,0.00000034,0.00000036,0.00000033,0.00058684,0.00060068,0.00057301,13.03629494,14.78575516,11.28683472,2.22340298,-0.01955064,0.01922418,0.56384486
5,0.01156445,0.00000032,0.00000032,0.00000032,0.00056429,0.00056564,0.00056293,11.24603462,12.37384796,10.11822033,2.22467780,-0.02381156,0.02349908,0.56181431
6,0.01093609,0.00000028,0.00000029,0.00000028,0.00053286,0.00053544,0.00053029,10.65214443,12.20905399,9.09523487,2.22434449,-0.02742432,0.02744531,0.55913025
7,0.01113568,0.00000026,0.00000027,0.00000025,0.00050890,0.00052191,0.00049589,10.87653160,13.48655033,8.26651287,2.22328806,-0.03020003,0.03100832,0.55607229
8,0.01172406,0.00000025,0.00000028,0.00000022,0.00049963,0.00052706,0.00047220,11.47367477,15.24897099,7.69837904,2.22229695,-0.03191220,0.03414846,0.55285162
9,0.01223036,0.00000025,0.00000029,0.00000021,0.00050084,0.00054189,0.00045979,11.97784042,16.72003174,7.23565006,2.22196436,-0.03250750,0.03684055,0.54959965
10,0.01247329,0.00000026,0.00000031,0.00000021,0.00050558,0.00055642,0.00045475,12.21509075,17.54278564,6.88739634,2.22258067,-0.03215246,0.03908830,0.54637927
11,0.01243555,0.00000026,0.00000032,0.00000021,0.00051013,0.00056493,0.00045533,12.17231941,17.69027710,6.65436125,2.22423172,-0.03104472,0.04089961,0.54319906
12,0.01217104,0.00000027,0.00000032,0.00000021,0.00051421,0.00056666,0.00046175,11.90387821,17.29138947,6.51636744,2.22680473,-0.02936701,0.04230390,0.54003358
