iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,0.12378024,0.00005692,0.00008642,0.00002742,0.00727225,0.00930604,0.00523845,66.86128998,44.10318756,89.61939240,2.58109808,0.00000000,0.00000000,0.04655746
1,0.08933091,0.00003929,0.00006171,0.00001687,0.00598474,0.00786189,0.00410760,50.04133606,31.51376534,68.56890869,2.59403586,-0.00500000,0.00500000,0.05155746
2,0.06568385,0.00002844,0.00004625,0.00001063,0.00503230,0.00680436,0.00326023,37.24779510,22.46366119,52.03193283,2.60659480,-0.00990153,0.00993168,0.05633499
3,0.05025712,0.00002237,0.00003766,0.00000707,0.00439972,0.00614003,0.00265942,27.88928032,16.40906143,39.36949921,2.61842966,-0.01459473,0.01474839,0.06070308
4,0.04060394,0.00001943,0.00003378,0.00000508,0.00403393,0.00581424,0.00225361,21.17646790,12.48516178,29.86777496,2.62923050,-0.01897873,0.01940479,0.06450105
5,0.03501133,0.00001849,0.00003296,0.00000402,0.00387467,0.00574346,0.00200588,16.51967430,10.14290619,22.89644241,2.63876963,-0.02299285,0.02385904,0.06761512
6,0.03219061,0.00001872,0.00003389,0.00000356,0.00385482,0.00582403,0.00188561,13.46771717,8.74305153,18.19238281,2.64691901,-0.02652845,0.02807841,0.07001366
7,0.03113291,0.00001961,0.00003581,0.00000340,0.00391620,0.00598719,0.00184521,11.52348709,7.88612509,15.16084957,2.65357161,-0.02955329,0.03203214,0.07166521
8,0.03107447,0.00002073,0.00003801,0.00000344,0.00401163,0.00616830,0.00185496,10.34827423,7.35576057,13.34078884,2.65870118,-0.03205991,0.03569246,0.07258081
9,0.03147433,0.00002176,0.00003995,0.00000358,0.00410809,0.00632340,0.00189277,9.71045589,6.92224455,12.49866676,2.66229630,-0.03405328,0.03904780,0.07278290
10,0.03203765,0.00002254,0.00004130,0.00000378,0.00418741,0.00642996,0.00194486,9.49569702,6.58553123,12.40586185,2.66445422,-0.03553804,0.04207438,0.07236388
11,0.03253834,0.00002297,0.00004195,0.00000400,0.00423960,0.00647998,0.00199922,9.56706333,6.35597372,12.77815247,2.66528082,-0.03657746,0.04475951,0.07139914
