iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,3.58859730,0.00192399,0.00158733,0.00226066,0.04480292,0.04065611,0.04894973,1664.60461426,1773.98242188,1555.22680664,2.80466557,0.00000000,0.00000000,1.24127281
1,3.28411388,0.00175375,0.00152237,0.00198513,0.04274265,0.03978198,0.04570332,1530.36218262,1634.62585449,1426.09851074,2.81872416,0.00500000,-0.00500000,1.23627281
2,2.99826837,0.00157859,0.00132430,0.00183288,0.04041837,0.03700870,0.04382805,1419.67993164,1521.28039551,1318.07946777,2.81734300,0.00996883,-0.00998640,1.23127294
3,2.73997831,0.00142324,0.00113332,0.00171317,0.03822923,0.03415218,0.04230629,1316.73327637,1415.90319824,1217.56335449,2.81382251,0.01489931,-0.01495391,1.22628736
4,2.50566459,0.00128903,0.00099204,0.00158603,0.03626671,0.03189462,0.04063880,1216.63146973,1312.89367676,1120.36926270,2.81370378,0.01978158,-0.01989643,1.22138309
5,2.28833771,0.00116843,0.00089044,0.00144641,0.03445829,0.03017807,0.03873852,1119.91247559,1212.83972168,1026.98522949,2.81716514,0.02459913,-0.02480633,1.21658039
6,2.08950448,0.00106106,0.00081350,0.00130862,0.03279898,0.02881648,0.03678149,1028.44482422,1117.91247559,938.97705078,2.82238913,0.02933106,-0.02967489,1.21185768
7,1.90609837,0.00096287,0.00074633,0.00117941,0.03121896,0.02757755,0.03486036,943.22631836,1029.34265137,857.10998535,2.82800770,0.03396076,-0.03449408,1.20719159
8,1.73011911,0.00086667,0.00068550,0.00104785,0.02960617,0.02640932,0.03280302,863.44433594,946.24517822,780.64343262,2.83506131,0.03849535,-0.03926248,1.20261896
9,1.55785537,0.00076899,0.00062700,0.00091099,0.02788536,0.02523850,0.03053223,788.86364746,868.26800537,709.45928955,2.84395194,0.04294488,-0.04397780,1.19818151
10,1.38723683,0.00066764,0.00056359,0.00077169,0.02598017,0.02390911,0.02805122,719.59606934,795.60662842,643.58551025,2.85445523,0.04732477,-0.04863606,1.19393325
11,1.22051644,0.00056472,0.00049347,0.00063598,0.02388699,0.02235243,0.02542154,655.79278564,728.52282715,583.06274414,2.86615109,0.05164207,-0.05322992,1.18990576
12,1.06111670,0.00046372,0.00041926,0.00050818,0.02163566,0.02058391,0.02268742,597.39874268,667.02606201,527.77142334,2.87877440,0.05589836,-0.05775031,1.18612850
13,0.91394651,0.00036976,0.00034496,0.00039455,0.01930791,0.01865375,0.01996207,544.18896484,610.77008057,477.60781860,2.89214134,0.06008641,-0.06218576,1.18260431
14,0.78871155,0.00029285,0.00028033,0.00030537,0.01717211,0.01680218,0.01754203,495.85736084,559.48413086,432.23056030,2.90603256,0.06418546,-0.06652254,1.17929554
