iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,5.52844524,0.00336870,0.00362244,0.00311495,0.06061649,0.06311229,0.05812068,2159.74731445,2339.68457031,1979.80993652,2.85114479,0.00000000,0.00000000,1.37534010
1,4.90437222,0.00290138,0.00311134,0.00269141,0.05590079,0.05808412,0.05371746,2002.99682617,2174.57421875,1831.41955566,2.86543632,-0.00500000,-0.00500000,1.37034011
2,4.33022451,0.00247552,0.00264655,0.00230450,0.05134335,0.05323586,0.04945084,1854.70141602,2018.07360840,1691.32934570,2.87977791,-0.00998874,-0.00998820,1.36536610
3,3.82125282,0.00210629,0.00223947,0.00197312,0.04713189,0.04870608,0.04555771,1714.95800781,1870.24536133,1559.67077637,2.89404392,-0.01495129,-0.01495371,1.36037767
4,3.37884569,0.00179477,0.00189568,0.00169387,0.04333302,0.04460927,0.04205678,1584.07141113,1731.48706055,1436.65576172,2.90805125,-0.01987204,-0.01988511,1.35541892
5,3.00117874,0.00153903,0.00161320,0.00146486,0.03999706,0.04099989,0.03899423,1462.14782715,1601.96130371,1322.33435059,2.92151523,-0.02473429,-0.02477091,1.35049510
6,2.67204905,0.00132310,0.00138104,0.00126516,0.03698312,0.03782094,0.03614530,1348.95019531,1481.47656250,1216.42382812,2.93419647,-0.02952414,-0.02960093,1.34555340
7,2.38315344,0.00113915,0.00118912,0.00108918,0.03423469,0.03500788,0.03346150,1244.00231934,1369.53234863,1118.47229004,2.94608712,-0.03423032,-0.03436681,1.34055269
8,2.13294554,0.00098593,0.00102886,0.00094300,0.03178662,0.03249647,0.03107678,1147.01733398,1265.87622070,1028.15844727,2.95702720,-0.03884033,-0.03905970,1.33549523
9,1.91423595,0.00085656,0.00089215,0.00082097,0.02957948,0.03020772,0.02895123,1057.67358398,1170.22998047,945.11706543,2.96686196,-0.04334335,-0.04367170,1.33038485
10,1.72100401,0.00074546,0.00077391,0.00071700,0.02755623,0.02809227,0.02702018,975.54895020,1082.14318848,868.95465088,2.97550201,-0.04772979,-0.04819597,1.32522786
11,1.54866397,0.00064848,0.00067024,0.00062673,0.02567080,0.02610858,0.02523303,900.18103027,1001.20410156,799.15795898,2.98293805,-0.05199177,-0.05262651,1.32003522
12,1.39407492,0.00056298,0.00057866,0.00054730,0.02389363,0.02423118,0.02355608,831.09838867,926.88574219,735.31109619,2.98921847,-0.05612271,-0.05695806,1.31482148
13,1.25486612,0.00048714,0.00049752,0.00047675,0.02220557,0.02244529,0.02196586,767.72967529,858.49426270,676.96508789,2.99442554,-0.06011668,-0.06118596,1.30960393
14,1.12965226,0.00042006,0.00042616,0.00041396,0.02060329,0.02075455,0.02045204,709.59271240,795.52563477,623.65979004,2.99867868,-0.06396934,-0.06530619,1.30440354
15,1.01730061,0.00036101,0.00036375,0.00035828,0.01908658,0.01915950,0.01901366,656.28576660,737.55798340,575.01354980,3.00209641,-0.06767681,-0.06931522,1.29924095
16,0.91684198,0.00030940,0.00030956,0.00030925,0.01765827,0.01766279,0.01765374,607.43951416,684.23535156,530.64367676,3.00479627,-0.07123601,-0.07321005,1.29413652
17,0.82733572,0.00026465,0.00026288,0.00026642,0.01632195,0.01626696,0.01637694,562.68914795,635.22186279,490.15646362,3.00689554,-0.07464499,-0.07698826,1.28911126
18,0.74783790,0.00022614,0.00022295,0.00022933,0.01508015,0.01497318,0.01518712,521.70147705,590.18872070,453.21426392,3.00850248,-0.07790322,-0.08064826,1.28418422
19,0.67742479,0.00019326,0.00018905,0.00019748,0.01393483,0.01378210,0.01408755,484.16076660,548.81561279,419.50588989,3.00971460,-0.08101102,-0.08418912,1.27937269
20,0.61515886,0.00016540,0.00016046,0.00017034,0.01288612,0.01269274,0.01307950,449.75671387,510.86053467,388.65286255,3.01061964,-0.08396992,-0.08761063,1.27469206
21,0.56012386,0.00014191,0.00013646,0.00014736,0.01193152,0.01170150,0.01216153,418.21582031,476.03466797,360.39700317,3.01129484,-0.08678240,-0.09091336,1.27015555
22,0.51146257,0.00012218,0.00011640,0.00012797,0.01106741,0.01080439,0.01133043,389.28100586,444.06216431,334.49984741,3.01180482,-0.08945158,-0.09409850,1.26577318
23,0.46844375,0.00010565,0.00009966,0.00011164,0.01028820,0.00999543,0.01058097,362.79162598,414.74929810,310.83398438,3.01220536,-0.09198166,-0.09716778,1.26155281
24,0.43032253,0.00009181,0.00008570,0.00009793,0.00958763,0.00926721,0.00990806,338.50927734,387.84259033,289.17599487,3.01253891,-0.09437679,-0.10012334,1.25749958
25,0.39648357,0.00008024,0.00007405,0.00008642,0.00895978,0.00861329,0.00930626,316.24816895,363.14736938,269.34893799,3.01283431,-0.09664164,-0.10296776,1.25361478
26,0.36637217,0.00007054,0.00006434,0.00007674,0.00839828,0.00802789,0.00876868,295.82940674,340.46871948,251.19006348,3.01312137,-0.09878118,-0.10570403,1.24989951
27,0.33952036,0.00006240,0.00005621,0.00006858,0.00789570,0.00750271,0.00828869,277.12231445,319.65429688,234.59030151,3.01342010,-0.10080045,-0.10833534,1.24635279
28,0.31547645,0.00005553,0.00004940,0.00006166,0.00744563,0.00703278,0.00785847,259.94674683,300.51422119,219.37925720,3.01374769,-0.10270490,-0.11086511,1.24297249
29,0.29386568,0.00004969,0.00004365,0.00005572,0.00704039,0.00661077,0.00747002,244.17668152,282.92568970,205.42767334,3.01411319,-0.10449984,-0.11329701,1.23975468
30,0.27438408,0.00004470,0.00003878,0.00005062,0.00667483,0.00623047,0.00711919,229.68412781,266.73092651,192.63732910,3.01452518,-0.10619076,-0.11563481,1.23669446
31,0.25677630,0.00004042,0.00003464,0.00004620,0.00634447,0.00588790,0.00680103,216.35731506,251.81259155,180.90203857,3.01498628,-0.10778292,-0.11788233,1.23378623
32,0.24078351,0.00003670,0.00003108,0.00004233,0.00604323,0.00557714,0.00650932,204.08013916,238.05238342,170.10787964,3.01549888,-0.10928168,-0.12004334,1.23102403
33,0.22621998,0.00003346,0.00002802,0.00003891,0.00576782,0.00529501,0.00624063,192.75747681,225.34898376,160.16596985,3.01606226,-0.11069193,-0.12212177,1.22840142
34,0.21291730,0.00003062,0.00002536,0.00003587,0.00551467,0.00503728,0.00599206,182.30192566,213.59854126,151.00531006,3.01667500,-0.11201870,-0.12412135,1.22591162
35,0.20076109,0.00002811,0.00002305,0.00003317,0.00528199,0.00480198,0.00576201,172.65161133,202.72787476,142.57534790,3.01733446,-0.11326647,-0.12604569,1.22354794
36,0.18962228,0.00002590,0.00002102,0.00003077,0.00506764,0.00458598,0.00554929,163.72674561,192.65570068,134.79779053,3.01803684,-0.11443964,-0.12789823,1.22130382
37,0.17938575,0.00002393,0.00001924,0.00002862,0.00486946,0.00438711,0.00535181,155.45634460,183.30593872,127.60674286,3.01877880,-0.11554263,-0.12968229,1.21917260
38,0.16997246,0.00002218,0.00001766,0.00002669,0.00468598,0.00420369,0.00516828,147.79421997,174.63156128,120.95686340,3.01955581,-0.11657963,-0.13140111,1.21714818
39,0.16128297,0.00002061,0.00001626,0.00002496,0.00451547,0.00403370,0.00499724,140.67248535,166.55136108,114.79362488,3.02036452,-0.11755437,-0.13305776,1.21522450
40,0.15325299,0.00001920,0.00001502,0.00002339,0.00435671,0.00387598,0.00483744,134.05062866,159.02813721,109.07311249,3.02120066,-0.11847100,-0.13465524,1.21339548
