iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,22.33338356,0.01374090,0.02471804,0.00276376,0.15442339,0.25435919,0.05448760,8592.48242188,15565.61816406,1619.34692383,1.31794441,0.00000000,0.00000000,2.35512328
1,21.74597931,0.01339491,0.02421863,0.00257120,0.15009020,0.24776064,0.05241977,8351.06542969,15152.64550781,1549.48474121,1.32455063,-0.00500000,-0.00500000,2.35012317
2,21.16773796,0.01305113,0.02371175,0.00239050,0.14586613,0.24130957,0.05042268,8116.61132812,14748.73828125,1484.48474121,1.33118987,-0.00998218,-0.00999893,2.34512663
3,20.59895897,0.01270985,0.02319832,0.00222138,0.14175254,0.23500764,0.04849742,7889.10595703,14353.51269531,1424.69897461,1.33786142,-0.01492720,-0.01499619,2.34012818
4,20.03953934,0.01237142,0.02267880,0.00206403,0.13775064,0.22885011,0.04665117,7668.12207031,13966.58398438,1369.65991211,1.34456348,-0.01981956,-0.01999107,2.33512282
5,19.48985672,0.01203674,0.02215405,0.00191943,0.13386928,0.22283667,0.04490188,7453.11669922,13587.83984375,1318.39355469,1.35129392,-0.02464190,-0.02498282,2.33010650
6,18.95166779,0.01170746,0.02162536,0.00178957,0.13012691,0.21697125,0.04328256,7244.20507812,13217.13671875,1271.27319336,1.35805047,-0.02936285,-0.02997055,2.32507205
7,18.42521286,0.01138393,0.02109337,0.00167449,0.12652726,0.21124960,0.04180493,7041.28027344,12854.46484375,1228.09594727,1.36482978,-0.03393633,-0.03495325,2.32001281
8,17.91100121,0.01106649,0.02055878,0.00157420,0.12307442,0.20566814,0.04048070,6844.50927734,12499.56152344,1189.45715332,1.37162757,-0.03831344,-0.03992989,2.31492329
9,17.40809631,0.01075459,0.02002147,0.00148771,0.11976179,0.20021485,0.03930873,6653.50537109,12151.86621094,1155.14453125,1.37843978,-0.04242894,-0.04489945,2.30979824
