iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,0.27635318,0.00012908,0.00021791,0.00004025,0.01057485,0.01480218,0.00634751,147.27244568,7.95184374,286.59304810,2.69493365,0.00000000,0.00000000,-0.17278309
1,0.23399386,0.00009697,0.00016488,0.00002906,0.00912962,0.01286696,0.00539228,137.02796936,8.35104179,265.70489502,2.70844197,-0.00500000,0.00500000,-0.16778310
2,0.20702940,0.00007869,0.00013396,0.00002341,0.00821681,0.01159353,0.00484008,128.34315491,9.40294743,247.28335571,2.72141147,-0.00993540,0.00995543,-0.16305678
3,0.19018888,0.00006910,0.00011736,0.00002084,0.00770771,0.01084932,0.00456609,121.08850098,11.07476044,231.10223389,2.73355675,-0.01477074,0.01481866,-0.15871531
4,0.18113485,0.00006588,0.00011154,0.00002022,0.00753715,0.01057604,0.00449826,115.25241089,13.31874943,217.18606567,2.74452925,-0.01945207,0.01955528,-0.15489984
5,0.17818399,0.00006759,0.00011423,0.00002094,0.00764038,0.01070301,0.00457775,110.59792328,15.96196842,205.23387146,2.75385809,-0.02394712,0.02411484,-0.15179451
6,0.17888638,0.00007164,0.00012154,0.00002175,0.00785290,0.01104132,0.00466448,107.24343872,19.17433357,195.31254578,2.76101971,-0.02819852,0.02843801,-0.14958701
7,0.18099806,0.00007587,0.00012972,0.00002202,0.00805101,0.01140795,0.00469406,105.12734985,22.86371803,187.39097595,2.76579452,-0.03212517,0.03243715,-0.14830364
8,0.18303433,0.00007886,0.00013590,0.00002181,0.00817453,0.01167753,0.00467153,104.17797089,26.91020775,181.44573975,2.76814079,-0.03562520,0.03603167,-0.14790604
9,0.18411718,0.00007994,0.00013871,0.00002117,0.00819984,0.01179782,0.00460187,104.18121338,31.03418732,177.32823181,2.76830578,-0.03862678,0.03911547,-0.14825273
10,0.18409169,0.00007926,0.00013828,0.00002023,0.00813957,0.01177973,0.00449940,104.83332825,34.89594650,174.77070618,2.76667094,-0.04105070,0.04161743,-0.14917479
11,0.18322515,0.00007742,0.00013571,0.00001914,0.00802254,0.01166908,0.00437600,105.80229950,38.23342514,173.37117004,2.76364779,-0.04285292,0.04348962,-0.15050115
12,0.18191722,0.00007516,0.00013229,0.00001804,0.00788443,0.01152075,0.00424810,106.75372314,40.77590561,172.73153687,2.75965333,-0.04401914,0.04472754,-0.15206105
13,0.18054023,0.00007308,0.00012914,0.00001702,0.00775422,0.01138257,0.00412587,107.46011353,42.36209488,172.55813599,2.75507736,-0.04457491,0.04536609,-0.15369399
14,0.17928112,0.00007147,0.00012684,0.00001610,0.00764672,0.01128002,0.00401341,107.81291962,42.93249893,172.69334412,2.75025201,-0.04455536,0.04545738,-0.15525642
15,0.17832094,0.00007054,0.00012563,0.00001545,0.00757909,0.01122621,0.00393198,107.77776337,42.52395630,173.03157043,2.74548864,-0.04402498,0.04506461,-0.15661331
16,0.17770779,0.00007030,0.00012544,0.00001515,0.00755559,0.01121771,0.00389348,107.40985107,41.26166534,173.55804443,2.74110007,-0.04306749,0.04426323,-0.15763569
17,0.17720610,0.00007040,0.00012570,0.00001510,0.00755774,0.01122937,0.00388610,106.80682373,39.33657074,174.27708435,2.73733211,-0.04176419,0.04314065,-0.15823686
18,0.17668158,0.00007058,0.00012599,0.00001517,0.00756852,0.01124204,0.00389501,106.10626221,36.94948959,175.26303101,2.73434806,-0.04019690,0.04176546,-0.15837483
19,0.17602727,0.00007059,0.00012591,0.00001527,0.00757314,0.01123844,0.00390783,105.44209290,34.28575897,176.59843445,2.73224878,-0.03845040,0.04021514,-0.15804383
20,0.17525443,0.00007029,0.00012522,0.00001536,0.00756409,0.01120775,0.00392042,104.96228790,31.56987381,178.35470581,2.73105717,-0.03661034,0.03856634,-0.15727484
21,0.17443392,0.00006969,0.00012391,0.00001546,0.00754092,0.01114879,0.00393306,104.74723053,28.95758247,180.53688049,2.73072457,-0.03476983,0.03689432,-0.15612818
22,0.17367508,0.00006886,0.00012214,0.00001559,0.00750881,0.01106861,0.00394900,104.81075287,26.56538582,183.05612183,2.73114610,-0.03301065,0.03527707,-0.15467966
23,0.17307684,0.00006798,0.00012017,0.00001578,0.00747612,0.01097859,0.00397366,105.10134888,24.48172951,185.72096252,2.73217535,-0.03141449,0.03378624,-0.15301567
