iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,2.74459553,0.00257815,0.00506724,0.00008906,0.04281012,0.07617268,0.00944756,166.44741821,192.10545349,140.78936768,2.41057324,0.00000000,0.00000000,0.34446293
1,2.61689830,0.00246587,0.00483635,0.00009540,0.04197555,0.07417229,0.00977882,151.02664185,170.60725403,131.44602966,2.42265630,-0.00500000,-0.00500000,0.34946293
2,2.51730442,0.00237933,0.00464946,0.00010921,0.04149859,0.07253260,0.01046458,137.97016907,152.01345825,123.92687988,2.43461776,-0.00989803,-0.00999205,0.35438174
3,2.44340587,0.00231638,0.00450182,0.00013093,0.04134226,0.07122315,0.01146136,127.02804565,135.95104980,118.10504913,2.44627023,-0.01459338,-0.01496875,0.35913673
4,2.39263415,0.00227473,0.00438873,0.00016073,0.04145730,0.07021110,0.01270351,117.90324402,122.13845825,113.66802979,2.45734763,-0.01901127,-0.01992738,0.36361462
5,2.36334515,0.00225271,0.00430836,0.00019707,0.04177987,0.06948685,0.01407289,110.63128662,110.70230865,110.56025696,2.46744895,-0.02310929,-0.02486255,0.36764839
6,2.35242677,0.00224778,0.00426111,0.00023446,0.04220805,0.06905908,0.01535702,104.64439392,101.18735504,108.10143280,2.47587991,-0.02690541,-0.02977303,0.37095201
7,2.34855103,0.00224884,0.00423414,0.00026353,0.04255084,0.06881421,0.01628747,99.71502686,93.32467651,106.10538483,2.48181319,-0.03041419,-0.03465664,0.37320146
8,2.33989429,0.00224421,0.00421158,0.00027684,0.04265272,0.06860907,0.01669637,95.68240356,86.97319031,104.39162445,2.48492432,-0.03362794,-0.03951196,0.37428826
9,2.32231736,0.00222983,0.00418593,0.00027374,0.04248861,0.06837528,0.01660194,92.48332977,81.86581421,103.10084534,2.48550582,-0.03650766,-0.04433557,0.37435246
10,2.29800296,0.00220800,0.00415793,0.00025806,0.04211803,0.06811962,0.01611644,90.00476074,77.98349762,102.02602386,2.48411584,-0.03885231,-0.04912285,0.37362167
11,2.27132940,0.00218329,0.00413135,0.00023524,0.04162958,0.06787633,0.01538282,88.03591919,75.31678772,100.75505066,2.48134136,-0.04050701,-0.05386774,0.37232959
12,2.24590206,0.00215945,0.00410918,0.00020973,0.04109657,0.06767309,0.01452005,86.44808960,73.71718597,99.17898560,2.47770929,-0.04135580,-0.05856040,0.37068245
13,2.22373652,0.00213856,0.00409231,0.00018481,0.04057199,0.06751814,0.01362583,85.17918396,73.02625275,97.33211517,2.47367120,-0.04137024,-0.06319617,0.36885843
14,2.20549679,0.00212126,0.00408012,0.00016240,0.04008775,0.06740610,0.01276941,84.23789978,73.20358276,95.27220917,2.46962619,-0.04063167,-0.06777244,0.36701629
15,2.19078946,0.00210700,0.00407044,0.00014356,0.03966017,0.06731695,0.01200340,83.78990173,74.22522736,93.35457611,2.46589756,-0.03923865,-0.07228356,0.36528480
16,2.17883706,0.00209504,0.00406142,0.00012865,0.03929735,0.06723392,0.01136078,83.80132294,75.90494537,91.69770050,2.46275163,-0.03730924,-0.07672353,0.36377043
17,2.16833568,0.00208400,0.00405060,0.00011740,0.03899270,0.06713421,0.01085120,84.33398438,78.19185638,90.47612000,2.46039248,-0.03499460,-0.08108926,0.36256069
