iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,21.51185799,0.02117418,0.01535699,0.02699137,0.22298613,0.15788332,0.28808895,67.53539276,62.91644669,72.15434265,1.00000000,0.00000000,0.00000000,0.00000000
1,20.08826256,0.01975158,0.01369349,0.02580967,0.20701185,0.14429638,0.26972732,67.33651733,58.38463593,76.28839111,1.00501263,-0.00500000,0.00500000,0.00500000
2,18.64854813,0.01830571,0.01206664,0.02454479,0.19174594,0.13145031,0.25204155,68.56690979,54.61411285,82.51970673,1.01005316,-0.00997579,0.00984386,0.01000286
3,17.20717239,0.01685205,0.01050196,0.02320213,0.17719442,0.11933523,0.23505360,71.02497864,51.84220886,90.20774841,1.01512241,-0.01489963,0.01431195,0.01500910
4,15.77860928,0.01540740,0.00902370,0.02179110,0.16336823,0.10794627,0.21879017,74.24107361,50.26968765,98.21246338,1.02021980,-0.01970717,0.01784503,0.02001809
5,14.37450695,0.01398719,0.00765189,0.02032250,0.15026192,0.09727245,0.20325139,77.46284485,49.38111496,105.54457092,1.02534306,-0.02432556,0.02016111,0.02502775
6,13.00823307,0.01260751,0.00640504,0.01880999,0.13788091,0.08732804,0.18843377,80.14370728,49.00553131,111.28188324,1.03048825,-0.02865946,0.02110662,0.03003451
7,11.69383240,0.01128318,0.00529731,0.01726906,0.12623191,0.07814046,0.17432337,82.13002777,48.88529968,115.37475586,1.03564906,-0.03260479,0.02091316,0.03503275
8,10.44331169,0.01002635,0.00433447,0.01571824,0.11531793,0.06972261,0.16091324,83.39186096,48.90398788,117.87973785,1.04081798,-0.03601454,0.01987180,0.04001533
9,9.26697254,0.00884706,0.00351649,0.01417763,0.10514358,0.06209212,0.14819504,83.98287964,49.02386475,118.94188690,1.04598475,-0.03876957,0.01830845,0.04497332
10,8.17219448,0.00775311,0.00283758,0.01266864,0.09571493,0.05526520,0.13616467,83.81706238,49.19425964,118.43986511,1.05113757,-0.04078606,0.01644924,0.04989614
11,7.16426945,0.00674953,0.00228616,0.01121289,0.08703164,0.04924165,0.12482163,82.94875336,49.43519592,116.46231079,1.05626333,-0.04205640,0.01446545,0.05477192
