iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,9.39224720,0.00913561,0.01821237,0.00005884,0.09526600,0.18285564,0.00767636,256.64080811,344.53482056,168.74679565,3.04338908,0.00000000,0.00000000,0.55397362
1,9.26291561,0.00901956,0.01797011,0.00006901,0.09447406,0.18063393,0.00831420,243.35455322,326.29052734,160.41856384,3.05864429,-0.00500000,0.00500000,0.55897361
2,9.18785954,0.00895695,0.01783262,0.00008129,0.09420393,0.17938262,0.00902524,230.90420532,308.78250122,153.02592468,3.07329130,-0.00990413,0.00999371,0.56323642
3,9.15333843,0.00893508,0.01777804,0.00009213,0.09424870,0.17888777,0.00960962,218.25523376,290.60223389,145.90823364,3.08603501,-0.01459347,0.01497952,0.56511003
4,9.12974262,0.00892418,0.01775131,0.00009705,0.09425469,0.17864588,0.00986350,205.55998230,271.79467773,139.32528687,3.09522963,-0.01880467,0.01995407,0.56434596
5,9.09897709,0.00890585,0.01771531,0.00009639,0.09407503,0.17832044,0.00982962,193.12649536,253.32928467,132.92370605,3.10031486,-0.02233071,0.02491518,0.56206930
6,9.05795193,0.00887673,0.01766174,0.00009172,0.09371251,0.17783695,0.00958806,181.22332764,235.63973999,126.80693054,3.10184884,-0.02506066,0.02985715,0.55895889
7,9.01157188,0.00884165,0.01759857,0.00008474,0.09324165,0.17726819,0.00921510,169.91773987,218.86053467,120.97495270,3.10084724,-0.02705537,0.03477614,0.55535728
8,8.96633053,0.00880713,0.01753744,0.00007681,0.09274595,0.17671910,0.00877281,159.20384216,202.91761780,115.49005890,3.09829521,-0.02835163,0.03966687,0.55146813
9,8.92682171,0.00877783,0.01748659,0.00006907,0.09229056,0.17626330,0.00831781,148.99377441,187.82566833,110.16188812,3.09509683,-0.02907051,0.04452357,0.54744786
10,8.89449596,0.00875524,0.01744830,0.00006217,0.09190588,0.17592074,0.00789102,139.25817871,173.56262207,104.95374298,3.09206891,-0.02931567,0.04933955,0.54343706
11,8.86768818,0.00873761,0.01741871,0.00005651,0.09158947,0.17565627,0.00752267,130.07620239,160.27174377,99.88066101,3.08992457,-0.02917324,0.05411297,0.53956544
12,8.84312916,0.00872162,0.01739103,0.00005220,0.09131941,0.17540918,0.00722965,121.51344299,148.04698181,94.97990417,3.08917928,-0.02881249,0.05884440,0.53594267
13,8.81807423,0.00870451,0.01735977,0.00004924,0.09107588,0.17513046,0.00702131,113.56735229,136.77386475,90.36083221,3.09007382,-0.02834303,0.06353150,0.53264159
14,8.79115200,0.00868497,0.01732246,0.00004748,0.09084626,0.17479813,0.00689438,106.18397522,126.41503906,85.95291901,3.09257865,-0.02784472,0.06816769,0.52968609
15,8.76306534,0.00866366,0.01728061,0.00004670,0.09063197,0.17442602,0.00683792,99.40840912,117.03060150,81.78621674,3.09646535,-0.02743670,0.07274805,0.52704561
16,8.73554993,0.00864223,0.01723786,0.00004661,0.09043871,0.17404643,0.00683099,93.31608582,108.67355347,77.95862579,3.10137463,-0.02713024,0.07726333,0.52464122
17,8.70991802,0.00862205,0.01719719,0.00004691,0.09026940,0.17368586,0.00685294,87.87126160,101.20443726,74.53807831,3.10693717,-0.02701133,0.08170843,0.52238029
18,8.68747902,0.00860448,0.01716145,0.00004750,0.09013292,0.17336953,0.00689631,83.00107574,94.45472717,71.54742432,3.11275983,-0.02711933,0.08607867,0.52016169
19,8.66844368,0.00858975,0.01713145,0.00004805,0.09002002,0.17310429,0.00693575,78.69471741,88.49232483,68.89710236,3.11840153,-0.02748408,0.09036668,0.51787734
20,8.65223408,0.00857735,0.01710638,0.00004831,0.08991897,0.17288285,0.00695508,74.88446045,83.25698853,66.51193237,3.12347722,-0.02809205,0.09456607,0.51544523
21,8.63747215,0.00856600,0.01708374,0.00004826,0.08981708,0.17268299,0.00695118,71.47206116,78.68060303,64.26351929,3.12769961,-0.02885318,0.09866702,0.51281595
22,8.62310219,0.00855461,0.01706142,0.00004780,0.08970205,0.17248620,0.00691791,68.49079132,74.75501251,62.22656631,3.13091588,-0.02970686,0.10266779,0.50997263
23,8.60882187,0.00854285,0.01703869,0.00004700,0.08957291,0.17228588,0.00685995,65.97726440,71.49042511,60.46409988,3.13312745,-0.03060627,0.10656165,0.50693125
24,8.59484768,0.00853096,0.01701598,0.00004594,0.08943394,0.17208597,0.00678190,63.88684082,68.82914734,58.94453812,3.13445640,-0.03155090,0.11034296,0.50372732
25,8.58188152,0.00851973,0.01699471,0.00004476,0.08929649,0.17189883,0.00669415,62.14783478,66.70415497,57.59151077,3.13513613,-0.03245222,0.11400761,0.50041449
26,8.57060909,0.00850987,0.01697622,0.00004353,0.08916870,0.17173636,0.00660103,60.73520279,65.14405823,56.32634735,3.13546467,-0.03325538,0.11754928,0.49705860
27,8.56134605,0.00850173,0.01696110,0.00004235,0.08905729,0.17160352,0.00651106,59.62124634,64.07713318,55.16535950,3.13575673,-0.03392649,0.12095828,0.49372846
28,8.55383492,0.00849502,0.01694863,0.00004140,0.08896600,0.17149404,0.00643797,58.81488800,63.36272812,54.26705170,3.13630700,-0.03442105,0.12422896,0.49048948
29,8.54746056,0.00848919,0.01693763,0.00004076,0.08889250,0.17139742,0.00638758,58.26780701,62.95313644,53.58247375,3.13734937,-0.03470058,0.12735605,0.48739564
30,8.54155636,0.00848365,0.01692687,0.00004044,0.08883256,0.17130300,0.00636213,57.90538025,62.82442474,52.98633957,3.13903975,-0.03475680,0.13033940,0.48448396
31,8.53579998,0.00847804,0.01691564,0.00004044,0.08878361,0.17120458,0.00636265,57.75778198,62.93185425,52.58370972,3.14142847,-0.03460160,0.13317330,0.48176906
32,8.52999210,0.00847229,0.01690387,0.00004071,0.08874252,0.17110138,0.00638366,57.70040131,63.23028946,52.17050934,3.14447284,-0.03423480,0.13585848,0.47924218
33,8.52456093,0.00846682,0.01689247,0.00004117,0.08871048,0.17100146,0.00641949,57.74108505,63.66318512,51.81898499,3.14801407,-0.03369092,0.13839550,0.47686493
34,8.51984215,0.00846194,0.01688217,0.00004172,0.08868679,0.17091121,0.00646238,57.89990234,64.24489594,51.55491257,3.15184259,-0.03303470,0.14078371,0.47458759
35,8.51606178,0.00845791,0.01687355,0.00004227,0.08867039,0.17083575,0.00650502,58.15095520,64.90465546,51.39725876,3.15570211,-0.03230794,0.14302249,0.47234872
