iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,0.42327285,0.00040661,0.00022681,0.00058641,0.01974935,0.01510321,0.02439549,16.65859985,25.67908287,7.63811493,3.72592545,0.00000000,0.00000000,0.72374570
1,0.24036661,0.00022539,0.00014405,0.00030673,0.01480248,0.01202367,0.01758129,14.97688198,22.83431244,7.11945105,3.74460149,-0.00500000,-0.00500000,0.72874570
2,0.13107759,0.00011750,0.00008646,0.00014854,0.01075947,0.00930856,0.01221037,13.57684517,20.37524986,6.77843952,3.76269555,-0.00985273,-0.00996668,0.73356253
3,0.07090630,0.00005845,0.00004977,0.00006713,0.00762946,0.00705894,0.00819997,12.45958710,18.31216621,6.60700893,3.77975178,-0.01446073,-0.01490268,0.73807591
4,0.04003039,0.00002846,0.00002796,0.00002897,0.00533677,0.00528925,0.00538429,11.56729317,16.57905197,6.55553389,3.79544926,-0.01877199,-0.01979216,0.74220383
5,0.02502228,0.00001416,0.00001577,0.00001255,0.00375751,0.00397181,0.00354320,10.86256790,15.15485382,6.57028246,3.80966067,-0.02275684,-0.02456889,0.74591815
6,0.01785730,0.00000763,0.00000931,0.00000594,0.00274467,0.00305116,0.00243819,10.23165607,13.90960407,6.55370855,3.82240987,-0.02641515,-0.02928651,0.74923033
7,0.01443883,0.00000477,0.00000599,0.00000355,0.00216564,0.00244796,0.00188332,9.66973400,12.85085392,6.48861456,3.83380580,-0.02976378,-0.03399957,0.75217372
8,0.01292421,0.00000366,0.00000442,0.00000291,0.00190407,0.00210311,0.00170503,9.25945759,11.96537495,6.55354023,3.84398532,-0.03283321,-0.03864475,0.75478858
9,0.01248809,0.00000350,0.00000377,0.00000324,0.00187068,0.00194118,0.00180018,8.98398781,11.29164600,6.67633057,3.85308075,-0.03563261,-0.04312897,0.75711274
10,0.01272223,0.00000400,0.00000363,0.00000437,0.00199791,0.00190422,0.00209160,8.72222805,10.73874950,6.70570707,3.86119962,-0.03819620,-0.04748437,0.75917667
11,0.01356279,0.00000508,0.00000387,0.00000628,0.00223705,0.00196712,0.00250698,8.48621941,10.31892681,6.65351152,3.86841989,-0.04053886,-0.05177978,0.76100224
12,0.01506075,0.00000671,0.00000445,0.00000897,0.00255219,0.00210923,0.00299515,8.35209846,10.02894783,6.67524958,3.87478733,-0.04267394,-0.05596640,0.76260328
13,0.01712947,0.00000884,0.00000534,0.00001234,0.00291241,0.00231185,0.00351298,8.28889465,9.89713573,6.68065405,3.88032007,-0.04461450,-0.05997436,0.76398629
14,0.01957487,0.00001131,0.00000650,0.00001612,0.00328302,0.00255035,0.00401570,8.26358509,9.87442684,6.65274286,3.88501382,-0.04635613,-0.06380117,0.76515174
