iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,22.86584473,0.02281911,0.02211148,0.02352674,0.23068511,0.22235745,0.23901279,46.73596573,43.91806030,49.55387115,2.19285321,0.00000000,0.00000000,0.00000000
1,21.33746338,0.02129960,0.02056444,0.02203477,0.21361168,0.20572637,0.22149698,37.85949707,32.48670197,43.23229218,2.20384502,0.00500000,0.00500000,0.00500000
2,19.73329353,0.01970159,0.01894827,0.02045491,0.19717366,0.18974528,0.20460205,31.69948196,24.09225273,39.30670929,2.21490383,0.01000377,0.00999447,0.01000518
3,18.06681824,0.01803913,0.01727937,0.01879888,0.18137185,0.17441498,0.18832873,27.69258499,18.47291756,36.91225052,2.22603679,0.01501144,0.01497670,0.01501798
4,16.35614777,0.01633127,0.01557877,0.01708376,0.16621146,0.15973972,0.17268321,24.87760925,15.56923866,34.18598175,2.23724771,0.02002325,0.01993762,0.02003972
5,14.62581539,0.01460214,0.01387203,0.01533224,0.15170315,0.14572942,0.15767688,23.67813873,15.46257019,31.89370918,2.24853754,0.02503708,0.02486476,0.02507009
6,12.90454006,0.01288028,0.01218813,0.01357242,0.13786313,0.13239864,0.14332762,24.26572037,18.18995476,30.34148788,2.25990272,0.03004463,0.02973842,0.03010670
7,11.22382832,0.01119717,0.01055779,0.01183656,0.12471177,0.11976535,0.12965818,26.65647697,23.77735710,29.53559685,2.27133441,0.03503390,0.03453273,0.03514449
8,9.61658764,0.00958556,0.00901156,0.01015957,0.11227544,0.10785244,0.11669843,31.02682114,32.20658112,29.84706306,2.28281498,0.03998674,0.03921346,0.04017517
9,8.11411381,0.00807650,0.00757708,0.00857593,0.10058277,0.09668408,0.10448147,37.60985184,43.36102676,31.85867882,2.29431939,0.04487633,0.04373721,0.04518682
