iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,0.17902485,0.00011823,0.00016925,0.00006721,0.01062119,0.01303729,0.00820510,60.79377747,35.56606674,86.02149200,2.58109808,0.00000000,0.00000000,0.00000000
1,0.12462884,0.00007959,0.00011604,0.00004313,0.00867959,0.01078793,0.00657126,45.04049683,24.99391174,65.08708191,2.59403586,-0.00500000,0.00500000,0.00500000
2,0.08759178,0.00005428,0.00008141,0.00002715,0.00712217,0.00903183,0.00521252,33.31186676,17.75625038,48.86748505,2.60668254,-0.00987910,0.00992321,0.00985326
3,0.06302571,0.00003813,0.00005926,0.00001701,0.00591445,0.00770377,0.00412513,24.89093399,13.08195305,36.69991684,2.61879754,-0.01451774,0.01470974,0.01446406
4,0.04706930,0.00002804,0.00004505,0.00001103,0.00501873,0.00671582,0.00332164,19.02844048,10.33644295,27.72043800,2.63024950,-0.01878619,0.01931136,0.01878922
5,0.03701824,0.00002205,0.00003653,0.00000757,0.00439914,0.00604677,0.00275151,14.96856499,8.72915077,21.20797920,2.64092898,-0.02261429,0.02368833,0.02278939
6,0.03116152,0.00001882,0.00003204,0.00000560,0.00401424,0.00566253,0.00236595,12.34376907,7.79303122,16.89450645,2.65076113,-0.02598227,0.02781661,0.02644024
7,0.02812507,0.00001740,0.00003032,0.00000448,0.00381230,0.00550854,0.00211605,10.72597694,7.23423958,14.21771526,2.65970469,-0.02884489,0.03166692,0.02973147
8,0.02698912,0.00001725,0.00003061,0.00000390,0.00375471,0.00553464,0.00197478,9.73504353,6.75824451,12.71184254,2.66773748,-0.03123580,0.03522146,0.03265562
9,0.02713063,0.00001789,0.00003209,0.00000369,0.00379377,0.00566714,0.00192040,9.24149895,6.40514565,12.07785320,2.67485380,-0.03318552,0.03846822,0.03521569
10,0.02811569,0.00001903,0.00003440,0.00000367,0.00389132,0.00586784,0.00191481,9.08164787,6.11219788,12.05109787,2.68105865,-0.03471563,0.04139702,0.03741748
11,0.02961344,0.00002045,0.00003709,0.00000380,0.00402170,0.00609299,0.00195041,9.16649914,5.94028616,12.39271259,2.68634987,-0.03582687,0.04399652,0.03925887
12,0.03133310,0.00002195,0.00003990,0.00000401,0.00416056,0.00631964,0.00200147,9.38134670,5.83759880,12.92509460,2.69074607,-0.03656179,0.04626071,0.04074975
13,0.03304768,0.00002339,0.00004252,0.00000425,0.00429316,0.00652448,0.00206185,9.66053391,5.77543736,13.54563141,2.69426823,-0.03695890,0.04818640,0.04190367
14,0.03460805,0.00002465,0.00004481,0.00000449,0.00440843,0.00669814,0.00211872,9.95640182,5.75927591,14.15352821,2.69693470,-0.03703454,0.04976778,0.04272999
15,0.03583296,0.00002563,0.00004656,0.00000469,0.00449710,0.00682773,0.00216647,10.20466614,5.75289059,14.65644264,2.69875574,-0.03678386,0.05100617,0.04323506
16,0.03660753,0.00002623,0.00004762,0.00000485,0.00455291,0.00690454,0.00220129,10.37704182,5.73503637,15.01904774,2.69976163,-0.03624934,0.05190817,0.04343211
17,0.03687980,0.00002643,0.00004794,0.00000493,0.00457409,0.00692777,0.00222041,10.44676399,5.69357824,15.19994926,2.70001364,-0.03545373,0.05248676,0.04334607
18,0.03668746,0.00002626,0.00004757,0.00000495,0.00456298,0.00690101,0.00222495,10.42888355,5.64435434,15.21341228,2.69957471,-0.03444195,0.05276399,0.04300206
