iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,37.09171677,0.03706867,0.03637411,0.03776322,0.72761738,0.63345945,0.82177532,23.05385017,6.21825075,39.88945007,3.05551505,0.00000000,0.00000000,0.00000000
1,36.72657013,0.03670646,0.03590043,0.03751250,0.68425930,0.59184855,0.77666998,20.10829544,5.23638725,34.98020172,3.07083082,0.00500000,-0.00500000,0.00500000
2,36.30740356,0.03628946,0.03535224,0.03722668,0.64217126,0.55159062,0.73275185,17.94460869,4.42773914,31.46147919,3.08624172,0.00998931,-0.01000482,0.01000596
3,35.82470322,0.03580824,0.03471664,0.03689983,0.60133892,0.51267707,0.69000077,16.46985245,3.78810740,29.15159798,3.10176039,0.01495326,-0.01501859,0.01502177
4,35.26743698,0.03525183,0.03397873,0.03652491,0.56175160,0.47510520,0.64839804,15.61051273,3.28020048,27.94082451,3.11739922,0.01986733,-0.02004584,0.02005125
5,34.62295151,0.03460768,0.03312174,0.03609362,0.52340883,0.43888140,0.60793626,15.27576065,2.89594889,27.65557289,3.13317037,0.02466840,-0.02509130,0.02509820
6,33.87688446,0.03386156,0.03212701,0.03559611,0.48631057,0.40401304,0.56860811,15.32250881,2.61362910,28.03138924,3.14908743,0.02921893,-0.03015957,0.03016638
7,33.01311493,0.03299760,0.03097441,0.03502078,0.45045781,0.37050477,0.53041083,15.51516151,2.37593746,28.65438461,3.16516376,0.03320328,-0.03525531,0.03525965
8,32.01381302,0.03199843,0.02964311,0.03435375,0.41584408,0.33835876,0.49332944,15.37981033,2.11114287,28.64847755,3.18141294,0.03605046,-0.04038265,0.04038199
9,30.85974503,0.03084524,0.02811228,0.03357819,0.38244471,0.30755931,0.45733011,14.50966167,1.72195959,27.29736328,3.19784999,0.03719739,-0.04554541,0.04553756
10,29.53183556,0.02951884,0.02636298,0.03267469,0.35023865,0.27807862,0.42239869,13.00131989,1.26092279,24.74171638,3.21449137,0.03666823,-0.05074716,0.05073077
11,28.01392365,0.02800269,0.02438348,0.03162190,0.31923249,0.24991123,0.38855374,11.23468304,0.87304372,21.59632301,3.23135495,0.03485072,-0.05599092,0.05596627
12,26.29555702,0.02628601,0.02217505,0.03039697,0.28945112,0.22307357,0.35582870,9.54770660,0.62520379,18.47020912,3.24845910,0.03210831,-0.06127926,0.06124888
