iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,38.29664230,0.03826324,0.03803381,0.03849266,0.94515693,0.87963456,1.01067924,33.40701294,3.65539837,63.15863037,3.11314654,0.00000000,0.00000000,0.00000000
1,38.10491180,0.03807780,0.03781411,0.03834149,0.89673662,0.83184725,0.96162599,27.11056137,2.45157623,51.76954651,3.12875104,-0.00500000,-0.00500000,0.00500000
2,37.88926315,0.03786735,0.03756356,0.03817115,0.84950536,0.78530073,0.91371000,21.91280174,1.69313419,42.13246918,3.14445424,-0.00997922,-0.00999739,0.01000636
3,37.64549255,0.03762777,0.03727693,0.03797861,0.80344653,0.73998123,0.86691183,17.71955109,1.25657952,34.18252182,3.16027021,-0.01492269,-0.01499375,0.01502329
4,37.36855316,0.03735417,0.03694799,0.03776035,0.75854701,0.69587719,0.82121682,14.38243580,1.06524229,27.69962883,3.17621255,-0.01981339,-0.01999188,0.02005489
5,37.05249023,0.03704076,0.03656938,0.03751215,0.71479797,0.65298349,0.77661240,11.72513676,0.98658842,22.46368599,3.19229531,-0.02462858,-0.02499699,0.02510516
6,36.69039154,0.03668073,0.03613238,0.03722908,0.67219818,0.61130315,0.73309320,9.65799522,0.96219867,18.35379219,3.20853114,-0.02934534,-0.03001610,0.03017801
7,36.27414703,0.03626599,0.03562677,0.03690522,0.63074756,0.57084340,0.69065166,8.15751266,0.95356959,15.36145592,3.22493362,-0.03390306,-0.03505543,0.03527715
8,35.79421616,0.03578705,0.03504054,0.03653355,0.59044915,0.53161597,0.64928234,7.17032099,0.95692950,13.38371277,3.24151564,-0.03820115,-0.04012131,0.04040613
9,35.23933411,0.03523275,0.03435970,0.03610579,0.55131018,0.49363253,0.60898781,6.58724976,0.96466947,12.20983028,3.25829005,-0.04207308,-0.04521992,0.04556838
