iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,10.67476463,0.01065190,0.00661240,0.01469140,0.12069269,0.08900549,0.15237989,22.86416626,13.19620800,32.53212357,1.48658586,0.00000000,0.00000000,0.00000000
1,8.60633087,0.00858398,0.00492626,0.01224171,0.10388587,0.07495445,0.13281728,22.34982109,13.28958321,31.41005898,1.49403739,-0.00500000,0.00500000,0.00500000
2,6.75078869,0.00672850,0.00355454,0.00990246,0.08858944,0.06245967,0.11471921,22.28883553,13.62189579,30.95577431,1.50150251,-0.00890513,0.00910829,0.00998343
3,5.14687252,0.00512504,0.00249216,0.00775792,0.07482918,0.05155335,0.09810501,21.83167267,13.67910385,29.98423958,1.50894845,-0.00961143,0.01123849,0.01492818
4,3.81417513,0.00379313,0.00170538,0.00588087,0.06261949,0.04220580,0.08303319,21.04955292,13.46679115,28.63231277,1.51632917,-0.00806480,0.01113475,0.01980394
5,2.75173950,0.00273154,0.00114596,0.00431712,0.05195678,0.03434758,0.06956599,20.20237350,13.20806217,27.19668388,1.52358735,-0.00537057,0.01000526,0.02457352
6,1.93834531,0.00191889,0.00076125,0.00307652,0.04279407,0.02785720,0.05773095,19.45669174,12.95439529,25.95898819,1.53065884,-0.00204479,0.00831422,0.02919639
7,1.33692694,0.00131802,0.00049957,0.00213647,0.03500002,0.02249193,0.04750810,18.90814972,12.82993698,24.98636055,1.53748143,0.00161619,0.00634126,0.03363403
8,0.90803057,0.00088951,0.00032492,0.00145410,0.02847227,0.01809924,0.03884530,18.51842499,12.82077026,24.21608162,1.54400063,0.00539400,0.00480284,0.03785406
9,0.61168534,0.00059340,0.00021174,0.00097506,0.02310180,0.01458998,0.03161363,18.28546333,12.99391651,23.57701111,1.55017400,0.00908840,0.00406074,0.04183219
10,0.41226548,0.00039415,0.00014004,0.00064827,0.01876225,0.01185448,0.02567002,18.11182785,13.29162502,22.93202972,1.55597234,0.01251027,0.00415508,0.04555329
11,0.28063613,0.00026262,0.00009497,0.00043027,0.01530616,0.00975683,0.02085548,18.01505089,13.64361477,22.38648796,1.56138206,0.01551467,0.00491603,0.04901211
12,0.19473246,0.00017680,0.00006658,0.00028702,0.01258472,0.00816653,0.01700290,17.92967987,13.95891666,21.90044212,1.56640196,0.01793490,0.00615216,0.05221105
13,0.13874391,0.00012094,0.00004820,0.00019368,0.01044870,0.00694660,0.01395080,17.80419731,14.19640636,21.41198921,1.57104146,0.01971295,0.00771321,0.05515869
14,0.10202509,0.00008442,0.00003561,0.00013323,0.00876586,0.00597000,0.01156172,17.60648537,14.32128143,20.89168930,1.57531655,0.02086424,0.00949740,0.05786760
15,0.07769868,0.00006037,0.00002668,0.00009405,0.00743827,0.00516713,0.00970941,17.33241463,14.35764599,20.30718231,1.57924724,0.02146554,0.01144131,0.06035266
16,0.06152255,0.00004451,0.00002043,0.00006858,0.00640482,0.00452093,0.00828870,17.01597786,14.31147861,19.72047806,1.58285594,0.02159574,0.01348937,0.06262943
17,0.05076831,0.00003407,0.00001613,0.00005202,0.00561693,0.00401676,0.00721711,16.69490433,14.21776009,19.17204666,1.58616471,0.02131263,0.01557542,0.06471339
18,0.04364705,0.00002726,0.00001326,0.00004125,0.00503415,0.00364272,0.00642559,16.39172745,14.10445786,18.67899704,1.58919549,0.02069001,0.01757894,0.06661943
19,0.03897461,0.00002289,0.00001148,0.00003429,0.00462372,0.00338879,0.00585864,16.08715439,13.95529175,18.21901894,1.59196925,0.01979820,0.01946480,0.06836171
20,0.03594835,0.00002015,0.00001046,0.00002984,0.00434968,0.00323442,0.00546495,15.79729462,13.76458359,17.83000565,1.59450614,0.01868730,0.02122272,0.06995347
21,0.03411313,0.00001857,0.00001000,0.00002713,0.00418693,0.00316319,0.00521067,15.54516506,13.58115578,17.50917435,1.59682453,0.01742306,0.02281822,0.07140709
