iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,0.32675681,0.00013894,0.00019568,0.00008221,0.01154960,0.01402275,0.00907645,187.81263733,23.41163445,352.21365356,2.69493365,0.00000000,0.00000000,0.00000000
1,0.27380401,0.00010610,0.00015032,0.00006188,0.01007796,0.01228353,0.00787239,167.70564270,16.95043755,318.46084595,2.68149257,-0.00500000,0.00500000,-0.00500000
2,0.23540555,0.00008513,0.00012463,0.00004563,0.00897004,0.01118127,0.00675881,150.27520752,12.54496861,288.00543213,2.66854525,-0.00996047,0.00996229,-0.00987836
3,0.20860362,0.00007316,0.00011332,0.00003301,0.00820392,0.01066017,0.00574768,135.44071960,10.00883293,260.87261963,2.65640187,-0.01484027,0.01487107,-0.01455090
4,0.19158432,0.00006845,0.00011219,0.00002471,0.00778940,0.01060676,0.00497203,123.13751984,9.11094761,237.16409302,2.64545417,-0.01961069,0.01969936,-0.01891343
5,0.18198660,0.00006869,0.00011744,0.00001994,0.00765967,0.01085269,0.00446664,113.29853821,9.78340626,216.81367493,2.63624287,-0.02424167,0.02441790,-0.02282571
6,0.17694792,0.00007128,0.00012521,0.00001735,0.00768707,0.01120732,0.00416682,105.66502380,11.67297935,199.65707397,2.62917972,-0.02870840,0.02899184,-0.02616601
7,0.17426783,0.00007431,0.00013256,0.00001605,0.00776993,0.01153264,0.00400723,99.96162415,14.54472923,185.37852478,2.62440014,-0.03298397,0.03338971,-0.02886426
8,0.17262234,0.00007664,0.00013794,0.00001535,0.00784186,0.01176491,0.00391881,95.97882080,18.08681297,173.87083435,2.62188911,-0.03704201,0.03758079,-0.03087990
9,0.17116009,0.00007765,0.00014049,0.00001481,0.00786107,0.01187358,0.00384857,93.51374054,22.19067764,164.83680725,2.62145448,-0.04083916,0.04152053,-0.03221052
10,0.16960052,0.00007730,0.00014038,0.00001423,0.00782065,0.01186886,0.00377244,92.29967499,26.64828110,157.95106506,2.62277555,-0.04433129,0.04516340,-0.03290638
11,0.16805458,0.00007594,0.00013829,0.00001360,0.00773410,0.01177987,0.00368833,92.11225128,31.20504189,153.01945496,2.62550521,-0.04746949,0.04846269,-0.03304314
12,0.16663131,0.00007405,0.00013510,0.00001299,0.00762366,0.01164311,0.00360421,92.58616638,35.58710480,149.58522034,2.62932038,-0.05020800,0.05138278,-0.03270709
13,0.16556305,0.00007218,0.00013186,0.00001250,0.00751891,0.01150214,0.00353568,93.38294220,39.47062302,147.29525757,2.63388228,-0.05251843,0.05388403,-0.03199818
14,0.16498223,0.00007072,0.00012926,0.00001218,0.00743874,0.01138763,0.00348985,94.26506042,42.70952988,145.82058716,2.63888836,-0.05437900,0.05595123,-0.03101057
15,0.16501999,0.00006997,0.00012786,0.00001207,0.00740039,0.01132563,0.00347514,95.05353546,45.19618607,144.91088867,2.64403296,-0.05578968,0.05757418,-0.02983962
16,0.16559586,0.00006998,0.00012775,0.00001222,0.00740830,0.01132079,0.00349580,95.61189270,46.85998917,144.36380005,2.64902091,-0.05674914,0.05875490,-0.02857346
17,0.16656071,0.00007069,0.00012880,0.00001259,0.00745781,0.01136740,0.00354822,95.86682892,47.68493652,144.04872131,2.65355778,-0.05728422,0.05951178,-0.02730130
