iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,9.72705269,0.00936700,0.01365324,0.00508077,0.11013158,0.14397410,0.07628905,360.04748535,249.83341980,470.26153564,2.41057324,0.00000000,0.00000000,0.00000000
1,8.79332733,0.00841963,0.01268537,0.00415389,0.10218945,0.13629626,0.06808265,373.69696045,264.38058472,483.01333618,2.42265630,0.00500000,-0.00500000,0.00500000
2,7.96022654,0.00757196,0.01178998,0.00335393,0.09490061,0.12929590,0.06050531,388.27151489,278.85385132,497.68917847,2.43475223,0.00973929,-0.01000260,0.00998007
3,7.22586203,0.00682527,0.01097281,0.00267772,0.08826864,0.12296638,0.05357090,400.59570312,290.76040649,510.43096924,2.44682288,0.01375582,-0.01500191,0.01492485
4,6.58346844,0.00617753,0.01023799,0.00211707,0.08229101,0.11730225,0.04727977,405.93884277,296.40011597,515.47753906,2.45882344,0.01639440,-0.01999369,0.01981665
5,6.02260160,0.00562046,0.00958002,0.00166091,0.07693199,0.11223637,0.04162761,402.14138794,294.76416016,509.51861572,2.47070932,0.01738056,-0.02496991,0.02463838
6,5.52984715,0.00513982,0.00898656,0.00129308,0.07210723,0.10765932,0.03655514,390.02966309,286.67285156,493.38644409,2.48243499,0.01688435,-0.02992829,0.02937242
7,5.09509039,0.00472233,0.00844332,0.00100135,0.06775013,0.10345247,0.03204779,372.75674438,274.29571533,471.21777344,2.49396849,0.01531368,-0.03486372,0.03400692
8,4.71082354,0.00435814,0.00794363,0.00077265,0.06381424,0.09955945,0.02806902,352.68078613,259.57000732,445.79159546,2.50528455,0.01297321,-0.03976098,0.03853351
9,4.37170982,0.00404040,0.00748646,0.00059433,0.06026608,0.09597015,0.02456201,331.31417847,243.55549622,419.07287598,2.51635838,0.01008156,-0.04460732,0.04294335
10,4.06736469,0.00375773,0.00705931,0.00045614,0.05703308,0.09258588,0.02148029,309.63977051,227.15710449,392.12246704,2.52717805,0.00677751,-0.04938922,0.04723300
