iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,22.61389160,0.02255084,0.03370318,0.01139850,0.29448199,0.46270579,0.12625818,63.04688644,20.55204201,105.54173279,3.04338908,0.00000000,0.00000000,0.00000000
1,21.45550156,0.02139810,0.03311704,0.00967916,0.27585021,0.43870047,0.11299992,57.40279388,17.47764587,97.32794189,3.05864429,-0.00500000,0.00500000,0.00500000
2,20.31864357,0.02026589,0.03248386,0.00804792,0.25807843,0.41578263,0.10037421,52.75657272,14.97966671,90.53347778,3.07397151,-0.00999947,0.01000576,0.00999755
3,19.22044754,0.01917148,0.03180374,0.00653922,0.24119157,0.39396834,0.08841477,48.96800995,13.20034313,84.73567963,3.08935761,-0.01499119,0.01501987,0.01498747
4,18.17929459,0.01813332,0.03107835,0.00518828,0.22524624,0.37328148,0.07721100,45.97740173,11.97308350,79.98171997,3.10478377,-0.01995960,0.02004524,0.01996247
5,17.20936966,0.01716564,0.03031041,0.00402088,0.21029542,0.35373101,0.06685984,43.72629547,11.33491611,76.11767578,3.12021899,-0.02488627,0.02507721,0.02491138
6,16.31676292,0.01627462,0.02950535,0.00304389,0.19637358,0.33534852,0.05739865,42.14096069,11.23978138,73.04213715,3.13562417,-0.02972736,0.03011120,0.02982100
7,15.50184631,0.01546078,0.02866901,0.00225255,0.18349251,0.31812838,0.04885665,41.06529999,11.59884357,70.53175354,3.15096068,-0.03445074,0.03515728,0.03467768
8,14.75982952,0.01471946,0.02781043,0.00162848,0.17164710,0.30209228,0.04120190,40.37177277,12.42802048,68.31552887,3.16618943,-0.03900497,0.04020890,0.03946881
9,14.08502007,0.01404506,0.02693769,0.00115243,0.16082889,0.28721038,0.03444739,39.95960999,13.46090603,66.45831299,3.18127775,-0.04332842,0.04527227,0.04418357
10,13.47031116,0.01343037,0.02605886,0.00080187,0.15102167,0.27343786,0.02860548,39.94491196,14.78692722,65.10289764,3.19619727,-0.04738261,0.05034535,0.04881288
11,12.90637398,0.01286608,0.02518234,0.00054982,0.14216977,0.26072839,0.02361117,40.29009247,16.31465530,64.26552582,3.21092892,-0.05114290,0.05541234,0.05335113
12,12.38614655,0.01234526,0.02432050,0.00037002,0.13420603,0.24908654,0.01932552,40.88507080,18.08647919,63.68366623,3.22546124,-0.05458650,0.06046198,0.05779541
13,11.90654373,0.01186483,0.02348656,0.00024309,0.12707846,0.23851787,0.01563906,41.71785355,20.08204079,63.35366440,3.23978543,-0.05770674,0.06548524,0.06214355
14,11.46566677,0.01142288,0.02268990,0.00015587,0.12074421,0.22897939,0.01250903,42.78583527,22.29209328,63.27957535,3.25389075,-0.06050126,0.07047596,0.06639337
15,11.06316376,0.01101913,0.02193981,0.00009845,0.11518580,0.22043742,0.00993419,44.03564072,24.57180214,63.49947739,3.26776218,-0.06294743,0.07541598,0.07054152
16,10.69609928,0.01065073,0.02123968,0.00006179,0.11033632,0.21280600,0.00786663,45.36495209,26.90497971,63.82492447,3.28138304,-0.06504440,0.08028951,0.07458455
