iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,39.92296600,0.03989362,0.03992110,0.03986615,3.97523689,4.49882317,3.45165086,29.34333420,30.72784805,27.95882034,1.49758220,0.00000000,0.00000000,0.00000000
1,39.91118240,0.03989069,0.03991888,0.03986250,3.92111015,4.43682289,3.40539718,20.49336815,23.23199463,17.75474167,1.50508893,-0.00500000,0.00500000,0.00500000
2,39.90311050,0.03988766,0.03991659,0.03985873,3.86734104,4.37523556,3.35944676,15.44907856,18.55408287,12.34407425,1.51263714,-0.00994918,0.00955729,0.00987044
3,39.89730453,0.03988450,0.03991420,0.03985480,3.81364155,4.31374931,3.31353402,12.80474854,16.12336922,9.48612881,1.52023292,-0.01481473,0.01310865,0.01453374
4,39.89264297,0.03988118,0.03991169,0.03985067,3.75956202,4.25189400,3.26723027,11.46209908,15.00121880,7.92297935,1.52788270,-0.01953972,0.01531999,0.01901265
5,39.88808441,0.03987768,0.03990905,0.03984632,3.70496631,4.18952084,3.22041178,10.40412807,14.03298378,6.77527285,1.53559232,-0.02412087,0.01606897,0.02330090
6,39.88338852,0.03987398,0.03990626,0.03984171,3.64981508,4.12659740,3.17303276,9.40355301,13.02579117,5.78131485,1.54336727,-0.02849886,0.01558545,0.02746521
7,39.87852859,0.03987008,0.03990332,0.03983684,3.59411383,4.06313562,3.12509227,8.45404911,12.02995777,4.87813997,1.55121207,-0.03265285,0.01423879,0.03159811
8,39.87371445,0.03986594,0.03990021,0.03983167,3.53783417,3.99912071,3.07654786,7.77699852,11.36547947,4.18851757,1.55913174,-0.03652519,0.01231760,0.03578434
9,39.86896896,0.03986154,0.03989691,0.03982618,3.48098254,3.93457127,3.02739382,7.42403078,11.18991661,3.65814495,1.56713140,-0.04006013,0.01001930,0.04007492
10,39.86420822,0.03985689,0.03989343,0.03982035,3.42361307,3.86955333,2.97767305,7.31756496,11.35866642,3.27646399,1.57521617,-0.04322774,0.00753476,0.04450367
11,39.85934830,0.03985196,0.03988974,0.03981417,3.36581421,3.80416393,2.92746472,7.39286137,11.85058308,2.93513942,1.58339131,-0.04601709,0.00502774,0.04908764
12,39.85440445,0.03984673,0.03988585,0.03980761,3.30771160,3.73853374,2.87688947,7.67527962,12.57117176,2.77938747,1.59166217,-0.04843045,0.00262108,0.05382030
13,39.84919739,0.03984120,0.03988174,0.03980066,3.24942446,3.67278838,2.82606077,7.99775648,13.35153103,2.64398170,1.60003495,-0.05047608,0.00042506,0.05869243
14,39.84366608,0.03983535,0.03987740,0.03979331,3.19102716,3.60699272,2.77506161,8.31707382,14.08259392,2.55155277,1.60851490,-0.05220783,-0.00151948,0.06368829
15,39.83775330,0.03982916,0.03987281,0.03978552,3.13257217,3.54120040,2.72394371,8.58641243,14.68826580,2.48455906,1.61710823,-0.05363540,-0.00318111,0.06879644
16,39.83140564,0.03982262,0.03986797,0.03977727,3.07410669,3.47545958,2.67275381,8.78233337,15.11840630,2.44625998,1.62582159,-0.05476545,-0.00451936,0.07400898
17,39.82457352,0.03981569,0.03986285,0.03976852,3.01562738,3.40976048,2.62149429,8.88967705,15.37146854,2.40788507,1.63466072,-0.05561880,-0.00556853,0.07931428
18,39.81726456,0.03980834,0.03985744,0.03975924,2.95711946,3.34408069,2.57015848,8.92144394,15.46727085,2.37561727,1.64363194,-0.05621506,-0.00636671,0.08470404
19,39.80943680,0.03980052,0.03985168,0.03974937,2.89853716,3.27836251,2.51871204,8.91254997,15.46967697,2.35542274,1.65274119,-0.05658647,-0.00699536,0.09016873
20,39.80108643,0.03979221,0.03984557,0.03973885,2.83984041,3.21255469,2.46712613,8.87774563,15.42441082,2.33108091,1.66199446,-0.05676699,-0.00751765,0.09570223
21,39.79216766,0.03978333,0.03983905,0.03972761,2.78098440,3.14660597,2.41536283,8.83920860,15.38262463,2.29579210,1.67139804,-0.05677274,-0.00799661,0.10130084
22,39.78266907,0.03977384,0.03983210,0.03971559,2.72193193,3.08046579,2.36339784,8.82229805,15.37808323,2.26651287,1.68095815,-0.05664382,-0.00849001,0.10696086
23,39.77251053,0.03976367,0.03982465,0.03970269,2.66264009,3.01408339,2.31119657,8.83484459,15.40935898,2.26032996,1.69068086,-0.05639903,-0.00905921,0.11268016
24,39.76161957,0.03975274,0.03981666,0.03968882,2.60305119,2.94739199,2.25871038,8.87714100,15.49190617,2.26237655,1.70057285,-0.05605811,-0.00978450,0.11845738
25,39.74991226,0.03974097,0.03980807,0.03967388,2.54314518,2.88036585,2.20592475,8.94081497,15.60201550,2.27961493,1.71064055,-0.05564143,-0.01069425,0.12429412
26,39.73728943,0.03972827,0.03979881,0.03965773,2.48289776,2.81296873,2.15282679,9.02249432,15.75321293,2.29177499,1.72089028,-0.05519620,-0.01182511,0.13019115
27,39.72365952,0.03971453,0.03978881,0.03964025,2.42231417,2.74520636,2.09942198,9.12934017,15.93992138,2.31875873,1.73132896,-0.05472920,-0.01316691,0.13615350
28,39.70889282,0.03969964,0.03977799,0.03962130,2.36141968,2.67710519,2.04573417,9.25066376,16.13662529,2.36470246,1.74196267,-0.05424766,-0.01468529,0.14218792
29,39.69290161,0.03968348,0.03976626,0.03960071,2.30021644,2.60866380,1.99176919,9.41883469,16.39585876,2.44180965,1.75279868,-0.05378045,-0.01638426,0.14829780
30,39.67552567,0.03966590,0.03975351,0.03957830,2.23872972,2.53989911,1.93756032,9.62421513,16.70806313,2.54036713,1.76384282,-0.05338200,-0.01824573,0.15448618
31,39.65662384,0.03964674,0.03973963,0.03955384,2.17698312,2.47083592,1.88313031,9.88882446,17.11400414,2.66364551,1.77510250,-0.05306379,-0.02025339,0.16075630
32,39.63596725,0.03962580,0.03972448,0.03952711,2.11501122,2.40151048,1.82851171,10.16878033,17.58993149,2.74762869,1.78658438,-0.05284274,-0.02238269,0.16711189
33,39.61336899,0.03960287,0.03970792,0.03949782,2.05284262,2.33195496,1.77373004,10.50024223,18.15538025,2.84510350,1.79829478,-0.05271820,-0.02462445,0.17355643
34,39.58860016,0.03957772,0.03968978,0.03946567,1.99053001,2.26222658,1.71883333,10.87879276,18.82138443,2.93620062,1.81024027,-0.05269996,-0.02693488,0.18009354
35,39.56136703,0.03955007,0.03966986,0.03943029,1.92811167,2.19236493,1.66385841,11.29703999,19.56017685,3.03390288,1.82242727,-0.05281356,-0.02930002,0.18672478
36,39.53134537,0.03951961,0.03964794,0.03939127,1.86564445,2.12243366,1.60885537,11.73639584,20.37893295,3.09385824,1.83486164,-0.05306064,-0.03169289,0.19345190
37,39.49815750,0.03948595,0.03962377,0.03934813,1.80317354,2.05248642,1.55386078,12.20538425,21.27156258,3.13920641,1.84754932,-0.05343029,-0.03410443,0.20027597
38,39.46136856,0.03944867,0.03959703,0.03930030,1.74072993,1.98255825,1.49890161,12.70352554,22.22694778,3.18010426,1.86049581,-0.05392791,-0.03655219,0.20719700
39,39.42049026,0.03940726,0.03956739,0.03924713,1.67836833,1.91271567,1.44402087,13.22903728,23.24271393,3.21536064,1.87370634,-0.05454761,-0.03902641,0.21421537
40,39.37490845,0.03936113,0.03953444,0.03918783,1.61613488,1.84301579,1.38925397,13.77352333,24.32225418,3.22479200,1.88718593,-0.05527258,-0.04154075,0.22133121
41,39.32395935,0.03930959,0.03949770,0.03912149,1.55407453,1.77350938,1.33463967,14.36725998,25.50304604,3.23147297,1.90093827,-0.05610367,-0.04411662,0.22854407
42,39.26683807,0.03925182,0.03945661,0.03904703,1.49223733,1.70425808,1.28021657,15.01897240,26.80131721,3.23662710,1.91496801,-0.05702982,-0.04677399,0.23585327
43,39.20258713,0.03918684,0.03941053,0.03896315,1.43067813,1.63533235,1.22602391,15.74397659,28.23943710,3.24851656,1.92927802,-0.05802445,-0.04953606,0.24325809
44,39.13006973,0.03911348,0.03935866,0.03886830,1.36943316,1.56677282,1.17209339,16.59189606,29.91074944,3.27304220,1.94387150,-0.05909913,-0.05245409,0.25075728
45,39.04793167,0.03903036,0.03930007,0.03876065,1.30856323,1.49864531,1.11848128,17.57446480,31.87162018,3.27730846,1.95875072,-0.06025152,-0.05555514,0.25834969
46,38.95456696,0.03893580,0.03923363,0.03863796,1.24811316,1.43100095,1.06522548,18.77070618,34.23439026,3.30702090,1.97391760,-0.06145531,-0.05890871,0.26603377
47,38.84798431,0.03882775,0.03915799,0.03849751,1.18813515,1.36389911,1.01237118,20.23229980,37.13314056,3.33146000,1.98937333,-0.06271920,-0.06256714,0.27380782
48,38.72584915,0.03870380,0.03907156,0.03833604,1.12870598,1.29743183,0.95998001,22.04724312,40.72385025,3.37063622,2.00511837,-0.06400298,-0.06657936,0.28166994
49,38.58532333,0.03856098,0.03897240,0.03814956,1.06989348,1.23168004,0.90810686,24.34615707,45.27907944,3.41323400,2.02115250,-0.06529577,-0.07100611,0.28961790
50,38.42299271,0.03839577,0.03885821,0.03793333,1.01180089,1.16675103,0.85685068,27.22245407,51.01874542,3.42616296,2.03747535,-0.06656267,-0.07586337,0.29764915
51,38.23465729,0.03820387,0.03872621,0.03768153,0.95453119,1.10276830,0.80629408,30.78573990,58.10599899,3.46547985,2.05408502,-0.06776541,-0.08116450,0.30576083
52,38.01517105,0.03798003,0.03857299,0.03738708,0.89817739,1.03982186,0.75653291,35.13599777,66.72403717,3.54795766,2.07097983,-0.06889395,-0.08692748,0.31394988
53,37.75851822,0.03771797,0.03839447,0.03704147,0.84285724,0.97803563,0.70767885,40.55192184,77.17021942,3.93362355,2.08815742,-0.06987409,-0.09313487,0.32221279
54,37.45715332,0.03741002,0.03818555,0.03663449,0.78867960,0.91750234,0.65985686,47.13572693,89.47714233,4.79430866,2.10561442,-0.07067973,-0.09974454,0.33054578
55,37.10214996,0.03704694,0.03793997,0.03615391,0.73574996,0.85830647,0.61319351,55.20984268,103.93813324,6.48154879,2.12334776,-0.07133175,-0.10671838,0.33894506
56,36.68272018,0.03661779,0.03765044,0.03558513,0.68421215,0.80061114,0.56781316,64.93506622,120.63387299,9.23625851,2.14135432,-0.07182717,-0.11400720,0.34740669
57,36.18587875,0.03610941,0.03730789,0.03491093,0.63418257,0.74453384,0.52383137,76.46829224,139.63323975,13.30334949,2.15963197,-0.07219476,-0.12157308,0.35592714
58,35.59637833,0.03550646,0.03690163,0.03411128,0.58578849,0.69021857,0.48135835,89.91828918,160.93907166,18.89750099,2.17817950,-0.07243457,-0.12938727,0.36450368
59,34.89660645,0.03479101,0.03641856,0.03316347,0.53913164,0.63776731,0.44049597,105.59536743,184.80964661,26.38109589,2.19699836,-0.07261133,-0.13741842,0.37313429
60,34.06648254,0.03394294,0.03584297,0.03204290,0.49430951,0.58727342,0.40134561,123.54347229,211.07104492,36.01589584,2.21609187,-0.07279752,-0.14563982,0.38181812
61,33.08427429,0.03294041,0.03515639,0.03072442,0.45141226,0.53882456,0.36399996,143.86833191,239.75825500,47.97842026,2.23546648,-0.07309964,-0.15402806,0.39055559
62,31.92741966,0.03176069,0.03433796,0.02918340,0.41052055,0.49252802,0.32851312,166.73472595,270.93072510,62.53871918,2.25513291,-0.07348811,-0.16255806,0.39934871
63,30.57463455,0.03038244,0.03336517,0.02739970,0.37171245,0.44849929,0.29492557,192.19982910,304.30557251,80.09407043,2.27510548,-0.07391133,-0.17119533,0.40820092
64,29.00871468,0.02878875,0.03221459,0.02536291,0.33505154,0.40683252,0.26327053,219.96266174,339.40417480,100.52115631,2.29540181,-0.07434274,-0.17987967,0.41711724
65,27.21994972,0.02697065,0.03086422,0.02307708,0.30057982,0.36760807,0.23355158,249.29618835,375.38836670,123.20401001,2.31604385,-0.07506493,-0.18847592,0.42610395
66,25.21839905,0.02494022,0.02930076,0.02057968,0.26842833,0.33097336,0.20588329,278.17877197,409.98110962,146.37646484,2.33705497,-0.07626782,-0.19666435,0.43516776
67,23.02926445,0.02272753,0.02752485,0.01793021,0.23867372,0.29707739,0.18027003,301.73648071,437.97946167,165.49348450,2.35845971,-0.07784451,-0.20374329,0.44431499
68,20.68926620,0.02037660,0.02554852,0.01520468,0.21126935,0.26592350,0.15661518,312.66586304,451.66842651,173.66331482,2.38027525,-0.07977539,-0.20869718,0.45354837
69,18.24557114,0.01793861,0.02337371,0.01250351,0.18600142,0.23713531,0.13486752,306.95959473,446.83627319,167.08293152,2.40250349,-0.08208793,-0.21095878,0.46286395
70,15.74963951,0.01546158,0.02098865,0.00993450,0.16255464,0.21014348,0.11496580,288.06402588,426.97750854,149.15055847,2.42512846,-0.08498397,-0.21090940,0.47224924
