iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale,tx,ty,tz
0,36.11150360,0.03609117,0.03504537,0.03713698,0.62611234,0.53191179,0.72031283,20.33253860,7.36031246,33.30476379,3.72592545,0.00000000,0.00000000,0.00000000
1,35.58635712,0.03556722,0.03435219,0.03678226,0.58472377,0.49325016,0.67619741,19.13574791,7.13738537,31.13411140,3.74460149,-0.00500000,0.00500000,0.00500000
2,34.97776031,0.03495938,0.03354598,0.03637279,0.54465079,0.45596859,0.63333303,18.37401009,6.94782305,29.80019760,3.76339269,-0.01000269,0.00992886,0.01000587
3,34.27127075,0.03425325,0.03260767,0.03589882,0.50588375,0.42004856,0.59171897,18.02486992,6.83778095,29.21195984,3.78231311,-0.01501257,0.01457106,0.01502145
4,33.45056534,0.03343270,0.03151673,0.03534866,0.46842283,0.38549525,0.55135041,17.86579895,6.75355196,28.97804642,3.80137777,-0.02003130,0.01856628,0.02005059
5,32.49769592,0.03247980,0.03025159,0.03470801,0.43225753,0.35231999,0.51219505,17.89542770,6.73240614,29.05844879,3.82060313,-0.02506779,0.02205389,0.02509720
6,31.39367104,0.03137557,0.02879057,0.03396056,0.39739454,0.32052615,0.47426289,18.10317039,6.70059347,29.50574684,3.84000587,-0.03012664,0.02522318,0.03016533
7,30.11936188,0.03010087,0.02711467,0.03308707,0.36383754,0.29012442,0.43755066,18.49203682,6.69279146,30.29128265,3.85960412,-0.03520545,0.02813376,0.03525931
8,28.65751457,0.02863853,0.02521157,0.03206549,0.33159769,0.26113731,0.40205809,18.98566055,6.71397924,31.25734329,3.87941766,-0.04031144,0.03053321,0.04038372
9,26.99492645,0.02697513,0.02307933,0.03087094,0.30068082,0.23357849,0.36778313,19.79448700,6.78831244,32.80066299,3.89946938,-0.04543739,0.03338518,0.04554346
10,25.12542915,0.02510465,0.02073232,0.02947698,0.27109873,0.20746236,0.33473510,20.77731514,6.81162500,34.74300385,3.91978240,-0.05057025,0.03639382,0.05074360
11,23.05496025,0.02303308,0.01820898,0.02785719,0.24287601,0.18282434,0.30292767,21.87730789,6.78749990,36.96711731,3.94038010,-0.05570546,0.03932736,0.05598904
12,20.80498695,0.02078177,0.01557424,0.02598930,0.21604772,0.15970162,0.27239382,23.22010994,6.82902098,39.61119843,3.96128440,-0.06084172,0.04244360,0.06128398
13,18.41573143,0.01839090,0.01292257,0.02385922,0.19066398,0.13816585,0.24316211,24.83473778,6.98646879,42.68300629,3.98251081,-0.06590549,0.04574688,0.06663093
14,15.94582748,0.01591917,0.01036559,0.02147276,0.16679849,0.11828479,0.21531218,26.65191269,7.18616676,46.11766052,4.00406313,-0.07082041,0.04911677,0.07202946
15,13.47094250,0.01344221,0.00802126,0.01886317,0.14455158,0.10016605,0.18893711,28.73021126,7.47785425,49.98256683,4.02592850,-0.07542767,0.05301616,0.07747462
16,11.07231808,0.01104149,0.00598679,0.01609620,0.12401335,0.08390794,0.16411875,30.82586670,7.85899973,53.79273224,4.04806614,-0.07934590,0.05715548,0.08295532
17,8.83227539,0.00879988,0.00432161,0.01327815,0.10529457,0.06960652,0.14098263,32.39519501,8.17945862,56.61093140,4.07040644,-0.08225524,0.06046922,0.08845297
18,6.82526159,0.00679217,0.00304043,0.01054392,0.08851089,0.05736327,0.11965849,33.08823395,8.39588547,57.78057861,4.09284019,-0.08381806,0.06264050,0.09394018
19,5.10477829,0.00507223,0.00211039,0.00803407,0.07373355,0.04720099,0.10026611,32.54850769,8.38866615,56.70835114,4.11521912,-0.08411401,0.06258077,0.09938068
20,3.69944024,0.00366801,0.00146925,0.00586677,0.06098559,0.03905473,0.08291645,31.43360519,8.25099945,54.61621094,4.13735676,-0.08334970,0.06190204,0.10473047
21,2.60356951,0.00257369,0.00104057,0.00410681,0.05016856,0.03268579,0.06765132,29.88007164,8.01807308,51.74206924,4.15904665,-0.08179855,0.06053102,0.10994131
22,1.78402102,0.00175605,0.00075174,0.00276037,0.04106543,0.02767924,0.05445162,27.96618271,7.76711464,48.16525269,4.18008423,-0.07967991,0.05809593,0.11496662
23,1.19345856,0.00116760,0.00054799,0.00178721,0.03341202,0.02357126,0.04325277,25.85531044,7.49883318,44.21178818,4.20028543,-0.07717539,0.05475914,0.11976616
24,0.78182983,0.00075810,0.00039722,0.00111898,0.02697957,0.02003010,0.03392905,23.73102951,7.22060394,40.24145508,4.21950865,-0.07443172,0.05083906,0.12430958
25,0.50287932,0.00048118,0.00028249,0.00067987,0.02158289,0.01686702,0.02629876,21.70099258,6.98926020,36.41272354,4.23764944,-0.07154676,0.04654505,0.12857682
26,0.31895378,0.00029911,0.00019602,0.00040220,0.01709584,0.01403514,0.02015654,19.84342957,6.86328125,32.82357788,4.25465155,-0.06859299,0.04193460,0.13255821
27,0.20075178,0.00018258,0.00013269,0.00023248,0.01341500,0.01153809,0.01529191,18.16721725,6.77937508,29.55505943,4.27049017,-0.06564303,0.03704581,0.13625200
28,0.12611024,0.00010947,0.00008726,0.00013169,0.01042287,0.00935140,0.01149435,16.63871956,6.69172907,26.58570862,4.28517485,-0.06275067,0.03190687,0.13966373
29,0.07993574,0.00006465,0.00005567,0.00007363,0.00802767,0.00746665,0.00858869,15.28416634,6.62177086,23.94656181,4.29873705,-0.05995662,0.02656602,0.14280385
30,0.05209970,0.00003800,0.00003490,0.00004111,0.00616248,0.00590983,0.00641513,14.09607124,6.59766674,21.59447479,4.31122303,-0.05728212,0.02108555,0.14568590
31,0.03566463,0.00002261,0.00002179,0.00002344,0.00475573,0.00466903,0.00484244,13.05292606,6.56095839,19.54489326,4.32269049,-0.05474667,0.01553436,0.14832531
32,0.02600552,0.00001391,0.00001371,0.00001410,0.00372991,0.00370399,0.00375583,12.09743500,6.45871878,17.73615074,4.33320189,-0.05235770,0.00993774,0.15073855
33,0.02032921,0.00000907,0.00000885,0.00000930,0.00301176,0.00297438,0.00304914,11.25916862,6.35841656,16.15992165,4.34282160,-0.05011958,0.00434544,0.15294234
34,0.01711356,0.00000649,0.00000599,0.00000699,0.00254597,0.00244798,0.00264397,10.62302876,6.27528095,14.97077656,4.35161734,-0.04803101,-0.00118422,0.15495309
35,0.01537875,0.00000523,0.00000431,0.00000614,0.00227739,0.00207578,0.00247899,10.15231228,6.25813532,14.04648876,4.35965061,-0.04608959,-0.00654988,0.15678650
36,0.01458503,0.00000478,0.00000334,0.00000623,0.00216106,0.00182630,0.00249582,9.80340481,6.28615618,13.32065392,4.36698294,-0.04428863,-0.01170520,0.15845725
37,0.01442138,0.00000491,0.00000280,0.00000701,0.00216057,0.00167300,0.00264814,9.51630211,6.32361460,12.70898914,4.37367010,-0.04262057,-0.01664592,0.15997896
38,0.01475774,0.00000548,0.00000254,0.00000841,0.00224755,0.00159405,0.00290105,9.28015709,6.33276033,12.22755432,4.37976408,-0.04108442,-0.02138421,0.16136411
39,0.01561556,0.00000647,0.00000248,0.00001046,0.00240382,0.00157350,0.00323413,9.14924526,6.31607294,11.98241711,4.38531256,-0.03967079,-0.02590304,0.16262408
40,0.01691203,0.00000784,0.00000256,0.00001311,0.00261135,0.00160069,0.00362202,9.07365608,6.25576019,11.89155293,4.39035892,-0.03837380,-0.03013617,0.16376920
41,0.01859228,0.00000955,0.00000278,0.00001632,0.00285471,0.00166839,0.00404103,9.03898430,6.20819807,11.86977005,4.39494228,-0.03718803,-0.03403457,0.16480881
42,0.02062281,0.00001157,0.00000313,0.00002000,0.00312137,0.00176916,0.00447358,9.05651283,6.20440626,11.90861988,4.39909792,-0.03610796,-0.03761058,0.16575126
43,0.02296915,0.00001384,0.00000358,0.00002409,0.00340121,0.00189297,0.00490945,9.13354492,6.23600006,12.03109074,4.40285826,-0.03512711,-0.04079576,0.16660415
44,0.02553528,0.00001631,0.00000414,0.00002849,0.00368692,0.00203461,0.00533924,9.22210789,6.27329159,12.17092419,4.40625095,-0.03424350,-0.04356422,0.16737425
45,0.02824082,0.00001893,0.00000478,0.00003308,0.00397074,0.00218759,0.00575389,9.30838108,6.28687477,12.32988739,4.40930367,-0.03345448,-0.04596085,0.16806777
46,0.03103171,0.00002164,0.00000551,0.00003777,0.00424782,0.00234712,0.00614852,9.39331627,6.30924988,12.47738266,4.41203880,-0.03275555,-0.04798334,0.16869029
47,0.03384073,0.00002437,0.00000629,0.00004245,0.00451345,0.00250779,0.00651911,9.46988869,6.31521845,12.62455845,4.41447830,-0.03214435,-0.04965732,0.16924687
48,0.03660610,0.00002707,0.00000710,0.00004704,0.00476386,0.00266509,0.00686264,9.53516102,6.32142687,12.74889565,4.41664171,-0.03161541,-0.05101213,0.16974208
49,0.03927432,0.00002969,0.00000792,0.00005145,0.00499628,0.00281509,0.00717747,9.58779526,6.32512474,12.85046673,4.41854811,-0.03116498,-0.05207958,0.17018013
50,0.04179587,0.00003216,0.00000873,0.00005560,0.00520833,0.00295514,0.00746152,9.63197327,6.33373928,12.93020630,4.42021275,-0.03078927,-0.05286890,0.17056490
51,0.04412085,0.00003446,0.00000950,0.00005941,0.00539845,0.00308324,0.00771366,9.66272926,6.34029150,12.98516750,4.42165232,-0.03048684,-0.05338672,0.17090003
52,0.04621656,0.00003653,0.00001023,0.00006284,0.00556591,0.00319833,0.00793349,9.68253899,6.34801054,13.01706791,4.42288160,-0.03025401,-0.05365749,0.17118889
53,0.04805729,0.00003837,0.00001088,0.00006587,0.00571061,0.00329874,0.00812248,9.68492126,6.34815598,13.02168560,4.42391443,-0.03008405,-0.05370527,0.17143469
54,0.04962737,0.00003995,0.00001145,0.00006845,0.00583241,0.00338419,0.00828063,9.67690563,6.34887505,13.00493622,4.42476368,-0.02997286,-0.05355560,0.17164035
55,0.05092127,0.00004126,0.00001193,0.00007059,0.00593207,0.00345469,0.00840945,9.65852737,6.34630203,12.97075176,4.42544174,-0.02991548,-0.05324465,0.17180873
56,0.05193976,0.00004231,0.00001232,0.00007229,0.00601025,0.00351036,0.00851015,9.63444424,6.34504175,12.92384624,4.42596102,-0.02990831,-0.05278955,0.17194250
57,0.05267853,0.00004308,0.00001261,0.00007355,0.00606761,0.00355139,0.00858383,9.60097313,6.33787489,12.86407185,4.42633295,-0.02994697,-0.05222251,0.17204422
58,0.05315491,0.00004359,0.00001280,0.00007438,0.00610552,0.00357880,0.00863224,9.56450176,6.33241653,12.79658699,4.42656803,-0.03002725,-0.05155392,0.17211631
59,0.05338336,0.00004386,0.00001291,0.00007481,0.00612512,0.00359301,0.00865724,9.52677822,6.32708311,12.72647381,4.42667770,-0.03014458,-0.05083963,0.17216107
60,0.05338021,0.00004389,0.00001292,0.00007486,0.00612762,0.00359504,0.00866021,9.49071503,6.32502079,12.65641022,4.42667150,-0.03029539,-0.05011946,0.17218073
61,0.05315515,0.00004371,0.00001285,0.00007456,0.00611439,0.00358591,0.00864288,9.44776154,6.31858349,12.57694054,4.42655849,-0.03047653,-0.04935493,0.17217739
