iter,stage,total,e_img,e_smooth,e_vel,term_img,term_smooth_weighted,term_vel_weighted,total_from_terms,e_img_raw,e_smooth_raw,e_vel_raw,e_img_denom,e_smooth_denom,e_vel_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,9.883642196655273,6.459521293640137,0.008885032497346401,0.009482642635703087,6.459521293640137,2.6655097492039204,0.758611410856247,9.883642453700304,1067855.75,4.21150541305542,4.551668643951416,165315.0,474.0,480.0,165315,165315.0,2.3181302547454834,2.2215752601623535
40,adam,6.905005931854248,3.823498010635376,0.00786504428833723,0.00902493391185999,3.823498010635376,2.359513286501169,0.7219947129487991,6.905006010085344,632081.5625,3.7280309200286865,4.331968307495117,165315.0,474.0,480.0,165315,165315.0,1.6421291828155518,2.224167823791504
60,adam,6.265559196472168,3.457469940185547,0.007060090079903603,0.008625784888863564,3.457469940185547,2.118027023971081,0.6900627911090851,6.265559755265713,571571.625,3.346482753753662,4.140376567840576,165315.0,474.0,480.0,165315,165315.0,1.5324233770370483,2.2264251708984375
80,adam,5.848234176635742,3.2786240577697754,0.00636126846075058,0.00826537050306797,3.2786240577697754,1.908380538225174,0.6612296402454376,5.848234236240387,542005.75,3.0152411460876465,3.9673779010772705,165315.0,474.0,480.0,165315,165315.0,1.4607956409454346,2.225299596786499
100,adam,5.601150035858154,3.2448763847351074,0.005739935673773289,0.007928663864731789,3.2448763847351074,1.7219807021319866,0.6342931091785431,5.601150196045637,536426.75,2.7207295894622803,3.805758476257324,165315.0,474.0,480.0,165315,165315.0,1.4486230611801147,2.222316265106201
120,adam,5.398769378662109,3.2351419925689697,0.005182215012609959,0.007612036541104317,3.2351419925689697,1.5546645037829876,0.6089629232883453,5.398769419640303,534817.5,2.4563698768615723,3.653777599334717,165315.0,474.0,480.0,165315,165315.0,1.4472019672393799,2.2191851139068604
140,adam,5.221848964691162,3.2312631607055664,0.004684355575591326,0.007315988186746836,3.2312631607055664,1.4053066726773977,0.5852790549397469,5.221848888322711,534176.25,2.2203845977783203,3.511674404144287,165315.0,474.0,480.0,165315,165315.0,1.4466748237609863,2.216218948364258
160,adam,5.066390037536621,3.230560302734375,0.004241837188601494,0.007040985394269228,3.230560302734375,1.2725511565804482,0.5632788315415382,5.066390290856361,534060.0625,2.0106308460235596,3.3796730041503906,165315.0,474.0,480.0,165315,165315.0,1.4468399286270142,2.2139272689819336
180,adam,4.924736022949219,3.2270185947418213,0.0038492027670145035,0.006786957383155823,3.2270185947418213,1.154760830104351,0.5429565906524658,4.924736015498638,533474.5625,1.8245221376419067,3.257739543914795,165315.0,474.0,480.0,165315,165315.0,1.4465433359146118,2.212240219116211
200,adam,4.800508499145508,3.226095199584961,0.0035007118713110685,0.006552496924996376,3.226095199584961,1.0502135613933206,0.5241997539997101,4.800508514977992,533321.9375,1.6593374013900757,3.1451985836029053,165315.0,474.0,480.0,165315,165315.0,1.4467753171920776,2.2109689712524414
220,adam,4.692869186401367,3.2285633087158203,0.003191231982782483,0.006336702033877373,3.2285633087158203,0.9573695948347449,0.5069361627101898,4.692869066260755,533729.9375,1.5126439332962036,3.041616916656494,165315.0,474.0,480.0,165315,165315.0,1.4479848146438599,2.2099854946136475
240,adam,4.59193229675293,3.2260375022888184,0.00291614281013608,0.006138149183243513,3.2260375022888184,0.8748428430408239,0.49105193465948105,4.591932279989123,533312.375,1.3822517395019531,2.9463117122650146,165315.0,474.0,480.0,165315,165315.0,1.447511911392212,2.209200143814087
260,adam,4.50289249420166,3.2250044345855713,0.0026714224368333817,0.005955765955150127,3.2250044345855713,0.8014267310500145,0.4764612764120102,4.502892442047596,533141.625,1.266254186630249,2.8587677478790283,165315.0,474.0,480.0,165315,165315.0,1.4476346969604492,2.2085492610931396
280,adam,4.424354076385498,3.2252728939056396,0.002453422639518976,0.0057881781831383705,3.2252728939056396,0.7360267918556929,0.46305425465106964,4.424353940412402,533186.0,1.1629223823547363,2.7783255577087402,165315.0,474.0,480.0,165315,165315.0,1.4480339288711548,2.2079977989196777
300,adam,4.353576183319092,3.2250609397888184,0.002259243745356798,0.005634277127683163,3.2250609397888184,0.6777731236070395,0.450742170214653,4.353576233610511,533150.9375,1.0708814859390259,2.7044529914855957,165315.0,474.0,480.0,165315,165315.0,1.4482160806655884,2.20751690864563
320,adam,4.2927751541137695,3.2275004386901855,0.0020861010998487473,0.005493054632097483,3.2275004386901855,0.6258303299546242,0.4394443705677986,4.292775139212608,533554.25,0.9888119101524353,2.6366662979125977,165315.0,474.0,480.0,165315,165315.0,1.44914972782135,2.207087755203247
340,adam,4.233497619628906,3.2249197959899902,0.0019316779216751456,0.005363428499549627,3.2249197959899902,0.5795033765025437,0.4290742799639702,4.233497452456504,533127.625,0.9156153202056885,2.5744457244873047,165315.0,474.0,480.0,165315,165315.0,1.4485459327697754,2.206702709197998
360,adam,4.183232307434082,3.2255213260650635,0.0017938788514584303,0.005244343541562557,3.2255213260650635,0.5381636554375291,0.4195474833250046,4.183232464827597,533227.0625,0.8502985835075378,2.517284870147705,165315.0,474.0,480.0,165315,165315.0,1.4488708972930908,2.2063567638397217
380,adam,4.13677453994751,3.224771738052368,0.0016707340255379677,0.005134784150868654,3.224771738052368,0.5012202076613903,0.41078273206949234,4.136774677783251,533103.125,0.7919279336929321,2.4646964073181152,165315.0,474.0,480.0,165315,165315.0,1.4487344026565552,2.2060446739196777
400,adam,4.0957818031311035,3.224864959716797,0.0015606426168233156,0.005034048575907946,3.224864959716797,0.4681927850469947,0.40272388607263565,4.095781630836427,533118.5625,0.7397446036338806,2.4163432121276855,165315.0,474.0,480.0,165315,165315.0,1.4488459825515747,2.2057602405548096
420,adam,4.058771133422852,3.2248358726501465,0.0014621077571064234,0.004941290710121393,3.2248358726501465,0.438632327131927,0.39530325680971146,4.058771456591785,533113.75,0.693039059638977,2.371819496154785,165315.0,474.0,480.0,165315,165315.0,1.4488930702209473,2.205873966217041
440,adam,4.0259199142456055,3.225316047668457,0.00137382245156914,0.004855715204030275,3.225316047668457,0.412146735470742,0.388457216322422,4.025919999461621,533193.125,0.6511918306350708,2.3307433128356934,165315.0,474.0,480.0,165315,165315.0,1.4489816427230835,2.206212043762207
460,adam,3.9985146522521973,3.2280261516571045,0.0012944075278937817,0.004777076654136181,3.2280261516571045,0.3883222583681345,0.38216613233089447,3.9985145423561335,533641.125,0.6135491728782654,2.292996883392334,165315.0,474.0,480.0,165315,165315.0,1.449880599975586,2.2065343856811523
480,adam,3.9687743186950684,3.2255005836486816,0.0012231753207743168,0.004704013001173735,3.2255005836486816,0.36695259623229504,0.3763210400938988,3.9687742199748755,533223.625,0.5797851085662842,2.2579262256622314,165315.0,474.0,480.0,165315,165315.0,1.4491536617279053,2.206843614578247
500,adam,3.9433817863464355,3.224832534790039,0.0011588417692109942,0.004636210389435291,3.224832534790039,0.3476525307632983,0.3708968311548233,3.9433818967081606,533113.1875,0.5492910146713257,2.2253808975219727,165315.0,474.0,480.0,165315,165315.0,1.4489344358444214,2.2071361541748047
520,adam,3.9207961559295654,3.2246994972229004,0.0011007763678207994,0.0045732962898910046,3.2246994972229004,0.3302329103462398,0.36586370319128036,3.9207961107604206,533091.1875,0.5217679738998413,2.1951823234558105,165315.0,474.0,480.0,165315,165315.0,1.4488708972930908,2.2073967456817627
540,adam,3.9001734256744385,3.2245190143585205,0.0010482328943908215,0.004514808300882578,3.2245190143585205,0.31446986831724644,0.36118466407060623,3.900173546746373,533061.375,0.49686241149902344,2.1671080589294434,165315.0,474.0,480.0,165315,165315.0,1.4487782716751099,2.2076666355133057
560,adam,3.8814568519592285,3.2244646549224854,0.0010005549993366003,0.004460321739315987,3.2244646549224854,0.3001664998009801,0.35682573914527893,3.8814568938687444,533052.375,0.4742630422115326,2.1409544944763184,165315.0,474.0,480.0,165315,165315.0,1.4487229585647583,2.2079195976257324
580,adam,3.8866770267486572,3.2466609477996826,0.0009574531577527523,0.004409750923514366,3.2466609477996826,0.2872359473258257,0.3527800738811493,3.8866769690066576,536721.75,0.45383280515670776,2.116680383682251,165315.0,474.0,480.0,165315,165315.0,1.4583981037139893,2.2081587314605713
600,adam,3.848968029022217,3.224275588989258,0.0009187823161482811,0.004363221116364002,3.224275588989258,0.27563469484448433,0.3490576893091202,3.8489679731428623,533021.125,0.435502827167511,2.094346046447754,165315.0,474.0,480.0,165315,165315.0,1.4485409259796143,2.2083842754364014
620,adam,3.8372888565063477,3.226574182510376,0.0008837846107780933,0.004319741856306791,3.226574182510376,0.265135383233428,0.3455793485045433,3.8372889142483473,533401.125,0.41891390085220337,2.0734760761260986,165315.0,474.0,480.0,165315,165315.0,1.4495104551315308,2.2086000442504883
640,adam,3.843264579772949,3.2454428672790527,0.0008516699308529496,0.0042790076695382595,3.2454428672790527,0.2555009792558849,0.34232061356306076,3.8432644600979984,536520.375,0.4036915600299835,2.0539236068725586,165315.0,474.0,480.0,165315,165315.0,1.4567816257476807,2.208806276321411
660,adam,3.8142879009246826,3.2282676696777344,0.0008224601624533534,0.00424102833494544,3.2282676696777344,0.24673804873600602,0.3392822667956352,3.8142879852093756,533681.0625,0.3898461163043976,2.035693645477295,165315.0,474.0,480.0,165315,165315.0,1.4500975608825684,2.209007501602173
