iter,stage,total,e_img,e_smooth_trans,e_smooth_rot,term_img,term_smooth_trans_weighted,term_smooth_rot_weighted,total_from_terms,e_img_raw,e_smooth_trans_raw,e_smooth_rot_raw,e_img_denom,e_smooth_trans_denom,e_smooth_rot_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,10.663432121276855,10.103721618652344,0.001344474614597857,0.0019546085968613625,10.103721618652344,0.4033423843793571,0.156368687748909,10.66343269078061,1989402.625,0.001344474614597857,0.0019546085968613625,196898.0,1.0,1.0,196898,196898.0,3.0494492053985596,0.9130251407623291
40,adam,5.264400959014893,4.956712245941162,0.0006762276170775294,0.0013102528173476458,4.956712245941162,0.20286828512325883,0.10482022538781166,5.264400756452233,975966.75,0.0006762276170775294,0.0013102528173476458,196898.0,1.0,1.0,196898,196898.0,1.9190224409103394,0.9153348207473755
60,adam,4.477352142333984,4.282271385192871,0.00035378418397158384,0.0011118168476969004,4.282271385192871,0.10613525519147515,0.08894534781575203,4.477351988200098,843170.625,0.00035378418397158384,0.0011118168476969004,196898.0,1.0,1.0,196898,196898.0,1.7027020454406738,0.913956880569458
80,adam,4.353063583374023,4.2092814445495605,0.00020980420231353492,0.0010105106048285961,4.2092814445495605,0.06294126069406047,0.08084084838628769,4.353063553629909,828799.125,0.00020980420231353492,0.0010105106048285961,196898.0,1.0,1.0,196898,196898.0,1.6640011072158813,0.9121941328048706
100,adam,4.314601898193359,4.196418762207031,0.00013811237295158207,0.0009593678405508399,4.196418762207031,0.04143371188547462,0.07674942724406719,4.314601901336573,826266.5,0.00013811237295158207,0.0009593678405508399,196898.0,1.0,1.0,196898,196898.0,1.6581385135650635,0.9103496670722961
120,adam,4.28525447845459,4.1810712814331055,0.00010084913083119318,0.0009241074440069497,4.1810712814331055,0.030254739249357954,0.07392859552055597,4.285254616203019,823244.5625,0.00010084913083119318,0.0009241074440069497,196898.0,1.0,1.0,196898,196898.0,1.6537503004074097,0.908340573310852
140,adam,4.2732133865356445,4.177812099456787,7.873457798268646e-05,0.0008972579962573946,4.177812099456787,0.023620373394805938,0.07178063970059156,4.273213112552185,822602.8125,7.873457798268646e-05,0.0008972579962573946,196898.0,1.0,1.0,196898,196898.0,1.6528624296188354,0.9060274958610535
160,adam,4.264793395996094,4.1755051612854,6.396637036232278e-05,0.0008762313518673182,4.1755051612854,0.019189911108696833,0.07009850814938545,4.264793580543483,822148.625,6.396637036232278e-05,0.0008762313518673182,196898.0,1.0,1.0,196898,196898.0,1.6521708965301514,0.9034105539321899
180,adam,4.257892608642578,4.1731672286987305,5.328857514541596e-05,0.0008592377416789532,4.1731672286987305,0.01598657254362479,0.06873901933431625,4.2578928205766715,821688.3125,5.328857514541596e-05,0.0008592377416789532,196898.0,1.0,1.0,196898,196898.0,1.6514838933944702,0.9005693197250366
200,adam,4.252671718597412,4.171487808227539,4.521668597590178e-05,0.0008452384499832988,4.171487808227539,0.013565005792770535,0.0676190759986639,4.2526718900189735,821357.5625,4.521668597590178e-05,0.0008452384499832988,196898.0,1.0,1.0,196898,196898.0,1.6509977579116821,0.8975511193275452
220,adam,4.248260974884033,4.169890403747559,3.894896144629456e-05,0.0008335703168995678,4.169890403747559,0.011684688433888368,0.06668562535196543,4.248260717533412,821043.125,3.894896144629456e-05,0.0008335703168995678,196898.0,1.0,1.0,196898,196898.0,1.6505714654922485,0.8943809270858765
240,adam,4.2444233894348145,4.168323993682861,3.39904181601014e-05,0.0008237800793722272,4.168323993682861,0.01019712544803042,0.06590240634977818,4.24442352548067,820734.625,3.39904181601014e-05,0.0008237800793722272,196898.0,1.0,1.0,196898,196898.0,1.6501801013946533,0.8910898566246033
260,adam,4.241077899932861,4.166834354400635,3.0009658075869083e-05,0.0008155105169862509,4.166834354400635,0.009002897422760725,0.06524084135890007,4.241078093182296,820441.3125,3.0009658075869083e-05,0.0008155105169862509,196898.0,1.0,1.0,196898,196898.0,1.649835467338562,0.887699544429779
280,adam,4.238125324249268,4.165413856506348,2.6775271180667914e-05,0.0008084846776910126,4.165413856506348,0.008032581354200374,0.06467877421528101,4.238125212075829,820161.625,2.6775271180667914e-05,0.0008084846776910126,196898.0,1.0,1.0,196898,196898.0,1.6495311260223389,0.8842261433601379
300,adam,4.235631942749023,4.164188861846924,2.4120223315549083e-05,0.000802586495410651,4.164188861846924,0.007236066994664725,0.06420691963285208,4.235631848474441,819920.5,2.4120223315549083e-05,0.000802586495410651,196898.0,1.0,1.0,196898,196898.0,1.649354100227356,0.8806827068328857
320,adam,4.233923435211182,4.163567066192627,2.192499778175261e-05,0.0007972342427819967,4.163567066192627,0.006577499334525783,0.06377873942255974,4.2339233049497125,819798.0625,2.192499778175261e-05,0.0007972342427819967,196898.0,1.0,1.0,196898,196898.0,1.6492279767990112,0.8770797252655029
340,adam,4.231057167053223,4.161591529846191,2.008540104725398e-05,0.0007929981802590191,4.161591529846191,0.006025620314176194,0.06343985442072153,4.231057004581089,819409.0625,2.008540104725398e-05,0.0007929981802590191,196898.0,1.0,1.0,196898,196898.0,1.6488678455352783,0.8734263181686401
360,adam,4.241879463195801,4.1731719970703125,1.859750409494154e-05,0.0007890983251854777,4.1731719970703125,0.0055792512284824625,0.06312786601483822,4.241879114313633,821689.25,1.859750409494154e-05,0.0007890983251854777,196898.0,1.0,1.0,196898,196898.0,1.652214765548706,0.8697304725646973
380,adam,4.2369465827941895,4.168930530548096,1.724963112792466e-05,0.0007855103467591107,4.168930530548096,0.0051748893383773975,0.06284082774072886,4.236946247627202,820854.125,1.724963112792466e-05,0.0007855103467591107,196898.0,1.0,1.0,196898,196898.0,1.6512401103973389,0.8660000562667847
400,adam,4.225559711456299,4.15811014175415,1.6086984032881446e-05,0.0007827919907867908,4.15811014175415,0.004826095209864434,0.06262335926294327,4.225559596226958,818723.5625,1.6086984032881446e-05,0.0007827919907867908,196898.0,1.0,1.0,196898,196898.0,1.6483234167099,0.8622424006462097
420,adam,4.246920585632324,4.179905414581299,1.5203467228275258e-05,0.0007806750945746899,4.179905414581299,0.004561040168482577,0.06245400756597519,4.246920462315757,823015.0,1.5203467228275258e-05,0.0007806750945746899,196898.0,1.0,1.0,196898,196898.0,1.654931664466858,0.8584644198417664
440,adam,4.256626605987549,4.189994812011719,1.4346597708936315e-05,0.0007791001698933542,4.189994812011719,0.0043039793126808945,0.062328013591468334,4.256626804915868,825001.5625,1.4346597708936315e-05,0.0007791001698933542,196898.0,1.0,1.0,196898,196898.0,1.6573448181152344,0.8546726703643799
460,adam,4.227153778076172,4.160957336425781,1.3662102901434992e-05,0.000776223256252706,4.160957336425781,0.0040986308704304975,0.062097860500216484,4.227153827796428,819284.1875,1.3662102901434992e-05,0.000776223256252706,196898.0,1.0,1.0,196898,196898.0,1.6493115425109863,0.8508760929107666
480,adam,4.225512981414795,4.159595966339111,1.303773115068907e-05,0.0007750660879537463,4.159595966339111,0.003911319345206721,0.062005287036299706,4.225512572720618,819016.125,1.303773115068907e-05,0.0007750660879537463,196898.0,1.0,1.0,196898,196898.0,1.6502392292022705,0.847079336643219
500,adam,4.249344348907471,4.183780670166016,1.2519604752014857e-05,0.000772594939917326,4.183780670166016,0.003755881425604457,0.06180759519338608,4.249344146785006,823778.0625,1.2519604752014857e-05,0.000772594939917326,196898.0,1.0,1.0,196898,196898.0,1.6582640409469604,0.8432867527008057
520,adam,4.253971099853516,4.188502311706543,1.209958554682089e-05,0.000772986386436969,4.188502311706543,0.003629875664046267,0.06183891091495752,4.253971098285547,824707.6875,1.209958554682089e-05,0.000772986386436969,196898.0,1.0,1.0,196898,196898.0,1.6583138704299927,0.8395065665245056
540,adam,4.221142768859863,4.15604829788208,1.1640687262115534e-05,0.0007700276910327375,4.15604829788208,0.0034922061786346603,0.061602215282619,4.221142719343334,818317.5625,1.1640687262115534e-05,0.0007700276910327375,196898.0,1.0,1.0,196898,196898.0,1.64918053150177,0.8357437252998352
560,adam,4.252312660217285,4.187341213226318,1.1291657756373752e-05,0.0007698007393628359,4.187341213226318,0.0033874973269121256,0.06158405914902687,4.252312769702257,824479.125,1.1291657756373752e-05,0.0007698007393628359,196898.0,1.0,1.0,196898,196898.0,1.6601823568344116,0.8320689797401428
580,adam,4.275378704071045,4.210543155670166,1.1023300430679228e-05,0.000769109814427793,4.210543155670166,0.0033069901292037684,0.06152878515422344,4.275378930953593,829047.5625,1.1023300430679228e-05,0.000769109814427793,196898.0,1.0,1.0,196898,196898.0,1.6617566347122192,0.8284720778465271
600,adam,4.260298252105713,4.195706844329834,1.0738810487964656e-05,0.0007671221974305809,4.195706844329834,0.003221643146389397,0.06136977579444647,4.26029826327067,826126.3125,1.0738810487964656e-05,0.0007671221974305809,196898.0,1.0,1.0,196898,196898.0,1.6591746807098389,0.8249110579490662
620,adam,4.217670917510986,4.153296947479248,1.0417257726658136e-05,0.0007656073430553079,4.153296947479248,0.0031251773179974407,0.06124858744442463,4.21767071224167,817775.875,1.0417257726658136e-05,0.0007656073430553079,196898.0,1.0,1.0,196898,196898.0,1.6490941047668457,0.8213857412338257
640,adam,4.2150068283081055,4.15073823928833,1.019129831547616e-05,0.0007651387713849545,4.15073823928833,0.003057389494642848,0.061211101710796356,4.215006730493769,817272.0625,1.019129831547616e-05,0.0007651387713849545,196898.0,1.0,1.0,196898,196898.0,1.648756504058838,0.817901611328125
