iter,stage,total,e_img,e_smooth_trans,e_smooth_rot,term_img,term_smooth_trans_weighted,term_smooth_rot_weighted,total_from_terms,e_img_raw,e_smooth_trans_raw,e_smooth_rot_raw,e_img_denom,e_smooth_trans_denom,e_smooth_rot_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,5.283494472503662,4.972437381744385,0.0009890072979032993,0.00017943295824807137,4.972437381744385,0.2967021893709898,0.01435463665984571,5.28349420777522,1616713.375,0.0009890072979032993,0.00017943295824807137,325135.0,1.0,1.0,325135,325135.0,1.9634394645690918,0.07205803692340851
40,adam,3.161750555038452,2.9916491508483887,0.0005524838343262672,5.445162969408557e-05,2.9916491508483887,0.16574515029788017,0.0043561303755268455,3.1617504315217957,972689.875,0.0005524838343262672,5.445162969408557e-05,325135.0,1.0,1.0,325135,325135.0,1.425362467765808,0.0697399228811264
60,adam,2.347982883453369,2.22920823097229,0.00038635218515992165,3.5861281503457576e-05,2.22920823097229,0.1159056555479765,0.002868902520276606,2.347982789040543,724793.625,0.00038635218515992165,3.5861281503457576e-05,325135.0,1.0,1.0,325135,325135.0,1.1413052082061768,0.06583069264888763
80,adam,2.2141895294189453,2.111311674118042,0.0003351493796799332,2.9164018997107632e-05,2.111311674118042,0.10054481390397996,0.0023331215197686106,2.2141896095417906,686461.3125,0.0003351493796799332,2.9164018997107632e-05,325135.0,1.0,1.0,325135,325135.0,1.0819075107574463,0.06411753594875336
100,adam,2.1807925701141357,2.0860092639923096,0.00030887481989338994,2.6512114345678128e-05,2.0860092639923096,0.09266244596801698,0.0021209691476542503,2.180792679107981,678234.625,0.00030887481989338994,2.6512114345678128e-05,325135.0,1.0,1.0,325135,325135.0,1.0657633543014526,0.06292136758565903
120,adam,2.1718647480010986,2.0823585987091064,0.0002917069068644196,2.4925258912844583e-05,2.0823585987091064,0.08751207205932587,0.0019940207130275667,2.17186469148146,677047.625,0.0002917069068644196,2.4925258912844583e-05,325135.0,1.0,1.0,325135,325135.0,1.0652873516082764,0.06346305459737778
140,adam,2.1671011447906494,2.081631898880005,0.00027856475207954645,2.3745968064758927e-05,2.081631898880005,0.08356942562386394,0.0018996774451807141,2.1671010019490495,676811.375,0.00027856475207954645,2.3745968064758927e-05,325135.0,1.0,1.0,325135,325135.0,1.0657886266708374,0.06552065908908844
160,adam,2.1646761894226074,2.0824925899505615,0.0002678625751286745,2.2810425434727222e-05,2.0824925899505615,0.08035877253860235,0.0018248340347781777,2.164676196523942,677091.25,0.0002678625751286745,2.2810425434727222e-05,325135.0,1.0,1.0,325135,325135.0,1.0665960311889648,0.06773477792739868
180,adam,2.163396120071411,2.0839743614196777,0.00025886556250043213,2.2027104932931252e-05,2.0839743614196777,0.07765966875012964,0.0017621683946345001,2.163396198564442,677573.0,0.00025886556250043213,2.2027104932931252e-05,325135.0,1.0,1.0,325135,325135.0,1.06761634349823,0.06973239779472351
200,adam,2.162666082382202,2.085574150085449,0.0002512740611564368,2.1370371541706845e-05,2.085574150085449,0.07538221834693104,0.0017096297233365476,2.162665998155717,678093.125,0.0002512740611564368,2.1370371541706845e-05,325135.0,1.0,1.0,325135,325135.0,1.068711280822754,0.07151450961828232
220,adam,2.162435293197632,2.087308168411255,0.0002448728191666305,2.081575985357631e-05,2.087308168411255,0.07346184574998915,0.0016652607882861048,2.16243527494953,678656.9375,0.0002448728191666305,2.081575985357631e-05,325135.0,1.0,1.0,325135,325135.0,1.069894790649414,0.0731392428278923
240,adam,2.1626205444335938,2.089148759841919,0.00023947926820255816,2.035020042967517e-05,2.089148759841919,0.07184378046076745,0.0016280160343740135,2.1626205563370604,679255.375,0.00023947926820255816,2.035020042967517e-05,325135.0,1.0,1.0,325135,325135.0,1.0711185932159424,0.07461480051279068
260,adam,2.163105010986328,2.0910258293151855,0.000234941384405829,1.9959290511906147e-05,2.0910258293151855,0.0704824153217487,0.0015967432409524918,2.1631049878778867,679865.6875,0.000234941384405829,1.9959290511906147e-05,325135.0,1.0,1.0,325135,325135.0,1.0723499059677124,0.07594283670186996
280,adam,2.1638128757476807,2.0929038524627686,0.00023112820053938776,1.9631677787401713e-05,2.0929038524627686,0.06933846016181633,0.001570534222992137,2.163812846847577,680476.3125,0.00023112820053938776,1.9631677787401713e-05,325135.0,1.0,1.0,325135,325135.0,1.073568344116211,0.07713709026575089
300,adam,2.1646716594696045,2.0947446823120117,0.00022792779782321304,1.9357619748916477e-05,2.0947446823120117,0.06837833934696391,0.0015486095799133182,2.164671631238889,681074.8125,0.00022792779782321304,1.9357619748916477e-05,325135.0,1.0,1.0,325135,325135.0,1.074750304222107,0.0782083123922348
320,adam,2.1656129360198975,2.0965094566345215,0.0002252433041576296,1.9128790881950408e-05,2.0965094566345215,0.06757299124728888,0.0015303032705560327,2.1656127511523664,681648.625,0.0002252433041576296,1.9128790881950408e-05,325135.0,1.0,1.0,325135,325135.0,1.0758761167526245,0.07916530966758728
340,adam,2.1665878295898438,2.098175525665283,0.00022299171541817486,1.8937847926281393e-05,2.098175525665283,0.06689751462545246,0.0015150278341025114,2.166588068124838,682190.3125,0.00022299171541817486,1.8937847926281393e-05,325135.0,1.0,1.0,325135,325135.0,1.076932668685913,0.08001554757356644
360,adam,2.1675522327423096,2.099719762802124,0.0002211004903074354,1.877850081655197e-05,2.099719762802124,0.06633014709223062,0.0015022800653241575,2.167552189959679,682692.375,0.0002211004903074354,1.877850081655197e-05,325135.0,1.0,1.0,325135,325135.0,1.0779091119766235,0.08076561987400055
380,adam,2.1684699058532715,2.1011264324188232,0.00021950667724013329,1.8645234376890585e-05,2.1011264324188232,0.06585200317203999,0.0014916187501512468,2.1684700543410145,683149.75,0.00021950667724013329,1.8645234376890585e-05,325135.0,1.0,1.0,325135,325135.0,1.0787972211837769,0.0814216360449791
400,adam,2.169313430786133,2.102384090423584,0.00021815556101500988,1.8533330148784444e-05,2.102384090423584,0.06544666830450296,0.0014826664119027555,2.1693134251399897,683558.625,0.00021815556101500988,1.8533330148784444e-05,325135.0,1.0,1.0,325135,325135.0,1.0795925855636597,0.08198919147253036
