iter,stage,total,e_img,e_smooth_trans,e_smooth_rot,term_img,term_smooth_trans_weighted,term_smooth_rot_weighted,total_from_terms,e_img_raw,e_smooth_trans_raw,e_smooth_rot_raw,e_img_denom,e_smooth_trans_denom,e_smooth_rot_denom,active_pairs,sum_weight,mean_reproj_px,max_translation
20,adam,6.953444480895996,6.8378496170043945,0.00029525678837671876,0.0003377170651219785,6.8378496170043945,0.08857703651301563,0.02701736520975828,6.953444018727168,2096464.25,0.00029525678837671876,0.0003377170651219785,306597.0,1.0,1.0,306597,306597.0,2.467362642288208,0.24838849902153015
40,adam,2.0189731121063232,1.9597562551498413,0.00015189613623078912,0.00017059908714145422,1.9597562551498413,0.04556884086923674,0.013647926971316338,2.0189730229903944,600855.375,0.00015189613623078912,0.00017059908714145422,306597.0,1.0,1.0,306597,306597.0,1.2241687774658203,0.25631701946258545
60,adam,1.2675472497940063,1.2391057014465332,7.404859934467822e-05,7.783724140608683e-05,1.2391057014465332,0.022214579803403467,0.006226979312486947,1.2675472605624236,379906.09375,7.404859934467822e-05,7.783724140608683e-05,306597.0,1.0,1.0,306597,306597.0,0.9061840772628784,0.25603199005126953
80,adam,1.0681138038635254,1.0535122156143188,3.500174352666363e-05,5.1263126806588843e-05,1.0535122156143188,0.01050052305799909,0.0041010501445271075,1.068113788816845,323003.6875,3.500174352666363e-05,5.1263126806588843e-05,306597.0,1.0,1.0,306597,306597.0,0.798551619052887,0.2556229531764984
100,adam,1.045450210571289,1.036971926689148,1.820652323658578e-05,3.770461262320168e-05,1.036971926689148,0.005461956970975734,0.0030163690098561347,1.0454502526699798,317932.46875,1.820652323658578e-05,3.770461262320168e-05,306597.0,1.0,1.0,306597,306597.0,0.7901641130447388,0.2558136582374573
120,adam,1.039193034172058,1.0333677530288696,1.0990561349899508e-05,3.1601077353116125e-05,1.0333677530288696,0.0032971684049698524,0.00252808618824929,1.0391930076220888,316827.46875,1.0990561349899508e-05,3.1601077353116125e-05,306597.0,1.0,1.0,306597,306597.0,0.7875306010246277,0.25570183992385864
140,adam,1.0376039743423462,1.0330679416656494,7.638662282261066e-06,2.8056203518644907e-05,1.0330679416656494,0.00229159868467832,0.0022444962814915925,1.0376040366318193,316735.53125,7.638662282261066e-06,2.8056203518644907e-05,306597.0,1.0,1.0,306597,306597.0,0.787443220615387,0.25564661622047424
160,adam,1.0368224382400513,1.0330110788345337,5.849453827977413e-06,2.5705779989948496e-05,1.0330110788345337,0.001754836148393224,0.0020564623991958797,1.0368223773821228,316718.09375,5.849453827977413e-06,2.5705779989948496e-05,306597.0,1.0,1.0,306597,306597.0,0.7874135375022888,0.25556978583335876
180,adam,1.036307692527771,1.0329581499099731,4.762552634929307e-06,2.401037090749014e-05,1.0329581499099731,0.001428765790478792,0.0019208296725992113,1.0363077453730511,316701.875,4.762552634929307e-06,2.401037090749014e-05,306597.0,1.0,1.0,306597,306597.0,0.7873951196670532,0.255472332239151
200,adam,1.0359389781951904,1.0329129695892334,4.037990493088728e-06,2.268277785333339e-05,1.0329129695892334,0.0012113971479266183,0.0018146222282666713,1.0359389889654267,316688.0,4.037990493088728e-06,2.268277785333339e-05,306597.0,1.0,1.0,306597,306597.0,0.7873607277870178,0.2553454339504242
220,adam,1.035659670829773,1.0328773260116577,3.5178434245608514e-06,2.158738425350748e-05,1.0328773260116577,0.0010553530273682554,0.0017269907402805984,1.0356596697793066,316677.09375,3.5178434245608514e-06,2.158738425350748e-05,306597.0,1.0,1.0,306597,306597.0,0.7873380184173584,0.2551889419555664
240,adam,1.035435438156128,1.0328468084335327,3.122554062429117e-06,2.064880209218245e-05,1.0328468084335327,0.0009367662187287351,0.001651904167374596,1.035435478819636,316667.75,3.122554062429117e-06,2.064880209218245e-05,306597.0,1.0,1.0,306597,306597.0,0.7873222231864929,0.25501030683517456
260,adam,1.0352493524551392,1.032820224761963,2.810117848639493e-06,1.9826527932309546e-05,1.032820224761963,0.0008430353545918479,0.0015861222345847636,1.0352493823511395,316659.59375,2.810117848639493e-06,1.9826527932309546e-05,306597.0,1.0,1.0,306597,306597.0,0.7873069047927856,0.2548142671585083
280,adam,1.0350905656814575,1.0327961444854736,2.556218987592729e-06,1.909461207105778e-05,1.0327961444854736,0.0007668656962778186,0.0015275689656846225,1.035090579147436,316652.1875,2.556218987592729e-06,1.909461207105778e-05,306597.0,1.0,1.0,306597,306597.0,0.7872931361198425,0.2546065151691437
300,adam,1.0349538326263428,1.0327752828598022,2.3457087081624195e-06,1.8435923266224563e-05,1.0327752828598022,0.0007037126124487258,0.001474873861297965,1.034953869333549,316645.8125,2.3457087081624195e-06,1.8435923266224563e-05,306597.0,1.0,1.0,306597,306597.0,0.7872812151908875,0.25439196825027466
320,adam,1.034833550453186,1.032755970954895,2.168567789340159e-06,1.7838005078374408e-05,1.032755970954895,0.0006505703368020477,0.0014270404062699527,1.034833581697967,316639.875,2.168567789340159e-06,1.7838005078374408e-05,306597.0,1.0,1.0,306597,306597.0,0.7872695922851562,0.25417500734329224
340,adam,1.0347269773483276,1.032738447189331,2.0176089492451865e-06,1.7291731637669727e-05,1.032738447189331,0.000605282684773556,0.0013833385310135782,1.0347270684051182,316634.5,2.0176089492451865e-06,1.7291731637669727e-05,306597.0,1.0,1.0,306597,306597.0,0.7872588038444519,0.2539590299129486
360,adam,1.0346318483352661,1.0327224731445312,1.8875721252697986e-06,1.6789725123089738e-05,1.0327224731445312,0.0005662716375809396,0.001343178009847179,1.0346319227919594,316629.625,1.8875721252697986e-06,1.6789725123089738e-05,306597.0,1.0,1.0,306597,306597.0,0.7872490286827087,0.25374695658683777
380,adam,1.0345468521118164,1.0327084064483643,1.7745132936397567e-06,1.6326161130564287e-05,1.0327084064483643,0.000532353988091927,0.001306092890445143,1.0345468533269013,316625.3125,1.7745132936397567e-06,1.6326161130564287e-05,306597.0,1.0,1.0,306597,306597.0,0.7872401475906372,0.2535407245159149
400,adam,1.0344696044921875,1.0326952934265137,1.6753313047956908e-06,1.589642124599777e-05,1.0326952934265137,0.0005025993914387072,0.0012717136996798217,1.0344696065176322,316621.28125,1.6753313047956908e-06,1.589642124599777e-05,306597.0,1.0,1.0,306597,306597.0,0.7872315049171448,0.2533418536186218
420,adam,1.034399390220642,1.032683253288269,1.5876792076596757e-06,1.5496651030844077e-05,1.032683253288269,0.0004763037622979027,0.0012397320824675262,1.0343992891330345,316617.59375,1.5876792076596757e-06,1.5496651030844077e-05,306597.0,1.0,1.0,306597,306597.0,0.787223219871521,0.25315120816230774
440,adam,1.0343351364135742,1.03267240524292,1.5096569541128702e-06,1.5123527191462927e-05,1.03267240524292,0.00045289708623386105,0.0012098821753170341,1.0343351845044708,316614.25,1.5096569541128702e-06,1.5123527191462927e-05,306597.0,1.0,1.0,306597,306597.0,0.7872158288955688,0.2529694139957428
460,adam,1.034276008605957,1.0326621532440186,1.4397362519957824e-06,1.4774476767343003e-05,1.0326621532440186,0.0004319208755987347,0.0011819581413874403,1.0342760322610047,316611.125,1.4397362519957824e-06,1.4774476767343003e-05,306597.0,1.0,1.0,306597,306597.0,0.7872083783149719,0.25279682874679565
480,adam,1.0342216491699219,1.0326528549194336,1.3767845530310296e-06,1.4447097782976925e-05,1.0326528549194336,0.0004130353659093089,0.001155767822638154,1.034221658107981,316608.25,1.3767845530310296e-06,1.4447097782976925e-05,306597.0,1.0,1.0,306597,306597.0,0.7872016429901123,0.2526335120201111
500,adam,1.0341713428497314,1.032644271850586,1.319749003414472e-06,1.4139584891381674e-05,1.032644271850586,0.00039592470102434163,0.0011311667913105339,1.0341713633429208,316605.625,1.319749003414472e-06,1.4139584891381674e-05,306597.0,1.0,1.0,306597,306597.0,0.787195086479187,0.25247910618782043
520,adam,1.0341248512268066,1.0326364040374756,1.267872789867397e-06,1.3850186405761633e-05,1.0326364040374756,0.0003803618369602191,0.0011080149124609306,1.0341247807868967,316603.21875,1.267872789867397e-06,1.3850186405761633e-05,306597.0,1.0,1.0,306597,306597.0,0.7871891856193542,0.25233349204063416
540,adam,1.0340813398361206,1.0326288938522339,1.2205132406961638e-06,1.3577447134593967e-05,1.0326288938522339,0.00036615397220884915,0.0010861957707675174,1.0340812435952103,316600.9375,1.2205132406961638e-06,1.3577447134593967e-05,306597.0,1.0,1.0,306597,306597.0,0.7871831059455872,0.2521963119506836
560,adam,1.0340406894683838,1.03262197971344,1.177117724182608e-06,1.3320112884684931e-05,1.03262197971344,0.0003531353172547824,0.0010656090307747945,1.0340407240614695,316598.8125,1.177117724182608e-06,1.3320112884684931e-05,306597.0,1.0,1.0,306597,306597.0,0.7871776819229126,0.2520671784877777
580,adam,1.0340029001235962,1.0326155424118042,1.137282993113331e-06,1.3077095900371205e-05,1.0326155424118042,0.0003411848979339993,0.0010461676720296964,1.034002894981768,316596.8125,1.137282993113331e-06,1.3077095900371205e-05,306597.0,1.0,1.0,306597,306597.0,0.7871719002723694,0.2519453167915344
600,adam,1.0339679718017578,1.0326099395751953,1.1005330406987923e-06,1.2847339348809328e-05,1.0326099395751953,0.0003301599122096377,0.0010277871479047462,1.0339678866353097,316595.125,1.1005330406987923e-06,1.2847339348809328e-05,306597.0,1.0,1.0,306597,306597.0,0.7871667146682739,0.25183048844337463
620,adam,1.0339332818984985,1.0326029062271118,1.066601612365048e-06,1.262996102013858e-05,1.0326029062271118,0.0003199804837095144,0.0010103968816110864,1.0339332835924324,316592.9375,1.066601612365048e-06,1.262996102013858e-05,306597.0,1.0,1.0,306597,306597.0,0.7871610522270203,0.251722127199173
640,adam,1.034784197807312,1.0334789752960205,1.0360989790569874e-06,1.2430892638803925e-05,1.0334789752960205,0.00031082969371709623,0.000994471411104314,1.034784276400842,316861.5625,1.0360989790569874e-06,1.2430892638803925e-05,306597.0,1.0,1.0,306597,306597.0,0.7873872518539429,0.2516193389892578
660,adam,1.1180530786514282,1.1166324615478516,1.0752875141406548e-06,1.3725149074161891e-05,1.1166324615478516,0.00032258625424219645,0.0010980119259329513,1.1180530597280267,342356.15625,1.0752875141406548e-06,1.3725149074161891e-05,306597.0,1.0,1.0,306597,306597.0,0.820678174495697,0.25143739581108093
680,adam,1.0703094005584717,1.0690135955810547,9.90309786175203e-07,1.2483593309298158e-05,1.0690135955810547,0.0002970929358525609,0.0009986874647438526,1.070309375981651,327756.34375,9.90309786175203e-07,1.2483593309298158e-05,306597.0,1.0,1.0,306597,306597.0,0.8065248727798462,0.2516428530216217
700,adam,1.066652774810791,1.065361738204956,9.763585921973572e-07,1.24772541312268e-05,1.065361738204956,0.00029290757765920716,0.000998180330498144,1.0666528261131134,326636.71875,9.763585921973572e-07,1.24772541312268e-05,306597.0,1.0,1.0,306597,306597.0,0.801533579826355,0.2512429654598236
720,adam,1.0370310544967651,1.0358142852783203,9.288714295507816e-07,1.17256204248406e-05,1.0358142852783203,0.0002786614288652345,0.0009380496339872479,1.0370309963411728,317577.5625,9.288714295507816e-07,1.17256204248406e-05,306597.0,1.0,1.0,306597,306597.0,0.7887674570083618,0.2513101398944855
740,adam,1.0343818664550781,1.0331858396530151,9.066412758329534e-07,1.1549628652574029e-05,1.0331858396530151,0.000271992382749886,0.0009239702922059223,1.034381802327971,316771.6875,9.066412758329534e-07,1.1549628652574029e-05,306597.0,1.0,1.0,306597,306597.0,0.7873854041099548,0.2512072026729584
760,adam,1.083400845527649,1.0821638107299805,9.443706971978827e-07,1.1920357792405412e-05,1.0821638107299805,0.0002833112091593648,0.0009536286233924329,1.0834007505625323,331788.1875,9.443706971978827e-07,1.1920357792405412e-05,306597.0,1.0,1.0,306597,306597.0,0.8075742721557617,0.25112947821617126
780,adam,1.090625286102295,1.0893988609313965,9.56723283707106e-07,1.1741385606001131e-05,1.0893988609313965,0.0002870169851121318,0.0009393108484800905,1.0906251887649887,334006.4375,9.56723283707106e-07,1.1741385606001131e-05,306597.0,1.0,1.0,306597,306597.0,0.8151348829269409,0.2510465383529663
800,adam,1.1117411851882935,1.1104828119277954,1.0212935421805014e-06,1.1899428500328213e-05,1.1104828119277954,0.0003063880626541504,0.000951954280026257,1.1117411542704758,340470.6875,1.0212935421805014e-06,1.1899428500328213e-05,306597.0,1.0,1.0,306597,306597.0,0.8243327736854553,0.25093451142311096
820,adam,1.0482028722763062,1.0470679998397827,8.490893605994643e-07,1.100209465221269e-05,1.0470679998397827,0.0002547268081798393,0.0008801675721770152,1.0482028942201396,321027.90625,8.490893605994643e-07,1.100209465221269e-05,306597.0,1.0,1.0,306597,306597.0,0.7950562834739685,0.2510484755039215
840,adam,1.043343424797058,1.042211890220642,8.365798862541851e-07,1.1007055945810862e-05,1.042211890220642,0.00025097396587625553,0.000880564475664869,1.0433434286621832,319539.03125,8.365798862541851e-07,1.1007055945810862e-05,306597.0,1.0,1.0,306597,306597.0,0.7920063734054565,0.2507135570049286
860,adam,1.0376880168914795,1.0365797281265259,8.053696660681453e-07,1.083265397028299e-05,1.0365797281265259,0.0002416108998204436,0.0008666123176226392,1.037687951343969,317812.21875,8.053696660681453e-07,1.083265397028299e-05,306597.0,1.0,1.0,306597,306597.0,0.7890257835388184,0.2508387863636017
