frame_idx,num_active,sum_weight,reproj_mean_px,reproj_p50_px,reproj_p90_px,rotation_angle_deg,translation_magnitude,tx,ty,tz
0,3734,3734.0,0.707093358039856,0.7071067690849304,0.7071067690849304,0.0,0.0,0.0,0.0,0.0
1,3571,3571.0,0.268871933221817,0.2730458080768585,0.425368994474411,0.19583527726409816,0.005738686304539442,0.0037233983166515827,-0.0030685702804476023,0.00310688023455441
2,3571,3571.0,0.3938601315021515,0.3974457085132599,0.6210120916366577,0.4044517327755678,0.010341931134462357,0.006833430379629135,-0.007267198525369167,0.002729027532041073
3,3571,3571.0,0.4492204785346985,0.433241069316864,0.7483326196670532,0.5760728821942732,0.014652539975941181,0.00780392624437809,-0.012107630260288715,0.0026834565214812756
4,3571,3571.0,0.4399843215942383,0.4299495220184326,0.7342561483383179,0.7049888607968559,0.0186225064098835,0.005663884803652763,-0.017100343480706215,0.004721903242170811
5,3571,3571.0,0.45725908875465393,0.4509456753730774,0.7438563704490662,0.7803435097844033,0.023104991763830185,0.0002581357548478991,-0.021722568199038506,0.007867909967899323
6,3571,3571.0,0.5035890936851501,0.4876907467842102,0.8379914164543152,1.0423015949393437,0.02969636209309101,-0.008234980516135693,-0.02562234178185463,0.01255207508802414
7,3571,3571.0,0.5814937353134155,0.5747876763343811,0.9541521072387695,1.5602217129315994,0.0367487296462059,-0.019016625359654427,-0.02728302776813507,0.015635646879673004
8,3571,3571.0,0.6285004019737244,0.6222689747810364,1.0309290885925293,2.083186779399556,0.04674282670021057,-0.030161501839756966,-0.03081633150577545,0.01804243214428425
9,3569,3569.0,0.8170560598373413,0.8285571932792664,1.2808918952941895,2.5152837562016033,0.05663967505097389,-0.03961324691772461,-0.03667808324098587,0.017133638262748718
10,3429,3429.0,1.0256739854812622,1.0372995138168335,1.582627534866333,2.6295709637058993,0.06586600840091705,-0.04544607922434807,-0.04500703141093254,0.015727419406175613
11,3497,3497.0,0.9802900552749634,0.991133451461792,1.505704402923584,2.539292724907844,0.07384473830461502,-0.04703889787197113,-0.055763036012649536,0.011439898982644081
12,3567,3567.0,0.8137920498847961,0.8136094212532043,1.279392957687378,2.5866425844421346,0.07981693744659424,-0.046415556222200394,-0.06493110209703445,0.0005399910151027143
13,3565,3565.0,0.7518860697746277,0.7396133542060852,1.2306838035583496,2.621668648279606,0.08773505687713623,-0.046100009232759476,-0.07322908192873001,-0.014482079073786736
14,3565,3565.0,0.6815416216850281,0.6480467319488525,1.1474823951721191,2.590725543461921,0.09980180114507675,-0.050429437309503555,-0.08272181451320648,-0.02396608330309391
15,3565,3565.0,0.686554491519928,0.6534350514411926,1.179616928100586,2.491515124776782,0.11259026825428009,-0.05921131744980812,-0.09120174497365952,-0.0292032603174448
16,3560,3560.0,0.7159469127655029,0.6733483672142029,1.239025354385376,2.477965950454181,0.12686295807361603,-0.07357872277498245,-0.09656442701816559,-0.036819759756326675
17,3558,3558.0,0.7506231069564819,0.7195146083831787,1.2965247631072998,2.728212982586047,0.14608725905418396,-0.09519699215888977,-0.10046552121639252,-0.04675145074725151
18,3553,3553.0,0.8622220754623413,0.8158391118049622,1.5025672912597656,3.1551704554810707,0.17086751759052277,-0.12135239690542221,-0.1074763834476471,-0.05401971563696861
19,3556,3556.0,1.0279555320739746,0.9809325933456421,1.785740852355957,3.8183395620938194,0.19673965871334076,-0.14570242166519165,-0.11927317827939987,-0.05701932683587074
20,3548,3548.0,1.107774257659912,1.0471994876861572,1.9324939250946045,4.28349764268649,0.22000882029533386,-0.1614362597465515,-0.13899187743663788,-0.05498610436916351
21,3547,3547.0,1.152318000793457,1.108161449432373,2.0387494564056396,4.460893023357354,0.23908083140850067,-0.16652004420757294,-0.16150438785552979,-0.05785372853279114
22,3540,3540.0,1.1350024938583374,1.0514705181121826,2.050426721572876,4.33982407833747,0.25147131085395813,-0.1598617434501648,-0.18244241178035736,-0.06630843877792358
23,3552,3552.0,1.070622205734253,0.9716600179672241,1.8981763124465942,3.894404817559313,0.25625279545783997,-0.1409977376461029,-0.19860035181045532,-0.07964320480823517
24,3550,3550.0,1.084381103515625,1.0253686904907227,1.8484078645706177,3.517360873014861,0.2589384913444519,-0.11709534376859665,-0.21152177453041077,-0.09271655231714249
25,3549,3549.0,1.1754320859909058,1.1004430055618286,1.9923732280731201,3.5038639923280925,0.2635115385055542,-0.09509782493114471,-0.22517943382263184,-0.0984324961900711
26,3549,3549.0,1.2749919891357422,1.2438969612121582,2.0523016452789307,3.39776596819523,0.2739122211933136,-0.07711285352706909,-0.2411545217037201,-0.10452760756015778
27,3540,3540.0,1.359412670135498,1.3739409446716309,2.1219687461853027,3.575660166118916,0.2914997637271881,-0.06563778221607208,-0.2622267007827759,-0.10909150540828705
28,3539,3539.0,1.4634701013565063,1.456342339515686,2.3386056423187256,3.996843140957518,0.3169006109237671,-0.06010858714580536,-0.29048410058021545,-0.11149860173463821
29,3538,3538.0,1.5876439809799194,1.5810396671295166,2.4918689727783203,4.4486699729507935,0.3491080105304718,-0.05833055451512337,-0.3229084014892578,-0.11918104439973831
30,3546,3546.0,1.5817118883132935,1.5830129384994507,2.503638744354248,4.873470173285151,0.3824276328086853,-0.05796804651618004,-0.3550280034542084,-0.12979106605052948
31,3553,3553.0,1.621686339378357,1.578277826309204,2.6270570755004883,5.362350781525746,0.4138575792312622,-0.05804148316383362,-0.38666146993637085,-0.13565464317798615
32,3556,3556.0,1.6768523454666138,1.6084779500961304,2.7706217765808105,5.864611730350395,0.4417842626571655,-0.056646090000867844,-0.41608861088752747,-0.1372399479150772
33,3556,3556.0,1.7701233625411987,1.674999475479126,2.901451826095581,6.209209715016348,0.4613129198551178,-0.05120733752846718,-0.43752554059028625,-0.13696284592151642
34,3557,3557.0,1.7966878414154053,1.6849569082260132,2.967439651489258,6.34192626700522,0.4707458019256592,-0.04256438836455345,-0.447702020406723,-0.13911429047584534
35,3554,3554.0,1.8219656944274902,1.7338175773620605,3.011925220489502,6.3664884810342315,0.4731893539428711,-0.03065354749560356,-0.45119714736938477,-0.13924676179885864
36,3553,3553.0,1.8701101541519165,1.783318042755127,3.0681841373443604,6.440467967481932,0.47374191880226135,-0.01761918142437935,-0.4531235098838806,-0.1371132880449295
37,3564,3564.0,1.8997511863708496,1.8573706150054932,3.078669548034668,6.605745738791547,0.4774911105632782,-0.00499176187440753,-0.45757925510406494,-0.1363600343465805
38,3564,3564.0,1.9453638792037964,1.9246242046356201,3.0842018127441406,6.812760234798171,0.4798937439918518,0.0066342041827738285,-0.4604344666004181,-0.13510768115520477
39,3565,3565.0,1.909921407699585,1.8053969144821167,3.162304162979126,6.9036478545362385,0.47845393419265747,0.017702244222164154,-0.4597459137439728,-0.13129545748233795
40,3565,3565.0,1.8882321119308472,1.803397536277771,3.1430578231811523,6.873865241547221,0.4744708836078644,0.027547389268875122,-0.4558299779891968,-0.12877418100833893
41,3565,3565.0,1.8338921070098877,1.770994782447815,3.060655355453491,6.888915136496521,0.46940863132476807,0.03659782186150551,-0.4511561989784241,-0.12435085326433182
42,3565,3565.0,1.7744044065475464,1.6911455392837524,2.9817240238189697,6.92328123330544,0.4647958278656006,0.045336827635765076,-0.4469163417816162,-0.11935456842184067
43,3565,3565.0,1.7791624069213867,1.7033944129943848,2.953643321990967,7.022303608344992,0.45952361822128296,0.05418013408780098,-0.4426283836364746,-0.11093501001596451
44,3568,3568.0,1.7860755920410156,1.717595100402832,2.9517552852630615,7.0847114736782215,0.4515664577484131,0.06374301016330719,-0.435293048620224,-0.10182854533195496
