iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,human_pose_weight,human_pose_raw,human_pose_scaled,human_pose_smooth_weight,human_pose_smooth_raw,human_pose_smooth_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,object_intersect_weight,object_intersect_raw,object_intersect_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,166.6086883544922,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.106518175220117e-05,0.011065181344747543,1000.0,0.040039073675870895,40.0390739440918,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0011707114754244685,0.023414229974150658,1000.0,0.12381106615066528,123.81106567382812,10000.0,0.00027240696363151073,2.724069595336914
25,157.03424072265625,20.0,4.022895154776052e-06,8.045790309552103e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0579182344372384e-05,0.010579182766377926,1000.0,0.0363314226269722,36.3314208984375,50.125,1.6427358787041157e-05,0.0008234213455580175,100.0,9.463547030463815e-07,9.463547030463815e-05,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0011900699464604259,0.023801399394869804,1000.0,0.11821600049734116,118.21600341796875,10000.0,0.0002451450563967228,2.4514505863189697
50,148.79928588867188,20.0,1.5675970644224435e-05,0.0003135194128844887,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0274903615936637e-05,0.01027490384876728,1000.0,0.03385326638817787,33.853267669677734,50.25,6.779029354220256e-05,0.0034064622595906258,100.0,2.062999101326568e-06,0.0002062999119516462,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0013101943768560886,0.026203887537121773,1000.0,0.11254200339317322,112.54199981689453,10000.0,0.00023636176774743944,2.3636176586151123
75,141.2043914794922,20.0,3.407431722735055e-05,0.0006814863299950957,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0255552297167014e-05,0.010255551896989346,1000.0,0.03185362368822098,31.85362434387207,50.375,0.00015434956003446132,0.007775358855724335,100.0,3.332506594233564e-06,0.0003332506457809359,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0014644332695752382,0.02928866446018219,1000.0,0.10700675845146179,107.00675964355469,10000.0,0.00022956625616643578,2.2956626415252686
100,134.07080078125,20.0,5.894639252801426e-05,0.00117892783600837,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.042025542119518e-05,0.010420255362987518,1000.0,0.030137302353978157,30.13730239868164,50.5,0.0002746933023445308,0.013872011564671993,100.0,4.6944151108618826e-06,0.0004694415256381035,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0015283109387382865,0.030566219240427017,1000.0,0.1016412302851677,101.64122772216797,10000.0,0.00022357667330652475,2.235766649246216
125,127.29351806640625,20.0,9.043255704455078e-05,0.0018086511408910155,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0628718882799149e-05,0.010628718882799149,1000.0,0.028592541813850403,28.59254264831543,50.625,0.0004284748574718833,0.021691540256142616,100.0,6.167964784253854e-06,0.0006167964893393219,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0015106553910300136,0.03021310828626156,1000.0,0.09644830226898193,96.44830322265625,10000.0,0.00021877154358662665,2.187715530395508
150,120.82483673095703,20.0,0.00012881286966148764,0.002576257335022092,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0864250725717284e-05,0.010864250361919403,1000.0,0.027176175266504288,27.176176071166992,50.75,0.0006146202213130891,0.031191976740956306,100.0,7.67623532738071e-06,0.0007676235400140285,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0015229920390993357,0.03045983985066414,1000.0,0.09143197536468506,91.43197631835938,10000.0,0.00021408250904642045,2.140825033187866
175,114.63219451904297,20.0,0.00017423604731447995,0.003484720829874277,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.1113093023595866e-05,0.011113093234598637,1000.0,0.02586011216044426,25.860111236572266,50.875,0.000832214776892215,0.04233892634510994,100.0,9.275696356780827e-06,0.0009275696356780827,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0015442686853930354,0.030885374173521996,1000.0,0.08658836781978607,86.58837127685547,10000.0,0.00020949658937752247,2.094965934753418
200,108.69444274902344,20.0,0.00022688685567118227,0.004537736997008324,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.1357486073393375e-05,0.011357486248016357,1000.0,0.024632476270198822,24.632476806640625,51.0,0.0010798103176057339,0.05507032573223114,100.0,1.0964412467728835e-05,0.001096441294066608,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0014975173398852348,0.029950346797704697,1000.0,0.08191023021936417,81.91023254394531,10000.0,0.00020497174409683794,2.049717426300049
225,103.00199127197266,20.0,0.00028653134359046817,0.005730627104640007,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.1629308573901653e-05,0.011629308573901653,1000.0,0.023469911888241768,23.469911575317383,51.125,0.001354796695522964,0.06926397979259491,100.0,1.2734859410556965e-05,0.001273485948331654,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0015397320967167616,0.030794642865657806,1000.0,0.07740862667560577,77.40863037109375,10000.0,0.00020047533325850964,2.004753351211548
