iter,total,tracking_weight,tracking_raw,tracking_scaled,object_cd2d_weight,object_cd2d_raw,object_cd2d_scaled,object_part_cd2d_weight,object_part_cd2d_raw,object_part_cd2d_scaled,object_smooth_trans_weight,object_smooth_trans_raw,object_smooth_trans_scaled,object_smooth_rot_weight,object_smooth_rot_raw,object_smooth_rot_scaled,human_pose_weight,human_pose_raw,human_pose_scaled,human_pose_smooth_weight,human_pose_smooth_raw,human_pose_smooth_scaled,object_scale_weight,object_scale_raw,object_scale_scaled,object_intersect_weight,object_intersect_raw,object_intersect_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,contact_drift_weight,contact_drift_raw,contact_drift_scaled
0,20.604541778564453,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.44421573067666e-06,0.00544421561062336,1000.0,0.00230684713460505,2.306847095489502,50.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.004372297786176205,0.08744595944881439,1000.0,0.017281118780374527,17.281118392944336,10000.0,9.236861660610884e-05,0.923686146736145
25,18.453439712524414,20.0,3.236835482312017e-06,6.473671237472445e-05,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.623190190817695e-06,0.005623190198093653,1000.0,0.0016912398859858513,1.691239833831787,50.125,1.530351619294379e-05,0.0007670887280255556,100.0,1.8714088128035655e-06,0.00018714087491389364,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.002938714809715748,0.05877429619431496,1000.0,0.015886763110756874,15.886763572692871,10000.0,8.100205741357058e-05,0.8100205659866333
50,16.7840576171875,20.0,1.234045976161724e-05,0.00024680918431840837,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.4662159527651966e-06,0.005466215778142214,1000.0,0.0013564488617703319,1.3564488887786865,50.25,5.895881258766167e-05,0.0029626803006976843,100.0,2.795795126075973e-06,0.0002795795153360814,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0027085444889962673,0.054170891642570496,1000.0,0.014584572985768318,14.584572792053223,10000.0,7.799085869919509e-05,0.7799085974693298
75,15.379838943481445,20.0,2.662329643499106e-05,0.0005324659286998212,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.389792022469919e-06,0.005389791913330555,1000.0,0.0011309584369882941,1.1309584379196167,50.375,0.00012810761108994484,0.006453420966863632,100.0,3.8471862353617325e-06,0.00038471861626021564,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.002751539461314678,0.055030789226293564,1000.0,0.013426849618554115,13.426849365234375,10000.0,7.542395906057209e-05,0.7542396187782288
100,14.160802841186523,20.0,4.51551859441679e-05,0.0009031037334352732,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.334691195457708e-06,0.005334691144526005,1000.0,0.0009657342452555895,0.9657342433929443,50.5,0.0002184320765081793,0.011030820198357105,100.0,5.008803782402538e-06,0.0005008803564123809,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0026802215725183487,0.053604431450366974,1000.0,0.012395074591040611,12.395074844360352,10000.0,7.286197796929628e-05,0.7286197543144226
125,13.084835052490234,20.0,6.753911293344572e-05,0.001350782229565084,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.338683877198491e-06,0.005338683724403381,1000.0,0.0008345349924638867,0.8345350027084351,50.625,0.00032321311300620437,0.016362663358449936,100.0,6.1692417148151435e-06,0.000616924196947366,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.002695041010156274,0.0539008192718029,1000.0,0.011467919684946537,11.46791934967041,10000.0,7.048105908324942e-05,0.704810619354248
150,12.123958587646484,20.0,9.403914009453729e-05,0.0018807827727869153,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.292789410304977e-06,0.0052927895449101925,1000.0,0.0007257398683577776,0.7257398962974548,50.75,0.0004398442106321454,0.022322094067931175,100.0,7.116160759323975e-06,0.0007116160704754293,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.002817523665726185,0.0563504733145237,1000.0,0.010629499331116676,10.629499435424805,10000.0,6.821608985774219e-05,0.6821609139442444
175,11.274434089660645,20.0,0.00012309718295000494,0.0024619437754154205,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.444975613499992e-06,0.005444975569844246,1000.0,0.0006360491388477385,0.6360491514205933,50.875,0.0005617217975668609,0.028577595949172974,100.0,8.206112397601828e-06,0.000820611254312098,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.002933599054813385,0.0586719810962677,1000.0,0.009886334650218487,9.886334419250488,10000.0,6.560736801475286e-05,0.6560736894607544
200,10.514643669128418,20.0,0.00015556525613646954,0.0031113051809370518,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.45796365258866e-06,0.005457963794469833,1000.0,0.0005595634575001895,0.5595634579658508,51.0,0.0006909942603670061,0.03524070605635643,100.0,9.20158618100686e-06,0.00092015863629058,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0032885121181607246,0.0657702386379242,1000.0,0.009214509278535843,9.214509010314941,10000.0,6.300706445472315e-05,0.6300706267356873
225,9.825257301330566,20.0,0.0001921337825478986,0.003842675592750311,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.457030965771992e-06,0.005457031074911356,1000.0,0.0004936478799208999,0.49364787340164185,51.125,0.0008262809715233743,0.04224361479282379,100.0,1.0060854037874378e-05,0.0010060854256153107,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0036182478070259094,0.07236495614051819,1000.0,0.008601527661085129,8.601527214050293,10000.0,6.051687159924768e-05,0.6051687002182007
