iter,total,mask_weight,mask_raw,mask_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled
1,30.30764389038086,500.0,1.72186173585942e-05,0.0086093086792971,0.0,0.0,0.0,500.0,0.05817495286464691,29.087476432323456,200.0,0.005696892738342285,1.139378547668457
2,28.645729064941406,500.0,1.7072037735488266e-05,0.008536018867744133,0.007503751875937969,0.0,0.0,500.0,0.05495140329003334,27.47570164501667,200.0,0.005451027303934097,1.0902054607868195
3,27.05719566345215,500.0,1.6964777387329377e-05,0.008482388693664689,0.015007503751875938,0.0,0.0,500.0,0.051862262189388275,25.931131094694138,200.0,0.005182132124900818,1.0364264249801636
4,25.529075622558594,500.0,1.69014347193297e-05,0.00845071735966485,0.022511255627813906,0.0,0.0,500.0,0.048902180045843124,24.451090022921562,200.0,0.004923196509480476,0.9846393018960953
5,24.066511154174805,500.0,1.6958621927187778e-05,0.008479310963593889,0.030015007503751877,0.0,0.0,500.0,0.04606698453426361,23.033492267131805,200.0,0.004677160177379847,0.9354320354759693
6,22.66758155822754,500.0,1.717269333312288e-05,0.00858634666656144,0.03751875937968985,0.0,0.0,500.0,0.043355368077754974,21.677684038877487,200.0,0.004435854498296976,0.8871708996593952
7,21.33028221130371,500.0,1.7503836716059595e-05,0.008751918358029798,0.04502251125562781,0.0,0.0,500.0,0.04076384752988815,20.381923764944077,200.0,0.004201487172394991,0.8402974344789982
8,20.056543350219727,500.0,1.7879294318845496e-05,0.008939647159422748,0.05252626313156578,0.0,0.0,500.0,0.03828950226306915,19.144751131534576,200.0,0.003982105292379856,0.7964210584759712
9,18.854663848876953,500.0,1.8292175809619948e-05,0.009146087904809974,0.060030015007503754,0.0,0.0,500.0,0.03593018651008606,17.96509325504303,200.0,0.003777075093239546,0.7554150186479092
10,17.745269775390625,500.0,1.873602013802156e-05,0.00936801006901078,0.06753376688344172,0.0,0.0,500.0,0.03367935121059418,16.83967560529709,200.0,0.0035823401995003223,0.7164680399000645
11,16.674938201904297,500.0,1.928535675688181e-05,0.009642678378440905,0.0750375187593797,0.0,0.0,500.0,0.03154929727315903,15.774648636579514,200.0,0.0033849673345685005,0.6769934669137001
12,15.639516830444336,500.0,1.9933195289922878e-05,0.009966597644961439,0.08254127063531766,0.0,0.0,500.0,0.02952440455555916,14.76220227777958,200.0,0.0031925514340400696,0.6385102868080139
