iter,total,mask_weight,mask_raw,mask_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1,26.463796615600586,1.0,4.203939170110971e-05,4.203939170110971e-05,20.0,3.0791341698588326e-16,6.158268339717665e-15,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012811318039894104,0.0,500.0,0.051530711352825165,25.765355676412582,200.0,0.0034919907338917255,0.6983981467783451,0.0,0.07617417722940445,0.0,0.0,0.0,0.0,700000,700000,1067
2,24.926593780517578,1.0,3.9754122553858906e-05,3.9754122553858906e-05,20.0,1.4747470231668558e-06,2.9494940463337116e-05,10.0,9.999889698519837e-07,9.999889698519837e-06,1.0,2.474939151397848e-07,2.474939151397848e-07,0.0050025012506253125,0.01255325973033905,6.279769750044548e-05,500.0,0.04852743446826935,24.263717234134674,200.0,0.0033132906537503004,0.6626581307500601,0.0005002501250625312,0.07606872171163559,3.8053387549592586e-05,5.002501250625313e-07,70.66461181640625,3.5349980898652454e-05,700000,700000,1112
3,23.448469161987305,1.0,3.7634759792126715e-05,3.7634759792126715e-05,20.0,5.898843937757192e-06,0.00011797687875514384,10.0,3.989780452684499e-06,3.989780452684499e-05,1.0,9.99337089524488e-07,9.99337089524488e-07,0.010005002501250625,0.011674687266349792,0.0001168052753011485,500.0,0.045638274401426315,22.819137200713158,200.0,0.003144363174214959,0.6288726348429918,0.0010005002501250625,0.07603207975625992,7.607011481366675e-05,1.0005002501250626e-06,70.54374694824219,7.057903646647543e-05,700000,700000,1179
4,22.029850006103516,1.0,3.5662364098243415e-05,3.5662364098243415e-05,20.0,1.3270348972582724e-05,0.0002654069794516545,10.0,8.953993528848514e-06,8.953993528848514e-05,1.0,2.2414762952394085e-06,2.2414762952394085e-06,0.015007503751875938,0.011602770537137985,0.00017412862236825392,500.0,0.04286409169435501,21.432045847177505,200.0,0.0029850967694073915,0.5970193538814783,0.0015007503751875938,0.07599464058876038,0.00011404898537582848,1.5007503751875938e-06,70.22987365722656,0.00010539750924046008,700000,700000,1232
5,20.667757034301758,1.0,3.3817123039625585e-05,3.3817123039625585e-05,20.0,2.3586913812323473e-05,0.00047173827624646947,10.0,1.5854897355893627e-05,0.00015854897355893627,1.0,3.959902642236557e-06,3.959902642236557e-06,0.02001000500250125,0.011075148358941078,0.00022161377406585447,500.0,0.04019944369792938,20.09972184896469,200.0,0.002834283746778965,0.566856749355793,0.002001000500250125,0.07595683634281158,0.00015198966751938284,2.001000500250125e-06,69.0260009765625,0.00013812106248436718,700000,700000,1324
6,19.364398956298828,1.0,3.2096322684083134e-05,3.2096322684083134e-05,20.0,3.684221883304417e-05,0.0007368443766608834,10.0,2.4685394237167202e-05,0.000246853942371672,1.0,6.187347935338039e-06,6.187347935338039e-06,0.02501250625312656,0.010884683579206467,0.00027225321608820573,500.0,0.037647150456905365,18.823575228452682,200.0,0.0026958268135786057,0.5391653627157211,0.0025012506253126563,0.07592103630304337,0.0001898975395273721,2.5012506253126564e-06,68.7872314453125,0.0001720541056661143,700000,700000,1385
7,18.119558334350586,1.0,3.0529856303473935e-05,3.0529856303473935e-05,20.0,5.3025869419798255e-05,0.001060517388395965,10.0,3.537723023327999e-05,0.0003537723023327999,1.0,8.867802534950897e-06,8.867802534950897e-06,0.030015007503751877,0.010557347908616066,0.0003168788766968304,500.0,0.035208649933338165,17.604324966669083,200.0,0.0025651459582149982,0.5130291916429996,0.0030015007503751876,0.07588797062635422,0.00022777780077945238,3.0015007503751877e-06,69.33642578125,0.0002081133340107554,700000,700000,1493
8,16.93183135986328,1.0,2.916612538683694e-05,2.916612538683694e-05,20.0,7.212214404717088e-05,0.0014424428809434175,10.0,4.788229853147641e-05,0.0004788229853147641,1.0,1.199680264107883e-05,1.199680264107883e-05,0.03501750875437719,0.010755985975265503,0.000376647833050818,500.0,0.03288070484995842,16.44035242497921,200.0,0.0024431729689240456,0.4886345937848091,0.003501750875437719,0.07585787028074265,0.0002656353636644315,3.501750875437719e-06,69.40760803222656,0.0002430481521888874,700000,700000,1539
9,15.800878524780273,1.0,2.797524575726129e-05,2.797524575726129e-05,20.0,9.411931387148798e-05,0.0018823862774297595,10.0,6.204814417287707e-05,0.0006204814417287707,1.0,1.557918767502997e-05,1.557918767502997e-05,0.0400200100050025,0.010935744270682335,0.0004376485951248558,500.0,0.030661705881357193,15.330852940678596,200.0,0.0023323544301092625,0.4664708860218525,0.00400200100050025,0.07583442330360413,0.0003034894379333832,4.00200100050025e-06,67.07361602783203,0.0002684286784505534,700000,700000,1596
10,14.723517417907715,1.0,2.6933601475320756e-05,2.6933601475320756e-05,20.0,0.00011899761011591181,0.0023799522023182362,10.0,7.782835746183991e-05,0.0007782835746183991,1.0,1.952510683622677e-05,1.952510683622677e-05,0.04502251125562781,0.010876177810132504,0.0004896728378749001,500.0,0.028547443449497223,14.273721724748611,200.0,0.0022272933274507523,0.44545866549015045,0.004502251125562781,0.07581847906112671,0.0003413538326914159,4.502251125562782e-06,66.9762191772461,0.00030154375817669583,700000,700000,1660
