iter,total,mask_weight,mask_raw,mask_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_near_scene_collision_points,scene_intersect_num_inside_or_margin_points
1,63.267967224121094,1.0,6.254686741158366e-05,6.254686741158366e-05,20.0,2.312964744926491e-17,4.625929489852982e-16,10.0,0.0,0.0,1.0,5.50671747784337e-12,5.50671747784337e-12,0.0,0.022275125607848167,0.0,500.0,0.12455562502145767,62.277812510728836,200.0,0.004950458183884621,0.9900916367769241,0.0,0.09146330505609512,0.0,0.0,0.0,0.0,7518,190,3
2,60.36736297607422,1.0,6.152954301796854e-05,6.152954301796854e-05,20.0,1.802653969207313e-06,3.605307938414626e-05,10.0,9.999730536947027e-07,9.999730536947027e-06,1.0,2.521856572457182e-07,2.521856572457182e-07,0.0050025012506253125,0.013290682807564735,6.648665736650693e-05,500.0,0.11885293573141098,59.42646786570549,200.0,0.0047031850554049015,0.9406370110809803,0.0005002501250625312,0.09112996608018875,4.5587776928558654e-05,5.002501250625313e-07,72.64686584472656,3.6341603724225394e-05,7518,190,5
3,57.54297637939453,1.0,6.052312892279588e-05,6.052312892279588e-05,20.0,7.204761459433939e-06,0.00014409522918867879,10.0,3.9923352233017795e-06,3.9923352233017795e-05,1.0,1.0040341749117943e-06,1.0040341749117943e-06,0.010005002501250625,0.013520458713173866,0.00013527222324336035,500.0,0.11329683661460876,56.64841830730438,200.0,0.004470067098736763,0.8940134197473526,0.0010005002501250625,0.0907997414469719,9.084516402898639e-05,1.0005002501250626e-06,72.96100616455078,7.299750491700929e-05,7518,191,5
4,54.7942008972168,1.0,5.963208604953252e-05,5.963208604953252e-05,20.0,1.6194393538171425e-05,0.0003238878707634285,10.0,8.974176125775557e-06,8.974176125775557e-05,1.0,2.2485082808998413e-06,2.2485082808998413e-06,0.015007503751875938,0.014322943054139614,0.00021495162162290567,500.0,0.10788701474666595,53.94350737333298,200.0,0.004248788580298424,0.8497577160596848,0.0015007503751875938,0.09053848683834076,0.0001358756680915569,1.5007503751875938e-06,71.89671325683594,0.00010789901939495139,7518,191,5
5,52.12025451660156,1.0,5.8845234889304265e-05,5.8845234889304265e-05,20.0,2.87530965579208e-05,0.000575061931158416,10.0,1.5928424545563757e-05,0.00015928424545563757,1.0,3.997348358097952e-06,3.997348358097952e-06,0.02001000500250125,0.01967993564903736,0.00039379561078614026,500.0,0.10262361168861389,51.311805844306946,200.0,0.004034677054733038,0.8069354109466076,0.002001000500250125,0.09027457982301712,0.0001806394793857271,2.001000500250125e-06,72.73124694824219,0.000145535261527248,7518,191,3
6,49.52055358886719,1.0,5.810685979668051e-05,5.810685979668051e-05,20.0,4.48579085059464e-05,0.000897158170118928,10.0,2.483497519278899e-05,0.0002483497519278899,1.0,6.222419870027807e-06,6.222419870027807e-06,0.02501250625312656,0.01199111994355917,0.00029992796257026434,500.0,0.09750624746084213,48.753123730421066,200.0,0.0038275804836302996,0.7655160967260599,0.0025012506253126563,0.09000702202320099,0.0002251301201180615,2.5012506253126564e-06,72.39803314208984,0.00018108562566805864,7518,191,5
7,46.99617385864258,1.0,5.739763946621679e-05,5.739763946621679e-05,20.0,6.447720807045698e-05,0.0012895441614091396,10.0,3.566448867786676e-05,0.00035664488677866757,1.0,8.923794666770846e-06,8.923794666770846e-06,0.030015007503751877,0.011868189089000225,0.0003562237845622879,500.0,0.09253495186567307,46.26747593283653,200.0,0.0036307061091065407,0.7261412218213081,0.0030015007503751876,0.08973474055528641,0.00026933889111141495,3.0015007503751877e-06,72.0954818725586,0.00021639464293914535,7518,191,5
8,44.54697036743164,1.0,5.679358582710847e-05,5.679358582710847e-05,20.0,8.757365867495537e-05,0.0017514731734991074,10.0,4.837668893742375e-05,0.0004837668893742375,1.0,1.2110863281122874e-05,1.2110863281122874e-05,0.03501750875437719,0.01384885236620903,0.00048495230897180195,500.0,0.08770941197872162,43.85470598936081,200.0,0.003444535192102194,0.6889070384204388,0.003501750875437719,0.0894547626376152,0.00031324829337834236,3.501750875437719e-06,73.125,0.0002560655327663832,7518,190,4
9,42.17141342163086,1.0,5.634654371533543e-05,5.634654371533543e-05,20.0,0.0001140911117545329,0.002281822235090658,10.0,6.295596540439874e-05,0.0006295596540439874,1.0,1.5820935004740022e-05,1.5820935004740022e-05,0.0400200100050025,0.01269004587084055,0.0005078557627149795,500.0,0.08302900940179825,41.514504700899124,200.0,0.003263829741626978,0.6527659483253956,0.00400200100050025,0.08917112648487091,0.0003568629374081877,4.00200100050025e-06,73.08485412597656,0.000292485659333573,7518,189,4
10,39.87023162841797,1.0,5.607026469078846e-05,5.607026469078846e-05,20.0,0.00014397477207239717,0.0028794954414479434,10.0,7.934552559163421e-05,0.0007934552559163421,1.0,1.9900182451237924e-05,1.9900182451237924e-05,0.04502251125562781,0.016609514132142067,0.0007478020369648754,500.0,0.07849331200122833,39.246656000614166,200.0,0.0030917262192815542,0.6183452438563108,0.004502251125562781,0.08888000249862671,0.0004001600912894649,4.502251125562782e-06,73.76272583007812,0.0003320983153930481,7518,187,3
