iter,total,mask_weight,mask_raw,mask_scaled,root_trans_gvhmr_weight,root_trans_gvhmr_raw,root_trans_gvhmr_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,55.84871292114258,1.0,1.72186173585942e-05,1.72186173585942e-05,20.0,0.0,0.0,20.0,2.312964744926491e-17,4.625929489852982e-16,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3759089708328247,0.0,500.0,0.10866378247737885,54.33189123868942,200.0,0.007584012113511562,1.5168024227023125,0.0,0.09146330505609512,0.0,0.0,0.0,0.0
2,53.31569290161133,1.0,1.7029162336257286e-05,1.7029162336257286e-05,20.0,1.000053771349485e-06,2.00010754269897e-05,20.0,1.802649421733804e-06,3.605298843467608e-05,10.0,9.999769190471852e-07,9.999769190471852e-06,25.0,1.0000001111620804e-06,2.500000277905201e-05,0.007503751875937969,0.0,0.0,0.0,0.37464290857315063,0.0,500.0,0.10370780527591705,51.85390263795853,200.0,0.007308188825845718,1.4616377651691437,0.0005002501250625312,0.09112997353076935,4.558778065571253e-05,0.0,0.0,0.0
3,50.851837158203125,1.0,1.670186611590907e-05,1.670186611590907e-05,20.0,4.00037424697075e-06,8.000748493941501e-05,20.0,5.928757673245855e-06,0.0001185751534649171,10.0,3.9986193769436795e-06,3.9986193769436795e-05,25.0,3.9925635064719245e-06,9.981408766179811e-05,0.015007503751875938,0.0,0.0,0.0,0.3735194802284241,0.0,500.0,0.09888741374015808,49.44370687007904,200.0,0.007038414478302002,1.4076828956604004,0.0010005002501250625,0.09080285578966141,9.084827992962621e-05,0.0,0.0,0.0
4,48.45759582519531,1.0,1.6375764971598983e-05,1.6375764971598983e-05,20.0,9.001199941849336e-06,0.00018002399883698672,20.0,1.3242733984952793e-05,0.00026485467969905585,10.0,8.994721611088607e-06,8.994721611088607e-05,25.0,8.960001650848426e-06,0.00022400004127121065,0.022511255627813906,0.0,0.0,0.0,0.3726683557033539,0.0,500.0,0.09420272707939148,47.10136353969574,200.0,0.00677660945802927,1.355321891605854,0.0015007503751875938,0.09054388105869293,0.0001358837634697743,0.0,0.0,0.0
5,46.13202667236328,1.0,1.6095185856102034e-05,1.6095185856102034e-05,20.0,1.600388168299105e-05,0.000320077633659821,20.0,2.393623799434863e-05,0.0004787247598869726,10.0,1.597939626662992e-05,0.0001597939626662992,25.0,1.5871819414314814e-05,0.00039679548535787035,0.030015007503751877,0.0,0.0,0.0,0.37184521555900574,0.0,500.0,0.08965328335762024,44.82664167881012,200.0,0.0065191565081477165,1.3038313016295433,0.002001000500250125,0.0902857705950737,0.00018066187212621048,0.0,0.0,0.0
6,43.874454498291016,1.0,1.5881018043728545e-05,1.5881018043728545e-05,20.0,2.5009696400957182e-05,0.0005001939280191436,20.0,3.807822577073239e-05,0.0007615645154146478,10.0,2.4943450625869446e-05,0.00024943450625869446,25.0,2.4685574317118153e-05,0.0006171393579279538,0.03751875937968985,0.0,0.0,0.0,0.3711099624633789,0.0,500.0,0.08523887395858765,42.61943697929382,200.0,0.006263241171836853,1.2526482343673706,0.0025012506253126563,0.09002871811389923,0.0002251843874784873,0.0,0.0,0.0
7,41.68629455566406,1.0,1.5768102457514033e-05,1.5768102457514033e-05,20.0,3.602007564040832e-05,0.0007204015128081664,20.0,5.570345092564821e-05,0.0011140690185129642,10.0,3.5871464206138626e-05,0.00035871464206138626,25.0,3.5340908652869985e-05,0.0008835227163217496,0.04502251125562781,0.0,0.0,0.0,0.37016573548316956,0.0,500.0,0.08095887303352356,40.47943651676178,200.0,0.0060174716636538506,1.2034943327307701,0.0030015007503751876,0.08977259695529938,0.0002694525171244604,0.0,0.0,0.0
8,39.566593170166016,1.0,1.5716472262283787e-05,1.5716472262283787e-05,20.0,4.903745139017701e-05,0.0009807490278035402,20.0,7.683791045565158e-05,0.0015367582091130316,10.0,4.876361708738841e-05,0.0004876361708738841,25.0,4.7761801397427917e-05,0.001194045034935698,0.05252626313156578,0.0,0.0,0.0,0.369520366191864,0.0,500.0,0.07681287080049515,38.406435400247574,200.0,0.005778145045042038,1.1556290090084076,0.003501750875437719,0.08951736241579056,0.00031346750220637013,0.0,0.0,0.0
9,37.514732360839844,1.0,1.57088361447677e-05,1.57088361447677e-05,20.0,6.406457396224141e-05,0.0012812914792448282,20.0,0.00010148809815291315,0.002029761963058263,10.0,6.362393469316885e-05,0.0006362393469316885,25.0,6.185477832332253e-05,0.0015463694580830634,0.060030015007503754,0.0,0.0,0.0,0.3687369227409363,0.0,500.0,0.07280005514621735,36.40002757310867,200.0,0.005544176325201988,1.1088352650403976,0.00400200100050025,0.08926227688789368,0.0003572277214122808,0.0,0.0,0.0
10,35.530155181884766,1.0,1.5748631994938478e-05,1.5748631994938478e-05,20.0,8.110541239148006e-05,0.0016221082478296012,20.0,0.0001296658010687679,0.002593316021375358,10.0,8.044091373449191e-05,0.0008044091373449191,25.0,7.749775977572426e-05,0.0019374439943931065,0.06753376688344172,0.0,0.0,0.0,0.3679265081882477,0.0,500.0,0.06891948729753494,34.45974364876747,200.0,0.00531518179923296,1.063036359846592,0.004502251125562781,0.08900687843561172,0.0004007313186195625,0.0,0.0,0.0
