iter,total,mask_weight,mask_raw,mask_scaled,root_trans_gvhmr_weight,root_trans_gvhmr_raw,root_trans_gvhmr_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,24.052433013916016,1.0,1.871126914920751e-05,1.871126914920751e-05,20.0,0.0,0.0,20.0,3.0791341698588326e-16,6.158268339717665e-15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33585911989212036,0.0,500.0,0.04585282877087593,22.926414385437965,200.0,0.005630000494420528,1.1260000988841057,0.0,0.07617417722940445,0.0,0.0,0.0,0.0
2,22.665075302124023,1.0,1.7589562048669904e-05,1.7589562048669904e-05,20.0,1.0000139809562825e-06,2.000027961912565e-05,20.0,1.4747470231668558e-06,2.9494940463337116e-05,10.0,9.99992494143953e-07,9.99992494143953e-06,0.0,9.99999883788405e-07,0.0,0.007503751875937969,0.0,0.0,0.0,0.33520346879959106,0.0,500.0,0.043162956833839417,21.58147841691971,200.0,0.005417415872216225,1.083483174443245,0.0005002501250625312,0.07613714039325714,3.8087614003630386e-05,0.0,0.0,0.0
3,21.325769424438477,1.0,1.6625750504317693e-05,1.6625750504317693e-05,20.0,4.00021508539794e-06,8.00043017079588e-05,20.0,5.897499704587972e-06,0.00011794999409175944,10.0,3.9956953514774796e-06,3.9956953514774796e-05,0.0,4.0003997128224e-06,0.0,0.015007503751875938,0.0,0.0,0.0,0.33486276865005493,0.0,500.0,0.040564537048339844,20.282268524169922,200.0,0.005215853452682495,1.043170690536499,0.0010005002501250625,0.0760992020368576,7.613727067219369e-05,0.0,0.0,0.0
4,20.035057067871094,1.0,1.58696057042107e-05,1.58696057042107e-05,20.0,9.001081707538106e-06,0.0001800216341507621,20.0,1.3265918823890388e-05,0.00026531837647780776,10.0,8.967633220891003e-06,8.967633220891003e-05,0.0,8.998577868624125e-06,0.0,0.022511255627813906,0.0,0.0,0.0,0.3349422514438629,0.0,500.0,0.03805894777178764,19.02947388589382,200.0,0.005024582147598267,1.0049164295196533,0.0015007503751875938,0.07606031000614166,0.0001141475387786018,0.0,0.0,0.0
5,18.795059204101562,1.0,1.53039327415172e-05,1.53039327415172e-05,20.0,1.6003094060579315e-05,0.0003200618812115863,20.0,2.3567718017147854e-05,0.0004713543603429571,10.0,1.5905365216895007e-05,0.00015905365216895007,0.0,1.598882045072969e-05,0.0,0.030015007503751877,0.0,0.0,0.0,0.335859090089798,0.0,500.0,0.03565187379717827,17.825936898589134,200.0,0.004840025212615728,0.9680050425231457,0.002001000500250125,0.07601889222860336,0.00015211384137789566,0.0,0.0,0.0
6,17.606491088867188,1.0,1.4964182810217608e-05,1.4964182810217608e-05,20.0,2.500673508620821e-05,0.0005001347017241642,20.0,3.678464418044314e-05,0.0007356928836088628,10.0,2.4763041437836364e-05,0.00024763041437836364,0.0,2.4937644411693327e-05,0.0,0.03751875937968985,0.0,0.0,0.0,0.33652830123901367,0.0,500.0,0.03334441035985947,16.672205179929733,200.0,0.004662980325520039,0.9325960651040077,0.0025012506253126563,0.07596896588802338,0.00019001742343177432,0.0,0.0,0.0
7,16.46843910217285,1.0,1.478604826843366e-05,1.478604826843366e-05,20.0,3.601201387937181e-05,0.0007202402775874361,20.0,5.289450928103179e-05,0.0010578901856206357,10.0,3.549706525518559e-05,0.0003549706525518559,0.0,3.580582051654346e-05,0.0,0.04502251125562781,0.0,0.0,0.0,0.33455324172973633,0.0,500.0,0.031134119257330894,15.567059628665447,200.0,0.004495027009397745,0.899005401879549,0.0030015007503751876,0.07591439038515091,0.00022785709970530538,0.0,0.0,0.0
8,15.38200855255127,1.0,1.4719061255163979e-05,1.4719061255163979e-05,20.0,4.90191814606078e-05,0.000980383629212156,20.0,7.185238791862503e-05,0.0014370477583725005,10.0,4.796831126441248e-05,0.0004796831126441248,0.0,4.8534220695728436e-05,0.0,0.05252626313156578,0.0,0.0,0.0,0.33375677466392517,0.0,500.0,0.02902393601834774,14.51196800917387,200.0,0.0043343231081962585,0.8668646216392517,0.003501750875437719,0.07583765685558319,0.00026556458128518376,0.0,0.0,0.0
9,14.347602844238281,1.0,1.477880505262874e-05,1.477880505262874e-05,20.0,6.402816507034004e-05,0.0012805633014068007,20.0,9.35979769565165e-05,0.00187195953913033,10.0,6.210256105987355e-05,0.0006210256105987355,0.0,6.302732799667865e-05,0.0,0.060030015007503754,0.0,0.0,0.0,0.3330463171005249,0.0,500.0,0.02701438218355179,13.507191091775894,200.0,0.004181606229394674,0.8363212458789349,0.00400200100050025,0.07573829591274261,0.0003031047360189799,0.0,0.0,0.0
10,13.365259170532227,1.0,1.492162118665874e-05,1.492162118665874e-05,20.0,8.103696018224582e-05,0.0016207392036449164,20.0,0.00011807313421741128,0.0023614626843482256,10.0,7.781543536111712e-05,0.0007781543536111712,0.0,7.914640445960686e-05,0.0,0.06753376688344172,0.0,0.0,0.0,0.33339643478393555,0.0,500.0,0.025104904547333717,12.552452273666859,200.0,0.0040384577587246895,0.8076915517449379,0.004502251125562781,0.07561769336462021,0.0003404498450633226,0.0,0.0,0.0
11,12.433319091796875,1.0,1.510575930296909e-05,1.510575930296909e-05,20.0,0.00010004339856095612,0.0020008679712191224,20.0,0.00014522245328407735,0.002904449065681547,10.0,9.502975444775075e-05,0.0009502975444775075,0.0,9.669998689787462e-05,0.0,0.0750375187593797,0.0,0.0,0.0,0.3355299234390259,0.0,500.0,0.023293374106287956,11.646687053143978,200.0,0.0039019151590764523,0.7803830318152905,0.0050025012506253125,0.0754849836230278,0.0003776137249776278,0.0,0.0,0.0
12,11.549574851989746,1.0,1.5323337720474228e-05,1.5323337720474228e-05,20.0,0.00012104603229090571,0.0024209206458181143,20.0,0.00017493334598839283,0.0034986669197678566,10.0,0.00011369216372258961,0.0011369216372258961,0.0,0.00011546363384695724,0.0,0.08254127063531766,0.0,0.0,0.0,0.33882656693458557,0.0,500.0,0.02157672494649887,10.788362473249435,200.0,0.00376863032579422,0.753726065158844,0.005502751375687844,0.0753430724143982,0.0004145941953768785,0.0,0.0,0.0
13,10.712873458862305,1.0,1.5592035197187215e-05,1.5592035197187215e-05,20.0,0.00014404227840714157,0.0028808455681428313,20.0,0.0002071153576252982,0.004142307152505964,10.0,0.0001337290450464934,0.0013372904504649341,0.0,0.0001351601240457967,0.0,0.09004502251125562,0.00040997014730237424,3.691577114278507e-05,0.0,0.3423696756362915,0.0,500.0,0.019951682537794113,9.975841268897057,200.0,0.003640839597210288,0.7281679194420576,0.006003001500750375,0.07519432157278061,0.0004513916252493083,0.0,0.0,0.0
14,9.924237251281738,1.0,1.5923320461297408e-05,1.5923320461297408e-05,20.0,0.00016901784692890942,0.0033803569385781884,20.0,0.00024154954007826746,0.004830990801565349,10.0,0.00015500618610531092,0.0015500618610531092,0.0,0.00015530973905697465,0.0,0.0975487743871936,0.024103587493300438,0.0023512754183059458,0.0,0.3449668884277344,0.0,500.0,0.0184157844632864,9.2078922316432,200.0,0.0035186365712434053,0.7037273142486811,0.0065032516258129065,0.07504358887672424,0.00048802734136939226,0.0,0.0,0.0
15,9.177470207214355,1.0,1.6287027392536402e-05,1.6287027392536402e-05,20.0,0.0001959738292498514,0.003919476584997028,20.0,0.00027824874268844724,0.005564974853768945,10.0,0.00017753581050783396,0.0017753581050783396,0.0,0.00017561142158228904,0.0,0.10505252626313157,0.027889586985111237,0.0029298715692212905,0.0,0.3462270498275757,0.0,500.0,0.016966484487056732,8.483242243528366,200.0,0.0033974878024309874,0.6794975604861975,0.007003501750875438,0.07489331811666489,0.0005245154845589337,0.0,0.0,0.0
16,8.472966194152832,1.0,1.6690941265551373e-05,1.6690941265551373e-05,20.0,0.0002249118115287274,0.004498236230574548,20.0,0.0003171102434862405,0.00634220486972481,10.0,0.00020142510766163468,0.002014251076616347,0.0,0.00019568020070437342,0.0,0.11255627813906953,0.02946479618549347,0.0033164477947653977,0.0,0.34710538387298584,0.0,500.0,0.01560160517692566,7.80080258846283,200.0,0.0032770757097750902,0.655415141955018,0.007503751875937969,0.07473941147327423,0.0005608259990490812,0.0,0.0,0.0
17,7.810150146484375,1.0,1.72098953044042e-05,1.72098953044042e-05,20.0,0.00025582825765013695,0.005116565153002739,20.0,0.0003580809279810637,0.0071616185596212745,10.0,0.00022664369316771626,0.0022664369316771626,0.0,0.00021501256560441107,0.0,0.12006003001500751,0.026907289400696754,0.0032304899730701457,0.0,0.3470641076564789,0.0,500.0,0.014319959096610546,7.159979548305273,200.0,0.003158906940370798,0.6317813880741596,0.0080040020010005,0.07458148151636124,0.0005969503272945371,0.0,0.0,0.0
18,7.188881874084473,1.0,1.7806469259085134e-05,1.7806469259085134e-05,20.0,0.0002887159935198724,0.0057743198703974485,20.0,0.0004010913835372776,0.008021827670745552,10.0,0.0002530916826799512,0.002530916826799512,0.0,0.00023297235020436347,0.0,0.12756378189094547,0.024550698697566986,0.0031317799739267542,0.0,0.3463608920574188,0.0,500.0,0.013118724338710308,6.559362169355154,200.0,0.003047050442546606,0.6094100885093212,0.008504252126063032,0.07443822175264359,0.0006330414056002706,0.0,0.0,0.0
19,6.608143329620361,1.0,1.8459140846971422e-05,1.8459140846971422e-05,20.0,0.00032355680014006793,0.006471136002801359,20.0,0.00044598866952583194,0.008919773390516639,10.0,0.00028063819627277553,0.0028063819627277553,0.0,0.00024881979334168136,0.0,0.13506753376688344,0.023442547768354416,0.003166327112283988,0.0,0.34492403268814087,0.0,500.0,0.011996589601039886,5.998294800519943,200.0,0.0029389867559075356,0.5877973511815071,0.009004502251125562,0.07435587048530579,0.0006695376031693367,0.0,0.0,0.0
20,6.064099311828613,1.0,1.9139843061566353e-05,1.9139843061566353e-05,20.0,0.00036033682408742607,0.007206736481748521,20.0,0.0004925720859318972,0.009851441718637943,10.0,0.0003092658007517457,0.003092658007517457,0.0,0.0002618411963339895,0.0,0.1425712856428214,0.010864623822271824,0.0015489833863669181,0.0,0.34352317452430725,0.0,500.0,0.010950379073619843,5.475189536809921,200.0,0.00283242529258132,0.566485058516264,0.009504752376188095,0.07427411526441574,0.000705957073548724,0.0,0.0,0.0
21,5.55733585357666,1.0,1.9833103579003364e-05,1.9833103579003364e-05,20.0,0.0003990461118519306,0.007980922237038612,20.0,0.000540650449693203,0.01081300899386406,10.0,0.00033889675978571177,0.0033889675978571177,0.0,0.0002714787551667541,0.0,0.1500750375187594,0.01131114549934864,0.0016975205851948937,0.0,0.3416530191898346,0.0,500.0,0.009975118562579155,4.9875592812895775,200.0,0.002725670114159584,0.5451340228319168,0.010005002501250625,0.07419229298830032,0.000742294076921464,0.0,0.0,0.0
