iter,total,mask_weight,mask_raw,mask_scaled,root_trans_gvhmr_weight,root_trans_gvhmr_raw,root_trans_gvhmr_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,55.84871292114258,1.0,1.72186173585942e-05,1.72186173585942e-05,20.0,0.0,0.0,20.0,2.312964744926491e-17,4.625929489852982e-16,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724765479564667,0.0,500.0,0.10866378247737885,54.33189123868942,200.0,0.007584012113511562,1.5168024227023125,0.0,0.09146330505609512,0.0,0.0,0.0,0.0
2,53.31564712524414,1.0,1.7029162336257286e-05,1.7029162336257286e-05,20.0,1.000053771349485e-06,2.00010754269897e-05,20.0,1.802649421733804e-06,3.605298843467608e-05,10.0,9.999769190471852e-07,9.999769190471852e-06,25.0,1.0000001111620804e-06,2.500000277905201e-05,0.007503751875937969,0.0,0.0,0.0,0.3712901473045349,0.0,500.0,0.10370780527591705,51.85390263795853,200.0,0.007308188825845718,1.4616377651691437,0.0,0.09112997353076935,0.0,0.0,0.0,0.0
3,50.85174560546875,1.0,1.6701807908248156e-05,1.6701807908248156e-05,20.0,4.00037424697075e-06,8.000748493941501e-05,20.0,5.928757673245855e-06,0.0001185751534649171,10.0,3.99861437472282e-06,3.99861437472282e-05,25.0,3.9925635064719245e-06,9.981408766179811e-05,0.015007503751875938,0.0,0.0,0.0,0.3703058958053589,0.0,500.0,0.09888741374015808,49.44370687007904,200.0,0.007038413546979427,1.4076827093958855,0.0,0.090802863240242,0.0,0.0,0.0,0.0
4,48.45745849609375,1.0,1.6376197891077027e-05,1.6376197891077027e-05,20.0,9.001199941849336e-06,0.00018002399883698672,20.0,1.3242733984952793e-05,0.00026485467969905585,10.0,8.994704330689274e-06,8.994704330689274e-05,25.0,8.960001650848426e-06,0.00022400004127121065,0.022511255627813906,0.0,0.0,0.0,0.36947429180145264,0.0,500.0,0.09420272707939148,47.10136353969574,200.0,0.006776605267077684,1.3553210534155369,0.0,0.09054390341043472,0.0,0.0,0.0,0.0
5,46.13184356689453,1.0,1.6095411410788074e-05,1.6095411410788074e-05,20.0,1.600388168299105e-05,0.000320077633659821,20.0,2.393623799434863e-05,0.0004787247598869726,10.0,1.597935624886304e-05,0.00015979356248863041,25.0,1.5871819414314814e-05,0.00039679548535787035,0.030015007503751877,0.0,0.0,0.0,0.3686787486076355,0.0,500.0,0.08965328335762024,44.82664167881012,200.0,0.006519152782857418,1.3038305565714836,0.0,0.09028583019971848,0.0,0.0,0.0,0.0
6,43.874229431152344,1.0,1.588094892213121e-05,1.588094892213121e-05,20.0,2.5009696400957182e-05,0.0005001939280191436,20.0,3.807822577073239e-05,0.0007615645154146478,10.0,2.4943336029537022e-05,0.0002494333602953702,25.0,2.4685574317118153e-05,0.0006171393579279538,0.03751875937968985,0.0,0.0,0.0,0.3678130805492401,0.0,500.0,0.08523887395858765,42.61943697929382,200.0,0.00626324163749814,1.252648327499628,0.0,0.09002884477376938,0.0,0.0,0.0,0.0
7,41.6860237121582,1.0,1.576775684952736e-05,1.576775684952736e-05,20.0,3.602007564040832e-05,0.0007204015128081664,20.0,5.570345092564821e-05,0.0011140690185129642,10.0,3.587116952985525e-05,0.0003587116952985525,25.0,3.5340908652869985e-05,0.0008835227163217496,0.04502251125562781,0.0,0.0,0.0,0.3671826720237732,0.0,500.0,0.08095887303352356,40.47943651676178,200.0,0.006017469801008701,1.2034939602017403,0.0,0.08977281302213669,0.0,0.0,0.0,0.0
8,39.566280364990234,1.0,1.5716297639301047e-05,1.5716297639301047e-05,20.0,4.903745139017701e-05,0.0009807490278035402,20.0,7.683791045565158e-05,0.0015367582091130316,10.0,4.876307866652496e-05,0.0004876307866652496,25.0,4.7761801397427917e-05,0.001194045034935698,0.05252626313156578,0.0,0.0,0.0,0.3664250373840332,0.0,500.0,0.07681287080049515,38.406435400247574,200.0,0.005778138991445303,1.1556277982890606,0.0,0.08951772749423981,0.0,0.0,0.0,0.0
9,37.51437759399414,1.0,1.571007123857271e-05,1.571007123857271e-05,20.0,6.406457396224141e-05,0.0012812914792448282,20.0,0.00010148809815291315,0.002029761963058263,10.0,6.362300337059423e-05,0.0006362300337059423,25.0,6.185477832332253e-05,0.0015463694580830634,0.060030015007503754,0.0,0.0,0.0,0.3658282160758972,0.0,500.0,0.07280006259679794,36.40003129839897,200.0,0.005544177256524563,1.1088354513049126,0.0,0.08926282823085785,0.0,0.0,0.0,0.0
10,35.52975845336914,1.0,1.57473605213454e-05,1.57473605213454e-05,20.0,8.110541239148006e-05,0.0016221082478296012,20.0,0.0001296658010687679,0.002593316021375358,10.0,8.043953857850283e-05,0.0008043953857850283,25.0,7.749775977572426e-05,0.0019374439943931065,0.06753376688344172,0.0,0.0,0.0,0.3650680184364319,0.0,500.0,0.06891949474811554,34.45974737405777,200.0,0.005315191112458706,1.0630382224917412,0.0,0.0890076756477356,0.0,0.0,0.0,0.0
11,33.61204528808594,1.0,1.581961623742245e-05,1.581961623742245e-05,20.0,0.00010016271698987111,0.0020032543397974223,20.0,0.00016138328646775335,0.003227665729355067,10.0,9.92064960882999e-05,0.000992064960882999,25.0,9.455513645661995e-05,0.0023638784114154987,0.0750375187593797,0.0,0.0,0.0,0.3642805218696594,0.0,500.0,0.0651702880859375,32.58514404296875,200.0,0.005091505125164986,1.0183010250329971,0.0,0.08875186741352081,0.0,0.0,0.0,0.0
12,31.7606201171875,1.0,1.5921950762276538e-05,1.5921950762276538e-05,20.0,0.00012124145723646507,0.0024248291447293013,20.0,0.00019664570572786033,0.003932914114557207,10.0,0.00011989087943220511,0.001198908794322051,25.0,0.00011285599612165242,0.0028213999030413106,0.08254127063531766,0.0,0.0,0.0,0.36356255412101746,0.0,500.0,0.06155113875865936,30.77556937932968,200.0,0.00487328739836812,0.974657479673624,0.0,0.08849596977233887,0.0,0.0,0.0,0.0
13,29.97565269470215,1.0,1.607043668627739e-05,1.607043668627739e-05,20.0,0.00014434600598178804,0.002886920119635761,20.0,0.0002354560128878802,0.004709120257757604,10.0,0.00014246355567593127,0.0014246355567593127,25.0,0.00013220266555435956,0.003305066638858989,0.09004502251125562,0.0,0.0,0.0,0.3628901541233063,0.0,500.0,0.05806063860654831,29.030319303274155,200.0,0.0046649533323943615,0.9329906664788723,0.0,0.08824025839567184,0.0,0.0,0.0,0.0
14,28.255966186523438,1.0,1.6316244000336155e-05,1.6316244000336155e-05,20.0,0.00016948305710684508,0.0033896611421369016,20.0,0.0002778202760964632,0.005556405521929264,10.0,0.00016689972835592926,0.0016689972835592926,25.0,0.00015235465252771974,0.0038088663131929934,0.0975487743871936,0.0,0.0,0.0,0.3622884750366211,0.0,500.0,0.05469764024019241,27.348820120096207,200.0,0.004463533870875835,0.8927067741751671,0.0,0.08798398077487946,0.0,0.0,0.0,0.0
15,26.60097312927246,1.0,1.66809004440438e-05,1.66809004440438e-05,20.0,0.000196657027117908,0.00393314054235816,20.0,0.00032373963040299714,0.006474792608059943,10.0,0.00019313697703182697,0.0019313697703182697,25.0,0.00017302861670032144,0.004325715417508036,0.10505252626313157,0.0,0.0,0.0,0.361630380153656,0.0,500.0,0.05146101862192154,25.73050931096077,200.0,0.004268910735845566,0.8537821471691132,0.0,0.08772753179073334,0.0,0.0,0.0,0.0
16,25.008586883544922,1.0,1.713197707431391e-05,1.713197707431391e-05,20.0,0.00022587772400584072,0.004517554480116814,20.0,0.0003732158220373094,0.007464316440746188,10.0,0.00022112509759608656,0.0022112509759608656,25.0,0.00019389043154660612,0.004847260788665153,0.11255627813906953,0.0,0.0,0.0,0.3608624041080475,0.0,500.0,0.04834999144077301,24.174995720386505,200.0,0.0040726615116000175,0.8145323023200035,0.0,0.08747139573097229,0.0,0.0,0.0,0.0
17,23.47882843017578,1.0,1.770812741597183e-05,1.770812741597183e-05,20.0,0.0002571538498159498,0.005143076996318996,20.0,0.0004262546426616609,0.008525092853233218,10.0,0.00025083680520765483,0.0025083680520765483,25.0,0.00021459587151184678,0.0053648967877961695,0.12006003001500751,0.0,0.0,0.0,0.3600088655948639,0.0,500.0,0.04536309838294983,22.681549191474915,200.0,0.003878602758049965,0.775720551609993,0.0,0.08721652626991272,0.0,0.0,0.0,0.0
18,22.012174606323242,1.0,1.841138509917073e-05,1.841138509917073e-05,20.0,0.0002904935972765088,0.005809871945530176,20.0,0.00048285460798069835,0.009657092159613967,10.0,0.0002821704256348312,0.002821704256348312,25.0,0.00023471741587854922,0.0058679353969637305,0.12756378189094547,0.0,0.0,0.0,0.3591333031654358,0.0,500.0,0.04249826818704605,21.249134093523026,200.0,0.0036943219602108,0.73886439204216,0.0,0.08699917048215866,0.0,0.0,0.0,0.0
19,20.607288360595703,1.0,1.923923809954431e-05,1.923923809954431e-05,20.0,0.00032590562477707863,0.006518112495541573,20.0,0.0005430115852504969,0.010860231705009937,10.0,0.0003150643897242844,0.003150643897242844,25.0,0.00025381214800290763,0.006345303700072691,0.13506753376688344,0.0,0.0,0.0,0.35818544030189514,0.0,500.0,0.03975391760468483,19.876958802342415,200.0,0.003517183940857649,0.7034367881715298,0.0,0.08679905533790588,0.0,0.0,0.0,0.0
20,19.263084411621094,1.0,2.0146762835793197e-05,2.0146762835793197e-05,20.0,0.00036339927464723587,0.007267985492944717,20.0,0.0006067194044589996,0.012134388089179993,10.0,0.0003494741686154157,0.003494741686154157,25.0,0.0002714083530008793,0.006785208825021982,0.1425712856428214,0.0,0.0,0.0,0.3572477102279663,0.0,500.0,0.03712857514619827,18.564287573099136,200.0,0.0033454669173806906,0.6690933834761381,0.0,0.08659511804580688,0.0,0.0,0.0,0.0
21,17.97684097290039,1.0,2.115088682330679e-05,2.115088682330679e-05,20.0,0.00040298665408045053,0.00805973308160901,20.0,0.0006739668315276504,0.013479336630553007,10.0,0.0003853286907542497,0.003853286907542497,25.0,0.00028699557879008353,0.007174889469752088,0.1500750375187594,0.0,0.0,0.0,0.3563272953033447,0.0,500.0,0.034619346261024475,17.309673130512238,200.0,0.003172893775627017,0.6345787551254034,0.0,0.08640435338020325,0.0,0.0,0.0,0.0
22,16.746370315551758,1.0,2.2238073142943904e-05,2.2238073142943904e-05,20.0,0.0004446801031008363,0.008893602062016726,20.0,0.0007447462412528694,0.014894924825057387,10.0,0.0004225759766995907,0.004225759766995907,25.0,0.00030014337971806526,0.0075035844929516315,0.15757878939469736,0.0,0.0,0.0,0.35553064942359924,0.0,500.0,0.032220933586359024,16.110466793179512,200.0,0.003001820296049118,0.6003640592098236,0.0,0.08624588698148727,0.0,0.0,0.0,0.0
23,15.571028709411621,1.0,2.3433653041138314e-05,2.3433653041138314e-05,20.0,0.0004884875379502773,0.009769750759005547,20.0,0.0008190387161448598,0.016380774322897196,10.0,0.00046118811587803066,0.004611881158780307,25.0,0.00031049628159962595,0.007762407039990649,0.16508254127063532,0.0,0.0,0.0,0.3548264801502228,0.0,500.0,0.029931040480732918,14.965520240366459,200.0,0.0028348027262836695,0.5669605452567339,0.0,0.08608131855726242,0.0,0.0,0.0,0.0
24,14.450065612792969,1.0,2.473730273777619e-05,2.473730273777619e-05,20.0,0.0005344240344129503,0.010688480688259006,20.0,0.0008968206821009517,0.017936413642019033,10.0,0.0005010346649214625,0.005010346649214625,25.0,0.00031772072543390095,0.007943018135847524,0.17258629314657328,0.0,0.0,0.0,0.35396280884742737,0.0,500.0,0.027748851105570793,13.874425552785397,200.0,0.002670183777809143,0.5340367555618286,0.0,0.08590643852949142,0.0,0.0,0.0,0.0
25,13.383151054382324,1.0,2.613319520605728e-05,2.613319520605728e-05,20.0,0.0005825050175189972,0.011650100350379944,20.0,0.0009780828841030598,0.019561657682061195,10.0,0.000542046909686178,0.00542046909686178,25.0,0.0003214908065274358,0.008037270163185894,0.18009004502251125,0.0,0.0,0.0,0.35310181975364685,0.0,500.0,0.02567238360643387,12.836191803216934,200.0,0.00251131528057158,0.502263056114316,0.0,0.08572401851415634,0.0,0.0,0.0,0.0
26,12.367765426635742,1.0,2.7591991965891793e-05,2.7591991965891793e-05,20.0,0.000632746028713882,0.01265492057427764,20.0,0.0010627767769619823,0.021255535539239645,10.0,0.0005841891979798675,0.005841891979798675,25.0,0.0003216069017071277,0.008040172542678192,0.1875937968984492,0.0,0.0,0.0,0.35228386521339417,0.0,500.0,0.023699961602687836,11.849980801343918,200.0,0.002349826041609049,0.46996520832180977,0.0,0.08553508669137955,0.0,0.0,0.0,0.0
27,11.403523445129395,1.0,2.9115286451997235e-05,2.9115286451997235e-05,20.0,0.0006851664511486888,0.013703329022973776,20.0,0.0011508807074278593,0.023017614148557186,10.0,0.0006275340565480292,0.006275340565480292,25.0,0.0003180302446708083,0.007950756116770208,0.1950975487743872,0.0,0.0,0.0,0.35143470764160156,0.0,500.0,0.021828090772032738,10.914045386016369,200.0,0.0021925116889178753,0.43850233778357506,0.0,0.08534210920333862,0.0,0.0,0.0,0.0
28,10.490233421325684,1.0,3.07089758280199e-05,3.07089758280199e-05,20.0,0.000739781535230577,0.01479563070461154,20.0,0.0012423109728842974,0.024846219457685947,10.0,0.000671983347274363,0.00671983347274363,25.0,0.00031077046878635883,0.007769261719658971,0.20260130065032517,0.0,0.0,0.0,0.3507139980792999,0.0,500.0,0.02005574479699135,10.027872398495674,200.0,0.002040994819253683,0.4081989638507366,0.0,0.08514494448900223,0.0,0.0,0.0,0.0
29,9.626424789428711,1.0,3.236664633732289e-05,3.236664633732289e-05,20.0,0.0007966161938384175,0.01593232387676835,20.0,0.0013369688531383872,0.026739377062767744,10.0,0.0007173370686359704,0.0071733706863597035,25.0,0.0002999550197273493,0.007498875493183732,0.21010505252626313,0.0,0.0,0.0,0.3499981164932251,0.0,500.0,0.01838165707886219,9.190828539431095,200.0,0.001891101012006402,0.3782202024012804,0.0,0.08493828773498535,0.0,0.0,0.0,0.0
30,8.811924934387207,1.0,3.4098939067916945e-05,3.4098939067916945e-05,20.0,0.0008556985994800925,0.01711397198960185,20.0,0.001434827921912074,0.028696558438241482,10.0,0.0007637371891178191,0.007637371891178191,25.0,0.00028591923182830215,0.007147980795707554,0.2176088044022011,0.0,0.0,0.0,0.34937164187431335,0.0,500.0,0.016803286969661713,8.401643484830856,200.0,0.0017482556868344545,0.3496511373668909,0.0,0.08472950756549835,0.0,0.0,0.0,0.0
31,8.047636985778809,1.0,3.588861727621406e-05,3.588861727621406e-05,20.0,0.0009170477278530598,0.018340954557061195,20.0,0.0015356219373643398,0.030712438747286797,10.0,0.0008109692134894431,0.00810969213489443,25.0,0.00026898665237240493,0.006724666309310123,0.22511255627813906,0.0,0.0,0.0,0.3485369086265564,0.0,500.0,0.015320252627134323,7.660126313567162,200.0,0.0016179326921701431,0.3235865384340286,0.0,0.0845111533999443,0.0,0.0,0.0,0.0
32,7.332009792327881,1.0,3.772693162318319e-05,3.772693162318319e-05,20.0,0.0009806936141103506,0.019613872282207012,20.0,0.0016390731325373054,0.03278146265074611,10.0,0.0008588800556026399,0.0085888005560264,25.0,0.0002495785884093493,0.006239464710233733,0.23261630815407705,0.0,0.0,0.0,0.3479098677635193,0.0,500.0,0.01393141783773899,6.965708918869495,200.0,0.0014951993944123387,0.29903987888246775,0.0,0.08428097516298294,0.0,0.0,0.0,0.0
33,6.664931297302246,1.0,3.964223287766799e-05,3.964223287766799e-05,20.0,0.001046662451699376,0.020933249033987522,20.0,0.001744828186929226,0.03489656373858452,10.0,0.0009073223918676376,0.009073223918676376,25.0,0.00022816659475211054,0.0057041648688027635,0.24012006003001501,0.0,0.0,0.0,0.34718695282936096,0.0,500.0,0.012635163962841034,6.317581981420517,200.0,0.001383512164466083,0.2767024328932166,0.0,0.08403884619474411,0.0,0.0,0.0,0.0
34,6.045314311981201,1.0,4.166016151430085e-05,4.166016151430085e-05,20.0,0.001114993472583592,0.02229986945167184,20.0,0.0018524937331676483,0.037049874663352966,10.0,0.0009562128689140081,0.009562128689140081,25.0,0.0002052720228675753,0.005131800571689382,0.24762381190595298,0.0,0.0,0.0,0.34633350372314453,0.0,500.0,0.011429737322032452,5.714868661016226,200.0,0.0012818023096770048,0.25636046193540096,0.0,0.08378569036722183,0.0,0.0,0.0,0.0
