iter,total,mask_weight,mask_raw,mask_scaled,root_trans_gvhmr_weight,root_trans_gvhmr_raw,root_trans_gvhmr_scaled,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,betas_gvhmr_weight,betas_gvhmr_raw,betas_gvhmr_scaled,scale_prior_weight,scale_prior_raw,scale_prior_scaled,intersect_weight,intersect_raw,intersect_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled,angle_weight,angle_raw,angle_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled
1,24.052433013916016,1.0,1.871126914920751e-05,1.871126914920751e-05,20.0,0.0,0.0,20.0,3.0791341698588326e-16,6.158268339717665e-15,10.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21867530047893524,0.0,500.0,0.04585282877087593,22.926414385437965,200.0,0.005630000494420528,1.1260000988841057,0.0,0.07617417722940445,0.0,0.0,0.0,0.0
2,22.665102005004883,1.0,1.7589562048669904e-05,1.7589562048669904e-05,20.0,1.0000139809562825e-06,2.000027961912565e-05,20.0,1.4747470231668558e-06,2.9494940463337116e-05,10.0,9.99992494143953e-07,9.99992494143953e-06,10.0,0.0,0.0,25.0,9.99999883788405e-07,2.4999997094710125e-05,0.007503751875937969,0.0,0.0,0.0,0.21928811073303223,0.0,500.0,0.043162956833839417,21.58147841691971,200.0,0.005417415872216225,1.083483174443245,0.0005002501250625312,0.07613714039325714,3.8087614003630386e-05,0.0,0.0,0.0
3,21.325868606567383,1.0,1.6625039279460907e-05,1.6625039279460907e-05,20.0,4.00021508539794e-06,8.00043017079588e-05,20.0,5.897499704587972e-06,0.00011794999409175944,10.0,3.9956958062248304e-06,3.9956958062248304e-05,10.0,0.0,0.0,25.0,4.000203261966817e-06,0.00010000508154917043,0.015007503751875938,0.0,0.0,0.0,0.2190077304840088,0.0,500.0,0.040564537048339844,20.282268524169922,200.0,0.005215849261730909,1.0431698523461819,0.0010005002501250625,0.0760992020368576,7.613727067219369e-05,0.0,0.0,0.0
4,20.035287857055664,1.0,1.586881080584135e-05,1.586881080584135e-05,20.0,9.001081707538106e-06,0.0001800216341507621,20.0,1.3265918823890388e-05,0.00026531837647780776,10.0,8.967640496848617e-06,8.967640496848617e-05,10.0,0.0,0.0,25.0,8.997390978038311e-06,0.00022493477445095778,0.022511255627813906,0.0,0.0,0.0,0.21970362961292267,0.0,500.0,0.03805896267294884,19.02948133647442,200.0,0.005024575628340244,1.0049151256680489,0.0015007503751875938,0.07606031000614166,0.0001141475387786018,0.0,0.0,0.0
5,18.795469284057617,1.0,1.5303221516660415e-05,1.5303221516660415e-05,20.0,1.6003094060579315e-05,0.0003200618812115863,20.0,2.3567732569063082e-05,0.00047135465138126165,10.0,1.590538704476785e-05,0.0001590538704476785,10.0,0.0,0.0,25.0,1.598481321707368e-05,0.000399620330426842,0.030015007503751877,0.0,0.0,0.0,0.22011347115039825,0.0,500.0,0.03565189614892006,17.82594807446003,200.0,0.004840009845793247,0.9680019691586494,0.002001000500250125,0.07601889967918396,0.00015211385628651115,0.0,0.0,0.0
6,17.607131958007812,1.0,1.4963300600356888e-05,1.4963300600356888e-05,20.0,2.500673508620821e-05,0.0005001347017241642,20.0,3.6784847907256335e-05,0.0007356969581451267,10.0,2.47631105594337e-05,0.000247631105594337,10.0,0.0,0.0,25.0,2.4926823243731633e-05,0.0006231705810932908,0.03751875937968985,0.0,0.0,0.0,0.22025172412395477,0.0,500.0,0.03334445878863335,16.672229394316673,200.0,0.0046629514545202255,0.9325902909040451,0.0025012506253126563,0.07596896588802338,0.00019001742343177432,0.0,0.0,0.0
7,16.469362258911133,1.0,1.478647391195409e-05,1.478647391195409e-05,20.0,3.601201387937181e-05,0.0007202402775874361,20.0,5.289510590955615e-05,0.001057902118191123,10.0,3.549721077433787e-05,0.00035497210774337873,10.0,0.0,0.0,25.0,3.578114046831615e-05,0.0008945285117079038,0.04502251125562781,0.0,0.0,0.0,0.22108539938926697,0.0,500.0,0.03113420121371746,15.56710060685873,200.0,0.004494964610785246,0.8989929221570492,0.0030015007503751876,0.07591439038515091,0.00022785709970530538,0.0,0.0,0.0
8,15.383257865905762,1.0,1.4720777471666224e-05,1.4720777471666224e-05,20.0,4.9019457946997136e-05,0.0009803891589399427,20.0,7.1852991823107e-05,0.00143705983646214,10.0,4.796863504452631e-05,0.0004796863504452631,10.0,0.0,0.0,25.0,4.848412936553359e-05,0.0012121032341383398,0.05252626313156578,0.0,0.0,0.0,0.22140070796012878,0.0,500.0,0.02902405336499214,14.51202668249607,200.0,0.004334210883826017,0.8668421767652035,0.003501750875437719,0.07583765685558319,0.00026556458128518376,0.0,0.0,0.0
9,14.349214553833008,1.0,1.477679415984312e-05,1.477679415984312e-05,20.0,6.402848521247506e-05,0.0012805697042495012,20.0,9.359901014249772e-05,0.0018719802028499544,10.0,6.210312858456746e-05,0.0006210312858456746,10.0,0.0,0.0,25.0,6.293343903962523e-05,0.0015733359759906307,0.060030015007503754,0.0,0.0,0.0,0.22163526713848114,0.0,500.0,0.027014534920454025,13.507267460227013,200.0,0.004181412979960442,0.8362825959920883,0.00400200100050025,0.07573830336332321,0.0003031047658362109,0.0,0.0,0.0
10,13.36731243133545,1.0,1.4920289686415344e-05,1.4920289686415344e-05,20.0,8.103731670416892e-05,0.0016207463340833783,20.0,0.00011807454575318843,0.0023614909150637686,10.0,7.781635213177651e-05,0.0007781635213177651,10.0,0.0,0.0,25.0,7.898034527897835e-05,0.0019745086319744587,0.06753376688344172,0.0,0.0,0.0,0.22227837145328522,0.0,500.0,0.025105178356170654,12.552589178085327,200.0,0.004038162529468536,0.8076325058937073,0.004502251125562781,0.0756177008152008,0.00034044987860770747,0.0,0.0,0.0
