iter,total,mask_weight,mask_raw,mask_scaled,front_weight,front_raw,front_scaled,scale_reg_weight,scale_reg_raw,scale_reg_scaled,translation_reg_weight,translation_reg_raw,translation_reg_scaled,intersect_weight,intersect_raw,intersect_scaled,floor_intersect_weight,floor_intersect_raw,floor_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled
1,11.243417739868164,0.1,6.79322038195096e-05,6.79322038195096e-06,1.0,0.008233904838562012,0.008233904838562012,0.01,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.010151167400181293,10.151167400181293,1000.0,0.0010840091854333878,1.0840091854333878
2,10.830113410949707,0.1,6.700729136355221e-05,6.700729136355222e-06,1.0,0.009148298762738705,0.009148298762738705,0.01,9.999996564147295e-07,9.999996564147296e-09,0.5,2.9999994239915395e-06,1.4999997119957698e-06,0.002500625156289072,0.0,0.0,0.002500625156289072,0.0,0.0,1000.0,0.009826255962252617,9.826255962252617,1000.0,0.0009947014041244984,0.9947014041244984
3,10.409810066223145,0.1,6.755562935722992e-05,6.755562935722992e-06,1.0,0.00872670765966177,0.00872670765966177,0.01,3.998437023255974e-06,3.998437023255974e-08,0.5,8.041151886573061e-06,4.020575943286531e-06,0.005001250312578144,0.0,0.0,0.005001250312578144,0.0,0.0,1000.0,0.009504714049398899,9.504714049398899,1000.0,0.0008963584550656378,0.8963584550656378
4,10.014116287231445,0.1,6.791433406760916e-05,6.791433406760916e-06,1.0,0.007031796500086784,0.007031796500086784,0.01,8.991935828817077e-06,8.991935828817077e-08,0.5,1.7934575225808658e-05,8.967287612904329e-06,0.007501875468867217,0.0011641402961686254,8.733235530147227e-06,0.007501875468867217,0.0004950920701958239,3.7141190562327374e-06,1000.0,0.009190402925014496,9.190402925014496,1000.0,0.0008166527841240168,0.8166527841240168
5,9.651248931884766,0.1,6.816513632657006e-05,6.816513632657006e-06,1.0,0.006330828182399273,0.006330828182399273,0.01,1.5937537682475522e-05,1.5937537682475524e-07,0.5,3.1971831049304456e-05,1.5985915524652228e-05,0.010002500625156289,0.0005202413885854185,5.203714814557824e-06,0.010002500625156289,0.0018361096736043692,1.8365688158083212e-05,1000.0,0.008885277435183525,8.885277435183525,1000.0,0.0007595944334752858,0.7595944334752858
6,9.316783905029297,0.1,6.833471707068384e-05,6.833471707068384e-06,1.0,0.006424933671951294,0.006424933671951294,0.01,2.4757620849413797e-05,2.4757620849413796e-07,0.5,4.9496291467221454e-05,2.4748145733610727e-05,0.012503125781445362,0.001278602983802557,1.5986533931014716e-05,0.012503125781445362,0.0031041144393384457,3.8811133275049334e-05,1000.0,0.00858992151916027,8.58992151916027,1000.0,0.0007203500135801733,0.7203500135801733
7,8.928640365600586,0.1,6.878589920233935e-05,6.878589920233936e-06,1.0,0.006599036045372486,0.006599036045372486,0.01,3.535608993843198e-05,3.535608993843198e-07,0.5,7.17004295438528e-05,3.58502147719264e-05,0.015003750937734433,0.0015441302675753832,2.3167745950118278e-05,0.015003750937734433,0.003720421576872468,5.582027872276771e-05,1000.0,0.008302812464535236,8.302812464535236,1000.0,0.0006191059364937246,0.6191059364937246
8,8.56038761138916,0.1,6.924915942363441e-05,6.9249159423634415e-06,1.0,0.005316860042512417,0.005316860042512417,0.01,4.7966812417143956e-05,4.796681241714396e-07,0.5,9.815310477279127e-05,4.907655238639563e-05,0.017504376094023506,0.002311231568455696,4.045666661462834e-05,0.017504376094023506,0.004243750590831041,7.428420639114102e-05,1000.0,0.008021813817322254,8.021813817322254,1000.0,0.0005330860731191933,0.5330860731191933
9,8.204217910766602,0.1,6.974043935770169e-05,6.974043935770169e-06,1.0,0.004036617930978537,0.004036617930978537,0.01,6.25181055511348e-05,6.251810555113479e-07,0.5,0.0001291525550186634,6.45762775093317e-05,0.020005001250312578,0.003737090853974223,7.476050720628603e-05,0.020005001250312578,0.005166009999811649,0.00010334603650535932,1000.0,0.0077491686679422855,7.7491686679422855,1000.0,0.00045076219248585403,0.45076219248585403
10,7.875178337097168,0.1,7.003232167335227e-05,7.003232167335227e-06,1.0,0.0032465148251503706,0.0032465148251503706,0.01,7.900586206233129e-05,7.900586206233129e-07,0.5,0.00016326966579072177,8.163483289536089e-05,0.02250562640660165,0.004487278871238232,0.0001009890218583248,0.02250562640660165,0.005749149713665247,0.00012938821561137088,1000.0,0.007483780849725008,7.483780849725008,1000.0,0.00038783097988925874,0.38783097988925874
11,7.577207565307617,0.1,7.017015741439536e-05,7.0170157414395366e-06,1.0,0.0028784458991140127,0.0028784458991140127,0.01,9.729248267831281e-05,9.72924826783128e-07,0.5,0.00020001594384666532,0.00010000797192333266,0.025006251562890724,0.005301336757838726,0.0001325665605861147,0.025006251562890724,0.006898194085806608,0.00017249797663932505,1000.0,0.007227572612464428,7.227572612464428,1000.0,0.0003463437024038285,0.3463437024038285
12,7.310839653015137,0.1,7.019724580459297e-05,7.019724580459297e-06,1.0,0.0027510684449225664,0.0027510684449225664,0.01,0.00011719513713615015,1.1719513713615014e-06,0.5,0.00023896933998912573,0.00011948466999456286,0.027506876719179795,0.006428130436688662,0.0001768177914568024,0.027506876719179795,0.007958079688251019,0.00021890191690612955,1000.0,0.006981152109801769,6.981152109801769,1000.0,0.00032641307916492224,0.32641307916492224
13,7.065483093261719,0.1,7.014536822680384e-05,7.014536822680385e-06,1.0,0.002737775444984436,0.002737775444984436,0.01,0.00013849584502168,1.3849584502168e-06,0.5,0.0002795963082462549,0.00013979815412312746,0.030007501875468866,0.007105869706720114,0.00021322939855124122,0.030007501875468866,0.00873586256057024,0.0002621414121701497,1000.0,0.006743466015905142,6.743466015905142,1000.0,0.000318656035233289,0.318656035233289
14,6.846266746520996,0.1,7.009843830019236e-05,7.009843830019236e-06,1.0,0.0028278001118451357,0.0028278001118451357,0.01,0.00016104764654301107,1.6104764654301108e-06,0.5,0.0003223515523131937,0.00016117577615659684,0.03250812703175794,0.008633377030491829,0.00028065491722028955,0.03250812703175794,0.010067264549434185,0.00032726791483531987,1000.0,0.006515230983495712,6.515230983495712,1000.0,0.00032743014162406325,0.32743014162406325
