iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.02761985,0.00001359,0.00368738,140.27690125,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-0.27039075
1,0.02185290,0.00000976,0.00312384,120.96791077,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,-0.26539075
2,0.01732780,0.00000694,0.00263393,103.91037750,0.00009825,0.00029681,1.00996149,0.00995895,-0.00994231,-0.26045182
3,0.01409169,0.00000512,0.00226224,89.73767090,0.00021520,0.00064991,1.01477778,0.01485402,-0.01452115,-0.25561219
4,0.01195928,0.00000419,0.00204814,77.63410950,0.00036601,0.00108240,1.01931548,0.01962608,-0.01787432,-0.25095561
5,0.01038017,0.00000366,0.00191428,67.13917542,0.00053780,0.00156825,1.02346146,0.02427677,-0.02023939,-0.24653167
6,0.00903777,0.00000322,0.00179384,58.17336273,0.00072345,0.00210186,1.02726197,0.02880086,-0.02200340,-0.24231544
7,0.00794501,0.00000285,0.00168900,50.88903427,0.00091792,0.00267419,1.03076088,0.03320779,-0.02325429,-0.23828672
8,0.00712354,0.00000261,0.00161590,45.08195877,0.00111471,0.00326317,1.03395081,0.03747670,-0.02382432,-0.23445924
9,0.00648422,0.00000242,0.00155679,40.55618668,0.00130744,0.00384739,1.03682017,0.04161485,-0.02349320,-0.23084755
10,0.00603183,0.00000234,0.00152839,36.90075684,0.00148903,0.00442001,1.03934205,0.04560725,-0.02232214,-0.22747558
11,0.00570666,0.00000231,0.00151867,33.93787384,0.00165022,0.00498864,1.04145932,0.04945913,-0.02060765,-0.22437161
12,0.00545828,0.00000230,0.00151504,31.55718994,0.00178596,0.00555108,1.04316628,0.05317247,-0.01836972,-0.22154072
13,0.00525724,0.00000229,0.00151230,29.62315369,0.00189233,0.00611436,1.04446101,0.05675273,-0.01584993,-0.21898776
14,0.00512752,0.00000227,0.00150805,28.44789124,0.00196757,0.00667252,1.04535580,0.06017804,-0.01302910,-0.21671243
15,0.00505211,0.00000226,0.00150425,27.80236816,0.00201098,0.00723100,1.04586470,0.06343210,-0.01038402,-0.21471727
16,0.00499804,0.00000224,0.00149755,27.45710754,0.00202261,0.00777986,1.04600012,0.06649939,-0.00803965,-0.21300560
17,0.00495022,0.00000220,0.00148468,27.35770035,0.00200470,0.00830766,1.04579139,0.06937177,-0.00590957,-0.21156652
18,0.00489339,0.00000215,0.00146657,27.31921196,0.00196081,0.00880978,1.04527617,0.07204793,-0.00418540,-0.21037941
19,0.00483111,0.00000209,0.00144541,27.30826378,0.00189514,0.00928104,1.04449475,0.07452761,-0.00313016,-0.20942453
20,0.00475003,0.00000202,0.00142142,27.18173599,0.00181174,0.00971801,1.04348338,0.07681961,-0.00285951,-0.20867707
21,0.00465944,0.00000195,0.00139692,26.96328735,0.00171486,0.01011995,1.04228020,0.07893056,-0.00344041,-0.20811649
22,0.00456471,0.00000188,0.00137284,26.68008804,0.00160895,0.01048456,1.04092705,0.08084210,-0.00468738,-0.20772386
23,0.00447704,0.00000183,0.00135150,26.38275528,0.00149781,0.01081563,1.03946018,0.08255018,-0.00655655,-0.20747724
24,0.00441208,0.00000178,0.00133304,26.22669601,0.00138535,0.01111406,1.03792167,0.08404534,-0.00872947,-0.20734918
25,0.00436415,0.00000173,0.00131512,26.22023582,0.00127442,0.01137928,1.03634381,0.08532032,-0.01102026,-0.20731714
26,0.00433277,0.00000169,0.00129835,26.34350586,0.00116660,0.01160897,1.03474545,0.08637767,-0.01324906,-0.20736429
27,0.00432208,0.00000165,0.00128494,26.58208656,0.00106383,0.01179384,1.03315413,0.08721793,-0.01510417,-0.20747229
28,0.00432430,0.00000163,0.00127565,26.84197807,0.00096820,0.01192583,1.03160512,0.08784403,-0.01640411,-0.20762005
29,0.00433417,0.00000162,0.00127097,27.05993080,0.00088162,0.01200430,1.03013730,0.08827002,-0.01709889,-0.20777822
30,0.00434598,0.00000161,0.00127069,27.18554497,0.00080508,0.01202840,1.02878046,0.08849953,-0.01714428,-0.20792234
31,0.00435687,0.00000162,0.00127416,27.20705986,0.00073975,0.01200782,1.02757156,0.08854558,-0.01666401,-0.20802243
32,0.00436403,0.00000164,0.00127910,27.15350533,0.00068580,0.01195135,1.02653372,0.08842282,-0.01573488,-0.20805961
33,0.00437086,0.00000165,0.00128410,27.09506416,0.00064311,0.01187395,1.02568400,0.08814768,-0.01461043,-0.20801708
34,0.00436915,0.00000166,0.00128733,26.99611473,0.00061117,0.01178548,1.02503002,0.08773144,-0.01348840,-0.20788684
35,0.00436024,0.00000166,0.00128809,26.88842010,0.00058933,0.01169343,1.02457321,0.08718955,-0.01248957,-0.20765778
36,0.00433929,0.00000165,0.00128586,26.73743057,0.00057658,0.01160242,1.02430284,0.08653881,-0.01170531,-0.20733178
37,0.00431156,0.00000164,0.00128055,26.59729767,0.00057210,0.01151567,1.02420688,0.08580282,-0.01112241,-0.20690976
38,0.00427326,0.00000162,0.00127275,26.41420746,0.00057488,0.01144201,1.02426636,0.08500402,-0.01100714,-0.20639724
39,0.00422410,0.00000160,0.00126326,26.16381454,0.00058387,0.01138135,1.02445769,0.08414672,-0.01139003,-0.20580789
40,0.00417433,0.00000157,0.00125342,25.91411018,0.00059808,0.01133171,1.02475703,0.08324216,-0.01209698,-0.20515184
41,0.00413005,0.00000155,0.00124458,25.69216919,0.00061612,0.01129517,1.02513230,0.08232147,-0.01300919,-0.20444298
42,0.00409142,0.00000153,0.00123762,25.47870445,0.00063654,0.01126762,1.02555072,0.08139700,-0.01394510,-0.20369977
43,0.00406035,0.00000152,0.00123315,25.27843857,0.00065792,0.01124500,1.02598178,0.08046616,-0.01488276,-0.20294672
44,0.00403887,0.00000152,0.00123175,25.09824753,0.00067859,0.01122495,1.02639210,0.07954445,-0.01575323,-0.20220378
45,0.00402617,0.00000152,0.00123277,24.94596672,0.00069697,0.01120077,1.02675176,0.07863070,-0.01645701,-0.20149118
46,0.00401988,0.00000153,0.00123502,24.82789993,0.00071169,0.01116994,1.02703655,0.07774687,-0.01687487,-0.20081629
47,0.00401240,0.00000153,0.00123714,24.70093536,0.00072180,0.01112682,1.02723050,0.07689124,-0.01692072,-0.20018932
48,0.00400531,0.00000153,0.00123839,24.59953690,0.00072656,0.01107341,1.02732134,0.07607210,-0.01665941,-0.19961709
49,0.00399731,0.00000153,0.00123821,24.52465820,0.00072602,0.01101055,1.02731097,0.07529719,-0.01605757,-0.19909531
50,0.00399255,0.00000153,0.00123711,24.50489235,0.00072030,0.01094951,1.02720189,0.07457973,-0.01536651,-0.19861859
51,0.00398765,0.00000153,0.00123519,24.50409889,0.00070990,0.01089389,1.02700210,0.07391600,-0.01469370,-0.19817984
52,0.00398232,0.00000152,0.00123299,24.50583267,0.00069537,0.01084865,1.02672064,0.07330870,-0.01416854,-0.19777025
53,0.00397559,0.00000152,0.00123090,24.49022293,0.00067730,0.01081876,1.02636647,0.07275759,-0.01396738,-0.19738385
54,0.00396651,0.00000151,0.00122912,24.44377518,0.00065625,0.01080711,1.02594817,0.07226675,-0.01415116,-0.19701250
55,0.00395554,0.00000151,0.00122742,24.37590790,0.00063269,0.01081439,1.02547228,0.07183845,-0.01469958,-0.19665098
56,0.00394442,0.00000150,0.00122564,24.30843544,0.00060706,0.01083447,1.02494466,0.07147194,-0.01537463,-0.19629723
57,0.00393569,0.00000150,0.00122388,24.26420403,0.00058022,0.01086473,1.02438021,0.07117307,-0.01602732,-0.19594449
58,0.00392844,0.00000149,0.00122189,24.24027443,0.00055282,0.01090181,1.02379072,0.07093701,-0.01654295,-0.19558381
59,0.00392083,0.00000149,0.00121944,24.22391510,0.00052556,0.01093885,1.02318990,0.07075807,-0.01671665,-0.19520628
60,0.00391231,0.00000148,0.00121685,24.20165443,0.00049920,0.01097427,1.02259433,0.07062493,-0.01652724,-0.19480476
61,0.00390455,0.00000147,0.00121436,24.18441963,0.00047447,0.01101484,1.02202129,0.07053493,-0.01614380,-0.19437076
62,0.00389836,0.00000147,0.00121233,24.17150116,0.00045175,0.01106760,1.02148199,0.07048593,-0.01576139,-0.19389948
63,0.00389258,0.00000147,0.00121068,24.15322685,0.00043135,0.01113824,1.02098620,0.07047951,-0.01552698,-0.19338563
64,0.00388585,0.00000146,0.00120931,24.11819649,0.00041329,0.01122676,1.02053750,0.07050510,-0.01548711,-0.19282824
65,0.00387799,0.00000146,0.00120810,24.06806374,0.00039767,0.01133121,1.02014184,0.07054931,-0.01563891,-0.19222790
66,0.00386983,0.00000146,0.00120690,24.01428986,0.00038426,0.01144939,1.01979601,0.07061863,-0.01588852,-0.19158748
67,0.00386173,0.00000145,0.00120565,23.96253586,0.00037295,0.01157986,1.01949954,0.07071162,-0.01619814,-0.19090903
68,0.00385422,0.00000145,0.00120430,23.91863441,0.00036330,0.01171413,1.01924336,0.07080752,-0.01644269,-0.19020310
69,0.00384682,0.00000145,0.00120278,23.88000107,0.00035497,0.01184659,1.01901913,0.07089961,-0.01653185,-0.18948008
70,0.00383897,0.00000144,0.00120104,23.84192276,0.00034758,0.01197451,1.01881838,0.07098847,-0.01640950,-0.18874595
71,0.00383138,0.00000144,0.00119924,23.80823135,0.00034079,0.01209773,1.01863205,0.07106869,-0.01612098,-0.18800700
72,0.00382427,0.00000143,0.00119740,23.78011894,0.00033429,0.01221699,1.01845181,0.07113106,-0.01575316,-0.18726912
73,0.00381891,0.00000143,0.00119588,23.76161003,0.00032791,0.01233563,1.01827335,0.07116694,-0.01549413,-0.18654069
74,0.00381356,0.00000143,0.00119461,23.73734474,0.00032140,0.01245333,1.01808929,0.07117672,-0.01536136,-0.18582578
75,0.00380817,0.00000142,0.00119348,23.70931816,0.00031460,0.01256845,1.01789498,0.07116290,-0.01530181,-0.18512562
76,0.00380204,0.00000142,0.00119233,23.67456055,0.00030737,0.01267796,1.01768661,0.07112564,-0.01522891,-0.18444200
77,0.00379611,0.00000142,0.00119110,23.64360237,0.00029962,0.01278140,1.01746035,0.07107151,-0.01509506,-0.18377447
78,0.00379044,0.00000142,0.00118978,23.61729050,0.00029132,0.01288069,1.01721466,0.07100388,-0.01494857,-0.18312287
79,0.00378451,0.00000141,0.00118849,23.58798599,0.00028246,0.01297754,1.01694846,0.07092759,-0.01482577,-0.18248731
80,0.00377907,0.00000141,0.00118724,23.56232452,0.00027304,0.01307297,1.01666129,0.07084226,-0.01477986,-0.18187016
81,0.00377369,0.00000141,0.00118610,23.53472328,0.00026318,0.01316753,1.01635504,0.07074575,-0.01483370,-0.18126985
82,0.00376773,0.00000140,0.00118494,23.50181389,0.00025298,0.01325890,1.01603234,0.07063962,-0.01489259,-0.18068480
83,0.00376249,0.00000140,0.00118379,23.47592354,0.00024262,0.01334719,1.01569808,0.07052127,-0.01496172,-0.18011290
84,0.00375663,0.00000140,0.00118253,23.44650459,0.00023218,0.01343049,1.01535416,0.07039139,-0.01496996,-0.17955330
85,0.00375113,0.00000139,0.00118106,23.42537689,0.00022182,0.01350719,1.01500499,0.07025116,-0.01484709,-0.17900404
