iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,0.15351166,0.00010151,0.01008791,520.03967285,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.42941356
1,0.12037476,0.00007469,0.00865024,456.87762451,0.00002500,0.00007500,1.00501263,0.00500000,0.00500000,0.43441355
2,0.09399109,0.00005408,0.00735892,399.10238647,0.00009861,0.00029649,1.00997949,0.00993755,0.00996367,0.43933603
3,0.07275919,0.00003803,0.00616998,347.25866699,0.00021761,0.00065550,1.01486075,0.01475047,0.01487107,0.44413683
4,0.05623473,0.00002604,0.00510460,301.93218994,0.00037755,0.00114011,1.01962054,0.01942187,0.01969496,0.44877884
5,0.04406444,0.00001784,0.00422419,262.26348877,0.00057141,0.00173094,1.02419209,0.02387486,0.02440787,0.45318729
6,0.03504816,0.00001227,0.00350362,227.73391724,0.00079048,0.00240330,1.02851450,0.02802373,0.02899382,0.45729417
7,0.02831927,0.00000852,0.00291939,197.94065857,0.00102673,0.00313256,1.03256142,0.03180938,0.03344012,0.46107560
8,0.02323103,0.00000598,0.00244592,172.44229126,0.00127253,0.00389606,1.03631639,0.03521052,0.03773495,0.46451843
9,0.01932589,0.00000427,0.00206622,150.50869751,0.00152205,0.00467545,1.03978443,0.03822787,0.04187131,0.46763495
10,0.01622665,0.00000312,0.00176520,131.03724670,0.00177033,0.00545517,1.04297304,0.04087026,0.04584630,0.47043687
11,0.01371741,0.00000232,0.00152385,113.87185669,0.00201358,0.00622378,1.04589498,0.04315888,0.04966014,0.47294471
12,0.01167832,0.00000177,0.00133172,98.95697784,0.00224933,0.00697374,1.04856980,0.04512840,0.05331277,0.47518376
13,0.01002221,0.00000140,0.00118485,86.08205414,0.00247569,0.00769989,1.05101490,0.04681939,0.05680374,0.47717512
14,0.00867002,0.00000115,0.00107371,75.06113434,0.00269128,0.00839649,1.05324674,0.04824502,0.06013334,0.47894016
15,0.00755857,0.00000098,0.00099170,65.63175201,0.00289516,0.00906209,1.05528057,0.04944907,0.06330319,0.48049763
16,0.00664538,0.00000087,0.00093335,57.61466599,0.00308667,0.00969382,1.05713022,0.05044463,0.06631593,0.48186696
17,0.00589478,0.00000080,0.00089527,50.79732895,0.00326534,0.01028963,1.05880737,0.05124624,0.06917572,0.48306218
18,0.00528079,0.00000076,0.00087240,45.05447006,0.00343094,0.01084822,1.06032372,0.05186919,0.07188507,0.48409760
19,0.00476554,0.00000074,0.00086122,40.08892441,0.00358341,0.01137045,1.06168962,0.05234175,0.07444876,0.48498487
20,0.00433433,0.00000074,0.00085855,35.81662750,0.00372288,0.01185839,1.06291533,0.05269478,0.07687382,0.48573464
21,0.00398546,0.00000075,0.00086342,32.23814392,0.00384956,0.01231337,1.06401014,0.05295241,0.07916433,0.48635587
22,0.00370860,0.00000076,0.00087456,29.27058792,0.00396371,0.01273638,1.06498218,0.05313428,0.08132307,0.48685646
23,0.00349311,0.00000079,0.00088979,26.84215736,0.00406560,0.01312752,1.06583881,0.05324929,0.08335266,0.48724407
24,0.00332439,0.00000082,0.00090787,24.82530594,0.00415556,0.01348786,1.06658673,0.05331254,0.08525638,0.48752540
25,0.00319110,0.00000086,0.00092718,23.13403320,0.00423389,0.01381876,1.06723201,0.05333990,0.08703820,0.48770565
26,0.00308725,0.00000090,0.00094640,21.73161888,0.00430095,0.01412102,1.06777990,0.05333851,0.08870260,0.48779055
27,0.00300906,0.00000093,0.00096487,20.59357071,0.00435711,0.01439545,1.06823564,0.05331437,0.09025379,0.48778552
28,0.00294548,0.00000096,0.00098128,19.63543892,0.00440276,0.01464332,1.06860411,0.05327761,0.09169593,0.48769459
29,0.00289822,0.00000099,0.00099521,18.88504028,0.00443838,0.01486589,1.06889045,0.05323632,0.09303291,0.48752263
30,0.00286054,0.00000101,0.00100634,18.28325844,0.00446450,0.01506432,1.06909966,0.05319798,0.09426760,0.48727471
31,0.00282837,0.00000103,0.00101419,17.80093765,0.00448168,0.01523964,1.06923699,0.05316545,0.09540390,0.48695636
32,0.00280299,0.00000104,0.00101884,17.45086098,0.00449053,0.01539292,1.06930768,0.05314068,0.09644573,0.48657304
33,0.00278186,0.00000104,0.00102029,17.20886040,0.00449174,0.01552538,1.06931722,0.05312894,0.09739500,0.48613137
34,0.00276026,0.00000104,0.00101878,17.02242279,0.00448599,0.01563825,1.06927145,0.05313252,0.09825511,0.48563737
35,0.00273909,0.00000103,0.00101447,16.89755630,0.00447396,0.01573216,1.06917536,0.05314564,0.09903038,0.48509732
36,0.00271563,0.00000102,0.00100761,16.80119705,0.00445635,0.01580826,1.06903446,0.05316634,0.09972540,0.48451748
37,0.00269266,0.00000100,0.00099880,16.74784470,0.00443391,0.01586757,1.06885457,0.05319272,0.10034377,0.48390424
38,0.00266960,0.00000098,0.00098835,16.72458649,0.00440734,0.01591082,1.06864107,0.05321969,0.10088918,0.48326385
39,0.00264638,0.00000095,0.00097666,16.72212601,0.00437739,0.01593873,1.06839955,0.05324231,0.10136510,0.48260286
40,0.00262209,0.00000093,0.00096394,16.72626686,0.00434468,0.01595240,1.06813502,0.05325931,0.10177577,0.48192582
41,0.00259792,0.00000090,0.00095037,16.74476624,0.00430979,0.01595302,1.06785178,0.05327143,0.10212477,0.48123738
42,0.00257387,0.00000088,0.00093627,16.77068901,0.00427327,0.01594194,1.06755412,0.05328163,0.10241485,0.48054287
43,0.00254994,0.00000085,0.00092200,16.79717255,0.00423559,0.01592061,1.06724584,0.05329320,0.10264951,0.47984686
44,0.00252466,0.00000082,0.00090762,16.80805588,0.00419722,0.01589048,1.06693065,0.05331034,0.10283263,0.47915223
45,0.00250048,0.00000080,0.00089371,16.81764984,0.00415859,0.01585244,1.06661189,0.05333150,0.10296840,0.47846144
46,0.00247636,0.00000077,0.00088020,16.81693840,0.00412014,0.01580681,1.06629324,0.05334985,0.10306024,0.47777879
47,0.00245290,0.00000075,0.00086725,16.80943108,0.00408218,0.01575452,1.06597722,0.05336470,0.10311189,0.47710702
48,0.00243007,0.00000073,0.00085491,16.79471207,0.00404498,0.01569656,1.06566620,0.05337773,0.10312670,0.47644827
49,0.00240859,0.00000071,0.00084317,16.78020477,0.00400874,0.01563309,1.06536198,0.05338300,0.10310760,0.47580504
50,0.00238738,0.00000069,0.00083235,16.75043106,0.00397366,0.01556461,1.06506622,0.05337773,0.10305779,0.47517943
51,0.00236695,0.00000068,0.00082221,16.71500778,0.00393992,0.01549166,1.06478059,0.05336053,0.10298017,0.47457328
52,0.00234790,0.00000066,0.00081274,16.68035316,0.00390763,0.01541472,1.06450617,0.05333028,0.10287742,0.47398755
53,0.00232938,0.00000065,0.00080391,16.63908768,0.00387686,0.01533409,1.06424379,0.05328440,0.10275204,0.47342357
54,0.00231079,0.00000063,0.00079574,16.58501625,0.00384765,0.01525025,1.06399381,0.05322303,0.10260635,0.47288185
55,0.00229447,0.00000062,0.00078824,16.54172707,0.00382007,0.01516363,1.06375670,0.05314504,0.10244311,0.47236285
56,0.00227808,0.00000061,0.00078139,16.48650169,0.00379418,0.01507487,1.06353366,0.05305195,0.10226481,0.47186676
57,0.00226197,0.00000060,0.00077505,16.42515755,0.00376999,0.01498418,1.06332445,0.05294247,0.10207345,0.47139323
58,0.00224786,0.00000059,0.00076911,16.37702370,0.00374745,0.01489208,1.06312895,0.05281836,0.10187116,0.47094151
59,0.00223330,0.00000058,0.00076357,16.31747818,0.00372654,0.01479887,1.06294715,0.05267995,0.10165964,0.47051117
60,0.00222053,0.00000058,0.00075854,16.26748466,0.00370723,0.01470551,1.06277883,0.05253291,0.10144112,0.47010139
61,0.00220748,0.00000057,0.00075390,16.20825005,0.00368950,0.01461251,1.06262398,0.05237927,0.10121763,0.46971133
62,0.00219643,0.00000056,0.00074959,16.16364098,0.00367333,0.01452070,1.06248236,0.05222480,0.10099086,0.46933997
63,0.00218552,0.00000056,0.00074566,16.11425018,0.00365864,0.01443002,1.06235349,0.05206701,0.10076224,0.46898645
64,0.00217667,0.00000055,0.00074203,16.08084488,0.00364542,0.01434076,1.06223726,0.05190732,0.10053293,0.46865028
65,0.00216603,0.00000055,0.00073864,16.02557945,0.00363359,0.01425297,1.06213319,0.05174522,0.10030377,0.46833080
66,0.00215759,0.00000054,0.00073545,15.98924255,0.00362308,0.01416678,1.06204045,0.05158163,0.10007557,0.46802694
67,0.00215035,0.00000054,0.00073247,15.96144581,0.00361383,0.01408278,1.06195879,0.05142089,0.09984982,0.46773702
68,0.00214223,0.00000053,0.00072964,15.92257881,0.00360578,0.01400146,1.06188762,0.05126674,0.09962748,0.46746022
69,0.00213578,0.00000053,0.00072700,15.89730549,0.00359883,0.01392227,1.06182611,0.05111353,0.09940897,0.46719623
70,0.00212980,0.00000053,0.00072460,15.87329006,0.00359291,0.01384516,1.06177378,0.05095937,0.09919538,0.46694452
71,0.00212410,0.00000052,0.00072232,15.85000896,0.00358798,0.01377047,1.06173015,0.05080782,0.09898710,0.46670422
72,0.00211853,0.00000052,0.00072020,15.82561016,0.00358399,0.01369853,1.06169474,0.05066162,0.09878500,0.46647370
73,0.00211496,0.00000052,0.00071825,15.81874275,0.00358090,0.01362964,1.06166732,0.05052500,0.09858902,0.46625203
74,0.00211110,0.00000051,0.00071643,15.80681324,0.00357862,0.01356417,1.06164706,0.05040076,0.09840015,0.46603796
75,0.00210759,0.00000051,0.00071473,15.79674339,0.00357709,0.01350161,1.06163359,0.05028353,0.09821869,0.46583152
76,0.00210437,0.00000051,0.00071318,15.78738403,0.00357630,0.01344236,1.06162655,0.05017883,0.09804412,0.46563229
77,0.00210146,0.00000051,0.00071178,15.77875900,0.00357623,0.01338666,1.06162584,0.05008927,0.09787674,0.46543950
78,0.00209929,0.00000050,0.00071046,15.77626610,0.00357683,0.01333496,1.06163132,0.05001934,0.09771696,0.46525240
79,0.00209625,0.00000050,0.00070924,15.76372719,0.00357807,0.01328702,1.06164229,0.04996727,0.09756473,0.46507052
80,0.00209368,0.00000050,0.00070812,15.75428200,0.00357989,0.01324262,1.06165838,0.04993306,0.09741912,0.46489352
81,0.00209212,0.00000050,0.00070709,15.75367260,0.00358228,0.01320148,1.06167960,0.04991420,0.09728017,0.46472102
82,0.00209001,0.00000050,0.00070612,15.74663353,0.00358521,0.01316303,1.06170559,0.04990476,0.09714811,0.46455312
83,0.00208823,0.00000050,0.00070522,15.74174309,0.00358865,0.01312734,1.06173611,0.04990596,0.09702283,0.46438932
84,0.00208697,0.00000050,0.00070445,15.74036026,0.00359256,0.01309413,1.06177068,0.04991484,0.09690464,0.46422917
85,0.00208508,0.00000050,0.00070369,15.73238373,0.00359693,0.01306326,1.06180942,0.04992983,0.09679382,0.46407226
86,0.00208379,0.00000049,0.00070305,15.72883701,0.00360174,0.01303461,1.06185210,0.04994988,0.09669056,0.46391806
87,0.00208241,0.00000049,0.00070241,15.72421169,0.00360699,0.01300803,1.06189835,0.04997278,0.09659515,0.46376649
88,0.00208138,0.00000049,0.00070188,15.72153187,0.00361264,0.01298331,1.06194842,0.04999719,0.09650741,0.46361756
89,0.00208084,0.00000049,0.00070138,15.72332096,0.00361867,0.01296015,1.06200171,0.05002046,0.09642718,0.46347097
90,0.00207961,0.00000049,0.00070091,15.71775818,0.00362503,0.01293805,1.06205773,0.05003822,0.09635419,0.46332660
91,0.00207791,0.00000049,0.00070048,15.70701599,0.00363170,0.01291655,1.06211650,0.05004644,0.09628832,0.46318430
92,0.00207761,0.00000049,0.00070010,15.70944595,0.00363864,0.01289563,1.06217766,0.05004534,0.09622923,0.46304429
93,0.00207631,0.00000049,0.00069971,15.70200825,0.00364588,0.01287543,1.06224132,0.05003789,0.09617632,0.46290618
94,0.00207543,0.00000049,0.00069937,15.69814873,0.00365337,0.01285581,1.06230724,0.05002245,0.09612964,0.46277013
95,0.00207491,0.00000049,0.00069907,15.69722748,0.00366111,0.01283659,1.06237519,0.04999788,0.09608886,0.46263599
96,0.00207416,0.00000049,0.00069876,15.69414139,0.00366907,0.01281787,1.06244504,0.04996603,0.09605371,0.46250352
97,0.00207297,0.00000049,0.00069849,15.68612576,0.00367725,0.01279989,1.06251669,0.04993087,0.09602340,0.46237269
98,0.00207182,0.00000049,0.00069822,15.67845345,0.00368564,0.01278221,1.06259024,0.04988817,0.09599783,0.46224341
99,0.00207087,0.00000049,0.00069798,15.67232895,0.00369423,0.01276484,1.06266534,0.04983853,0.09597678,0.46211556
100,0.00206924,0.00000049,0.00069776,15.65921974,0.00370301,0.01274801,1.06274211,0.04978565,0.09595951,0.46198919
101,0.00206894,0.00000049,0.00069755,15.65931320,0.00371198,0.01273207,1.06282032,0.04973429,0.09594548,0.46186402
102,0.00206832,0.00000049,0.00069737,15.65553188,0.00372113,0.01271705,1.06290007,0.04968533,0.09593453,0.46173984
103,0.00206706,0.00000049,0.00069719,15.64564133,0.00373043,0.01270298,1.06298113,0.04964030,0.09592591,0.46161664
104,0.00206610,0.00000049,0.00069705,15.63800812,0.00373986,0.01268974,1.06306314,0.04959815,0.09591965,0.46149445
105,0.00206471,0.00000049,0.00069690,15.62624264,0.00374942,0.01267752,1.06314611,0.04956107,0.09591573,0.46137285
106,0.00206439,0.00000049,0.00069675,15.62506294,0.00375910,0.01266593,1.06323016,0.04952575,0.09591378,0.46125191
107,0.00206342,0.00000049,0.00069664,15.61699295,0.00376888,0.01265479,1.06331480,0.04949077,0.09591363,0.46113151
108,0.00206188,0.00000049,0.00069651,15.60342216,0.00377876,0.01264401,1.06340027,0.04945574,0.09591498,0.46101198
109,0.00206135,0.00000048,0.00069638,15.59978962,0.00378874,0.01263409,1.06348658,0.04942635,0.09591766,0.46089250
110,0.00206022,0.00000048,0.00069631,15.58961010,0.00379882,0.01262498,1.06357372,0.04940320,0.09592120,0.46077326
