iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,42.17605591,0.03868867,1.08633983,34873.87500000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,3.30527997
1,42.08725357,0.03865170,1.07082975,34355.56250000,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,3.30027986
2,41.99773026,0.03861352,1.05546522,33842.06640625,0.00010002,0.00029996,1.01005125,-0.00999431,-0.01000113,3.29527736
3,41.90744019,0.03857411,1.04024196,33333.32031250,0.00022512,0.00067479,1.01511705,-0.01497882,-0.01500421,3.29027009
4,41.81632614,0.03853340,1.02516091,32829.27343750,0.00040039,0.00119927,1.02021122,-0.01994835,-0.02001010,3.28525662
5,41.72433090,0.03849134,1.01021886,32329.92382812,0.00062594,0.00187309,1.02533448,-0.02489707,-0.02501971,3.28023529
6,41.63138199,0.03844788,0.99541229,31835.04101562,0.00090195,0.00269585,1.03048790,-0.02981978,-0.03003399,3.27520347
7,41.53742218,0.03840296,0.98074037,31344.63281250,0.00122860,0.00366702,1.03567290,-0.03471058,-0.03505396,3.27015996
8,41.44238281,0.03835652,0.96620065,30858.62695312,0.00160614,0.00478584,1.04089057,-0.03956178,-0.04008065,3.26510239
9,41.34618759,0.03830849,0.95179045,30376.80664062,0.00203485,0.00605136,1.04614222,-0.04436572,-0.04511515,3.26002884
10,41.24875259,0.03825882,0.93750745,29899.15820312,0.00251505,0.00746239,1.05142915,-0.04911356,-0.05015860,3.25493741
11,41.14998627,0.03820742,0.92334640,29425.54882812,0.00304711,0.00901742,1.05675268,-0.05379517,-0.05521218,3.24982619
12,41.04980469,0.03815420,0.90930337,28955.87500000,0.00363146,0.01071467,1.06211448,-0.05840028,-0.06027711,3.24469328
13,40.94809341,0.03809907,0.89537412,28490.07031250,0.00426857,0.01255198,1.06751573,-0.06291696,-0.06535465,3.23953652
14,40.84477234,0.03804196,0.88155758,28027.93750000,0.00495895,0.01452695,1.07295859,-0.06733343,-0.07044610,3.23435402
15,40.73968887,0.03798274,0.86784554,27569.32617188,0.00570320,0.01663642,1.07844424,-0.07163417,-0.07555281,3.22914362
16,40.63277054,0.03792132,0.85423708,27114.17578125,0.00650192,0.01887706,1.08397460,-0.07580420,-0.08067614,3.22390342
17,40.52384949,0.03785759,0.84072793,26662.24609375,0.00735580,0.02124487,1.08955133,-0.07982629,-0.08581751,3.21863127
18,40.41279984,0.03779142,0.82731354,26213.49804688,0.00826556,0.02373530,1.09517598,-0.08368111,-0.09097835,3.21332502
19,40.29946899,0.03772267,0.81398875,25767.68750000,0.00923198,0.02634351,1.10085070,-0.08734943,-0.09616016,3.20798230
20,40.18368912,0.03765118,0.80074650,25324.61132812,0.01025589,0.02906426,1.10657680,-0.09081078,-0.10136443,3.20260119
21,40.06525421,0.03757680,0.78758204,24884.10156250,0.01133820,0.03189171,1.11235678,-0.09404244,-0.10659274,3.19717956
22,39.94398880,0.03749935,0.77448976,24445.96484375,0.01247983,0.03482058,1.11819208,-0.09702483,-0.11184667,3.19171453
23,39.81969833,0.03741864,0.76146579,24010.00585938,0.01368176,0.03784532,1.12408471,-0.09973667,-0.11712786,3.18620443
24,39.69207001,0.03733442,0.74849445,23575.97656250,0.01494505,0.04096073,1.13003647,-0.10215771,-0.12243795,3.18064666
25,39.56087875,0.03724644,0.73557186,23143.76171875,0.01627103,0.04416323,1.13605070,-0.10427512,-0.12777886,3.17503977
26,39.42587280,0.03715450,0.72269696,22713.14062500,0.01766093,0.04744948,1.14212942,-0.10607386,-0.13315234,3.16938186
27,39.28681183,0.03705835,0.70986784,22283.98046875,0.01911594,0.05081780,1.14827454,-0.10754328,-0.13856015,3.16367006
28,39.14340591,0.03695772,0.69708079,21856.14453125,0.02063735,0.05426735,1.15448809,-0.10867351,-0.14400411,3.15790200
29,38.99536896,0.03685234,0.68433487,21429.52929688,0.02222644,0.05779890,1.16077209,-0.10945818,-0.14948602,3.15207505
30,38.84235764,0.03674188,0.67162460,21003.98828125,0.02388461,0.06141574,1.16712844,-0.10989865,-0.15500776,3.14618683
31,38.68403625,0.03662600,0.65894938,20579.49218750,0.02561330,0.06512325,1.17355967,-0.11000109,-0.16057126,3.14023495
32,38.52008820,0.03650439,0.64631045,20156.01171875,0.02741395,0.06892896,1.18006742,-0.10977741,-0.16617845,3.13421679
33,38.35016251,0.03637670,0.63370889,19733.53125000,0.02928799,0.07284181,1.18665373,-0.10924158,-0.17183124,3.12812996
34,38.17387772,0.03624257,0.62114638,19312.04492188,0.03123682,0.07687277,1.19332004,-0.10841338,-0.17753154,3.12197185
35,37.99082184,0.03610155,0.60862082,18891.59765625,0.03326211,0.08103404,1.20006895,-0.10731643,-0.18328136,3.11574054
36,37.80059052,0.03595325,0.59613633,18472.24804688,0.03536541,0.08533962,1.20690227,-0.10597967,-0.18908270,3.10943389
37,37.60276794,0.03579724,0.58369678,18054.02539062,0.03754818,0.08980433,1.21382129,-0.10443465,-0.19493751,3.10304976
38,37.39692688,0.03563309,0.57130694,17637.04882812,0.03981185,0.09444408,1.22082770,-0.10271728,-0.20084776,3.09658551
39,37.18257523,0.03546029,0.55896848,17221.42968750,0.04215806,0.09927435,1.22792315,-0.10086374,-0.20681530,3.09003997
40,36.95925140,0.03527838,0.54668707,16807.22656250,0.04458811,0.10431191,1.23510861,-0.09891593,-0.21284197,3.08341098
41,36.72636414,0.03508676,0.53446275,16394.48437500,0.04710336,0.10957275,1.24238515,-0.09691463,-0.21892965,3.07669711
42,36.48331451,0.03488481,0.52229673,15983.37304688,0.04970504,0.11507248,1.24975348,-0.09490100,-0.22508013,3.06989694
43,36.22948074,0.03467191,0.51019150,15573.97656250,0.05239464,0.12082621,1.25721478,-0.09291747,-0.23129527,3.06300926
44,35.96420288,0.03444739,0.49814916,15166.35058594,0.05517345,0.12684843,1.26477003,-0.09100588,-0.23757678,3.05603385
45,35.68679428,0.03421054,0.48617306,14760.61035156,0.05804283,0.13315251,1.27242029,-0.08920567,-0.24392632,3.04896998
46,35.39657211,0.03396068,0.47426823,14356.91699219,0.06100379,0.13975050,1.28016567,-0.08755057,-0.25034538,3.04181719
47,35.09281158,0.03369706,0.46243933,13955.40039062,0.06405717,0.14665417,1.28800595,-0.08607467,-0.25683531,3.03457546
48,34.77474594,0.03341891,0.45068920,13556.19042969,0.06720345,0.15387526,1.29594004,-0.08481299,-0.26339731,3.02724409
49,34.44165802,0.03312548,0.43902579,13159.49707031,0.07044291,0.16142258,1.30396652,-0.08378410,-0.27003244,3.01982355
50,34.09277344,0.03281599,0.42745379,12765.45214844,0.07377485,0.16930391,1.31208217,-0.08299790,-0.27674156,3.01231337
51,33.72731018,0.03248962,0.41597891,12374.35937500,0.07719814,0.17752731,1.32028234,-0.08246540,-0.28352535,3.00471354
52,33.34431839,0.03214541,0.40460163,11986.41503906,0.08071172,0.18609816,1.32856321,-0.08218063,-0.29038447,2.99702454
53,32.94295883,0.03178250,0.39332739,11601.82031250,0.08431423,0.19502005,1.33692086,-0.08212626,-0.29731941,2.98924756
54,32.52242279,0.03140005,0.38216171,11220.82324219,0.08800447,0.20429382,1.34535170,-0.08226793,-0.30433053,2.98138380
55,32.08195877,0.03099730,0.37111238,10843.57812500,0.09178081,0.21392216,1.35385144,-0.08258231,-0.31141806,2.97343493
56,31.62110901,0.03057374,0.36019245,10470.49414062,0.09563897,0.22390184,1.36241043,-0.08300810,-0.31858167,2.96540165
57,31.13919449,0.03012868,0.34940782,10101.78417969,0.09957360,0.23422620,1.37101698,-0.08346624,-0.32582077,2.95728517
58,30.63573647,0.02966161,0.33876681,9737.80859375,0.10357833,0.24489081,1.37965834,-0.08389461,-0.33313456,2.94908643
59,30.11025238,0.02917201,0.32827604,9378.82617188,0.10764595,0.25588697,1.38831997,-0.08421075,-0.34052187,2.94080734
60,29.56221771,0.02865932,0.31793880,9025.15429688,0.11176742,0.26720637,1.39698493,-0.08433682,-0.34798130,2.93244934
61,28.99138451,0.02812328,0.30776188,8677.08789062,0.11593227,0.27884382,1.40563381,-0.08421651,-0.35551116,2.92401457
62,28.39775658,0.02756385,0.29775360,8334.94238281,0.12012748,0.29079473,1.41424263,-0.08379703,-0.36310932,2.91550517
63,27.78155518,0.02698121,0.28792247,7999.14160156,0.12433782,0.30306083,1.42278421,-0.08306496,-0.37077326,2.90692306
64,27.14316559,0.02637571,0.27827564,7670.09521484,0.12854454,0.31565148,1.43122554,-0.08205241,-0.37849993,2.89827061
65,26.48308372,0.02574780,0.26881853,7348.17919922,0.13272712,0.32857531,1.43953097,-0.08079325,-0.38628581,2.88955045
66,25.80195045,0.02509809,0.25955489,7033.85546875,0.13686350,0.34184837,1.44766319,-0.07937134,-0.39412728,2.88076591
67,25.10069656,0.02442745,0.25048926,6727.53173828,0.14092566,0.35549158,1.45557451,-0.07791128,-0.40202013,2.87191963
68,24.37991142,0.02373644,0.24161837,6429.59521484,0.14488679,0.36952507,1.46322072,-0.07655150,-0.40995997,2.86301565
69,23.64038658,0.02302581,0.23293944,6140.39746094,0.14871868,0.38396913,1.47055614,-0.07544579,-0.41794235,2.85405803
70,22.88309669,0.02229654,0.22445004,5860.04199219,0.15239696,0.39883584,1.47754288,-0.07471226,-0.42596263,2.84505200
71,22.10955620,0.02155012,0.21615139,5588.67236328,0.15589747,0.41412693,1.48414457,-0.07440649,-0.43401590,2.83600307
72,21.32134056,0.02078810,0.20804261,5326.52832031,0.15919091,0.42983910,1.49031484,-0.07455213,-0.44209644,2.82691622
73,20.52034378,0.02001237,0.20012377,5073.63281250,0.16224933,0.44595844,1.49601030,-0.07510378,-0.45019823,2.81779718
74,19.70862007,0.01922500,0.19239445,4829.95703125,0.16505201,0.46245968,1.50120175,-0.07594916,-0.45831510,2.80865264
75,18.88858032,0.01842837,0.18485534,4595.66406250,0.16758297,0.47932377,1.50586724,-0.07702689,-0.46644065,2.79948974
76,18.06262779,0.01762489,0.17750505,4370.67626953,0.16983236,0.49652126,1.50999629,-0.07822424,-0.47456798,2.79031634
77,17.23378754,0.01681762,0.17034651,4154.84326172,0.17180145,0.51401997,1.51359761,-0.07942965,-0.48269033,2.78114176
78,16.40586662,0.01601037,0.16338754,3947.89379883,0.17350212,0.53179240,1.51669836,-0.08058524,-0.49080041,2.77197576
79,15.58267021,0.01520699,0.15663436,3749.53979492,0.17495428,0.54980564,1.51933897,-0.08161964,-0.49889031,2.76282978
80,14.76734543,0.01441064,0.15008663,3559.57812500,0.17618038,0.56802928,1.52156365,-0.08249164,-0.50695175,2.75371456
81,13.96430397,0.01362576,0.14375418,3377.76513672,0.17721343,0.58644080,1.52343440,-0.08322265,-0.51497656,2.74464273
82,13.17698956,0.01285582,0.13763900,3203.87353516,0.17808998,0.60501540,1.52501929,-0.08383469,-0.52295572,2.73562717
83,12.40811825,0.01210355,0.13173828,3037.62475586,0.17883760,0.62372988,1.52636933,-0.08436083,-0.53088021,2.72667885
84,11.66121864,0.01137252,0.12605694,2878.77246094,0.17948608,0.64257157,1.52753913,-0.08490354,-0.53874087,2.71780968
85,10.93942451,0.01066586,0.12059834,2727.20654297,0.18006697,0.66152275,1.52858579,-0.08554678,-0.54652834,2.70903230
86,10.24510193,0.00998598,0.11536210,2582.63891602,0.18061635,0.68056595,1.52957487,-0.08639135,-0.55423260,2.70035958
87,9.58054924,0.00933517,0.11034960,2445.01318359,0.18115816,0.69966519,1.53054941,-0.08742206,-0.56184387,2.69180298
88,8.94760799,0.00871530,0.10556138,2314.10302734,0.18171567,0.71876800,1.53155148,-0.08854058,-0.56935209,2.68337417
89,8.34706783,0.00812717,0.10099258,2189.75146484,0.18231171,0.73782068,1.53262162,-0.08965687,-0.57674688,2.67508531
90,7.77885342,0.00757073,0.09663408,2071.83935547,0.18294907,0.75677669,1.53376496,-0.09069633,-0.58401901,2.66694403
91,7.24419975,0.00704722,0.09248962,1960.17053223,0.18363835,0.77559912,1.53500009,-0.09165334,-0.59115940,2.65896010
92,6.74297667,0.00655653,0.08855469,1854.62817383,0.18438630,0.79424214,1.53633893,-0.09247258,-0.59815919,2.65114188
93,6.27484274,0.00609834,0.08482530,1755.03686523,0.18519613,0.81266767,1.53778684,-0.09313533,-0.60500997,2.64349723
94,5.83910084,0.00567195,0.08129649,1661.30895996,0.18606678,0.83084226,1.53934121,-0.09363682,-0.61170405,2.63603210
95,5.43486547,0.00527650,0.07796352,1573.25061035,0.18699761,0.84873915,1.54100096,-0.09400577,-0.61823410,2.62875319
96,5.06077385,0.00491065,0.07481902,1490.65417480,0.18798499,0.86634886,1.54275894,-0.09434246,-0.62459415,2.62166429
97,4.71550655,0.00457310,0.07185696,1413.33129883,0.18902346,0.88366479,1.54460514,-0.09475010,-0.63077903,2.61476922
98,4.39737225,0.00426217,0.06906869,1341.12707520,0.19009659,0.90067935,1.54650974,-0.09529573,-0.63678467,2.60806894
99,4.10505962,0.00397657,0.06644955,1273.77270508,0.19119540,0.91738033,1.54845691,-0.09602067,-0.64260757,2.60156417
100,3.83704638,0.00371481,0.06399319,1211.07653809,0.19231240,0.93375129,1.55043328,-0.09692992,-0.64824528,2.59525609
101,3.59159613,0.00347518,0.06169137,1152.75402832,0.19344021,0.94976723,1.55242527,-0.09796572,-0.65369666,2.58914399
102,3.36706209,0.00325604,0.05953629,1098.64196777,0.19456577,0.96540046,1.55441010,-0.09904011,-0.65896106,2.58322620
103,3.16177821,0.00305576,0.05751966,1048.41369629,0.19567586,0.98061943,1.55636454,-0.10003536,-0.66403884,2.57749915
104,2.97415805,0.00287278,0.05563335,1001.82873535,0.19676092,0.99541438,1.55827188,-0.10093109,-0.66893154,2.57196021
105,2.80277658,0.00270570,0.05387022,958.67144775,0.19780928,1.00978148,1.56011188,-0.10172510,-0.67364120,2.56660485
106,2.64620280,0.00255310,0.05222234,918.76141357,0.19881076,1.02371848,1.56186712,-0.10241019,-0.67817056,2.56142831
107,2.50315213,0.00241373,0.05068271,881.84265137,0.19976027,1.03722739,1.56352901,-0.10299590,-0.68252295,2.55642653
108,2.37230325,0.00228628,0.04924305,847.72705078,0.20065130,1.05031288,1.56508660,-0.10349088,-0.68670237,2.55159402
109,2.25273132,0.00216984,0.04789886,816.22790527,0.20148256,1.06298745,1.56653798,-0.10393664,-0.69071311,2.54692650
110,2.14334273,0.00206335,0.04664310,787.11468506,0.20225668,1.07526338,1.56788802,-0.10437320,-0.69455987,2.54241943
111,2.04315662,0.00196584,0.04546925,760.21826172,0.20297711,1.08715630,1.56914330,-0.10484437,-0.69824785,2.53806829
112,1.95136666,0.00187653,0.04437225,735.34893799,0.20364831,1.09867644,1.57031155,-0.10536568,-0.70178241,2.53386831
