iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,32.64315796,0.03263915,0.03295354,0.03232475,0.42147547,0.43250942,0.41044152,40.12129211,6.67721796,73.56536865,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,32.19770813,0.03219541,0.03253182,0.03185900,0.40653491,0.41742352,0.39564627,23.01879311,1.67692971,44.36065674,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,31.72455025,0.03172307,0.03208252,0.03136363,0.39186555,0.40259722,0.38113391,14.76382160,0.50552994,29.02211380,0.00010012,0.00029095,1.01005626,-0.00956690,0.00996567,0.01000571
3,31.22128677,0.03121997,0.03160375,0.03083619,0.37745041,0.38802221,0.36687857,13.18074799,0.49792627,25.86356926,0.00022566,0.00061748,1.01513517,-0.01307727,0.01486045,0.01502089
4,30.68528175,0.03068371,0.03109376,0.03027366,0.36327249,0.37369698,0.35284802,15.68435478,0.71160716,30.65710258,0.00040206,0.00100937,1.02025390,-0.01490838,0.01962487,0.02004922
5,30.11397934,0.03011190,0.03055038,0.02967342,0.34931868,0.35960945,0.33902794,20.79812431,1.33839285,40.25785446,0.00062994,0.00144346,1.02541637,-0.01518000,0.02415180,0.02509427
6,29.50494766,0.02950216,0.02997085,0.02903347,0.33557943,0.34573841,0.32542044,27.83852386,2.55858302,53.11846542,0.00091005,0.00191645,1.03062665,-0.01438952,0.02828055,0.03015955
7,28.85549164,0.02885194,0.02935188,0.02835201,0.32204306,0.33205602,0.31203014,35.42648697,3.81100225,67.04196930,0.00124327,0.00242427,1.03588891,-0.01307655,0.03179353,0.03524838
8,28.16254616,0.02815834,0.02868965,0.02762704,0.30869395,0.31853309,0.29885480,41.99940491,4.70342731,79.29537964,0.00163062,0.00295370,1.04120731,-0.01168553,0.03446588,0.04036394
9,27.42275047,0.02741812,0.02797991,0.02685633,0.29551375,0.30514008,0.28588742,46.26509476,5.36523628,87.16495514,0.00207326,0.00349301,1.04658568,-0.01076560,0.03613897,0.04550921
10,26.63291740,0.02662816,0.02721866,0.02603766,0.28248972,0.29186043,0.27311900,47.52156830,5.77727556,89.26586151,0.00257244,0.00403768,1.05202746,-0.01070260,0.03679631,0.05068697
11,25.79057312,0.02578596,0.02640285,0.02516908,0.26961976,0.27869642,0.26054308,46.01831436,5.97811079,86.05851746,0.00312954,0.00459317,1.05753660,-0.01150314,0.03655225,0.05589973
12,24.89428711,0.02489001,0.02553060,0.02424943,0.25691298,0.26566556,0.24816041,42.64428329,6.03859472,79.24996948,0.00374599,0.00517282,1.06311631,-0.01292515,0.03558749,0.06114973
13,23.94351959,0.02393967,0.02460108,0.02327826,0.24438274,0.25279120,0.23597427,38.37420654,6.01203918,70.73637390,0.00442331,0.00579022,1.06876945,-0.01460533,0.03409967,0.06643884
14,22.93840408,0.02293501,0.02361440,0.02225561,0.23204127,0.24009734,0.22398518,33.84870148,5.75930309,61.93809891,0.00516307,0.00645307,1.07449901,-0.01611631,0.03228950,0.07176851
15,21.87977028,0.02187683,0.02257169,0.02118197,0.21989845,0.22760637,0.21219052,29.28159523,5.04567957,53.51750946,0.00596683,0.00716236,1.08030701,-0.01702251,0.03036546,0.07713971
16,20.76935577,0.02076685,0.02147498,0.02005873,0.20796216,0.21533614,0.20058817,24.86297417,3.95120978,45.77473831,0.00683611,0.00792268,1.08619499,-0.01710504,0.02855062,0.08255277
17,19.61014557,0.01960801,0.02032709,0.01888893,0.19623980,0.20329814,0.18918146,21.14462090,2.95745969,39.33178329,0.00777239,0.00875296,1.09216416,-0.01656657,0.02707791,0.08800735
18,18.40662003,0.01840476,0.01913221,0.01767730,0.18473989,0.19150248,0.17797728,18.43967438,2.27358866,34.60575867,0.00877699,0.00967289,1.09821427,-0.01570854,0.02614294,0.09350230
19,17.16491318,0.01716319,0.01789584,0.01643054,0.17347178,0.17995714,0.16698641,17.00648308,1.95555878,32.05740738,0.00985101,0.01070083,1.10434484,-0.01497641,0.02585560,0.09903547
20,15.89328766,0.01589157,0.01662537,0.01515777,0.16244885,0.16867210,0.15622562,16.97111320,2.04118657,31.90104103,0.01099530,0.01184850,1.11055338,-0.01480824,0.02621642,0.10460360
21,14.60223484,0.01460037,0.01533036,0.01387038,0.15168867,0.15766118,0.14571616,18.36417007,2.60832381,34.12001801,0.01221030,0.01311804,1.11683655,-0.01539602,0.02713843,0.11020211
22,13.30466270,0.01330253,0.01402291,0.01258215,0.14121473,0.14694464,0.13548483,21.07364273,3.79069710,38.35659027,0.01349592,0.01450267,1.12318897,-0.01662062,0.02847852,0.11582488
23,12.01532936,0.01201282,0.01271727,0.01130838,0.13105382,0.13654728,0.12556036,24.75670624,5.65216017,43.86125183,0.01485145,0.01598399,1.12960327,-0.01808443,0.03005709,0.12146403
24,10.74977875,0.01074687,0.01142886,0.01006489,0.12123145,0.12649335,0.11596956,28.71938705,7.88747120,49.55130386,0.01627535,0.01753299,1.13607001,-0.01931065,0.03167321,0.12710977
25,9.52361870,0.00952038,0.01017347,0.00886730,0.11177152,0.11680545,0.10673758,31.97154427,9.77946472,54.16362381,0.01776512,0.01911736,1.14257658,-0.01994560,0.03311978,0.13275020
26,8.35182953,0.00834842,0.00896636,0.00773048,0.10269651,0.10750329,0.09788972,33.67190170,10.74711990,56.59668350,0.01931713,0.02071172,1.14910805,-0.01986463,0.03421261,0.13837127
27,7.24813366,0.00724473,0.00782164,0.00666782,0.09402831,0.09860459,0.08945203,33.56126022,10.63418770,56.48833466,0.02092651,0.02230518,1.15564656,-0.01918967,0.03483332,0.14395685
28,6.22451878,0.00622128,0.00675225,0.00569031,0.08579024,0.09013075,0.08144973,31.92787933,9.70982170,54.14593506,0.02258705,0.02389948,1.16217101,-0.01817208,0.03496179,0.14948888
29,5.29017878,0.00528719,0.00576866,0.00480571,0.07800359,0.08210237,0.07390480,29.41923141,8.47658443,50.36187744,0.02429123,0.02550272,1.16865838,-0.01711587,0.03465491,0.15494774
30,4.45112371,0.00444840,0.00487850,0.00401829,0.07068774,0.07453956,0.06683592,26.71134377,7.34104252,46.08164597,0.02603021,0.02712477,1.17508292,-0.01634599,0.03402060,0.16031274
31,3.70962501,0.00370715,0.00408602,0.00332828,0.06385635,0.06746034,0.06025236,24.19734001,6.43424559,41.96043396,0.02779408,0.02876714,1.18141818,-0.01593593,0.03319871,0.16556278
32,3.06457949,0.00306230,0.00339191,0.00273270,0.05751818,0.06087849,0.05415788,22.14591789,5.81117535,38.48065948,0.02957208,0.03042826,1.18763673,-0.01588776,0.03232896,0.17067713
33,2.51173091,0.00250961,0.00279340,0.00222581,0.05167468,0.05480078,0.04854858,20.60614014,5.42165899,35.79062271,0.03135293,0.03210154,1.19371176,-0.01609681,0.03153342,0.17563620
34,2.04439354,0.00204237,0.00228477,0.00179997,0.04631992,0.04922578,0.04341406,19.58751488,5.24703360,33.92799759,0.03312524,0.03377830,1.19961834,-0.01646453,0.03090340,0.18042229
35,1.65426302,0.00165230,0.00185821,0.00144638,0.04144134,0.04414457,0.03873811,18.96491623,5.20648050,32.72335052,0.03487788,0.03544521,1.20533335,-0.01682877,0.03048824,0.18502018
36,1.33223903,0.00133030,0.00150467,0.00115593,0.03702106,0.03954092,0.03450119,18.62753296,5.25881338,31.99625397,0.03660037,0.03708936,1.21083748,-0.01709703,0.03029897,0.18941760
37,1.06907010,0.00106715,0.00121456,0.00091973,0.03303692,0.03539198,0.03068187,18.47981834,5.34873295,31.61090469,0.03828315,0.03869896,1.21611428,-0.01722850,0.03031660,0.19360539
38,0.85583389,0.00085391,0.00097852,0.00072930,0.02946314,0.03167109,0.02725519,18.42894173,5.43646336,31.42142105,0.03991781,0.04026266,1.22115171,-0.01718506,0.03050293,0.19757760
39,0.68432194,0.00068240,0.00078781,0.00057698,0.02627204,0.02834845,0.02419563,18.43154526,5.50092173,31.36216736,0.04149725,0.04177228,1.22594106,-0.01698928,0.03081162,0.20133129
40,0.54718423,0.00054525,0.00063456,0.00045595,0.02343421,0.02539262,0.02147581,18.43207550,5.52384806,31.34030342,0.04301575,0.04322050,1.23047757,-0.01664533,0.03119624,0.20486636
41,0.43801832,0.00043609,0.00051190,0.00036028,0.02091921,0.02277139,0.01906703,18.40419769,5.49049568,31.31789780,0.04446891,0.04460198,1.23475981,-0.01617701,0.03161054,0.20818517
42,0.35140279,0.00034948,0.00041399,0.00028497,0.01869714,0.02045281,0.01694146,18.32803726,5.39913607,31.25693703,0.04585369,0.04591326,1.23878956,-0.01560981,0.03201916,0.21129215
43,0.28281564,0.00028090,0.00033594,0.00022586,0.01673877,0.01840623,0.01507131,18.18414116,5.24383640,31.12444496,0.04716819,0.04715226,1.24257064,-0.01497335,0.03239165,0.21419346
44,0.22856033,0.00022667,0.00027377,0.00017957,0.01501662,0.01660277,0.01343047,17.97043991,5.05472374,30.88615417,0.04841159,0.04831783,1.24610949,-0.01428424,0.03270572,0.21689658
45,0.18562326,0.00018376,0.00022418,0.00014333,0.01350425,0.01501478,0.01199372,17.67265701,4.81189537,30.53342056,0.04958399,0.04941038,1.24941397,-0.01357146,0.03294639,0.21940997
46,0.15160806,0.00014978,0.00018459,0.00011497,0.01217777,0.01361772,0.01073782,17.28943253,4.53928566,30.03958130,0.05068627,0.05043078,1.25249326,-0.01284166,0.03310598,0.22174279
47,0.12460853,0.00012282,0.00015290,0.00009274,0.01101528,0.01238909,0.00964146,16.82857895,4.24922228,29.40793610,0.05171995,0.05138093,1.25535727,-0.01210769,0.03318236,0.22390459
48,0.10311755,0.00010138,0.00012747,0.00007529,0.00999686,0.01130846,0.00868525,16.29903412,3.94985604,28.64821053,0.05268705,0.05226342,1.25801694,-0.01138016,0.03317808,0.22590514
49,0.08595663,0.00008428,0.00010700,0.00006156,0.00910489,0.01035793,0.00785186,15.71715927,3.65028811,27.78403091,0.05358999,0.05308147,1.26048315,-0.01067281,0.03309973,0.22775419
50,0.07219928,0.00007058,0.00009045,0.00005071,0.00832355,0.00952152,0.00712558,15.09130383,3.34936643,26.83324051,0.05443145,0.05383819,1.26276720,-0.00998400,0.03295397,0.22946142
51,0.06112596,0.00005957,0.00007703,0.00004211,0.00763895,0.00878516,0.00649275,14.45307922,3.07036304,25.83579445,0.05521433,0.05453717,1.26488006,-0.00932182,0.03274941,0.23103625
52,0.05217009,0.00005068,0.00006609,0.00003526,0.00703875,0.00813646,0.00594105,13.80235386,2.80659556,24.79811287,0.05594166,0.05518195,1.26683271,-0.00868538,0.03249533,0.23248778
53,0.04489316,0.00004346,0.00005714,0.00002979,0.00651224,0.00756456,0.00545992,13.16114235,2.56679153,23.75549316,0.05661649,0.05577611,1.26863587,-0.00807746,0.03220006,0.23382476
54,0.03894967,0.00003758,0.00004978,0.00002539,0.00605003,0.00705986,0.00504019,12.52606773,2.34202194,22.71011353,0.05724190,0.05632318,1.27029955,-0.00749662,0.03187305,0.23505551
55,0.03406939,0.00003276,0.00004370,0.00002183,0.00564381,0.00661399,0.00467362,11.90815258,2.13493657,21.68136787,0.05782094,0.05682650,1.27183390,-0.00694002,0.03152150,0.23618792
56,0.03004100,0.00002879,0.00003865,0.00001894,0.00528638,0.00621959,0.00435317,11.31814289,1.94907832,20.68720818,0.05835659,0.05728937,1.27324796,-0.00641131,0.03115222,0.23722944
57,0.02669759,0.00002550,0.00003443,0.00001658,0.00497144,0.00587008,0.00407280,10.76540375,1.78243089,19.74837685,0.05885175,0.05771488,1.27455080,-0.00591004,0.03077141,0.23818706
58,0.02390790,0.00002277,0.00003089,0.00001464,0.00469356,0.00556003,0.00382708,10.24820232,1.63931453,18.85709000,0.05930919,0.05810602,1.27575076,-0.00544157,0.03038428,0.23906736
59,0.02156619,0.00002047,0.00002791,0.00001304,0.00444782,0.00528440,0.00361123,9.76933575,1.52402079,18.01465034,0.05973158,0.05846545,1.27685559,-0.00500794,0.02999427,0.23987645
60,0.01959011,0.00001854,0.00002538,0.00001170,0.00423020,0.00503901,0.00342139,9.32226849,1.41978693,17.22475052,0.06012146,0.05879570,1.27787280,-0.00460720,0.02960535,0.24062003
61,0.01791256,0.00001690,0.00002322,0.00001059,0.00403701,0.00481995,0.00325406,8.90674496,1.32782257,16.48566818,0.06048122,0.05909907,1.27880919,-0.00423516,0.02922001,0.24130340
62,0.01648182,0.00001551,0.00002137,0.00000965,0.00386524,0.00462420,0.00310628,8.52392292,1.24645734,15.80138779,0.06081313,0.05937782,1.27967131,-0.00390314,0.02883999,0.24193148
