iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.94330978,0.03993794,0.03993673,0.03993915,5.07440233,5.02468634,5.12411833,53.70234299,5.75261497,101.65206909,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.94037247,0.03993631,0.03993505,0.03993757,5.00900984,4.95940304,5.05861664,40.61927032,1.93232274,79.30622101,0.00002500,0.00007500,1.00501263,-0.00500000,-0.00500000,0.00500000
2,39.93816376,0.03993462,0.03993331,0.03993593,4.94370651,4.89412689,4.99328566,35.43332291,0.83961356,70.02703094,0.00010007,0.00028218,1.01005387,-0.00912979,-0.00993576,0.01000529
3,39.93622208,0.03993285,0.03993149,0.03993422,4.87818670,4.82845211,4.92792130,33.67694092,0.86950254,66.48438263,0.00022542,0.00057230,1.01512730,-0.01135133,-0.01475766,0.01502192
4,39.93419647,0.03993101,0.03992958,0.03993244,4.81241751,4.76233530,4.86249971,31.90182877,0.92426342,62.87939453,0.00040138,0.00091370,1.02023649,-0.01157606,-0.01942964,0.02005464
5,39.93205261,0.03992908,0.03992758,0.03993059,4.74661684,4.69605827,4.79717541,29.67230225,0.78597349,58.55863190,0.00062838,0.00131094,1.02538443,-0.01044153,-0.02390642,0.02510768
6,39.92984772,0.03992709,0.03992550,0.03992867,4.68098831,4.62987947,4.73209667,27.63541603,0.60957515,54.66125870,0.00090697,0.00177547,1.03057408,-0.00851207,-0.02814046,0.03018491
7,39.92764282,0.03992501,0.03992333,0.03992669,4.61566830,4.56397200,4.66736412,26.29562950,0.53874892,52.05250931,0.00123778,0.00231344,1.03580821,-0.00617272,-0.03209234,0.03529052
8,39.92542648,0.03992286,0.03992109,0.03992463,4.55073833,4.49844170,4.60303497,25.68929482,0.59639198,50.78219604,0.00162155,0.00292449,1.04109025,-0.00368597,-0.03572701,0.04042879
9,39.92320633,0.03992062,0.03991876,0.03992249,4.48624897,4.43336296,4.53913546,25.74450493,0.76937443,50.71963501,0.00205917,0.00360439,1.04642344,-0.00129106,-0.03902623,0.04560352
10,39.92094040,0.03991831,0.03991634,0.03992029,4.42223549,4.36879015,4.47568130,26.16807938,0.98542911,51.35073090,0.00255160,0.00434518,1.05181086,0.00079275,-0.04197751,0.05081771
11,39.91857910,0.03991592,0.03991384,0.03991799,4.35869551,4.30474091,4.41265011,26.52687454,1.17303586,51.88071442,0.00309993,0.00513819,1.05725622,0.00236643,-0.04459126,0.05607328
12,39.91608810,0.03991343,0.03991124,0.03991562,4.29559135,4.24118233,4.35000038,26.47143745,1.25672495,51.68614960,0.00370537,0.00597571,1.06276262,0.00336681,-0.04688287,0.06137078
13,39.91345215,0.03991085,0.03990855,0.03991315,4.23284674,4.17803812,4.28765535,25.89362144,1.20100343,50.58623886,0.00436920,0.00685508,1.06833339,0.00379676,-0.04889318,0.06670924
14,39.91067123,0.03990816,0.03990574,0.03991059,4.17036200,4.11520004,4.22552395,24.93190765,1.05945766,48.80435944,0.00509281,0.00777780,1.07397199,0.00376180,-0.05066760,0.07208633
15,39.90775681,0.03990536,0.03990281,0.03990791,4.10802364,4.05254078,4.16350651,23.80366325,0.88065755,46.72666931,0.00587770,0.00874926,1.07968163,0.00339718,-0.05226533,0.07749876
16,39.90472412,0.03990243,0.03989975,0.03990511,4.04572201,3.98993778,4.10150623,22.74197960,0.72550166,44.75845718,0.00672546,0.00977585,1.08546555,0.00286171,-0.05374081,0.08294330
17,39.90155792,0.03989935,0.03989653,0.03990218,3.98334765,3.92726851,4.03942680,21.85698128,0.62211782,43.09184647,0.00763780,0.01086463,1.09132719,0.00230009,-0.05515207,0.08841715
18,39.89825821,0.03989612,0.03989314,0.03989910,3.92080307,3.86442280,3.97718310,21.15698242,0.55529457,41.75867081,0.00861655,0.01202172,1.09727013,0.00184917,-0.05654709,0.09391872
19,39.89480591,0.03989272,0.03988958,0.03989587,3.85799170,3.80129576,3.91468740,20.59971428,0.51771986,40.68170929,0.00966365,0.01325398,1.10329795,0.00161416,-0.05797989,0.09944699
20,39.89116287,0.03988913,0.03988580,0.03989245,3.79483366,3.73780370,3.85186362,20.10670090,0.50437659,39.70902634,0.01078115,0.01456813,1.10941434,0.00165912,-0.05949670,0.10500249
21,39.88731003,0.03988532,0.03988181,0.03988884,3.73126411,3.67388129,3.78864694,19.62607956,0.49983987,38.75231934,0.01197124,0.01597173,1.11562312,0.00199662,-0.06114161,0.11058681
22,39.88323975,0.03988129,0.03987757,0.03988502,3.66724014,3.60948706,3.72499323,19.14328766,0.50181466,37.78475952,0.01323621,0.01747148,1.12192810,0.00262335,-0.06293987,0.11620317
23,39.87891388,0.03987701,0.03987306,0.03988097,3.60273814,3.54460239,3.66087389,18.66629791,0.50896668,36.82362747,0.01457851,0.01907425,1.12833321,0.00349985,-0.06490910,0.12185570
24,39.87431717,0.03987246,0.03986826,0.03987667,3.53773832,3.47921181,3.59626460,18.22303200,0.51494449,35.93111801,0.01600070,0.02078702,1.13484251,0.00459079,-0.06706160,0.12754875
25,39.86944580,0.03986762,0.03986314,0.03987209,3.47223711,3.41331887,3.53115559,17.86089134,0.52876812,35.19301605,0.01750547,0.02261612,1.14146018,0.00582968,-0.06940187,0.13328736
26,39.86425018,0.03986245,0.03985767,0.03986722,3.40623474,3.34693122,3.46553826,17.61902809,0.54990393,34.68815231,0.01909565,0.02456789,1.14819026,0.00713772,-0.07193530,0.13907643
