iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,39.95252609,0.03994746,0.03994627,0.03994865,5.51590443,5.45314360,5.57866478,50.69205093,0.72256881,100.66152954,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,39.95128632,0.03994620,0.03994496,0.03994744,5.45092297,5.38790941,5.51393604,50.86943054,0.66166824,101.07719421,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,39.94986343,0.03994496,0.03994366,0.03994625,5.38907814,5.32550812,5.45264816,49.04744720,0.62268072,97.47221375,0.00010008,0.00016265,1.01005423,0.00328223,-0.00719336,0.01000661
3,39.94842911,0.03994372,0.03994237,0.03994507,5.32932901,5.26516247,5.39349556,47.12453461,0.63151789,93.61755371,0.00022542,0.00028898,1.01512718,0.00059022,-0.00793511,0.01502233
4,39.94707489,0.03994243,0.03994102,0.03994384,5.26946449,5.20473194,5.33419752,46.41531372,0.67570376,92.15492249,0.00040127,0.00048299,1.02023387,-0.00157188,-0.00887777,0.02004268
5,39.94563675,0.03994108,0.03993961,0.03994255,5.20857573,5.14334965,5.27380180,45.59466171,0.68270153,90.50662231,0.00062801,0.00074869,1.02537680,-0.00226458,-0.01073757,0.02506517
6,39.94409943,0.03993966,0.03993813,0.03994120,5.14699936,5.08134079,5.21265841,44.36637115,0.64335412,88.08938599,0.00090610,0.00108399,1.03055918,-0.00174268,-0.01324054,0.03009390
7,39.94253159,0.03993819,0.03993659,0.03993979,5.08526945,5.01920509,5.15133381,43.40827179,0.60780549,86.20874023,0.00123611,0.00148855,1.03578365,-0.00072566,-0.01592460,0.03513446
8,39.94095612,0.03993667,0.03993500,0.03993835,5.02395582,4.95748425,5.09042740,42.80517197,0.59976810,85.01057434,0.00161873,0.00195031,1.04105389,0.00016926,-0.01830003,0.04019192
9,39.93933105,0.03993512,0.03993337,0.03993687,4.96337891,4.89648008,5.03027821,42.04880142,0.58829176,83.50930786,0.00205476,0.00245248,1.04637241,0.00052236,-0.02007397,0.04526854
10,39.93762207,0.03993352,0.03993170,0.03993534,4.90330982,4.83595753,4.97066259,40.94888306,0.58441299,81.31335449,0.00254505,0.00299315,1.05174279,0.00018792,-0.02136985,0.05036315
11,39.93584442,0.03993186,0.03992996,0.03993377,4.84323788,4.77541256,4.91106319,39.75144958,0.58401310,78.91888428,0.00309059,0.00358668,1.05716741,-0.00068874,-0.02256019,0.05547288
12,39.93400955,0.03993013,0.03992813,0.03993212,4.78258276,4.71427822,4.85088730,38.74022293,0.56937778,76.91107178,0.00369241,0.00425516,1.06264937,-0.00185120,-0.02408308,0.06059483
13,39.93210983,0.03992830,0.03992621,0.03993038,4.72121859,4.65244007,4.78999710,38.01879883,0.58389318,75.45370483,0.00435169,0.00500844,1.06819189,-0.00303827,-0.02604942,0.06573154
14,39.93014145,0.03992638,0.03992419,0.03992856,4.65916920,4.58993435,4.72840452,37.49623108,0.58253360,74.40992737,0.00506972,0.00585089,1.07379806,-0.00397698,-0.02846210,0.07088710
15,39.92808914,0.03992437,0.03992208,0.03992666,4.59669828,4.52702951,4.66636705,37.05583191,0.58525270,73.52641296,0.00584790,0.00677564,1.07947147,-0.00451299,-0.03112553,0.07606889
16,39.92594528,0.03992227,0.03991987,0.03992466,4.53407574,4.46399546,4.60415554,36.61203003,0.57081735,72.65324402,0.00668776,0.00777229,1.08521581,-0.00464672,-0.03381899,0.08128332
17,39.92370224,0.03992008,0.03991757,0.03992259,4.47160196,4.40112591,4.54207802,36.10258102,0.56349969,71.64166260,0.00759095,0.00882545,1.09103429,-0.00453126,-0.03628388,0.08653553
18,39.92137909,0.03991781,0.03991517,0.03992045,4.40937042,4.33850527,4.48023510,35.47689056,0.55870122,70.39508057,0.00855920,0.00992669,1.09693062,-0.00435021,-0.03841241,0.09182728
19,39.91894531,0.03991545,0.03991268,0.03991821,4.34726048,4.27600718,4.41851330,34.74676132,0.55842131,68.93510437,0.00959433,0.01107886,1.10290849,-0.00426507,-0.04026106,0.09715820
20,39.91639328,0.03991298,0.03991008,0.03991588,4.28513288,4.21348858,4.35677719,33.92922592,0.55378282,67.30467224,0.01069826,0.01228806,1.10897076,-0.00437386,-0.04191542,0.10252816
21,39.91373062,0.03991039,0.03990734,0.03991344,4.22274876,4.15071011,4.29478788,33.10315704,0.54678506,65.65953064,0.01187300,0.01356848,1.11512136,-0.00471735,-0.04354250,0.10793643
22,39.91093063,0.03990767,0.03990446,0.03991088,4.15989113,4.08745527,4.23232651,32.34816742,0.53782791,64.15850830,0.01312065,0.01493606,1.12136364,-0.00526774,-0.04530538,0.11338311
23,39.90798569,0.03990478,0.03990141,0.03990816,4.09636068,4.02353048,4.16919088,31.75269890,0.53754801,62.96784973,0.01444347,0.01640847,1.12770092,-0.00594979,-0.04736314,0.11886887
24,39.90489578,0.03990173,0.03989817,0.03990528,4.03207302,3.95885515,4.10529137,31.35065651,0.53834772,62.16296387,0.01584381,0.01799751,1.13413727,-0.00666399,-0.04978709,0.12439591
25,39.90163803,0.03989849,0.03989473,0.03990224,3.96712399,3.89352918,4.04071903,31.12284088,0.53530872,61.71037292,0.01732418,0.01970235,1.14067638,-0.00732147,-0.05250542,0.12996894
26,39.89820099,0.03989505,0.03989109,0.03989902,3.90160513,3.82764602,3.97556448,31.05445671,0.53806782,61.57084656,0.01888723,0.02152108,1.14732230,-0.00788305,-0.05544045,0.13559240
27,39.89457321,0.03989142,0.03988723,0.03989562,3.83567905,3.76136827,3.90998983,31.07497406,0.53350925,61.61643982,0.02053572,0.02344368,1.15407932,-0.00833310,-0.05845172,0.14127149
28,39.89073563,0.03988758,0.03988314,0.03989202,3.76949501,3.69484639,3.84414387,31.09972763,0.52967054,61.66978455,0.02227256,0.02545810,1.16095150,-0.00866370,-0.06140763,0.14701068
29,39.88667679,0.03988352,0.03987882,0.03988823,3.70318508,3.62820959,3.77816057,31.01620483,0.52667147,61.50573730,0.02410073,0.02755109,1.16794300,-0.00892966,-0.06418197,0.15281369
30,39.88237381,0.03987924,0.03987426,0.03988422,3.63679934,3.56150651,3.71209192,30.75624466,0.52175301,60.99073792,0.02602335,0.02971567,1.17505801,-0.00918152,-0.06671645,0.15868299
31,39.87779617,0.03987470,0.03986941,0.03987999,3.57023621,3.49463487,3.64583731,30.35753059,0.51683462,60.19822693,0.02804358,0.03196142,1.18230057,-0.00946567,-0.06908157,0.16461943
32,39.87293243,0.03986987,0.03986426,0.03987549,3.50328541,3.42738390,3.57918715,29.95366287,0.51511514,59.39221191,0.03016468,0.03431363,1.18967462,-0.00983007,-0.07144781,0.17062300
33,39.86775589,0.03986472,0.03985874,0.03987069,3.43576431,3.35957122,3.51195765,29.66543770,0.50903714,58.82183838,0.03239005,0.03679823,1.19718432,-0.01027645,-0.07397109,0.17669436
34,39.86222076,0.03985919,0.03985282,0.03986556,3.36757541,3.29110122,3.44404960,29.57668114,0.51415545,58.63920593,0.03472320,0.03943465,1.20483375,-0.01080940,-0.07674056,0.18283516
35,39.85631561,0.03985326,0.03984646,0.03986006,3.29866505,3.22192216,3.37540817,29.74007607,0.50923705,58.97091675,0.03716778,0.04223898,1.21262753,-0.01140705,-0.07981123,0.18904768
36,39.84997559,0.03984687,0.03983961,0.03985415,3.22905946,3.15206099,3.30605793,30.17893982,0.52075338,59.83712769,0.03972762,0.04521863,1.22056985,-0.01205401,-0.08317162,0.19533512
37,39.84318161,0.03984000,0.03983221,0.03984779,3.15876555,3.08152819,3.23600292,30.91920662,0.53518873,61.30322266,0.04240667,0.04838384,1.22866571,-0.01270261,-0.08682965,0.20170051
38,39.83587646,0.03983258,0.03982423,0.03984094,3.08789301,3.01043510,3.16535068,31.93093300,0.56353968,63.29832458,0.04520900,0.05172953,1.23691952,-0.01330474,-0.09070250,0.20814794
39,39.82800674,0.03982458,0.03981560,0.03983357,3.01648092,2.93882275,3.09413934,33.23436737,0.63755596,65.83117676,0.04813883,0.05526019,1.24533629,-0.01386348,-0.09476421,0.21468054
40,39.81951904,0.03981594,0.03980626,0.03982562,2.94466090,2.86682177,3.02250004,34.71645737,0.74088293,68.69203186,0.05120046,0.05896378,1.25392067,-0.01439525,-0.09890365,0.22130212
41,39.81034851,0.03980661,0.03979617,0.03981706,2.87256193,2.79456210,2.95056200,36.23734665,0.88171786,71.59297180,0.05439830,0.06282458,1.26267743,-0.01491158,-0.10300919,0.22801608
42,39.80041885,0.03979652,0.03978522,0.03980780,2.80021620,2.72207713,2.87835550,37.76382446,1.08001435,74.44763184,0.05773679,0.06684221,1.27161121,-0.01541543,-0.10706059,0.23482461
43,39.78963470,0.03978557,0.03977334,0.03979780,2.72760439,2.64934850,2.80586028,39.31491852,1.32629561,77.30354309,0.06122042,0.07102769,1.28072667,-0.01591429,-0.11109161,0.24172935
44,39.77790451,0.03977367,0.03976040,0.03978694,2.65473413,2.57638431,2.73308372,40.89032745,1.62312067,80.15753174,0.06485371,0.07538868,1.29002798,-0.01643777,-0.11511271,0.24873188
45,39.76511002,0.03976069,0.03974625,0.03977513,2.58152199,2.50310206,2.65994167,42.66833878,2.02231288,83.31436157,0.06864120,0.07995631,1.29951954,-0.01701706,-0.11923151,0.25583309
46,39.75112534,0.03974649,0.03973074,0.03976223,2.50791001,2.42944574,2.58637428,44.82073975,2.54942417,87.09205627,0.07258750,0.08476074,1.30920577,-0.01765229,-0.12354043,0.26303402
47,39.73580933,0.03973090,0.03971368,0.03974812,2.43393230,2.35545039,2.51241398,47.41128922,3.25163960,91.57093811,0.07669725,0.08981438,1.31909072,-0.01834006,-0.12804811,0.27033627
48,39.71897888,0.03971374,0.03969486,0.03973262,2.35957336,2.28110313,2.43804359,50.62698364,4.21205235,97.04191589,0.08097503,0.09514499,1.32917857,-0.01908887,-0.13281780,0.27774096
49,39.70043945,0.03969479,0.03967403,0.03971556,2.28485441,2.20642781,2.36328125,54.63985825,5.53734827,103.74237061,0.08542553,0.10077423,1.33947325,-0.01984834,-0.13788810,0.28524926
50,39.67996979,0.03967382,0.03965091,0.03969673,2.20984888,2.13150096,2.28819704,59.50750351,7.30814123,111.70686340,0.09005333,0.10671098,1.34997880,-0.02059014,-0.14324313,0.29286247
51,39.65728760,0.03965054,0.03962519,0.03967590,2.13463640,2.05640364,2.21286917,65.33034515,9.63255787,121.02813721,0.09486297,0.11296374,1.36069870,-0.02130277,-0.14886440,0.30058163
52,39.63208771,0.03962465,0.03959650,0.03965281,2.05930829,1.98122978,2.13738680,72.18357086,12.60324669,131.76390076,0.09985887,0.11953687,1.37163651,-0.02197796,-0.15472123,0.30840749
53,39.60401917,0.03959578,0.03956441,0.03962715,1.98398042,1.90609753,2.06186342,80.04946136,16.27931023,143.81961060,0.10504533,0.12642622,1.38279521,-0.02261509,-0.16075911,0.31634045
54,39.57263947,0.03956350,0.03952843,0.03959857,1.90874517,1.83109903,1.98639131,88.94568634,20.74216270,157.14921570,0.11042638,0.13363531,1.39417744,-0.02324876,-0.16694970,0.32438034
55,39.53744125,0.03952729,0.03948794,0.03956664,1.83366978,1.75630426,1.91103530,98.98435211,26.10940552,171.85929871,0.11600591,0.14117771,1.40578568,-0.02388338,-0.17330158,0.33252648
56,39.49782562,0.03948651,0.03944218,0.03953083,1.75879228,1.68175387,1.83583069,110.52616119,32.61212540,188.44020081,0.12178748,0.14908324,1.41762173,-0.02448509,-0.17987320,0.34077758
57,39.45307159,0.03944040,0.03939027,0.03949054,1.68417668,1.60751510,1.76083839,123.90624237,40.51539612,207.29708862,0.12777439,0.15737760,1.42968690,-0.02504410,-0.18670084,0.34913206
58,39.40233994,0.03938808,0.03933114,0.03944503,1.60989761,1.53366256,1.68613267,139.53457642,50.14947128,228.91967773,0.13396956,0.16608781,1.44198191,-0.02557778,-0.19381550,0.35758793
59,39.34458160,0.03932848,0.03926351,0.03939346,1.53604877,1.46029234,1.61180520,157.80665588,61.85676575,253.75654602,0.14037564,0.17523599,1.45450747,-0.02610213,-0.20123143,0.36614284
60,39.27856064,0.03926033,0.03918584,0.03933481,1.46274352,1.38751948,1.53796768,179.03430176,75.96709442,282.10150146,0.14699483,0.18483652,1.46726346,-0.02662549,-0.20894271,0.37479401
61,39.20278549,0.03918209,0.03909629,0.03926790,1.39011168,1.31547499,1.46474838,203.45193481,92.76599884,314.13787842,0.15382887,0.19489692,1.48024893,-0.02716235,-0.21692751,0.38353825
62,39.11544418,0.03909196,0.03899262,0.03919129,1.31829369,1.24430168,1.39228570,231.16174316,112.45149231,349.87200928,0.16087916,0.20541421,1.49346280,-0.02770962,-0.22514577,0.39237198
63,39.01431274,0.03898773,0.03887216,0.03910330,1.24743986,1.17415440,1.32072520,262.01635742,135.01271057,389.02001953,0.16814654,0.21637318,1.50690329,-0.02823297,-0.23354109,0.40129122
64,38.89671707,0.03886674,0.03873160,0.03900188,1.17769456,1.10518444,1.25020480,295.70498657,160.33029175,431.07968140,0.17563143,0.22774996,1.52056813,-0.02867077,-0.24205095,0.41029170
