iter,total,cd3d,cd3d_fwd,cd3d_bwd,cd3d_raw,cd3d_raw_fwd,cd3d_raw_bwd,cd2d,cd2d_fwd,cd2d_bwd,scale_reg,t_reg,scale,tx,ty,tz
0,37.40028381,0.03739584,0.03746548,0.03732620,0.75810552,0.76894921,0.74726182,44.43975449,11.19996834,77.67954254,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,37.18109131,0.03717666,0.03724740,0.03710592,0.72592413,0.73571038,0.71613789,44.28579712,10.62234402,77.94924927,0.00002500,0.00007500,1.00501263,0.00500000,-0.00500000,0.00500000
2,36.93899155,0.03693449,0.03700599,0.03686299,0.69436586,0.70313686,0.68559480,44.96539688,10.36975002,79.56104279,0.00010014,0.00026583,1.01005709,0.00809734,-0.01000651,0.01000674
3,36.67062759,0.03666611,0.03673823,0.03659400,0.66338807,0.67121649,0.65555966,45.12312698,9.98490620,80.26134491,0.00022575,0.00051084,1.01513827,0.00770620,-0.01502364,0.01502470
4,36.37248993,0.03636796,0.03644014,0.03629579,0.63296950,0.63988721,0.62605184,45.23610306,9.65255165,80.81965637,0.00040235,0.00083889,1.02026117,0.00585820,-0.02005574,0.02005831
5,36.04062653,0.03603605,0.03610734,0.03596477,0.60310209,0.60912174,0.59708244,45.73079681,9.47489548,81.98669434,0.00063063,0.00127411,1.02543032,0.00362465,-0.02510707,0.02511194
6,35.67041016,0.03566573,0.03573459,0.03559687,0.57377517,0.57888699,0.56866336,46.82518387,9.47896862,84.17140198,0.00091147,0.00182701,1.03065097,0.00215598,-0.03018176,0.03018987
7,35.25651932,0.03525170,0.03531610,0.03518730,0.54498363,0.54917705,0.54079026,48.16581726,9.38959408,86.94203949,0.00124589,0.00249434,1.03592753,0.00188968,-0.03528377,0.03529626
8,34.79286575,0.03478789,0.03484516,0.03473061,0.51672375,0.51998830,0.51345915,49.74497986,9.30809402,90.18186188,0.00163509,0.00327649,1.04126501,0.00281942,-0.04041709,0.04043516
9,34.27262878,0.03426747,0.03431429,0.03422064,0.48900101,0.49133211,0.48666990,51.53623199,9.19390583,93.87855530,0.00208043,0.00417894,1.04666793,0.00453597,-0.04558562,0.04561044
10,33.68804550,0.03368268,0.03371504,0.03365032,0.46181893,0.46322364,0.46041426,53.55173874,9.19758320,97.90589142,0.00258340,0.00520136,1.05214107,0.00617811,-0.05079303,0.05082581
11,33.03053284,0.03302496,0.03303816,0.03301176,0.43518955,0.43568838,0.43469071,55.62004089,9.31298923,101.92709351,0.00314564,0.00633336,1.05768871,0.00686326,-0.05604236,0.05608482
12,32.29032898,0.03228455,0.03227262,0.03229648,0.40911677,0.40872493,0.40950862,57.66201019,9.47918701,105.84483337,0.00376895,0.00757226,1.06331539,0.00642107,-0.06133673,0.06139081
13,31.45707893,0.03145109,0.03140657,0.03149561,0.38361686,0.38234654,0.38488716,59.74253082,9.66559410,109.81946564,0.00445522,0.00892829,1.06902552,0.00519407,-0.06667951,0.06674697
14,30.51992416,0.03051370,0.03042701,0.03060040,0.35871124,0.35656247,0.36086005,62.08358002,10.12668705,114.04047394,0.00520651,0.01041640,1.07482314,0.00391915,-0.07207294,0.07215629
15,29.46788025,0.02946139,0.02932073,0.02960205,0.33442563,0.33139539,0.33745587,64.76158905,10.74151039,118.78166962,0.00602496,0.01204641,1.08071256,0.00348899,-0.07751857,0.07762156
16,28.29034233,0.02828356,0.02807475,0.02849237,0.31078649,0.30686975,0.31470323,67.65630341,11.47873974,123.83386230,0.00691287,0.01382235,1.08669794,0.00415750,-0.08301748,0.08314540
17,26.97768784,0.02697058,0.02667770,0.02726346,0.28781605,0.28301832,0.29261380,70.83306885,12.61764526,129.04849243,0.00787261,0.01574431,1.09278309,0.00518676,-0.08856836,0.08873023
