iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,32.95189285,0.03295125,0.43242401,6.40743113,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,32.52912521,0.03252897,0.41732535,1.60757494,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,32.07874298,0.03207869,0.40247583,0.51538020,0.00010012,0.00029314,1.01005626,-0.01000433,0.00964062,0.01000572
3,31.59816933,0.03159811,0.38785744,0.54867512,0.00022566,0.00063023,1.01513517,-0.01501388,0.01338587,0.01502093
4,31.08448219,0.03108438,0.37344396,0.95043206,0.00040206,0.00104866,1.02025390,-0.02002929,0.01566889,0.02004933
5,30.53485298,0.03053465,0.35921806,1.98081803,0.00062995,0.00152158,1.02541637,-0.02503092,0.01628807,0.02509454
6,29.94680786,0.02994641,0.34517688,4.00858307,0.00091007,0.00204897,1.03062701,-0.02994968,0.01556757,0.03016012
7,29.31807137,0.02931735,0.33132398,7.18729830,0.00124333,0.00263503,1.03588986,-0.03461669,0.01393535,0.03524948
8,28.64620972,0.02864508,0.31766036,11.22966576,0.00163076,0.00327031,1.04120922,-0.03875781,0.01177845,0.04036589
9,27.92857742,0.02792704,0.30418345,15.30944729,0.00207353,0.00392445,1.04658878,-0.04199363,0.00946588,0.04551245
10,27.16211700,0.02716026,0.29088339,18.48320961,0.00257293,0.00456434,1.05203259,-0.04403580,0.00745009,0.05069203
11,26.34376526,0.02634174,0.27775034,20.11561012,0.00313035,0.00517900,1.05754435,-0.04487888,0.00626614,0.05590727
12,25.47082901,0.02546883,0.26477945,19.85103798,0.00374727,0.00577824,1.06312740,-0.04471341,0.00619189,0.06116054
13,24.54173851,0.02453991,0.25197673,18.20786285,0.00442524,0.00638415,1.06878495,-0.04379167,0.00709379,0.06645387
14,23.55602074,0.02355440,0.23935424,16.10673904,0.00516587,0.00702366,1.07451987,-0.04236477,0.00867436,0.07178890
15,22.51414108,0.02251270,0.22692510,14.23827744,0.00597080,0.00772267,1.08033478,-0.04068791,0.01060397,0.07716683
16,21.41746140,0.02141617,0.21470059,12.78729820,0.00684165,0.00849647,1.08623135,-0.03899538,0.01245032,0.08258829
17,20.26815987,0.02026698,0.20268786,11.65576077,0.00777996,0.00935313,1.09221101,-0.03755356,0.01376529,0.08805323
18,19.06969070,0.01906860,0.19089308,10.73830700,0.00878720,0.01029602,1.09827423,-0.03659531,0.01425374,0.09356087
19,17.82748795,0.01782645,0.17932659,10.22315693,0.00986463,0.01133635,1.10442054,-0.03632477,0.01393435,0.09910949
20,16.54952240,0.01654847,0.16800542,10.29314518,0.01101327,0.01248403,1.11064851,-0.03677421,0.01305253,0.10469630
21,15.24606133,0.01524491,0.15694962,11.21797276,0.01223377,0.01374857,1.11695504,-0.03788485,0.01197548,0.11031724
22,13.92939472,0.01392805,0.14618012,13.21310520,0.01352630,0.01513521,1.12333584,-0.03953751,0.01112247,0.11596675
23,12.61365700,0.01261198,0.13571922,16.43456268,0.01489043,0.01663984,1.12978387,-0.04155973,0.01081316,0.12163758
24,11.31438923,0.01131227,0.12559049,20.86483383,0.01632494,0.01824627,1.13629055,-0.04373300,0.01109863,0.12732053
25,10.04827309,0.01004562,0.11582127,26.10420609,0.01782766,0.01992710,1.14284444,-0.04580513,0.01178349,0.13300429
26,8.83175564,0.00882860,0.10643826,31.16039848,0.01939535,0.02164307,1.14943123,-0.04748373,0.01255070,0.13867532
27,7.68003702,0.00767654,0.09746613,34.55979156,0.02102346,0.02335266,1.15603352,-0.04851609,0.01308501,0.14431781
28,6.60644722,0.00660286,0.08892857,35.41448593,0.02270610,0.02503106,1.16263080,-0.04880745,0.01321832,0.14991386
29,5.62187719,0.00561841,0.08084884,34.15671158,0.02443594,0.02668592,1.16920030,-0.04851346,0.01302310,0.15544377
30,4.73399210,0.00473077,0.07324840,31.63508034,0.02620428,0.02832941,1.17571604,-0.04778724,0.01270147,0.16088648
31,3.94652200,0.00394357,0.06614297,28.89288712,0.02800115,0.02998001,1.18215072,-0.04684594,0.01250202,0.16622025
32,3.25922775,0.00325652,0.05954109,26.45852470,0.02981565,0.03164482,1.18847632,-0.04581981,0.01262398,0.17142345
33,2.66854548,0.00266603,0.05344545,24.46402740,0.03163621,0.03331937,1.19466496,-0.04476685,0.01310473,0.17647541
34,2.16830945,0.00216595,0.04785341,22.89697647,0.03345101,0.03499444,1.20068967,-0.04372643,0.01385747,0.18135713
35,1.75039124,0.00174816,0.04275575,21.58441925,0.03524841,0.03665512,1.20652652,-0.04269093,0.01473937,0.18605204
36,1.40550017,0.00140339,0.03813686,20.32834053,0.03701728,0.03828528,1.21215367,-0.04164350,0.01559302,0.19054647
37,1.12393486,0.00112196,0.03397552,18.98228645,0.03874744,0.03987003,1.21755373,-0.04056802,0.01629527,0.19483000
38,0.89618963,0.00089436,0.03024585,17.50601959,0.04042985,0.04139818,1.22271252,-0.03946099,0.01678031,0.19889553
39,0.71341437,0.00071174,0.02691905,15.88179779,0.04205679,0.04286177,1.22762024,-0.03831531,0.01704463,0.20273921
40,0.56766510,0.00056615,0.02396419,14.23320866,0.04362199,0.04425887,1.23227096,-0.03716342,0.01712413,0.20636016
41,0.45202574,0.00045067,0.02134965,12.63044357,0.04512062,0.04558780,1.23666239,-0.03601075,0.01707869,0.20976022
42,0.36060676,0.00035940,0.01904355,11.15158463,0.04654921,0.04684831,1.24079549,-0.03486430,0.01696651,0.21294348
43,0.28851232,0.00028744,0.01701516,9.81154919,0.04790558,0.04804163,1.24467361,-0.03373884,0.01684196,0.21591589
44,0.23171718,0.00023075,0.01523456,8.65962029,0.04918870,0.04916899,1.24830329,-0.03265022,0.01672958,0.21868487
45,0.18697312,0.00018611,0.01367393,7.66166496,0.05039854,0.05023160,1.25169194,-0.03160974,0.01664031,0.22125895
46,0.15168647,0.00015090,0.01230751,6.80463696,0.05153589,0.05123021,1.25484884,-0.03062946,0.01654929,0.22364743
47,0.12381642,0.00012310,0.01111238,6.06664753,0.05260227,0.05216578,1.25778449,-0.02970857,0.01644394,0.22586009
48,0.10174445,0.00010109,0.01006733,5.42845631,0.05359972,0.05303976,1.26050961,-0.02885131,0.01630329,0.22790693
49,0.08420441,0.00008361,0.00915336,4.87200451,0.05453069,0.05385445,1.26303566,-0.02806031,0.01612333,0.22979797
50,0.07021513,0.00006967,0.00835396,4.38038588,0.05539796,0.05461187,1.26537395,-0.02733205,0.01589291,0.23154318
51,0.05901074,0.00005850,0.00765445,3.94279957,0.05620453,0.05531453,1.26753616,-0.02666337,0.01560856,0.23315226
52,0.04999622,0.00004953,0.00704195,3.55639410,0.05695351,0.05596525,1.26953328,-0.02604790,0.01527645,0.23463458
53,0.04271300,0.00004228,0.00650542,3.23004031,0.05764809,0.05656752,1.27137649,-0.02548851,0.01490771,0.23599918
54,0.03679431,0.00003638,0.00603465,2.94991374,0.05829146,0.05712462,1.27307630,-0.02498061,0.01452000,0.23725463
55,0.03196305,0.00003158,0.00562140,2.71368098,0.05888679,0.05763936,1.27464283,-0.02451627,0.01412186,0.23840907
56,0.02799574,0.00002763,0.00525797,2.51002312,0.05943717,0.05811475,1.27608573,-0.02409342,0.01372211,0.23947017
57,0.02472243,0.00002437,0.00493798,2.35169935,0.05994562,0.05855365,1.27741432,-0.02371067,0.01332624,0.24044515
58,0.02200559,0.00002166,0.00465578,2.21702194,0.06041500,0.05895870,1.27863693,-0.02335737,0.01295256,0.24134076
59,0.01973987,0.00001941,0.00440653,2.11633062,0.06084811,0.05933246,1.27976203,-0.02303297,0.01260467,0.24216330
60,0.01783984,0.00001752,0.00418611,2.03055882,0.06124755,0.05967738,1.28079689,-0.02273516,0.01228912,0.24291864
61,0.01623616,0.00001592,0.00399065,1.95630765,0.06161582,0.05999553,1.28174877,-0.02245957,0.01200741,0.24361223
62,0.01487723,0.00001456,0.00381709,1.90109444,0.06195527,0.06028893,1.28262424,-0.02220333,0.01176058,0.24424912
63,0.01372018,0.00001341,0.00366278,1.85872698,0.06226812,0.06055959,1.28342950,-0.02196600,0.01154980,0.24483399
64,0.01272822,0.00001242,0.00352515,1.82047808,0.06255640,0.06080921,1.28417015,-0.02174256,0.01137820,0.24537116
65,0.01187460,0.00001157,0.00340227,1.78626156,0.06282207,0.06103951,1.28485167,-0.02152967,0.01125061,0.24586461
66,0.01113561,0.00001084,0.00329226,1.75279379,0.06306693,0.06125184,1.28547895,-0.02132206,0.01116425,0.24631803
67,0.01049316,0.00001020,0.00319366,1.71558177,0.06329263,0.06144759,1.28605616,-0.02111775,0.01111662,0.24673478
68,0.00993248,0.00000964,0.00310511,1.67992508,0.06350074,0.06162814,1.28658783,-0.02091743,0.01110363,0.24711800
69,0.00944151,0.00000915,0.00302553,1.64288592,0.06369271,0.06179464,1.28707755,-0.02072034,0.01111943,0.24747053
70,0.00900903,0.00000872,0.00295376,1.60403228,0.06386984,0.06194820,1.28752899,-0.02052566,0.01115934,0.24779500
71,0.00862814,0.00000834,0.00288904,1.57188940,0.06403338,0.06208983,1.28794539,-0.02033305,0.01121827,0.24809383
72,0.00828936,0.00000801,0.00283043,1.53231573,0.06418446,0.06222036,1.28832972,-0.02014115,0.01128848,0.24836922
73,0.00798864,0.00000771,0.00277736,1.49737906,0.06432413,0.06234074,1.28868461,-0.01995266,0.01136384,0.24862319
74,0.00772051,0.00000745,0.00272924,1.46229839,0.06445334,0.06245181,1.28901279,-0.01976770,0.01144313,0.24885760
75,0.00748040,0.00000721,0.00268545,1.42908990,0.06457299,0.06255428,1.28931642,-0.01958519,0.01152236,0.24907416
76,0.00726473,0.00000700,0.00264555,1.39668775,0.06468388,0.06264876,1.28959763,-0.01940322,0.01159913,0.24927442
77,0.00707009,0.00000681,0.00260911,1.36275923,0.06478675,0.06273580,1.28985846,-0.01921840,0.01167308,0.24945980
78,0.00689436,0.00000663,0.00257575,1.33294928,0.06488232,0.06281594,1.29010046,-0.01903181,0.01173832,0.24963161
79,0.00673440,0.00000648,0.00254512,1.29951036,0.06497120,0.06288967,1.29032552,-0.01884220,0.01179277,0.24979104
80,0.00658992,0.00000633,0.00251706,1.27341592,0.06505397,0.06295753,1.29053497,-0.01865128,0.01183521,0.24993916
81,0.00645778,0.00000621,0.00249118,1.24616933,0.06513117,0.06302015,1.29073024,-0.01846224,0.01186617,0.25007698
82,0.00633727,0.00000609,0.00246733,1.22194707,0.06520326,0.06307808,1.29091239,-0.01827698,0.01188630,0.25020540
