iter,total,cd3d,cd3d_raw,cd2d,scale_reg,t_reg,scale,tx,ty,tz
0,7.27333117,0.00723934,0.09401630,339.91223145,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000
1,6.32632065,0.00629756,0.08645405,287.64178467,0.00002500,0.00007500,1.00501263,-0.00500000,0.00500000,0.00500000
2,5.45301723,0.00542851,0.07925222,245.02674866,0.00009974,0.00023866,1.01003706,-0.00625017,0.00999395,0.00998564
3,4.65687561,0.00463602,0.07241389,208.58897400,0.00022348,0.00046714,1.01506150,-0.00442006,0.01497558,0.01494432
4,3.94248819,0.00392489,0.06596898,175.98858643,0.00039492,0.00079385,1.02007127,-0.00140794,0.01993507,0.01986114
5,3.31076670,0.00329601,0.05993319,147.58320618,0.00061207,0.00123313,1.02504861,0.00205121,0.02485731,0.02471909
6,2.76061606,0.00274818,0.05432238,124.34384918,0.00087225,0.00178720,1.02997434,0.00575752,0.02972895,0.02949976
7,2.28775597,0.00227717,0.04913894,105.80899048,0.00117209,0.00245416,1.03482866,0.00964810,0.03453294,0.03418409
8,1.88694692,0.00187777,0.04438762,91.73345947,0.00150750,0.00322817,1.03959024,0.01362280,0.03925326,0.03875269
9,1.55192888,0.00154378,0.04007187,81.41188812,0.00187386,0.00409931,1.04423869,0.01758778,0.04387299,0.04318727
10,1.27520466,0.00126801,0.03618735,71.85604858,0.00226611,0.00505221,1.04875493,0.02142321,0.04837035,0.04747170
11,1.04884493,0.00104256,0.03271783,62.80128098,0.00267901,0.00607208,1.05312204,0.02509787,0.05273014,0.05159178
12,0.86553311,0.00085987,0.02964386,56.54804230,0.00310726,0.00714410,1.05732572,0.02859890,0.05693790,0.05553628
13,0.71779925,0.00071259,0.02693530,52.01874924,0.00354572,0.00824937,1.06135464,0.03185099,0.06098142,0.05929713
14,0.59916800,0.00059434,0.02456224,48.15324020,0.00398962,0.00936973,1.06520092,0.03480559,0.06485121,0.06286985
15,0.50417751,0.00049967,0.02249423,44.93064499,0.00443465,0.01048636,1.06886053,0.03740263,0.06854165,0.06625292
16,0.42800823,0.00042372,0.02069433,42.72962570,0.00487694,0.01157938,1.07233131,0.03956394,0.07204989,0.06944701
17,0.36625543,0.00036211,0.01911603,41.22819901,0.00531332,0.01263125,1.07561493,0.04123194,0.07537442,0.07245604
18,0.31592935,0.00031187,0.01772913,40.38574982,0.00574120,0.01363087,1.07871521,0.04240020,0.07851830,0.07528594
19,0.27467772,0.00027066,0.01650756,40.01216507,0.00615845,0.01457613,1.08163726,0.04314010,0.08148566,0.07794324
20,0.24076577,0.00023675,0.01543243,39.93417740,0.00656342,0.01546582,1.08438718,0.04350287,0.08428209,0.08043536
21,0.21270728,0.00020869,0.01448382,39.97578049,0.00695482,0.01630000,1.08697164,0.04353216,0.08691417,0.08277002
22,0.18945795,0.00018544,0.01364926,39.94840622,0.00733169,0.01707860,1.08939803,0.04325381,0.08938876,0.08495506
23,0.17010504,0.00016609,0.01291444,39.89323807,0.00769333,0.01780413,1.09167337,0.04271034,0.09171302,0.08699816
24,0.15379807,0.00014979,0.01226197,39.78717804,0.00803939,0.01848233,1.09380519,0.04197276,0.09389407,0.08890738
25,0.13989931,0.00013590,0.01167746,39.72010422,0.00836980,0.01911639,1.09580207,0.04107410,0.09593978,0.09069105
26,0.12808888,0.00012409,0.01115678,39.72777939,0.00868462,0.01971171,1.09767175,0.04007239,0.09785744,0.09235711
27,0.11800844,0.00011399,0.01069175,39.91482162,0.00898407,0.02027247,1.09942174,0.03901238,0.09965368,0.09391300
28,0.10938176,0.00010533,0.01027657,40.21964645,0.00926847,0.02080413,1.10105956,0.03795590,0.10133515,0.09536596
29,0.10205767,0.00009796,0.00990984,40.62413406,0.00953819,0.02130923,1.10259187,0.03693154,0.10290791,0.09672256
30,0.09579012,0.00009164,0.00958401,41.15752029,0.00979365,0.02179182,1.10402524,0.03599141,0.10437714,0.09798902
31,0.09039775,0.00008618,0.00929357,41.81174850,0.01003541,0.02225469,1.10536635,0.03517290,0.10574761,0.09917156
32,0.08572409,0.00008145,0.00903391,42.45777893,0.01026401,0.02270002,1.10662127,0.03450483,0.10702419,0.10027593
33,0.08162723,0.00007728,0.00879921,43.17110443,0.01048008,0.02312969,1.10779583,0.03400938,0.10821180,0.10130775
34,0.07801196,0.00007359,0.00858607,43.92689514,0.01068429,0.02354483,1.10889590,0.03369700,0.10931459,0.10227249
35,0.07479959,0.00007030,0.00839200,44.62836456,0.01087732,0.02394724,1.10992706,0.03358530,0.11033653,0.10317519
36,0.07194823,0.00006739,0.00821587,45.26110458,0.01105979,0.02433750,1.11089444,0.03366790,0.11128213,0.10402051
37,0.06940769,0.00006479,0.00805565,45.83385468,0.01123228,0.02471541,1.11180234,0.03392471,0.11215542,0.10481261
